PT08.S3(NOx);PT08.S1(CO);PT08.S5(O3);CO(GT);NOx(GT);NO2(GT);NMHC(GT);PT08.S2(NMHC);PT08.S4(NO2);RH;C6H6(GT);T;AH
?;1360.0;?;2.6;166.0;113.0;150.0;?;1692.0;48.9;11.9;?;0.7578
1174.0;1292.0;972.0;?;103.0;?;112.0;955.0;1559.0;47.7;9.4;13.3;0.7255
?;1402.0;?;2.2;131.0;114.0;88.0;939.0;?;54.0;9.0;?;?
1092.0;1376.0;1203.0;2.2;172.0;122.0;80.0;948.0;1584.0;60.0;9.2;11.0;?
1205.0;1272.0;1110.0;?;131.0;?;51.0;?;?;59.6;6.5;?;?
1337.0;1197.0;949.0;1.2;?;96.0;?;750.0;1393.0;59.2;4.7;11.2;0.7848
?;1185.0;?;1.2;?;77.0;?;?;1333.0;56.8;3.6;11.3;0.7603
?;1136.0;730.0;1.0;62.0;76.0;31.0;?;1333.0;60.0;3.3;?;0.7702
1579.0;1094.0;?;?;45.0;?;24.0;609.0;1276.0;59.7;2.3;10.7;0.7648
1705.0;1010.0;501.0;0.6;-200.0;-200.0;19.0;561.0;1235.0;?;?;10.3;0.7517
1818.0;1011.0;?;-200.0;21.0;?;?;527.0;1197.0;60.5;1.3;10.1;0.7465
?;1066.0;?;?;?;?;8.0;512.0;?;56.2;1.1;11.0;0.7366
1738.0;?;472.0;0.7;34.0;?;16.0;553.0;1221.0;58.1;?;?;?
1490.0;1144.0;730.0;1.1;?;82.0;29.0;667.0;1339.0;59.6;?;10.2;0.7417
?;?;1102.0;2.0;?;112.0;?;900.0;1517.0;?;?;10.8;?
1079.0;1351.0;1028.0;2.2;129.0;101.0;87.0;960.0;1583.0;60.6;9.5;10.5;0.7691
?;1233.0;860.0;1.7;?;98.0;77.0;827.0;1446.0;58.4;6.3;10.8;0.7552
1328.0;1179.0;671.0;1.5;95.0;92.0;43.0;?;1362.0;?;?;10.5;?
1301.0;1236.0;664.0;?;104.0;95.0;61.0;774.0;1401.0;66.8;5.2;9.5;0.7951
1162.0;1286.0;799.0;?;?;112.0;63.0;869.0;1537.0;76.4;7.3;8.3;0.8393
983.0;?;1037.0;2.9;?;128.0;164.0;1034.0;1730.0;81.1;11.5;8.0;0.8736
1082.0;1310.0;946.0;2.2;184.0;?;79.0;?;1647.0;79.8;8.8;8.3;0.8778
1103.0;1292.0;957.0;2.2;193.0;131.0;95.0;912.0;?;71.2;?;9.7;?
1008.0;?;1104.0;2.9;243.0;?;?;?;1719.0;67.6;11.2;?;0.8185
799.0;?;?;4.8;?;151.0;307.0;1319.0;2083.0;?;?;10.3;0.8065
702.0;1776.0;1704.0;6.9;383.0;172.0;?;1488.0;2333.0;69.3;27.4;9.7;0.8319
743.0;1640.0;1654.0;6.1;351.0;165.0;?;1404.0;2191.0;67.8;24.0;?;0.8133
957.0;?;1285.0;3.9;240.0;136.0;197.0;1076.0;1707.0;64.0;12.8;9.1;0.7419
1325.0;965.0;?;1.5;94.0;?;61.0;749.0;1333.0;63.4;4.7;?;0.6905
1565.0;?;552.0;1.0;47.0;53.0;26.0;?;1252.0;60.8;?;8.2;0.6657
?;1080.0;816.0;?;122.0;97.0;55.0;805.0;1375.0;58.5;5.9;8.3;0.6438
1247.0;1044.0;?;?;133.0;?;53.0;829.0;?;59.7;6.4;7.7;0.6308
1396.0;?;692.0;1.4;82.0;91.0;40.0;718.0;1304.0;61.8;4.1;7.1;0.6276
1680.0;889.0;512.0;?;-200.0;-200.0;21.0;574.0;1187.0;62.3;1.9;7.0;?
?;?;384.0;-200.0;21.0;32.0;10.0;?;1134.0;65.9;?;?;?
1895.0;847.0;394.0;0.6;30.0;44.0;7.0;?;1155.0;65.0;1.0;6.3;0.6233
1685.0;927.0;487.0;0.8;?;71.0;17.0;571.0;?;62.9;1.8;6.8;0.6234
?;1091.0;748.0;1.4;109.0;104.0;33.0;730.0;1361.0;65.1;4.4;6.4;0.6316
897.0;1587.0;?;4.4;307.0;?;202.0;1236.0;1900.0;63.1;17.9;7.3;0.6499
?;1545.0;?;-200.0;-200.0;-200.0;-200.0;1353.0;2058.0;56.2;22.1;?;0.6561
?;1350.0;1237.0;?;187.0;?;208.0;1118.0;1712.0;41.7;14.0;13.2;0.632
969.0;1263.0;1167.0;2.7;216.0;143.0;166.0;1037.0;1598.0;?;11.6;?;?
1035.0;?;959.0;?;?;113.0;114.0;986.0;1537.0;36.5;10.2;15.0;0.6195
1008.0;?;?;?;160.0;116.0;140.0;1016.0;?;34.5;11.0;16.1;0.6262
?;1287.0;?;2.7;163.0;123.0;169.0;?;1660.0;?;12.8;16.3;0.656
?;1353.0;1139.0;2.9;190.0;126.0;185.0;1122.0;1740.0;37.0;14.2;15.8;0.661
?;1309.0;1112.0;2.8;178.0;120.0;165.0;1073.0;1657.0;37.2;12.7;15.9;0.6657
1006.0;1274.0;994.0;2.4;?;119.0;?;1041.0;1610.0;?;11.7;16.9;0.6549
812.0;?;?;3.9;206.0;?;233.0;1277.0;1910.0;?;19.3;15.1;0.6766
821.0;1525.0;1448.0;?;202.0;145.0;242.0;1246.0;1847.0;?;18.2;14.4;0.7084
624.0;1843.0;1887.0;?;340.0;170.0;?;1610.0;2390.0;50.5;32.6;12.9;?
752.0;1598.0;1627.0;4.4;?;149.0;?;1299.0;1941.0;53.3;?;12.1;0.7536
839.0;1484.0;1491.0;?;253.0;139.0;215.0;?;1723.0;59.1;?;11.0;0.774
