InertialMeasurementUnit L-SHOE EuX;Accelerometer LWR accZ;InertialMeasurementUnit LLA accY;InertialMeasurementUnit BACK Quaternion1;Accelerometer LWR accX;Accelerometer LUA_ accY;Accelerometer LH accY
117;352.0;-356.0;607.0;-260.0;944.0;1004.0
105;376.0;-244.0;64.0;-251.0;947.0;1024.0
105;351.0;-232.0;66.0;-253.0;982.0;1063.0
25;421.0;-93.0;-164.0;-321.0;914.0;981.0
31;423.0;-252.0;21.0;-311.0;990.0;1025.0
-59;407.0;-408.0;336.0;-230.0;936.0;1074.0
-38;454.0;-209.0;253.0;-67.0;1193.0;1467.0
-33;103.0;-128.0;207.0;-251.0;786.0;844.0
61;415.0;-287.0;-50.0;-351.0;983.0;1034.0
47;547.0;-305.0;-57.0;-487.0;1070.0;1157.0
31;424.0;-335.0;28.0;-331.0;989.0;1024.0
-68;493.0;-366.0;183.0;-331.0;939.0;1008.0
-68;466.0;-247.0;185.0;-365.0;855.0;939.0
31;435.0;-328.0;28.0;-340.0;968.0;1026.0
44;485.0;-334.0;7.0;-292.0;932.0;1041.0
-62;209.0;-150.0;216.0;-229.0;913.0;1040.0
31;417.0;-343.0;23.0;-298.0;979.0;1021.0
14;301.0;-523.0;192.0;-253.0;795.0;1064.0
31;427.0;-331.0;23.0;-302.0;981.0;1021.0
-21;452.0;-326.0;-12.0;-245.0;923.0;1050.0
-17;357.0;-332.0;6.0;-267.0;940.0;999.0
51;429.0;-254.0;134.0;-379.0;944.0;1133.0
31;394.0;-315.0;22.0;-282.0;933.0;979.0
-11;349.0;-375.0;9.0;-323.0;996.0;1033.0
-29;344.0;-153.0;108.0;-252.0;929.0;886.0
-20;435.0;-345.0;197.0;-183.0;903.0;975.0
-23;634.0;-339.0;62.0;41.0;1091.0;1408.0
14;365.0;-262.0;297.0;-321.0;886.0;971.0
26;364.0;-305.0;306.0;-371.0;908.0;940.0
102;389.0;-243.0;417.0;-174.0;823.0;1108.0
-60;430.0;-349.0;242.0;-358.0;936.0;1071.0
-62;427.0;-240.0;243.0;-374.0;880.0;893.0
20;328.0;-397.0;317.0;-394.0;933.0;996.0
55;377.0;-430.0;84.0;-504.0;856.0;1078.0
-20;229.0;-435.0;474.0;-519.0;928.0;909.0
105;372.0;-263.0;56.0;-236.0;951.0;1024.0
-23;454.0;-307.0;639.0;-234.0;1113.0;1041.0
105;403.0;-316.0;-42.0;-299.0;1001.0;1028.0
35;402.0;-307.0;20.0;-284.0;1002.0;1069.0
39;380.0;-298.0;18.0;-265.0;964.0;1035.0
40;403.0;-274.0;-13.0;-243.0;943.0;994.0
92;378.0;-195.0;91.0;-58.0;919.0;1062.0
105;383.0;-258.0;56.0;-232.0;957.0;1006.0
62;433.0;-314.0;23.0;-238.0;917.0;962.0
103;454.0;-281.0;-19.0;-222.0;918.0;960.0
106;283.0;-535.0;502.0;-745.0;964.0;1025.0
-54;306.0;-418.0;295.0;-200.0;735.0;756.0
15;299.0;-580.0;315.0;-211.0;796.0;1011.0
-31;421.0;-160.0;346.0;-260.0;890.0;979.0
-66;571.0;-197.0;423.0;30.0;918.0;1243.0
-31;445.0;-215.0;357.0;-272.0;911.0;978.0
-30;508.0;-264.0;368.0;-264.0;920.0;976.0
-108;715.0;-309.0;653.0;333.0;687.0;594.0
-30;530.0;-291.0;398.0;-257.0;881.0;979.0
-139;619.0;-498.0;716.0;-263.0;898.0;795.0
-44;432.0;-414.0;486.0;-334.0;885.0;961.0
-100;609.0;-197.0;699.0;-144.0;954.0;1108.0
-92;269.0;-700.0;771.0;-323.0;919.0;1037.0
154;450.0;-399.0;691.0;-261.0;1064.0;1149.0
-30;469.0;-538.0;432.0;-295.0;906.0;948.0
-137;502.0;-359.0;726.0;-351.0;1116.0;1202.0
-30;492.0;-485.0;410.0;-242.0;925.0;967.0
-30;493.0;-389.0;387.0;-205.0;886.0;1002.0
-30;554.0;-352.0;364.0;-201.0;942.0;998.0
-30;497.0;-342.0;360.0;-196.0;950.0;999.0
-40;373.0;-214.0;479.0;-338.0;836.0;896.0
-121;420.0;-355.0;745.0;-401.0;774.0;919.0
147;498.0;-162.0;634.0;-123.0;914.0;1492.0
-52;570.0;-397.0;504.0;-366.0;812.0;1198.0
-30;536.0;-366.0;352.0;-348.0;950.0;1140.0
-44;536.0;-374.0;333.0;-380.0;1111.0;1153.0
-16;241.0;-315.0;373.0;-357.0;886.0;913.0
-2;168.0;-297.0;472.0;-682.0;942.0;929.0
-103;208.0;-240.0;749.0;-317.0;1116.0;1129.0
-99;431.0;-444.0;744.0;-377.0;1010.0;1036.0
97;361.0;-131.0;737.0;-356.0;793.0;833.0
-125;308.0;-360.0;274.0;-466.0;1087.0;906.0
-89;389.0;-355.0;235.0;-456.0;956.0;904.0
-66;328.0;-327.0;212.0;-479.0;971.0;859.0
-19;278.0;-446.0;375.0;-297.0;666.0;987.0
44;383.0;-471.0;293.0;-351.0;796.0;1073.0
-24;414.0;-419.0;177.0;-439.0;954.0;884.0
113;321.0;-462.0;354.0;-385.0;872.0;1039.0
101;374.0;-264.0;179.0;-384.0;1068.0;920.0
101;426.0;-260.0;265.0;-429.0;981.0;1125.0
137;285.0;-390.0;396.0;-342.0;970.0;971.0
145;367.0;-490.0;365.0;-405.0;1004.0;1064.0
166;368.0;-253.0;669.0;-130.0;1308.0;1351.0
-24;387.0;-414.0;176.0;-401.0;920.0;862.0
-24;454.0;-437.0;175.0;-418.0;942.0;873.0
-24;424.0;-397.0;173.0;-418.0;928.0;857.0
