InertialMeasurementUnit L-SHOE EuX;Accelerometer LWR accZ;InertialMeasurementUnit LLA accY;InertialMeasurementUnit BACK Quaternion1;Accelerometer LWR accX;Accelerometer LUA_ accY;Accelerometer LH accY
105;376.0;-228.0;63.0;-244.0;959.0;1010.0
90;512.0;-669.0;-73.0;-463.0;986.0;755.0
-60;389.0;-58.0;275.0;-325.0;697.0;704.0
-7;404.0;-300.0;227.0;-267.0;688.0;902.0
-73;762.0;-833.0;549.0;-439.0;707.0;291.0
-59;407.0;-408.0;336.0;-230.0;936.0;1074.0
-41;366.0;-257.0;191.0;-258.0;928.0;1188.0
-63;308.0;-169.0;216.0;-289.0;848.0;931.0
17;9.0;107.0;14.0;-225.0;1022.0;1017.0
17;3.0;112.0;23.0;-164.0;1001.0;1007.0
150;459.0;-578.0;68.0;-379.0;1196.0;1180.0
-68;493.0;-366.0;183.0;-331.0;939.0;1008.0
-68;466.0;-247.0;185.0;-365.0;855.0;939.0
-23;328.0;-201.0;113.0;-328.0;703.0;749.0
-69;485.0;-220.0;181.0;-349.0;953.0;1179.0
-71;268.0;-268.0;188.0;-331.0;962.0;1010.0
99;356.0;-377.0;70.0;-432.0;956.0;1321.0
4;294.0;-443.0;194.0;-304.0;821.0;1082.0
103;329.0;-96.0;-42.0;-236.0;741.0;1505.0
25;273.0;-353.0;144.0;-171.0;690.0;1044.0
14;301.0;-523.0;192.0;-253.0;795.0;1064.0
51;429.0;-254.0;134.0;-379.0;944.0;1133.0
-71;348.0;-192.0;158.0;-184.0;842.0;914.0
-73;416.0;-134.0;189.0;-222.0;892.0;1143.0
-53;532.0;-399.0;300.0;-377.0;1149.0;1256.0
-32;293.0;-39.0;320.0;-569.0;906.0;725.0
-46;423.0;-80.0;270.0;-313.0;771.0;815.0
-102;317.0;-655.0;671.0;-99.0;-292.0;445.0
-39;484.0;-220.0;261.0;-254.0;1257.0;1408.0
75;424.0;-266.0;384.0;-306.0;772.0;1015.0
-60;430.0;-349.0;242.0;-358.0;936.0;1071.0
-62;427.0;-240.0;243.0;-374.0;880.0;893.0
104;382.0;-296.0;-99.0;-249.0;947.0;1033.0
55;377.0;-430.0;84.0;-504.0;856.0;1078.0
88;388.0;-276.0;-30.0;-267.0;963.0;1063.0
61;350.0;-286.0;-42.0;-187.0;958.0;1016.0
88;393.0;-295.0;-26.0;-212.0;954.0;1002.0
62;462.0;-351.0;24.0;-129.0;926.0;1076.0
88;382.0;-270.0;-29.0;-225.0;1000.0;1036.0
88;382.0;-269.0;7.0;-241.0;992.0;1072.0
84;319.0;-281.0;11.0;-307.0;990.0;1072.0
79;312.0;-324.0;12.0;-301.0;948.0;1026.0
76;331.0;-337.0;14.0;-310.0;989.0;1007.0
71;368.0;-322.0;19.0;-331.0;1003.0;971.0
46;502.0;-522.0;76.0;-293.0;836.0;961.0
116;1078.0;-890.0;-663.0;201.0;-387.0;-750.0
-58;427.0;-837.0;-804.0;-960.0;85.0;-287.0
-66;347.0;-159.0;364.0;-351.0;840.0;852.0
