InertialMeasurementUnit LLA Quaternion3;InertialMeasurementUnit LUA magneticZ;InertialMeasurementUnit LLA Quaternion1;InertialMeasurementUnit LLA magneticX;InertialMeasurementUnit RLA Quaternion2;InertialMeasurementUnit RLA Quaternion1;InertialMeasurementUnit LLA Quaternion4;InertialMeasurementUnit R-SHOE EuX;InertialMeasurementUnit LLA Quaternion2;InertialMeasurementUnit RUA Quaternion1
627.0;249.0;493.0;183.0;530.0;179.0;-511.0;96;322.0;-306.0
682.0;445.0;628.0;321.0;438.0;125.0;-340.0;158;158.0;-232.0
688.0;448.0;622.0;314.0;437.0;125.0;-341.0;158;156.0;-226.0
630.0;-70.0;771.0;952.0;494.0;244.0;-49.0;122;-76.0;-116.0
706.0;65.0;644.0;632.0;500.0;8.0;-251.0;145;-152.0;-220.0
-570.0;213.0;-401.0;119.0;69.0;-320.0;590.0;150;-406.0;288.0
689.0;452.0;620.0;311.0;437.0;125.0;-342.0;158;156.0;-226.0
663.0;-12.0;653.0;567.0;534.0;-97.0;-361.0;7;-61.0;-319.0
687.0;521.0;624.0;336.0;497.0;29.0;-352.0;74;121.0;-256.0
653.0;110.0;663.0;960.0;578.0;67.0;-327.0;71;165.0;-285.0
709.0;224.0;512.0;421.0;573.0;-59.0;-469.0;36;122.0;-403.0
682.0;443.0;629.0;321.0;439.0;126.0;-340.0;158;157.0;-232.0
644.0;392.0;703.0;380.0;271.0;210.0;-274.0;-171;128.0;-287.0
643.0;384.0;695.0;368.0;280.0;208.0;-291.0;-170;137.0;-290.0
688.0;453.0;619.0;305.0;432.0;130.0;-346.0;158;154.0;-229.0
685.0;451.0;620.0;309.0;427.0;146.0;-348.0;158;157.0;-231.0
670.0;489.0;594.0;326.0;488.0;-28.0;-402.0;74;191.0;-304.0
699.0;73.0;647.0;779.0;525.0;49.0;-285.0;122;-107.0;-266.0
699.0;67.0;615.0;694.0;533.0;36.0;-353.0;121;-96.0;-269.0
595.0;-197.0;-51.0;23.0;186.0;-161.0;-700.0;-160;392.0;-707.0
