InertialMeasurementUnit LLA Quaternion3;InertialMeasurementUnit LUA magneticZ;InertialMeasurementUnit LLA Quaternion1;InertialMeasurementUnit LLA magneticX;InertialMeasurementUnit RLA Quaternion2;InertialMeasurementUnit RLA Quaternion1;InertialMeasurementUnit LLA Quaternion4;InertialMeasurementUnit R-SHOE EuX;InertialMeasurementUnit LLA Quaternion2;InertialMeasurementUnit RUA Quaternion1
230.0;138.0;?;-227.0;-422.0;86.0;-673.0;74;-583.0;-448.0
222.0;99.0;421.0;-192.0;-403.0;76.0;?;74;-583.0;-469.0
211.0;66.0;447.0;-164.0;-394.0;68.0;-649.0;74;-578.0;-477.0
199.0;50.0;460.0;-149.0;-394.0;66.0;-640.0;74;-582.0;?
192.0;53.0;455.0;-148.0;-398.0;72.0;-633.0;?;-596.0;-470.0
193.0;66.0;441.0;?;-405.0;?;?;74;-611.0;-459.0
194.0;?;?;-151.0;-412.0;94.0;-629.0;?;-620.0;-445.0
192.0;113.0;414.0;-166.0;-420.0;110.0;-632.0;74;-627.0;?
196.0;154.0;396.0;-195.0;-430.0;127.0;-634.0;74;-635.0;-402.0
?;587.0;-357.0;-678.0;-218.0;700.0;-688.0;74;-246.0;?
581.0;602.0;-353.0;-677.0;?;702.0;-691.0;74;-246.0;251.0
580.0;603.0;-345.0;?;-215.0;705.0;-696.0;?;-246.0;251.0
573.0;?;-333.0;-682.0;-220.0;710.0;-708.0;74;-245.0;247.0
561.0;595.0;-315.0;-690.0;-228.0;715.0;?;74;-244.0;238.0
?;596.0;-291.0;-693.0;-238.0;717.0;-747.0;74;-245.0;222.0
?;609.0;-260.0;?;?;711.0;-770.0;74;-252.0;195.0
503.0;619.0;-220.0;-702.0;-268.0;696.0;-792.0;74;-268.0;161.0
475.0;628.0;-170.0;-708.0;-288.0;674.0;-812.0;74;?;117.0
445.0;633.0;-112.0;-707.0;-307.0;641.0;-828.0;74;-322.0;67.0
421.0;633.0;-53.0;-696.0;-327.0;600.0;-833.0;74;-355.0;?
404.0;624.0;?;-672.0;-342.0;554.0;-831.0;74;-382.0;-41.0
?;601.0;51.0;-645.0;-354.0;503.0;-828.0;?;-408.0;-96.0
349.0;?;?;-617.0;-365.0;451.0;-826.0;74;-430.0;-148.0
314.0;512.0;164.0;?;-376.0;400.0;-820.0;74;-449.0;-199.0
283.0;453.0;219.0;-539.0;-387.0;349.0;-810.0;74;-465.0;-246.0
254.0;386.0;273.0;-488.0;-401.0;296.0;-793.0;74;-482.0;-288.0
234.0;323.0;318.0;-435.0;-415.0;243.0;-769.0;74;-502.0;-329.0
222.0;268.0;358.0;-391.0;-427.0;193.0;-742.0;74;-521.0;-370.0
208.0;211.0;395.0;-339.0;-433.0;153.0;-715.0;74;-539.0;-410.0
190.0;153.0;430.0;-293.0;-433.0;?;-685.0;74;-557.0;-445.0
173.0;95.0;?;-238.0;-426.0;105.0;-655.0;74;-573.0;-472.0
?;48.0;479.0;-196.0;-416.0;93.0;-631.0;74;-583.0;-492.0
187.0;13.0;495.0;-165.0;-411.0;88.0;-613.0;74;-586.0;-500.0
188.0;-4.0;507.0;-138.0;-411.0;88.0;-603.0;?;-587.0;-496.0
189.0;-2.0;507.0;-128.0;-416.0;92.0;-598.0;74;-592.0;-486.0
