InertialMeasurementUnit L-SHOE EuX;Accelerometer LWR accZ;InertialMeasurementUnit LLA accY;InertialMeasurementUnit BACK Quaternion1;Accelerometer LWR accX;Accelerometer LUA_ accY;Accelerometer LH accY
116;554.0;-628.0;-683.0;-219.0;-736.0;-1078.0
116;388.0;-732.0;-672.0;-271.0;-743.0;-1076.0
116;330.0;-710.0;-675.0;-314.0;?;-1038.0
116;343.0;-744.0;-672.0;-272.0;-803.0;-913.0
116;323.0;-641.0;-670.0;-211.0;-1004.0;-772.0
116;?;-710.0;-668.0;-197.0;-1025.0;-1049.0
116;370.0;-709.0;-665.0;-167.0;-804.0;-1313.0
116;419.0;-620.0;?;-318.0;-739.0;-1257.0
116;?;-547.0;-668.0;-605.0;-633.0;-1186.0
116;841.0;-632.0;-658.0;165.0;-151.0;-658.0
116;1051.0;-664.0;-657.0;277.0;-300.0;-659.0
116;1285.0;-773.0;-657.0;306.0;-325.0;-628.0
116;?;-828.0;-657.0;406.0;-461.0;-693.0
116;?;?;-657.0;?;-443.0;-686.0
116;1098.0;-999.0;-656.0;338.0;?;-801.0
116;1063.0;-1026.0;-656.0;174.0;-464.0;-810.0
116;987.0;-1001.0;-657.0;-112.0;-532.0;-877.0
116;897.0;-999.0;-657.0;-232.0;-489.0;-936.0
116;706.0;-977.0;?;-292.0;-512.0;-867.0
116;688.0;-979.0;-657.0;?;-514.0;?
116;620.0;-1008.0;-658.0;-195.0;-465.0;-801.0
116;635.0;-1036.0;-656.0;-214.0;-441.0;-753.0
116;?;-989.0;-656.0;-229.0;-478.0;-524.0
116;?;-895.0;-657.0;-331.0;-558.0;-695.0
?;?;-811.0;-658.0;-345.0;-811.0;-689.0
116;356.0;-773.0;-661.0;-378.0;?;-719.0
?;184.0;-639.0;-662.0;-298.0;-1273.0;-581.0
116;-196.0;-677.0;-664.0;-387.0;-1227.0;?
116;14.0;-696.0;-666.0;-299.0;-957.0;-1387.0
116;319.0;-617.0;-672.0;-269.0;-824.0;-1410.0
116;671.0;-387.0;?;-287.0;-679.0;-1391.0
116;783.0;-432.0;-675.0;-269.0;-611.0;-1329.0
?;796.0;-753.0;-674.0;-133.0;?;-1044.0
116;681.0;-870.0;?;?;-673.0;-921.0
116;517.0;-968.0;-671.0;-138.0;-771.0;-855.0
116;335.0;-982.0;-670.0;-132.0;-812.0;-891.0
116;317.0;-859.0;-669.0;-159.0;-861.0;-867.0
?;339.0;-802.0;-671.0;-253.0;-733.0;-965.0
116;251.0;-663.0;-675.0;?;-689.0;-905.0
?;207.0;-605.0;-679.0;?;-704.0;-870.0
116;233.0;?;-682.0;-715.0;?;-975.0
116;711.0;-723.0;-665.0;139.0;-330.0;-932.0
116;802.0;-699.0;-664.0;173.0;-278.0;-779.0
116;999.0;-720.0;?;199.0;-330.0;-640.0
116;1117.0;-785.0;-664.0;274.0;-379.0;-630.0
116;1066.0;?;-664.0;255.0;-371.0;?
?;1127.0;-907.0;-664.0;347.0;-384.0;-791.0
116;1078.0;-890.0;-663.0;201.0;-387.0;-750.0
116;1026.0;?;-661.0;164.0;-413.0;-764.0
116;1065.0;?;-659.0;63.0;-398.0;-813.0
116;1062.0;-1008.0;-658.0;-62.0;-379.0;-902.0
?;1019.0;-1027.0;-658.0;-202.0;-409.0;-814.0
116;931.0;-1018.0;-658.0;-328.0;-429.0;-797.0
116;811.0;-1069.0;-660.0;-364.0;-409.0;-738.0
?;677.0;-1145.0;-662.0;-428.0;-476.0;-624.0
116;492.0;-1137.0;-663.0;-529.0;-568.0;-564.0
116;400.0;-1045.0;-664.0;-491.0;-767.0;-674.0
116;306.0;-961.0;?;-484.0;-1093.0;-709.0
?;193.0;-867.0;-671.0;?;-1112.0;-597.0
116;-68.0;-719.0;-676.0;-481.0;-1121.0;-987.0
116;111.0;-715.0;?;-401.0;-957.0;-1475.0
116;334.0;-636.0;-684.0;-437.0;-856.0;-1290.0
116;518.0;-486.0;?;-439.0;-737.0;-1406.0
116;?;-501.0;?;?;-672.0;-1131.0
116;548.0;-890.0;-686.0;?;-682.0;-1029.0
116;?;-930.0;-683.0;-122.0;-756.0;-973.0
116;459.0;-944.0;-682.0;?;-870.0;-836.0
116;332.0;?;-680.0;-128.0;-978.0;-892.0
116;342.0;?;-679.0;-207.0;?;-1034.0
116;321.0;-730.0;-677.0;-303.0;-934.0;-1104.0
116;305.0;-590.0;-678.0;-512.0;-828.0;-1174.0
116;288.0;-544.0;-679.0;-744.0;-777.0;-1157.0
116;529.0;?;-671.0;176.0;-2.0;90.0
?;512.0;-647.0;?;146.0;-87.0;238.0
116;357.0;-482.0;-670.0;104.0;-224.0;619.0
?;261.0;-414.0;-667.0;68.0;246.0;784.0
116;?;-448.0;-665.0;2.0;?;1066.0
116;530.0;-406.0;-664.0;-429.0;962.0;1616.0
116;638.0;-341.0;-666.0;-830.0;1097.0;2014.0
116;666.0;-367.0;-667.0;-1230.0;1489.0;2099.0
116;808.0;-649.0;-668.0;-1353.0;1447.0;2011.0
116;1039.0;-976.0;-668.0;-1254.0;1384.0;2261.0
116;764.0;-1087.0;-670.0;?;1253.0;2193.0
116;?;-1188.0;?;-1236.0;1156.0;1612.0
116;895.0;?;-672.0;-1295.0;1115.0;?
116;867.0;-1287.0;-674.0;-1065.0;1043.0;?
116;889.0;-989.0;-677.0;-746.0;986.0;1144.0
116;794.0;-1028.0;-680.0;-646.0;929.0;1275.0
116;711.0;-1076.0;-683.0;-579.0;919.0;1246.0
116;680.0;-888.0;-686.0;-486.0;973.0;1135.0
?;629.0;-779.0;-689.0;-491.0;1081.0;1101.0
117;608.0;-701.0;-691.0;-530.0;?;1128.0
118;588.0;-612.0;-693.0;-483.0;1070.0;1191.0
118;592.0;-595.0;?;-474.0;?;1187.0
116;530.0;-659.0;-697.0;-379.0;?;1128.0
115;?;-610.0;-698.0;?;982.0;1114.0
114;441.0;-534.0;-699.0;-301.0;997.0;?
113;412.0;-441.0;-699.0;-276.0;967.0;1112.0
113;349.0;-340.0;-700.0;?;956.0;1143.0
111;285.0;-281.0;-700.0;-315.0;889.0;?
110;259.0;-249.0;-701.0;-302.0;875.0;1044.0
108;258.0;-250.0;-701.0;-304.0;892.0;?
108;222.0;-254.0;-701.0;-278.0;861.0;936.0
108;248.0;-240.0;-701.0;-262.0;868.0;942.0
107;304.0;-222.0;-700.0;-272.0;900.0;936.0
107;296.0;-211.0;?;?;872.0;940.0
107;309.0;-230.0;-699.0;-283.0;914.0;945.0
107;346.0;-248.0;-699.0;?;?;942.0
106;380.0;-241.0;?;-294.0;957.0;1017.0
