InertialMeasurementUnit L-SHOE EuX;Accelerometer LWR accZ;InertialMeasurementUnit LLA accY;InertialMeasurementUnit BACK Quaternion1;Accelerometer LWR accX;Accelerometer LUA_ accY;Accelerometer LH accY
104;396.0;-277.0;-16.0;-166.0;949.0;977.0
-24;389.0;-412.0;177.0;-409.0;968.0;880.0
-52;380.0;-197.0;318.0;-270.0;820.0;814.0
-59;350.0;-352.0;309.0;-223.0;704.0;933.0
65;749.0;-703.0;497.0;-342.0;777.0;283.0
-59;407.0;-408.0;336.0;-230.0;936.0;1074.0
-61;440.0;-216.0;217.0;-255.0;969.0;1152.0
-63;308.0;-169.0;216.0;-289.0;848.0;931.0
-64;246.0;-133.0;215.0;-245.0;973.0;1001.0
-62;209.0;-150.0;216.0;-229.0;913.0;1040.0
-65;529.0;-392.0;177.0;-333.0;1116.0;1167.0
-68;493.0;-366.0;183.0;-331.0;939.0;1008.0
-68;466.0;-247.0;185.0;-365.0;855.0;939.0
-68;350.0;-323.0;175.0;-331.0;751.0;832.0
-69;485.0;-220.0;181.0;-349.0;953.0;1179.0
-71;268.0;-268.0;188.0;-331.0;962.0;1010.0
-67;154.0;-263.0;197.0;-216.0;861.0;1047.0
4;294.0;-443.0;194.0;-304.0;821.0;1082.0
-63;310.0;-249.0;136.0;-402.0;773.0;810.0
-18;272.0;-452.0;186.0;-236.0;719.0;1001.0
14;301.0;-523.0;192.0;-253.0;795.0;1064.0
-71;339.0;-122.0;177.0;-337.0;792.0;863.0
-71;348.0;-192.0;158.0;-184.0;842.0;914.0
-73;416.0;-134.0;189.0;-222.0;892.0;1143.0
-71;487.0;-355.0;294.0;-365.0;1114.0;1186.0
-71;355.0;-151.0;287.0;-390.0;859.0;853.0
-71;447.0;-135.0;265.0;-319.0;833.0;893.0
5;274.0;-439.0;293.0;-230.0;705.0;936.0
-63;480.0;-311.0;241.0;-331.0;1095.0;1204.0
75;424.0;-266.0;384.0;-306.0;772.0;1015.0
-60;430.0;-349.0;242.0;-358.0;936.0;1071.0
-62;427.0;-240.0;243.0;-374.0;880.0;893.0
88;385.0;-266.0;-26.0;-234.0;939.0;991.0
88;382.0;-270.0;-29.0;-225.0;1000.0;1036.0
88;388.0;-276.0;-30.0;-267.0;963.0;1063.0
88;383.0;-303.0;-29.0;-225.0;933.0;1034.0
88;393.0;-295.0;-26.0;-212.0;954.0;1002.0
88;427.0;-296.0;-24.0;-206.0;954.0;1003.0
89;373.0;-308.0;5.0;-224.0;997.0;1035.0
88;382.0;-269.0;7.0;-241.0;992.0;1072.0
84;319.0;-281.0;11.0;-307.0;990.0;1072.0
79;312.0;-324.0;12.0;-301.0;948.0;1026.0
76;331.0;-337.0;14.0;-310.0;989.0;1007.0
71;368.0;-322.0;19.0;-331.0;1003.0;971.0
-62;497.0;-176.0;199.0;-113.0;902.0;1086.0
-9;237.0;-511.0;302.0;-263.0;741.0;982.0
15;299.0;-580.0;315.0;-211.0;796.0;1011.0
-66;347.0;-159.0;364.0;-351.0;840.0;852.0
-66;336.0;-296.0;372.0;-245.0;734.0;833.0
-66;486.0;-249.0;385.0;-190.0;894.0;1089.0
-62;435.0;-448.0;458.0;-409.0;1003.0;1135.0
-63;409.0;-150.0;432.0;-342.0;793.0;833.0
-59;389.0;-270.0;315.0;-199.0;619.0;750.0
-63;372.0;-351.0;356.0;-76.0;818.0;916.0
-21;228.0;-350.0;435.0;-233.0;744.0;974.0
77;487.0;-342.0;413.0;-470.0;1061.0;973.0
-66;572.0;-313.0;430.0;-265.0;971.0;1091.0
-65;580.0;-159.0;451.0;-339.0;937.0;941.0
60;417.0;-411.0;489.0;-307.0;1006.0;1057.0
-46;588.0;-420.0;508.0;-414.0;1012.0;1029.0
-56;460.0;-404.0;477.0;-317.0;1035.0;1102.0
67;398.0;-212.0;568.0;-203.0;986.0;1082.0
-55;485.0;-209.0;465.0;-403.0;831.0;905.0
67;450.0;-306.0;569.0;-268.0;1005.0;1071.0
68;355.0;-340.0;566.0;-362.0;926.0;1030.0
-56;432.0;-187.0;458.0;-338.0;844.0;918.0
-53;391.0;-306.0;465.0;-376.0;841.0;901.0
-53;358.0;-185.0;456.0;-335.0;812.0;865.0
-38;139.0;-163.0;494.0;-184.0;694.0;816.0
-56;456.0;-204.0;433.0;-228.0;695.0;761.0
-53;407.0;-257.0;411.0;-138.0;822.0;879.0
-53;426.0;-153.0;446.0;-300.0;861.0;895.0
28;306.0;-473.0;511.0;-254.0;800.0;1000.0
-53;550.0;-332.0;478.0;-381.0;1147.0;1195.0
-40;445.0;-449.0;496.0;-357.0;962.0;1025.0
-40;373.0;-214.0;479.0;-338.0;836.0;896.0
-40;397.0;-164.0;424.0;-249.0;781.0;847.0
-29;185.0;-331.0;299.0;-209.0;925.0;1045.0
25;297.0;-325.0;-1.0;-361.0;1009.0;901.0
21;350.0;-375.0;298.0;-336.0;735.0;1020.0
44;383.0;-471.0;293.0;-351.0;796.0;1073.0
55;377.0;-430.0;84.0;-504.0;856.0;1078.0
56;324.0;-366.0;107.0;-464.0;850.0;1121.0
101;374.0;-264.0;179.0;-384.0;1068.0;920.0
101;426.0;-260.0;265.0;-429.0;981.0;1125.0
99;276.0;-371.0;343.0;-303.0;964.0;979.0
99;309.0;-317.0;378.0;-145.0;1073.0;1005.0
98;403.0;-286.0;420.0;-306.0;1022.0;1097.0
98;491.0;-269.0;466.0;-353.0;957.0;1137.0
98;443.0;-269.0;488.0;-362.0;943.0;1107.0
98;329.0;-227.0;527.0;-344.0;905.0;992.0
120;373.0;-305.0;739.0;-274.0;748.0;773.0
87;463.0;-443.0;256.0;-367.0;939.0;954.0
-24;549.0;-337.0;151.0;-488.0;1022.0;947.0
-25;527.0;-378.0;202.0;-368.0;1106.0;1186.0
-26;470.0;-392.0;197.0;-331.0;1098.0;1182.0
-26;465.0;-281.0;186.0;-357.0;852.0;906.0
-68;412.0;-357.0;139.0;-131.0;667.0;778.0
37;344.0;-427.0;194.0;-331.0;767.0;977.0
56;342.0;-532.0;191.0;-273.0;806.0;960.0
82;478.0;-426.0;163.0;-386.0;967.0;957.0
-23;555.0;-387.0;150.0;-266.0;1027.0;1161.0
-22;505.0;-363.0;147.0;-310.0;928.0;991.0
-23;454.0;-286.0;143.0;-367.0;863.0;896.0
-23;428.0;-287.0;103.0;-230.0;754.0;943.0
133;356.0;-349.0;716.0;-216.0;871.0;975.0
-47;518.0;-596.0;66.0;-430.0;1121.0;1193.0
116;316.0;-360.0;586.0;-281.0;992.0;996.0
116;362.0;-394.0;579.0;-247.0;952.0;1014.0
116;374.0;-406.0;575.0;-242.0;989.0;1036.0
154;450.0;-399.0;691.0;-261.0;1064.0;1149.0
116;347.0;-446.0;575.0;-301.0;1019.0;981.0
116;507.0;-410.0;582.0;-366.0;982.0;1003.0
116;459.0;-385.0;585.0;-370.0;959.0;1013.0
116;489.0;-362.0;597.0;-301.0;916.0;1020.0
116;502.0;-322.0;601.0;-269.0;919.0;1009.0
-29;344.0;-153.0;108.0;-252.0;929.0;886.0
86;552.0;-439.0;145.0;-332.0;1121.0;1075.0
-30;531.0;-389.0;134.0;-459.0;1130.0;980.0
-37;487.0;-447.0;133.0;-366.0;1072.0;1168.0
-38;482.0;-397.0;126.0;-283.0;1058.0;1167.0
-38;483.0;-361.0;117.0;-339.0;869.0;933.0
-38;442.0;-210.0;108.0;-295.0;856.0;921.0
14;268.0;-457.0;257.0;-241.0;745.0;964.0
32;289.0;-510.0;270.0;-191.0;783.0;995.0
66;518.0;-505.0;276.0;-320.0;1026.0;1078.0
-54;427.0;-380.0;302.0;-353.0;990.0;972.0
-55;377.0;-194.0;303.0;-408.0;888.0;894.0
-54;458.0;-365.0;316.0;-153.0;844.0;1043.0
-52;500.0;-446.0;523.0;-248.0;878.0;998.0
-54;499.0;-421.0;525.0;-281.0;805.0;880.0
-53;329.0;-178.0;548.0;-314.0;833.0;862.0
-44;512.0;-404.0;506.0;-375.0;1057.0;1101.0
-44;432.0;-414.0;486.0;-334.0;885.0;961.0
-43;345.0;-323.0;418.0;-389.0;789.0;845.0
-43;358.0;-433.0;405.0;-352.0;782.0;840.0
-43;394.0;-333.0;393.0;-207.0;753.0;838.0
-108;600.0;-406.0;455.0;152.0;689.0;700.0
-49;414.0;-457.0;392.0;-410.0;975.0;1000.0
80;601.0;-715.0;357.0;-641.0;656.0;793.0
-50;441.0;-175.0;354.0;-307.0;754.0;913.0
-50;416.0;-107.0;324.0;-153.0;809.0;912.0
-53;312.0;-247.0;336.0;-244.0;938.0;1163.0
-19;278.0;-446.0;375.0;-297.0;666.0;987.0
28;423.0;-524.0;377.0;-332.0;803.0;1148.0
86;495.0;-412.0;357.0;-394.0;1043.0;1107.0
-44;536.0;-374.0;333.0;-380.0;1111.0;1153.0
-48;497.0;-392.0;334.0;-324.0;1060.0;1155.0
-46;379.0;-239.0;312.0;-298.0;819.0;914.0
-63;220.0;-216.0;250.0;-291.0;1081.0;1260.0
72;391.0;-564.0;336.0;-265.0;956.0;1145.0
-39;453.0;-381.0;320.0;-428.0;1133.0;1130.0
-38;405.0;-481.0;317.0;-366.0;923.0;986.0
-38;407.0;-406.0;247.0;-102.0;952.0;1126.0
43;352.0;-486.0;322.0;-352.0;829.0;1091.0
75;404.0;-517.0;320.0;-252.0;877.0;1100.0
-27;482.0;-431.0;288.0;-363.0;1116.0;1170.0
-27;436.0;-419.0;289.0;-369.0;973.0;1006.0
-27;442.0;-241.0;291.0;-420.0;877.0;877.0
-27;452.0;-444.0;251.0;-343.0;802.0;855.0
-27;408.0;-295.0;240.0;-221.0;760.0;903.0
-45;329.0;-479.0;46.0;-281.0;812.0;855.0
-16;512.0;-422.0;274.0;-450.0;1023.0;947.0
-15;542.0;-439.0;292.0;-314.0;1057.0;1171.0
-15;493.0;-463.0;297.0;-340.0;875.0;939.0
-14;389.0;-217.0;294.0;-359.0;783.0;845.0
-14;403.0;-390.0;291.0;-355.0;743.0;831.0
-14;448.0;-329.0;272.0;-111.0;858.0;1035.0
-45;441.0;-302.0;100.0;-361.0;980.0;1031.0
-45;549.0;-403.0;106.0;-195.0;989.0;1045.0
-21;601.0;-363.0;361.0;-412.0;969.0;1110.0
-21;462.0;-335.0;362.0;-373.0;1013.0;1059.0
-22;423.0;-357.0;362.0;-358.0;901.0;928.0
-22;463.0;-287.0;362.0;-345.0;867.0;910.0
-23;505.0;-130.0;357.0;-338.0;908.0;946.0
-23;406.0;-87.0;349.0;-312.0;904.0;986.0
-23;381.0;-186.0;346.0;-248.0;842.0;929.0
-27;326.0;-206.0;384.0;-236.0;969.0;987.0
-30;226.0;-238.0;422.0;-303.0;1042.0;1074.0
-29;200.0;-208.0;432.0;-247.0;1030.0;1087.0
-101;747.0;-708.0;749.0;-807.0;812.0;959.0
-26;345.0;-286.0;472.0;-336.0;807.0;880.0
-26;373.0;-380.0;459.0;-292.0;791.0;867.0
-26;324.0;-332.0;420.0;-233.0;747.0;1004.0
119;255.0;-588.0;68.0;-279.0;1068.0;1172.0
1;201.0;-346.0;130.0;-321.0;914.0;963.0
-23;153.0;-222.0;131.0;-344.0;848.0;921.0
-5;545.0;-495.0;319.0;-412.0;1052.0;1141.0
-6;602.0;-323.0;300.0;-427.0;867.0;974.0
-6;515.0;-338.0;285.0;-419.0;934.0;1064.0
-6;469.0;-281.0;257.0;-307.0;849.0;1071.0
-6;491.0;-274.0;233.0;-103.0;739.0;979.0
-7;404.0;-300.0;227.0;-267.0;688.0;902.0
112;316.0;-252.0;584.0;-223.0;933.0;997.0
112;327.0;-273.0;572.0;-221.0;947.0;996.0
112;340.0;-257.0;561.0;-201.0;958.0;1024.0
112;357.0;-255.0;551.0;-207.0;974.0;1026.0
112;338.0;-258.0;542.0;-217.0;975.0;1056.0
112;387.0;-264.0;535.0;-200.0;1007.0;1062.0
112;426.0;-260.0;521.0;-209.0;981.0;1087.0
112;411.0;-318.0;505.0;-166.0;947.0;1046.0
112;443.0;-351.0;500.0;-175.0;918.0;1013.0
112;425.0;-364.0;499.0;-165.0;920.0;1024.0
112;449.0;-363.0;496.0;-168.0;934.0;1024.0
112;481.0;-370.0;494.0;-174.0;957.0;1034.0
112;492.0;-408.0;486.0;-229.0;983.0;1088.0
110;487.0;-414.0;481.0;-250.0;943.0;1070.0
109;470.0;-403.0;466.0;-337.0;921.0;951.0
109;472.0;-324.0;460.0;-348.0;922.0;996.0
109;513.0;-542.0;451.0;-308.0;898.0;991.0
-5;390.0;-324.0;227.0;-188.0;976.0;1266.0
109;557.0;-410.0;439.0;-300.0;903.0;968.0
-9;268.0;-312.0;229.0;-282.0;925.0;979.0
-7;263.0;-262.0;231.0;-207.0;907.0;956.0
109;461.0;-754.0;237.0;-367.0;1006.0;1159.0
4;570.0;-375.0;219.0;-396.0;1025.0;1069.0
3;463.0;-396.0;203.0;-283.0;930.0;1024.0
2;436.0;-287.0;199.0;-322.0;853.0;969.0
3;368.0;-348.0;156.0;-362.0;814.0;798.0
3;332.0;-449.0;148.0;-260.0;802.0;881.0
3;339.0;-396.0;140.0;-184.0;987.0;1000.0
-27;485.0;-99.0;332.0;-292.0;1046.0;1498.0
-42;423.0;-119.0;189.0;-225.0;843.0;1073.0
-41;366.0;-257.0;191.0;-258.0;928.0;1188.0
-1;533.0;-387.0;110.0;-277.0;978.0;1062.0
0;352.0;-431.0;54.0;-222.0;823.0;858.0
-42;427.0;-367.0;194.0;-325.0;934.0;1018.0
64;174.0;-403.0;-43.0;-223.0;1085.0;1243.0
-5;258.0;-342.0;63.0;-154.0;904.0;1016.0
2;527.0;-388.0;31.0;-340.0;916.0;952.0
64;670.0;-360.0;49.0;-397.0;771.0;877.0
2;432.0;-270.0;35.0;-179.0;771.0;907.0
-2;276.0;-297.0;110.0;-406.0;1004.0;1074.0
-1;248.0;-265.0;138.0;-389.0;940.0;955.0
3;195.0;-320.0;153.0;-447.0;822.0;898.0
6;238.0;-337.0;170.0;-429.0;832.0;902.0
12;256.0;-312.0;188.0;-364.0;817.0;883.0
20;275.0;-350.0;204.0;-340.0;783.0;916.0
36;326.0;-322.0;219.0;-362.0;803.0;970.0
63;345.0;-333.0;234.0;-400.0;849.0;1029.0
86;346.0;-510.0;251.0;-397.0;882.0;985.0
70;435.0;-670.0;356.0;-601.0;800.0;998.0
-35;487.0;-345.0;313.0;-250.0;1027.0;1036.0
-34;483.0;-296.0;322.0;-242.0;865.0;914.0
-35;444.0;-234.0;329.0;-271.0;806.0;843.0
-35;453.0;-361.0;338.0;-330.0;824.0;886.0
-108;715.0;-309.0;653.0;333.0;687.0;594.0
-35;372.0;-192.0;454.0;-145.0;782.0;964.0
-39;245.0;-300.0;519.0;-259.0;1023.0;991.0
-6;270.0;-324.0;589.0;-359.0;822.0;1001.0
