InertialMeasurementUnit LLA Quaternion3;InertialMeasurementUnit LUA magneticZ;InertialMeasurementUnit LLA Quaternion1;InertialMeasurementUnit LLA magneticX;InertialMeasurementUnit RLA Quaternion2;InertialMeasurementUnit RLA Quaternion1;InertialMeasurementUnit LLA Quaternion4;InertialMeasurementUnit R-SHOE EuX;InertialMeasurementUnit LLA Quaternion2;InertialMeasurementUnit RUA Quaternion1
690.0;520.0;623.0;335.0;498.0;35.0;-350.0;74;118.0;-253.0
671.0;41.0;724.0;860.0;510.0;112.0;-40.0;145;-152.0;-116.0
663.0;74.0;737.0;1279.0;502.0;385.0;-134.0;60;1.0;-10.0
686.0;60.0;703.0;769.0;506.0;71.0;-129.0;144;-136.0;-169.0
706.0;65.0;644.0;632.0;500.0;8.0;-251.0;145;-152.0;-220.0
697.0;52.0;612.0;502.0;503.0;-35.0;-343.0;147;-149.0;-270.0
653.0;110.0;663.0;960.0;578.0;67.0;-327.0;71;165.0;-285.0
663.0;-12.0;653.0;567.0;534.0;-97.0;-361.0;7;-61.0;-319.0
680.0;294.0;642.0;879.0;564.0;157.0;-354.0;43;-9.0;-223.0
727.0;282.0;531.0;636.0;514.0;15.0;-431.0;85;67.0;-332.0
742.0;275.0;493.0;523.0;518.0;1.0;-452.0;84;52.0;-340.0
584.0;649.0;-147.0;-724.0;491.0;181.0;-733.0;75;-317.0;-224.0
660.0;-17.0;667.0;592.0;545.0;-110.0;-342.0;20;-45.0;-323.0
761.0;264.0;432.0;269.0;550.0;-42.0;-482.0;86;42.0;-381.0
709.0;224.0;512.0;421.0;573.0;-59.0;-469.0;36;122.0;-403.0
503.0;197.0;696.0;392.0;470.0;-220.0;-421.0;69;292.0;-504.0
659.0;462.0;732.0;311.0;491.0;171.0;-172.0;21;18.0;-175.0
633.0;163.0;703.0;56.0;491.0;50.0;-290.0;84;146.0;-331.0
-290.0;-399.0;-64.0;303.0;-268.0;570.0;705.0;150;-643.0;718.0
-63.0;-536.0;166.0;762.0;-125.0;786.0;700.0;69;-691.0;717.0
658.0;5.0;739.0;180.0;507.0;159.0;-142.0;81;30.0;-251.0
659.0;25.0;718.0;321.0;525.0;155.0;-211.0;81;76.0;-294.0
659.0;43.0;706.0;392.0;527.0;144.0;-246.0;81;85.0;-312.0
686.0;67.0;665.0;603.0;531.0;94.0;-294.0;79;28.0;-346.0
680.0;42.0;643.0;866.0;574.0;70.0;-352.0;7;-16.0;-344.0
699.0;456.0;708.0;353.0;484.0;329.0;-86.0;21;-50.0;-69.0
546.0;132.0;521.0;100.0;242.0;-189.0;-554.0;110;350.0;-496.0
469.0;67.0;574.0;200.0;191.0;-110.0;-550.0;89;385.0;-449.0
112.0;-660.0;-465.0;893.0;-223.0;-657.0;-423.0;-58;769.0;-749.0
693.0;428.0;715.0;550.0;534.0;33.0;-87.0;74;-15.0;-322.0
-367.0;-513.0;-531.0;829.0;-394.0;-788.0;-501.0;-26;577.0;-570.0
676.0;480.0;700.0;745.0;529.0;229.0;-226.0;49;46.0;-173.0
691.0;173.0;596.0;506.0;571.0;115.0;-403.0;33;66.0;-264.0
666.0;74.0;643.0;655.0;572.0;130.0;-361.0;-66;112.0;-243.0
24.0;-622.0;-228.0;601.0;4.0;-810.0;-704.0;-29;673.0;-764.0
657.0;-29.0;713.0;720.0;561.0;4.0;-245.0;114;-9.0;-255.0
631.0;-109.0;760.0;839.0;502.0;141.0;56.0;140;-145.0;-184.0
702.0;-37.0;645.0;809.0;511.0;7.0;-289.0;138;-94.0;-285.0
-671.0;-27.0;-729.0;990.0;-33.0;-338.0;137.0;68;5.0;16.0
662.0;10.0;664.0;1044.0;546.0;341.0;-322.0;-37;-130.0;-68.0
718.0;-2.0;550.0;624.0;540.0;-9.0;-411.0;136;-109.0;-312.0
659.0;-334.0;689.0;902.0;526.0;87.0;-300.0;36;2.0;-230.0
694.0;104.0;652.0;683.0;544.0;66.0;-298.0;52;-70.0;-207.0
711.0;519.0;634.0;107.0;551.0;263.0;-298.0;-12;-53.0;-121.0
688.0;565.0;678.0;272.0;505.0;336.0;-258.0;31;-24.0;-98.0
671.0;419.0;701.0;318.0;508.0;244.0;-241.0;32;-1.0;-205.0
687.0;469.0;700.0;359.0;516.0;252.0;-195.0;30;20.0;-84.0
642.0;383.0;730.0;348.0;532.0;258.0;-231.0;50;40.0;-179.0
642.0;379.0;711.0;311.0;538.0;247.0;-277.0;58;76.0;-188.0
645.0;380.0;700.0;299.0;536.0;247.0;-293.0;61;88.0;-195.0
698.0;154.0;655.0;648.0;549.0;78.0;-280.0;-130;-64.0;-199.0
646.0;375.0;688.0;286.0;524.0;252.0;-312.0;64;109.0;-208.0
696.0;66.0;615.0;690.0;536.0;36.0;-362.0;122;-84.0;-273.0
667.0;392.0;643.0;294.0;474.0;114.0;-368.0;-179;81.0;-278.0
669.0;391.0;638.0;283.0;473.0;110.0;-371.0;-178;83.0;-277.0
670.0;394.0;637.0;274.0;465.0;101.0;-372.0;-178;87.0;-279.0
633.0;378.0;680.0;311.0;499.0;270.0;-337.0;66;153.0;-228.0
632.0;378.0;682.0;320.0;490.0;274.0;-332.0;66;159.0;-238.0
635.0;374.0;683.0;318.0;481.0;276.0;-324.0;69;158.0;-248.0
655.0;346.0;649.0;252.0;439.0;298.0;-345.0;83;178.0;-287.0
529.0;111.0;200.0;-33.0;191.0;501.0;-712.0;91;416.0;-353.0
680.0;280.0;409.0;-22.0;491.0;244.0;-540.0;90;282.0;-347.0
634.0;514.0;439.0;-162.0;391.0;132.0;-630.0;119;92.0;-535.0
665.0;428.0;627.0;171.0;527.0;101.0;-385.0;91;129.0;-347.0
653.0;382.0;618.0;226.0;467.0;127.0;-399.0;91;183.0;-352.0
662.0;418.0;640.0;185.0;534.0;91.0;-368.0;91;134.0;-337.0
677.0;482.0;658.0;201.0;525.0;271.0;-313.0;93;101.0;-363.0
715.0;534.0;548.0;-14.0;517.0;179.0;-433.0;27;-19.0;-179.0
655.0;427.0;693.0;258.0;519.0;224.0;-299.0;62;43.0;-262.0
654.0;425.0;695.0;262.0;488.0;287.0;-298.0;62;38.0;-243.0
675.0;507.0;678.0;223.0;560.0;302.0;-287.0;158;47.0;-224.0
683.0;511.0;679.0;230.0;522.0;306.0;-269.0;154;19.0;-211.0
679.0;503.0;698.0;293.0;478.0;446.0;-228.0;159;-5.0;-147.0
636.0;413.0;719.0;305.0;424.0;348.0;-277.0;62;24.0;-172.0
637.0;414.0;715.0;292.0;420.0;331.0;-287.0;62;24.0;-167.0
671.0;471.0;701.0;255.0;376.0;682.0;-241.0;62;4.0;-126.0
678.0;439.0;633.0;183.0;179.0;378.0;-364.0;62;80.0;-374.0
676.0;489.0;665.0;196.0;266.0;193.0;-313.0;162;45.0;-378.0
626.0;385.0;642.0;261.0;186.0;285.0;-404.0;85;184.0;-382.0
492.0;105.0;241.0;19.0;-156.0;790.0;-711.0;91;440.0;-108.0
665.0;108.0;672.0;675.0;513.0;51.0;-311.0;136;99.0;-293.0
712.0;95.0;560.0;367.0;516.0;-33.0;-422.0;134;49.0;-363.0
703.0;32.0;630.0;699.0;547.0;56.0;-303.0;129;-131.0;-252.0
697.0;39.0;619.0;622.0;552.0;39.0;-343.0;127;-117.0;-260.0
685.0;15.0;653.0;671.0;569.0;23.0;-322.0;41;-34.0;-264.0
679.0;-63.0;667.0;934.0;582.0;-18.0;-301.0;59;63.0;-312.0
675.0;-6.0;711.0;983.0;564.0;236.0;-196.0;42;32.0;-195.0
630.0;-70.0;771.0;952.0;494.0;244.0;-49.0;122;-76.0;-116.0
640.0;-167.0;729.0;1143.0;474.0;469.0;151.0;81;-190.0;87.0
261.0;-639.0;409.0;1087.0;95.0;858.0;611.0;72;-626.0;695.0
678.0;494.0;692.0;471.0;519.0;123.0;-240.0;75;60.0;-282.0
688.0;499.0;678.0;466.0;507.0;124.0;-250.0;74;68.0;-288.0
699.0;519.0;673.0;448.0;510.0;106.0;-239.0;75;33.0;-278.0
702.0;504.0;645.0;409.0;503.0;118.0;-292.0;74;77.0;-298.0
703.0;506.0;639.0;397.0;504.0;113.0;-301.0;74;78.0;-301.0
712.0;512.0;621.0;345.0;512.0;108.0;-320.0;74;70.0;-301.0
804.0;372.0;192.0;-388.0;208.0;504.0;-544.0;88;146.0;-312.0
258.0;-238.0;497.0;396.0;664.0;128.0;-548.0;-106;622.0;-350.0
595.0;246.0;531.0;266.0;489.0;107.0;-503.0;101;334.0;-363.0
692.0;263.0;446.0;-73.0;407.0;8.0;-515.0;88;238.0;-563.0
612.0;376.0;474.0;-204.0;434.0;-181.0;-629.0;118;76.0;-614.0
686.0;507.0;674.0;416.0;519.0;133.0;-274.0;74;19.0;-288.0
667.0;509.0;682.0;433.0;505.0;144.0;-293.0;74;59.0;-267.0
692.0;516.0;634.0;341.0;494.0;120.0;-340.0;74;65.0;-272.0
715.0;532.0;569.0;160.0;505.0;119.0;-403.0;74;49.0;-279.0
649.0;505.0;490.0;-119.0;395.0;-84.0;-582.0;118;21.0;-649.0
667.0;395.0;640.0;278.0;460.0;102.0;-370.0;-178;91.0;-278.0
664.0;395.0;644.0;285.0;456.0;102.0;-367.0;-178;97.0;-277.0
641.0;410.0;678.0;362.0;400.0;167.0;-339.0;-178;117.0;-322.0
651.0;425.0;666.0;375.0;222.0;307.0;-342.0;-178;126.0;-259.0
626.0;317.0;527.0;273.0;376.0;-74.0;-490.0;158;300.0;-427.0
656.0;498.0;689.0;445.0;515.0;105.0;-291.0;74;99.0;-289.0
670.0;483.0;672.0;451.0;516.0;107.0;-297.0;75;100.0;-296.0
676.0;483.0;665.0;444.0;515.0;108.0;-302.0;75;101.0;-298.0
690.0;482.0;644.0;418.0;513.0;111.0;-314.0;75;105.0;-301.0
693.0;484.0;638.0;405.0;514.0;110.0;-319.0;75;108.0;-302.0
696.0;487.0;627.0;389.0;519.0;110.0;-330.0;75;116.0;-302.0
704.0;486.0;614.0;357.0;525.0;104.0;-336.0;75;118.0;-305.0
694.0;483.0;628.0;366.0;525.0;102.0;-331.0;75;121.0;-309.0
674.0;473.0;658.0;415.0;527.0;114.0;-316.0;75;116.0;-303.0
671.0;470.0;661.0;422.0;527.0;116.0;-315.0;75;114.0;-301.0
669.0;466.0;664.0;429.0;528.0;123.0;-315.0;75;111.0;-296.0
666.0;467.0;666.0;432.0;527.0;132.0;-318.0;75;108.0;-290.0
665.0;466.0;666.0;435.0;525.0;140.0;-321.0;75;104.0;-287.0
671.0;499.0;658.0;429.0;512.0;138.0;-324.0;75;103.0;-276.0
-529.0;88.0;-252.0;94.0;-332.0;405.0;652.0;94;-481.0;606.0
677.0;438.0;634.0;308.0;228.0;297.0;-359.0;-178;104.0;-228.0
680.0;437.0;631.0;296.0;232.0;287.0;-360.0;-178;101.0;-239.0
699.0;67.0;615.0;694.0;533.0;36.0;-353.0;121;-96.0;-269.0
701.0;70.0;631.0;751.0;527.0;42.0;-313.0;120;-107.0;-266.0
699.0;73.0;647.0;779.0;525.0;49.0;-285.0;122;-107.0;-266.0
687.0;79.0;688.0;862.0;526.0;70.0;-213.0;122;-96.0;-266.0
657.0;395.0;582.0;315.0;402.0;7.0;-416.0;158;238.0;-389.0
658.0;399.0;588.0;319.0;408.0;17.0;-409.0;158;232.0;-378.0
685.0;451.0;620.0;309.0;427.0;146.0;-348.0;158;157.0;-231.0
688.0;453.0;619.0;305.0;432.0;130.0;-346.0;158;154.0;-229.0
733.0;322.0;418.0;-124.0;354.0;94.0;-495.0;88;207.0;-526.0
643.0;384.0;695.0;368.0;280.0;208.0;-291.0;-170;137.0;-290.0
644.0;392.0;703.0;380.0;271.0;210.0;-274.0;-171;128.0;-287.0
690.0;451.0;661.0;316.0;221.0;204.0;-286.0;-171;73.0;-294.0
705.0;462.0;613.0;239.0;195.0;199.0;-352.0;-171;59.0;-288.0
719.0;449.0;567.0;80.0;188.0;210.0;-401.0;-177;33.0;-270.0
690.0;452.0;618.0;307.0;438.0;123.0;-343.0;158;154.0;-227.0
689.0;452.0;620.0;311.0;437.0;125.0;-342.0;158;156.0;-226.0
688.0;448.0;622.0;314.0;437.0;125.0;-341.0;158;156.0;-226.0
682.0;445.0;628.0;321.0;438.0;125.0;-340.0;158;158.0;-232.0
-642.0;476.0;-541.0;196.0;-494.0;-82.0;478.0;145;-258.0;291.0
682.0;443.0;629.0;321.0;439.0;126.0;-340.0;158;157.0;-232.0
692.0;524.0;679.0;428.0;509.0;155.0;-245.0;75;-7.0;-246.0
711.0;546.0;648.0;359.0;501.0;172.0;-274.0;75;-11.0;-231.0
754.0;532.0;593.0;271.0;473.0;133.0;-270.0;73;-83.0;-275.0
700.0;515.0;640.0;329.0;488.0;180.0;-316.0;75;8.0;-239.0
712.0;526.0;622.0;284.0;498.0;152.0;-324.0;75;29.0;-256.0
685.0;447.0;624.0;306.0;442.0;127.0;-344.0;158;156.0;-234.0
687.0;447.0;621.0;301.0;444.0;125.0;-344.0;158;154.0;-236.0
691.0;449.0;619.0;295.0;445.0;127.0;-343.0;158;150.0;-235.0
710.0;531.0;650.0;397.0;515.0;135.0;-270.0;75;29.0;-273.0
690.0;535.0;660.0;367.0;508.0;123.0;-294.0;75;54.0;-254.0
683.0;527.0;663.0;385.0;502.0;138.0;-301.0;75;56.0;-252.0
704.0;539.0;644.0;348.0;503.0;157.0;-294.0;75;55.0;-235.0
706.0;459.0;608.0;276.0;457.0;125.0;-337.0;158;136.0;-216.0
708.0;459.0;610.0;283.0;463.0;126.0;-329.0;158;131.0;-202.0
694.0;456.0;649.0;341.0;473.0;162.0;-296.0;158;94.0;-160.0
663.0;441.0;687.0;396.0;492.0;194.0;-283.0;159;88.0;-143.0
658.0;440.0;692.0;399.0;497.0;212.0;-282.0;159;87.0;-137.0
-679.0;551.0;-708.0;342.0;-267.0;-509.0;192.0;59;28.0;112.0
642.0;450.0;711.0;318.0;221.0;282.0;-277.0;144;76.0;-270.0
-659.0;-116.0;-555.0;755.0;-519.0;38.0;487.0;-160;-146.0;448.0
694.0;505.0;664.0;406.0;527.0;99.0;-271.0;75;65.0;-212.0
692.0;513.0;650.0;386.0;520.0;71.0;-301.0;75;93.0;-232.0
692.0;518.0;640.0;367.0;512.0;47.0;-318.0;75;106.0;-248.0
697.0;539.0;661.0;395.0;485.0;98.0;-273.0;75;48.0;-219.0
