InertialMeasurementUnit RUA gyroZ;InertialMeasurementUnit BACK gyroX;InertialMeasurementUnit L-SHOE Nav_Az;InertialMeasurementUnit L-SHOE AngVelBodyFrameZ;Accelerometer HIP accY;Accelerometer RKN^ accZ;Accelerometer LUA^ accX;InertialMeasurementUnit R-SHOE EuY;InertialMeasurementUnit R-SHOE Body_Az;InertialMeasurementUnit RUA accX;Accelerometer RUA_ accX;Accelerometer RUA_ accY;InertialMeasurementUnit RUA accY
42.0;-10.0;21;-16;929.0;168.0;324.0;-24;795;-944.0;323.0;935.0;259.0
81.0;20.0;20;5;975.0;161.0;512.0;-25;806;-963.0;422.0;964.0;250.0
23.0;-74.0;20;6;1005.0;146.0;493.0;-25;804;-969.0;379.0;945.0;221.0
67.0;-69.0;20;3;984.0;147.0;495.0;-25;808;-982.0;403.0;959.0;190.0
80.0;-106.0;14;-13;948.0;157.0;374.0;-3;814;-947.0;335.0;976.0;259.0
108.0;-64.0;17;26;955.0;139.0;372.0;-3;807;-950.0;320.0;938.0;269.0
100.0;-29.0;23;-11;958.0;125.0;376.0;-3;812;-946.0;337.0;959.0;284.0
114.0;173.0;23;-150;1006.0;52.0;244.0;-24;818;-899.0;602.0;859.0;369.0
318.0;-32.0;23;-1;973.0;385.0;523.0;-28;808;-970.0;395.0;909.0;203.0
231.0;-109.0;16;8;935.0;198.0;512.0;-27;800;-1001.0;534.0;999.0;251.0
92.0;-73.0;21;9;994.0;154.0;503.0;-25;804;-983.0;361.0;969.0;213.0
120.0;-9.0;18;-26;1002.0;166.0;495.0;-25;803;-978.0;388.0;933.0;211.0
29.0;-38.0;18;-25;996.0;180.0;523.0;-25;800;-968.0;378.0;943.0;228.0
33.0;-4.0;19;-15;943.0;50.0;293.0;-23;787;-969.0;310.0;953.0;195.0
11.0;-59.0;16;8;955.0;120.0;375.0;-23;787;-933.0;331.0;963.0;152.0
-63.0;-55.0;18;4;956.0;139.0;374.0;-23;781;-934.0;338.0;990.0;153.0
-72.0;-68.0;11;-27;977.0;124.0;354.0;-23;782;-949.0;342.0;977.0;173.0
-11.0;-89.0;21;-12;967.0;100.0;355.0;-23;784;-966.0;320.0;966.0;172.0
80.0;106.0;23;14;951.0;63.0;376.0;-3;807;-951.0;362.0;958.0;256.0
14.0;-190.0;18;22;970.0;124.0;352.0;-23;785;-954.0;322.0;970.0;168.0
2.0;-159.0;23;-25;957.0;117.0;375.0;-23;787;-968.0;327.0;968.0;155.0
-21.0;-5.0;14;1;938.0;32.0;446.0;-31;806;-934.0;305.0;978.0;254.0
-259.0;75.0;13;-7;957.0;435.0;565.0;-27;816;-975.0;191.0;1028.0;173.0
12.0;-23.0;21;-17;956.0;46.0;454.0;-26;796;-980.0;484.0;896.0;56.0
-61.0;-268.0;17;-56;955.0;136.0;456.0;-31;809;-944.0;321.0;974.0;268.0
8.0;-37.0;18;-5;964.0;81.0;473.0;-26;798;-981.0;479.0;892.0;40.0
23.0;-37.0;18;-6;938.0;69.0;455.0;-26;796;-974.0;469.0;895.0;36.0
24.0;12.0;14;-6;950.0;85.0;303.0;-31;806;-961.0;240.0;993.0;210.0
19.0;2.0;13;3;939.0;93.0;295.0;-31;811;-968.0;244.0;999.0;206.0
-2.0;-17.0;19;3;953.0;90.0;301.0;-31;801;-968.0;232.0;989.0;201.0
5.0;-43.0;17;-6;954.0;89.0;296.0;-31;803;-976.0;251.0;980.0;200.0
38.0;-49.0;23;17;947.0;89.0;297.0;-31;802;-966.0;243.0;981.0;197.0
16.0;-54.0;22;14;953.0;89.0;281.0;-31;802;-967.0;239.0;999.0;192.0
-53.0;-28.0;15;-10;907.0;89.0;352.0;-24;799;-964.0;301.0;971.0;236.0
-62.0;-13.0;25;-4;931.0;135.0;339.0;-24;794;-958.0;300.0;955.0;235.0
-4.0;56.0;24;-8;922.0;109.0;324.0;-24;801;-970.0;270.0;987.0;205.0
-23.0;-134.0;12;-9;997.0;111.0;373.0;-23;788;-962.0;309.0;961.0;154.0
-30.0;-88.0;-6;-62;1003.0;108.0;376.0;-23;779;-959.0;339.0;961.0;155.0
7.0;22.0;18;23;923.0;92.0;326.0;-24;801;-983.0;273.0;1003.0;187.0
-75.0;68.0;59;193;896.0;232.0;305.0;-24;800;-958.0;262.0;981.0;143.0
-53.0;-122.0;23;-3;918.0;110.0;305.0;-24;805;-978.0;262.0;990.0;194.0
43.0;-144.0;19;-1;915.0;140.0;325.0;-24;807;-980.0;227.0;981.0;173.0
19.0;-32.0;21;9;956.0;70.0;428.0;-26;796;-972.0;452.0;895.0;31.0
36.0;35.0;21;-22;903.0;81.0;346.0;-24;794;-967.0;286.0;969.0;231.0
12.0;2.0;16;-5;899.0;93.0;344.0;-24;796;-970.0;284.0;995.0;211.0
35.0;34.0;22;-12;909.0;109.0;341.0;-24;797;-985.0;300.0;999.0;232.0
26.0;26.0;17;-11;917.0;120.0;348.0;-24;799;-977.0;300.0;989.0;237.0
-4.0;-58.0;19;4;913.0;132.0;381.0;-24;797;-977.0;287.0;992.0;221.0
-10.0;-21.0;16;-14;935.0;119.0;335.0;-24;805;-969.0;293.0;971.0;238.0
48.0;17.0;14;1;916.0;100.0;327.0;-24;797;-962.0;281.0;957.0;185.0
79.0;-23.0;23;-4;942.0;111.0;316.0;-24;796;-978.0;266.0;988.0;200.0
62.0;54.0;18;-3;910.0;129.0;357.0;-24;798;-989.0;286.0;1002.0;226.0
52.0;48.0;24;1;924.0;149.0;361.0;-24;802;-969.0;251.0;980.0;174.0
35.0;62.0;16;6;915.0;119.0;330.0;-24;795;-974.0;250.0;990.0;206.0
48.0;-15.0;19;-10;910.0;112.0;344.0;-24;798;-988.0;231.0;994.0;176.0
18.0;-81.0;21;-11;937.0;137.0;316.0;-24;803;-961.0;269.0;972.0;221.0
10.0;-72.0;20;-26;915.0;133.0;322.0;-24;799;-960.0;280.0;970.0;224.0
104.0;-506.0;243;1188;907.0;81.0;242.0;-27;780;-976.0;215.0;943.0;40.0
26.0;-94.0;18;20;952.0;148.0;344.0;-24;801;-976.0;258.0;990.0;192.0
-13.0;-104.0;14;32;907.0;134.0;328.0;-24;802;-968.0;268.0;984.0;193.0
-15.0;-18.0;21;-8;956.0;126.0;322.0;-24;802;-973.0;292.0;982.0;229.0
-8.0;17.0;20;7;917.0;132.0;345.0;-24;801;-974.0;295.0;989.0;232.0
-40.0;9.0;25;20;940.0;139.0;333.0;-24;802;-976.0;289.0;982.0;240.0
-28.0;-17.0;19;8;949.0;99.0;341.0;-24;801;-978.0;281.0;980.0;229.0
0.0;-8.0;24;-8;936.0;147.0;325.0;-24;802;-973.0;263.0;990.0;209.0
-8.0;-18.0;20;6;919.0;111.0;331.0;-24;803;-976.0;283.0;970.0;218.0
-11.0;-26.0;21;19;956.0;134.0;317.0;-24;805;-973.0;277.0;982.0;226.0
4.0;-31.0;22;-7;946.0;148.0;342.0;-24;800;-975.0;291.0;976.0;226.0
25.0;-11.0;21;19;934.0;118.0;320.0;-24;802;-979.0;265.0;988.0;219.0
0.0;-31.0;22;10;934.0;132.0;352.0;-24;800;-970.0;280.0;980.0;213.0
18.0;-26.0;21;-18;927.0;131.0;324.0;-24;801;-975.0;282.0;980.0;206.0
-35.0;-47.0;20;8;937.0;148.0;339.0;-24;799;-973.0;264.0;987.0;217.0
-46.0;-54.0;21;12;918.0;150.0;334.0;-24;804;-974.0;274.0;987.0;224.0
-4.0;7.0;20;12;937.0;143.0;328.0;-24;797;-963.0;283.0;971.0;247.0
-15.0;20.0;18;-2;936.0;146.0;320.0;-24;803;-963.0;290.0;969.0;242.0
26.0;5.0;18;10;921.0;133.0;316.0;-24;803;-967.0;287.0;966.0;224.0
10.0;-76.0;21;-11;925.0;116.0;330.0;-24;807;-964.0;294.0;988.0;239.0
-9.0;-68.0;15;32;933.0;110.0;311.0;-24;801;-969.0;321.0;978.0;258.0
-22.0;-41.0;15;-40;935.0;119.0;322.0;-24;806;-970.0;313.0;960.0;253.0
-7.0;-21.0;15;-1;927.0;143.0;324.0;-24;807;-971.0;303.0;984.0;260.0
5.0;-19.0;21;5;925.0;102.0;334.0;-24;799;-970.0;321.0;980.0;253.0
-33.0;-36.0;19;9;941.0;103.0;333.0;-24;798;-979.0;328.0;977.0;250.0
-28.0;-16.0;18;-11;937.0;121.0;351.0;-24;805;-969.0;291.0;980.0;261.0
40.0;33.0;21;-2;933.0;146.0;325.0;-24;803;-967.0;320.0;978.0;262.0
56.0;22.0;24;-29;928.0;96.0;329.0;-24;800;-957.0;302.0;963.0;231.0
27.0;18.0;20;26;920.0;116.0;331.0;-24;803;-970.0;298.0;968.0;239.0
