InertialMeasurementUnit L-SHOE EuX;Accelerometer LWR accZ;InertialMeasurementUnit LLA accY;InertialMeasurementUnit BACK Quaternion1;Accelerometer LWR accX;Accelerometer LUA_ accY;Accelerometer LH accY
31;435.0;-328.0;28.0;-340.0;968.0;1026.0
136;463.0;-235.0;670.0;-307.0;903.0;944.0
-7;263.0;-262.0;231.0;-207.0;907.0;956.0
92;77.0;72.0;-42.0;-172.0;999.0;1020.0
45;514.0;-465.0;67.0;-260.0;1010.0;1215.0
73;364.0;-476.0;362.0;-295.0;837.0;1253.0
-23;428.0;-287.0;103.0;-230.0;754.0;943.0
-41;366.0;-257.0;191.0;-258.0;928.0;1188.0
-45;634.0;-326.0;288.0;-498.0;1097.0;1141.0
62;384.0;-284.0;12.0;-262.0;941.0;1033.0
-24;344.0;-393.0;128.0;-390.0;984.0;1068.0
-22;505.0;-363.0;147.0;-310.0;928.0;991.0
-68;466.0;-247.0;185.0;-365.0;855.0;939.0
-138;286.0;-274.0;757.0;-302.0;968.0;1014.0
-40;134.0;-150.0;576.0;-132.0;541.0;718.0
17;-8.0;121.0;28.0;-199.0;1018.0;1033.0
-22;463.0;-287.0;362.0;-345.0;867.0;910.0
-30;432.0;-474.0;440.0;-298.0;892.0;971.0
-44;536.0;-374.0;333.0;-380.0;1111.0;1153.0
3;195.0;-320.0;153.0;-447.0;822.0;898.0
36;326.0;-322.0;219.0;-362.0;803.0;970.0
99;472.0;-172.0;-521.0;-221.0;1072.0;1196.0
-17;694.0;-827.0;241.0;-647.0;549.0;712.0
-23;623.0;-157.0;318.0;-297.0;1189.0;1078.0
-7;192.0;-111.0;59.0;-267.0;903.0;976.0
91;672.0;-364.0;-58.0;41.0;818.0;887.0
-28;511.0;-276.0;66.0;-106.0;892.0;1120.0
14;365.0;-262.0;297.0;-321.0;886.0;971.0
26;364.0;-305.0;306.0;-371.0;908.0;940.0
114;169.0;-192.0;703.0;-154.0;731.0;863.0
-6;515.0;-338.0;285.0;-419.0;934.0;1064.0
-46;423.0;-80.0;270.0;-313.0;771.0;815.0
43;352.0;-486.0;322.0;-352.0;829.0;1091.0
99;394.0;-332.0;-692.0;-329.0;959.0;1002.0
-3;176.0;-362.0;483.0;-672.0;949.0;948.0
-31;314.0;-336.0;324.0;-574.0;884.0;808.0
-27;436.0;-419.0;289.0;-369.0;973.0;1006.0
-53;413.0;-247.0;418.0;-207.0;718.0;826.0
64;791.0;-612.0;486.0;-118.0;823.0;152.0
70;450.0;-644.0;353.0;-613.0;850.0;897.0
124;316.0;-218.0;-668.0;-148.0;929.0;997.0
-18;204.0;-264.0;302.0;-205.0;619.0;778.0
40;194.0;-56.0;-23.0;-185.0;1000.0;1033.0
-154;658.0;-885.0;710.0;-627.0;556.0;151.0
67;419.0;-681.0;331.0;-657.0;862.0;1048.0
-78;425.0;-645.0;99.0;-429.0;1019.0;1102.0
104;371.0;-197.0;-20.0;-72.0;934.0;1050.0
