InertialMeasurementUnit RUA gyroZ;InertialMeasurementUnit BACK gyroX;InertialMeasurementUnit L-SHOE Nav_Az;InertialMeasurementUnit L-SHOE AngVelBodyFrameZ;Accelerometer HIP accY;Accelerometer RKN^ accZ;Accelerometer LUA^ accX;InertialMeasurementUnit R-SHOE EuY;InertialMeasurementUnit R-SHOE Body_Az;InertialMeasurementUnit RUA accX;Accelerometer RUA_ accX;Accelerometer RUA_ accY;InertialMeasurementUnit RUA accY
136.0;-120.0;18;-41;775.0;395.0;523.0;-23;779;-1093.0;160.0;1036.0;126.0
203.0;46.0;16;5;971.0;28.0;482.0;-23;795;-972.0;603.0;637.0;144.0
-259.0;75.0;13;-7;957.0;435.0;565.0;-27;816;-975.0;191.0;1028.0;173.0
-111.0;116.0;17;-22;959.0;104.0;603.0;-24;694;-1035.0;344.0;965.0;99.0
-99.0;168.0;12;4;973.0;-85.0;338.0;-23;775;-945.0;446.0;921.0;136.0
141.0;198.0;20;-16;1021.0;126.0;465.0;-23;779;-912.0;423.0;975.0;120.0
416.0;323.0;-49;165;874.0;-11.0;377.0;-24;799;-920.0;670.0;824.0;168.0
446.0;32.0;13;-117;828.0;-521.0;345.0;-26;897;-786.0;242.0;773.0;191.0
356.0;-327.0;45;7;955.0;-407.0;426.0;-24;1686;-850.0;189.0;801.0;129.0
625.0;278.0;7;3;948.0;65.0;445.0;-27;799;-1081.0;319.0;978.0;102.0
313.0;99.0;22;-43;963.0;-3.0;347.0;-23;782;-959.0;238.0;1020.0;52.0
-119.0;-13.0;19;-12;974.0;-21.0;391.0;-23;785;-919.0;402.0;870.0;64.0
119.0;16.0;17;-28;956.0;5.0;417.0;-23;783;-946.0;337.0;1018.0;172.0
33.0;-4.0;19;-15;943.0;50.0;293.0;-23;787;-969.0;310.0;953.0;195.0
11.0;-59.0;16;8;955.0;120.0;375.0;-23;787;-933.0;331.0;963.0;152.0
-63.0;-55.0;18;4;956.0;139.0;374.0;-23;781;-934.0;338.0;990.0;153.0
-72.0;-68.0;11;-27;977.0;124.0;354.0;-23;782;-949.0;342.0;977.0;173.0
-11.0;-89.0;21;-12;967.0;100.0;355.0;-23;784;-966.0;320.0;966.0;172.0
-19.0;-14.0;17;5;943.0;-44.0;542.0;-26;797;-980.0;813.0;560.0;171.0
14.0;-190.0;18;22;970.0;124.0;352.0;-23;785;-954.0;322.0;970.0;168.0
2.0;-159.0;23;-25;957.0;117.0;375.0;-23;787;-968.0;327.0;968.0;155.0
-248.0;128.0;17;37;839.0;384.0;753.0;-26;800;-1076.0;399.0;1080.0;-107.0
-170.0;586.0;-179;1545;889.0;95.0;276.0;-10;757;-839.0;254.0;832.0;124.0
128.0;-331.0;1644;1037;1087.0;238.0;299.0;-25;787;-961.0;249.0;968.0;137.0
-13.0;-174.0;22;-25;972.0;132.0;380.0;-23;787;-971.0;323.0;977.0;158.0
-107.0;86.0;11;-1;952.0;425.0;261.0;-24;797;-928.0;320.0;908.0;184.0
-334.0;341.0;-853;-120;1537.0;457.0;302.0;-45;991;-921.0;229.0;1258.0;289.0
-462.0;289.0;604;233;1135.0;160.0;307.0;-31;827;-852.0;369.0;1124.0;333.0
-153.0;443.0;2618;-89;1314.0;70.0;162.0;-28;790;-786.0;195.0;816.0;330.0
-88.0;-154.0;-17;1022;842.0;88.0;222.0;-26;814;-931.0;286.0;862.0;116.0
16.0;-610.0;-271;-955;1060.0;168.0;320.0;-24;786;-903.0;300.0;858.0;111.0
-447.0;-356.0;-41;-757;997.0;-40.0;427.0;-21;1024;-970.0;255.0;1038.0;184.0
-34.0;-159.0;63;-125;962.0;55.0;261.0;-24;792;-953.0;300.0;982.0;165.0
40.0;-122.0;8;-124;969.0;162.0;275.0;-24;801;-950.0;289.0;955.0;147.0
70.0;-169.0;169;505;905.0;299.0;320.0;-23;805;-928.0;250.0;970.0;123.0
-372.0;229.0;-1888;-1142;975.0;221.0;234.0;-35;787;-796.0;385.0;1077.0;224.0
-23.0;-134.0;12;-9;997.0;111.0;373.0;-23;788;-962.0;309.0;961.0;154.0
-30.0;-88.0;-6;-62;1003.0;108.0;376.0;-23;779;-959.0;339.0;961.0;155.0
-37.0;72.0;-20;32;1099.0;-3.0;580.0;-70;847;-1108.0;173.0;1209.0;147.0
-41.0;-176.0;-17;-154;1004.0;131.0;374.0;-23;775;-984.0;307.0;1020.0;158.0
245.0;-470.0;18;-22;1025.0;28.0;646.0;-37;392;-1088.0;220.0;1132.0;93.0
83.0;-276.0;82;29;1148.0;263.0;334.0;-24;794;-883.0;237.0;834.0;108.0
4.0;-537.0;26;9;970.0;419.0;430.0;-24;798;-973.0;275.0;958.0;127.0
-7.0;-408.0;17;-41;1053.0;277.0;421.0;-24;799;-976.0;144.0;1004.0;18.0
