InertialMeasurementUnit RUA gyroZ;InertialMeasurementUnit BACK gyroX;InertialMeasurementUnit L-SHOE Nav_Az;InertialMeasurementUnit L-SHOE AngVelBodyFrameZ;Accelerometer HIP accY;Accelerometer RKN^ accZ;Accelerometer LUA^ accX;InertialMeasurementUnit R-SHOE EuY;InertialMeasurementUnit R-SHOE Body_Az;InertialMeasurementUnit RUA accX;Accelerometer RUA_ accX;Accelerometer RUA_ accY;InertialMeasurementUnit RUA accY
288.0;284.0;28;33;849.0;560.0;367.0;-66;712;-987.0;172.0;850.0;-43.0
-4.0;-5.0;17;-13;939.0;-48.0;550.0;-26;799;-977.0;849.0;557.0;160.0
6.0;-11.0;18;-6;954.0;-40.0;558.0;-26;801;-972.0;826.0;558.0;152.0
-24.0;13.0;14;0;943.0;-35.0;570.0;-26;796;-972.0;818.0;565.0;166.0
-19.0;-14.0;17;5;943.0;-44.0;542.0;-26;797;-980.0;813.0;560.0;171.0
-10.0;-20.0;17;4;938.0;-37.0;560.0;-26;797;-967.0;805.0;552.0;162.0
21.0;-27.0;21;10;944.0;-42.0;561.0;-26;796;-970.0;824.0;570.0;162.0
0.0;-13.0;17;-10;937.0;-33.0;570.0;-26;797;-969.0;822.0;577.0;166.0
38.0;-4.0;17;6;940.0;-34.0;572.0;-26;795;-973.0;814.0;566.0;175.0
2.0;6.0;16;3;925.0;-49.0;560.0;-26;793;-977.0;813.0;546.0;179.0
-2.0;-9.0;19;-11;937.0;-40.0;567.0;-26;797;-975.0;828.0;565.0;166.0
2.0;4.0;15;-35;937.0;-39.0;561.0;-26;797;-977.0;830.0;567.0;167.0
14.0;-9.0;21;-1;930.0;-26.0;571.0;-26;794;-972.0;826.0;548.0;159.0
-2.0;22.0;21;15;937.0;-37.0;571.0;-26;801;-973.0;820.0;561.0;161.0
-14.0;14.0;17;-21;919.0;-43.0;554.0;-26;793;-983.0;805.0;554.0;155.0
0.0;-6.0;20;5;939.0;-27.0;573.0;-26;795;-977.0;824.0;575.0;158.0
-5.0;17.0;20;5;942.0;-40.0;573.0;-26;795;-978.0;815.0;573.0;162.0
12.0;-17.0;16;21;955.0;-22.0;578.0;-26;794;-977.0;834.0;555.0;161.0
-12.0;-16.0;20;33;937.0;-48.0;538.0;-26;799;-980.0;813.0;571.0;164.0
-4.0;-1.0;17;-17;946.0;-31.0;570.0;-26;799;-977.0;824.0;578.0;174.0
-248.0;128.0;17;37;839.0;384.0;753.0;-26;800;-1076.0;399.0;1080.0;-107.0
-58.0;61.0;21;36;788.0;259.0;725.0;-26;796;-1017.0;404.0;1028.0;-18.0
289.0;201.0;14;186;932.0;58.0;245.0;-24;797;-1017.0;334.0;1043.0;102.0
146.0;-122.0;1290;84;811.0;218.0;315.0;-23;796;-940.0;232.0;992.0;141.0
376.0;58.0;131;10;907.0;259.0;277.0;-24;800;-922.0;148.0;1019.0;10.0
-107.0;86.0;11;-1;952.0;425.0;261.0;-24;797;-928.0;320.0;908.0;184.0
-117.0;149.0;-52;66;1076.0;135.0;267.0;-24;797;-971.0;359.0;977.0;260.0
-462.0;289.0;604;233;1135.0;160.0;307.0;-31;827;-852.0;369.0;1124.0;333.0
-202.0;164.0;172;-114;918.0;220.0;261.0;-24;793;-958.0;316.0;1010.0;248.0
-255.0;29.0;17;240;895.0;219.0;306.0;-24;800;-970.0;321.0;944.0;254.0
-98.0;-184.0;61;-236;919.0;208.0;314.0;-24;799;-975.0;235.0;1001.0;148.0
-88.0;-127.0;65;-249;947.0;41.0;291.0;-24;792;-960.0;275.0;987.0;164.0
-34.0;-159.0;63;-125;962.0;55.0;261.0;-24;792;-953.0;300.0;982.0;165.0
40.0;-122.0;8;-124;969.0;162.0;275.0;-24;801;-950.0;289.0;955.0;147.0
73.0;-95.0;12;130;934.0;206.0;340.0;-24;804;-963.0;243.0;992.0;117.0
134.0;-115.0;-255;-155;927.0;375.0;308.0;-24;802;-962.0;223.0;999.0;127.0
-138.0;-172.0;20;-23;714.0;452.0;754.0;-26;798;-1090.0;433.0;1033.0;-22.0
470.0;168.0;37;-27;879.0;126.0;217.0;-65;580;-1049.0;127.0;934.0;-25.0
-189.0;-16.0;4;-564;1355.0;50.0;772.0;-26;797;-1063.0;401.0;1373.0;75.0
-131.0;-246.0;20;-14;733.0;306.0;724.0;-26;799;-1117.0;342.0;986.0;-25.0
55.0;-346.0;37;1451;921.0;17.0;235.0;-25;806;-884.0;410.0;903.0;-38.0
83.0;-276.0;82;29;1148.0;263.0;334.0;-24;794;-883.0;237.0;834.0;108.0
-7.0;-408.0;17;-41;1053.0;277.0;421.0;-24;799;-976.0;144.0;1004.0;18.0
40.0;-233.0;18;-4;1090.0;286.0;372.0;-24;803;-1004.0;158.0;1010.0;-28.0
-32.0;-144.0;18;-10;945.0;263.0;428.0;-24;796;-1013.0;148.0;1068.0;-3.0
-102.0;-41.0;-362;338;961.0;-161.0;371.0;-24;795;-993.0;277.0;973.0;157.0
-159.0;-11.0;-37;80;1033.0;74.0;379.0;-24;798;-998.0;266.0;1006.0;162.0
-146.0;20.0;68;44;1043.0;115.0;361.0;-24;798;-1006.0;281.0;1007.0;165.0
-146.0;133.0;-33;44;965.0;183.0;336.0;-24;800;-1018.0;279.0;1034.0;159.0
-114.0;192.0;44;-144;908.0;236.0;334.0;-24;794;-1043.0;300.0;1045.0;144.0
-125.0;189.0;165;-181;936.0;200.0;324.0;-24;795;-1020.0;252.0;1075.0;116.0
-84.0;365.0;42;75;917.0;128.0;300.0;-24;796;-938.0;238.0;967.0;136.0
-153.0;373.0;55;18;922.0;234.0;315.0;-24;796;-921.0;245.0;951.0;145.0
-75.0;68.0;59;193;896.0;232.0;305.0;-24;800;-958.0;262.0;981.0;143.0
-21.0;-27.0;342;420;913.0;299.0;303.0;-24;797;-970.0;228.0;1003.0;143.0
-109.0;90.0;-73;471;916.0;209.0;340.0;-24;800;-948.0;240.0;997.0;119.0
-153.0;443.0;2618;-89;1314.0;70.0;162.0;-28;790;-786.0;195.0;816.0;330.0
104.0;-100.0;12;-15;991.0;169.0;308.0;-28;831;-972.0;489.0;741.0;-102.0
-148.0;-196.0;16;14;973.0;194.0;174.0;-25;764;-943.0;453.0;925.0;141.0
371.0;-289.0;-22;-87;900.0;260.0;351.0;-24;766;-1330.0;323.0;980.0;260.0
325.0;-13.0;5;7;1014.0;294.0;291.0;-23;803;-965.0;87.0;999.0;-90.0
152.0;62.0;25;-36;919.0;135.0;463.0;-23;799;-1018.0;195.0;1072.0;98.0
92.0;-19.0;20;-39;1058.0;400.0;419.0;-23;802;-990.0;173.0;998.0;8.0
-217.0;183.0;17;38;976.0;227.0;352.0;-25;714;-959.0;538.0;955.0;134.0
-110.0;-46.0;-34;42;972.0;-221.0;386.0;-23;802;-960.0;296.0;946.0;163.0
-141.0;-95.0;-99;76;949.0;-73.0;389.0;-23;799;-983.0;282.0;988.0;163.0
-197.0;-85.0;-58;12;958.0;126.0;365.0;-23;812;-986.0;300.0;1000.0;180.0
-77.0;88.0;54;160;883.0;129.0;351.0;-23;807;-1030.0;308.0;1030.0;183.0
-109.0;133.0;39;-82;898.0;168.0;338.0;-23;809;-995.0;274.0;1065.0;138.0
-38.0;289.0;92;-338;898.0;135.0;327.0;-23;798;-975.0;272.0;999.0;162.0
-45.0;371.0;29;172;943.0;289.0;322.0;-23;796;-976.0;186.0;991.0;90.0
-76.0;-75.0;84;-284;925.0;100.0;348.0;-23;803;-928.0;292.0;958.0;163.0
90.0;-234.0;299;896;842.0;50.0;238.0;-23;803;-880.0;310.0;869.0;234.0
-11.0;22.0;0;521;908.0;22.0;200.0;-34;797;-866.0;523.0;933.0;359.0
131.0;-106.0;57;-344;927.0;-81.0;240.0;-34;802;-888.0;786.0;811.0;367.0
194.0;125.0;6;-31;946.0;210.0;304.0;-23;809;-992.0;82.0;1008.0;13.0
28.0;-252.0;13;-4;966.0;28.0;418.0;-23;801;-943.0;275.0;963.0;144.0
