InertialMeasurementUnit LLA Quaternion3;InertialMeasurementUnit LUA magneticZ;InertialMeasurementUnit LLA Quaternion1;InertialMeasurementUnit LLA magneticX;InertialMeasurementUnit RLA Quaternion2;InertialMeasurementUnit RLA Quaternion1;InertialMeasurementUnit LLA Quaternion4;InertialMeasurementUnit R-SHOE EuX;InertialMeasurementUnit LLA Quaternion2;InertialMeasurementUnit RUA Quaternion1
-649.0;101.0;-566.0;822.0;48.0;-301.0;451.0;107;-235.0;200.0
647.0;132.0;733.0;816.0;547.0;217.0;-208.0;105;31.0;-142.0
684.0;79.0;697.0;911.0;545.0;275.0;-216.0;70;-4.0;-75.0
663.0;74.0;737.0;1279.0;502.0;385.0;-134.0;60;1.0;-10.0
680.0;294.0;642.0;879.0;564.0;157.0;-354.0;43;-9.0;-223.0
642.0;-118.0;758.0;1331.0;473.0;458.0;49.0;68;-104.0;60.0
673.0;191.0;626.0;792.0;561.0;46.0;-391.0;93;40.0;-291.0
653.0;110.0;663.0;960.0;578.0;67.0;-327.0;71;165.0;-285.0
707.0;277.0;570.0;762.0;514.0;29.0;-408.0;85;88.0;-322.0
727.0;282.0;531.0;636.0;514.0;15.0;-431.0;85;67.0;-332.0
742.0;275.0;493.0;523.0;518.0;1.0;-452.0;84;52.0;-340.0
761.0;264.0;432.0;269.0;550.0;-42.0;-482.0;86;42.0;-381.0
549.0;693.0;-285.0;-688.0;498.0;184.0;-726.0;75;-301.0;-221.0
729.0;242.0;480.0;340.0;568.0;-51.0;-479.0;79;89.0;-394.0
709.0;224.0;512.0;421.0;573.0;-59.0;-469.0;36;122.0;-403.0
503.0;197.0;696.0;392.0;470.0;-220.0;-421.0;69;292.0;-504.0
633.0;163.0;703.0;56.0;491.0;50.0;-290.0;84;146.0;-331.0
642.0;106.0;726.0;84.0;468.0;120.0;-231.0;82;81.0;-273.0
650.0;67.0;731.0;103.0;470.0;141.0;-200.0;87;54.0;-245.0
658.0;5.0;739.0;180.0;507.0;159.0;-142.0;81;30.0;-251.0
660.0;7.0;729.0;258.0;521.0;156.0;-174.0;81;53.0;-284.0
659.0;25.0;718.0;321.0;525.0;155.0;-211.0;81;76.0;-294.0
659.0;43.0;706.0;392.0;527.0;144.0;-246.0;81;85.0;-312.0
686.0;67.0;665.0;603.0;531.0;94.0;-294.0;79;28.0;-346.0
696.0;53.0;632.0;740.0;544.0;70.0;-340.0;83;-25.0;-355.0
694.0;168.0;663.0;1012.0;517.0;295.0;-251.0;65;-130.0;-70.0
672.0;-109.0;703.0;1149.0;574.0;210.0;-231.0;-2;15.0;-141.0
634.0;-122.0;771.0;1062.0;476.0;200.0;-29.0;140;-47.0;-148.0
675.0;464.0;690.0;725.0;534.0;213.0;-255.0;49;50.0;-191.0
645.0;472.0;746.0;551.0;474.0;149.0;-159.0;74;49.0;-247.0
636.0;459.0;763.0;613.0;499.0;99.0;-110.0;74;45.0;-275.0
701.0;390.0;622.0;546.0;549.0;135.0;-349.0;47;16.0;-245.0
691.0;173.0;596.0;506.0;571.0;115.0;-403.0;33;66.0;-264.0
666.0;74.0;643.0;655.0;572.0;130.0;-361.0;-66;112.0;-243.0
693.0;428.0;715.0;550.0;534.0;33.0;-87.0;74;-15.0;-322.0
724.0;487.0;662.0;454.0;495.0;91.0;-191.0;74;-36.0;-306.0
732.0;494.0;646.0;419.0;486.0;101.0;-210.0;74;-50.0;-302.0
750.0;521.0;607.0;323.0;472.0;125.0;-251.0;73;-81.0;-285.0
754.0;532.0;593.0;271.0;473.0;133.0;-270.0;73;-83.0;-275.0
657.0;-57.0;702.0;798.0;459.0;362.0;-265.0;38;72.0;-30.0
668.0;-490.0;706.0;880.0;507.0;232.0;-220.0;37;84.0;-160.0
666.0;-212.0;675.0;868.0;532.0;59.0;-316.0;41;-36.0;-228.0
694.0;104.0;652.0;683.0;544.0;66.0;-298.0;52;-70.0;-207.0
715.0;531.0;667.0;421.0;512.0;89.0;-209.0;74;12.0;-286.0
707.0;524.0;679.0;447.0;513.0;87.0;-197.0;74;19.0;-287.0
700.0;520.0;689.0;466.0;513.0;88.0;-187.0;74;22.0;-289.0
690.0;506.0;702.0;500.0;511.0;92.0;-177.0;74;20.0;-290.0
