InertialMeasurementUnit RLA accZ;InertialMeasurementUnit L-SHOE EuZ;InertialMeasurementUnit RLA Quaternion1;InertialMeasurementUnit LUA Quaternion2;InertialMeasurementUnit BACK Quaternion2;InertialMeasurementUnit RLA Quaternion3;InertialMeasurementUnit LLA Quaternion2;InertialMeasurementUnit RUA Quaternion1;InertialMeasurementUnit LLA magneticY
466.0;-177;60.0;40.0;349.0;-144.0;98.0;-233.0;519.0
481.0;-177;85.0;77.0;375.0;-125.0;62.0;-224.0;493.0
412.0;-176;228.0;382.0;-267.0;7.0;-205.0;4.0;521.0
479.0;-176;61.0;31.0;346.0;-105.0;100.0;-239.0;502.0
448.0;-149;768.0;566.0;402.0;507.0;-643.0;753.0;-264.0
756.0;-178;-543.0;-584.0;546.0;-190.0;802.0;-845.0;641.0
564.0;143;443.0;243.0;-463.0;115.0;-195.0;38.0;-74.0
606.0;-179;737.0;-86.0;-199.0;-405.0;217.0;-167.0;616.0
358.0;-178;81.0;686.0;383.0;-288.0;-611.0;-459.0;580.0
543.0;-179;89.0;71.0;299.0;-60.0;23.0;-290.0;321.0
406.0;171;-786.0;-556.0;617.0;-349.0;559.0;-568.0;-422.0
291.0;-214;-727.0;-470.0;650.0;-273.0;454.0;-409.0;-296.0
311.0;56;-45.0;92.0;107.0;205.0;-231.0;393.0;529.0
499.0;-178;157.0;86.0;332.0;-83.0;0.0;-235.0;460.0
887.0;-177;-286.0;238.0;113.0;179.0;-365.0;335.0;559.0
566.0;-177;123.0;97.0;327.0;-76.0;6.0;-255.0;428.0
482.0;-177;105.0;78.0;310.0;-82.0;29.0;-275.0;376.0
478.0;-177;105.0;74.0;306.0;-83.0;31.0;-277.0;377.0
545.0;-178;133.0;54.0;299.0;-53.0;30.0;-274.0;435.0
510.0;-177;135.0;54.0;303.0;-49.0;29.0;-273.0;450.0
490.0;-178;135.0;54.0;304.0;-45.0;28.0;-271.0;451.0
479.0;-187;139.0;68.0;318.0;-49.0;21.0;-262.0;431.0
457.0;96;827.0;582.0;549.0;509.0;-640.0;738.0;-40.0
415.0;-182;768.0;590.0;444.0;521.0;-718.0;747.0;381.0
487.0;-177;184.0;489.0;395.0;-35.0;-301.0;-221.0;-233.0
468.0;-178;118.0;51.0;302.0;-56.0;41.0;-298.0;467.0
338.0;-178;142.0;64.0;340.0;-78.0;29.0;-262.0;467.0
452.0;-176;36.0;28.0;341.0;-136.0;111.0;-254.0;519.0
479.0;-178;143.0;58.0;333.0;-65.0;41.0;-265.0;507.0
484.0;-177;125.0;37.0;301.0;-50.0;68.0;-287.0;390.0
471.0;-177;124.0;18.0;283.0;-45.0;72.0;-292.0;437.0
472.0;-177;123.0;12.0;277.0;-45.0;75.0;-294.0;457.0
864.0;139;-16.0;-318.0;77.0;-139.0;495.0;-286.0;769.0
472.0;-175;113.0;-20.0;262.0;-43.0;119.0;-305.0;530.0
297.0;-168;246.0;42.0;-319.0;-29.0;-4.0;-157.0;252.0
428.0;-185;204.0;77.0;-392.0;40.0;7.0;-148.0;583.0
370.0;178;282.0;-61.0;-314.0;-321.0;157.0;-261.0;420.0
375.0;-147;18.0;92.0;-180.0;119.0;-163.0;420.0;607.0
768.0;164;201.0;20.0;-252.0;-184.0;66.0;-291.0;399.0
791.0;-177;427.0;-207.0;-21.0;-284.0;267.0;-466.0;-8.0
497.0;-174;5.0;-168.0;-83.0;-299.0;237.0;-562.0;597.0
493.0;157;109.0;19.0;307.0;-81.0;108.0;-281.0;519.0
427.0;105;184.0;56.0;-353.0;-6.0;-2.0;-199.0;876.0
448.0;-176;31.0;27.0;342.0;-156.0;115.0;-254.0;536.0
693.0;210;706.0;91.0;-408.0;-322.0;43.0;-87.0;342.0
444.0;-176;30.0;25.0;342.0;-155.0;118.0;-255.0;528.0
913.0;180;-308.0;270.0;-56.0;198.0;-409.0;292.0;717.0
569.0;90;-842.0;-614.0;594.0;-494.0;681.0;-680.0;-257.0
419.0;-161;-789.0;-581.0;430.0;-544.0;654.0;-782.0;112.0
746.0;-178;671.0;41.0;-340.0;-48.0;13.0;-145.0;339.0
336.0;175;-753.0;-557.0;-594.0;-334.0;604.0;-541.0;-344.0
264.0;-177;-733.0;-258.0;66.0;-463.0;607.0;-577.0;-641.0
566.0;-176;-860.0;-303.0;-32.0;-442.0;609.0;-798.0;119.0
1024.0;-178;-564.0;-8.0;-316.0;-19.0;-107.0;-154.0;468.0
756.0;-179;413.0;-198.0;-85.0;-300.0;219.0;-364.0;584.0
351.0;-177;-303.0;-93.0;419.0;227.0;7.0;201.0;169.0
463.0;-177;179.0;75.0;338.0;-84.0;46.0;-238.0;499.0
