InertialMeasurementUnit BACK magneticX;InertialMeasurementUnit RLA accX;Accelerometer RUA_ accX;Accelerometer RUA^ accZ;Accelerometer RWR accZ;Accelerometer RUA_ accY;InertialMeasurementUnit R-SHOE AngVelNavFrameX;InertialMeasurementUnit R-SHOE EuZ;InertialMeasurementUnit R-SHOE AngVelBodyFrameY;Accelerometer LH accZ;InertialMeasurementUnit R-SHOE Body_Ax
533.0;945.0;752.0;1159.0;540.0;?;?;-159;-44;60.0;?
524.0;1286.0;755.0;?;538.0;-823.0;5;-159;5;415.0;306
519.0;1301.0;741.0;1113.0;?;-1082.0;?;-160;15;455.0;?
517.0;1165.0;791.0;1084.0;471.0;-929.0;?;-159;-21;185.0;309
517.0;1074.0;772.0;1032.0;427.0;-830.0;-17;-159;-17;?;317
515.0;1002.0;817.0;1005.0;344.0;-750.0;2;-159;2;?;311
?;935.0;759.0;971.0;335.0;-691.0;-12;?;-12;442.0;308
511.0;894.0;734.0;1137.0;?;-591.0;0;-159;?;354.0;312
510.0;?;702.0;1174.0;496.0;-658.0;25;-160;?;770.0;305
503.0;970.0;607.0;1036.0;406.0;-696.0;-7;-159;-7;?;308
504.0;925.0;?;1086.0;?;?;?;-159;-19;-1166.0;316
506.0;862.0;?;1153.0;536.0;-611.0;-29;-159;-29;-1225.0;316
?;801.0;663.0;1118.0;590.0;?;-22;-159;?;-1215.0;311
504.0;?;777.0;1064.0;497.0;-372.0;4;-159;4;-1079.0;313
?;?;754.0;1076.0;472.0;-234.0;?;?;?;-831.0;310
506.0;622.0;732.0;?;511.0;-140.0;-10;-159;-10;-619.0;308
506.0;631.0;789.0;1001.0;?;-159.0;-10;-159;?;-316.0;313
508.0;612.0;?;965.0;543.0;-234.0;22;-159;22;-70.0;314
510.0;?;738.0;1044.0;?;-241.0;-2;?;-2;-41.0;311
511.0;717.0;781.0;1036.0;683.0;-298.0;?;-159;-41;?;310
516.0;?;865.0;1041.0;752.0;-441.0;-45;?;-45;?;313
?;799.0;930.0;1048.0;757.0;-479.0;-22;-159;-22;-88.0;315
?;831.0;984.0;980.0;750.0;-506.0;8;-159;8;-186.0;310
518.0;?;980.0;961.0;?;-518.0;19;-159;19;?;308
522.0;806.0;979.0;925.0;?;-517.0;26;-159;?;287.0;?
522.0;795.0;?;858.0;465.0;-459.0;-5;-159;-5;371.0;304
524.0;725.0;889.0;833.0;358.0;-453.0;-25;?;-25;?;307
523.0;625.0;?;834.0;298.0;-421.0;21;-159;21;1479.0;309
521.0;604.0;?;919.0;324.0;-405.0;-4;-159;?;1050.0;?
?;781.0;668.0;1022.0;356.0;-487.0;-33;?;-33;395.0;307
518.0;978.0;684.0;1098.0;384.0;?;-5;-159;?;47.0;?
514.0;1097.0;712.0;?;465.0;?;6;-159;?;145.0;310
512.0;1316.0;723.0;1157.0;463.0;-955.0;4;-160;4;-224.0;311
512.0;1285.0;?;1092.0;479.0;-1067.0;-15;-159;-15;18.0;?
