Accelerometer LH accX;Accelerometer RKN_ accX;InertialMeasurementUnit L-SHOE AngVelBodyFrameX;Accelerometer BACK accX;Accelerometer LUA_ accZ;InertialMeasurementUnit LUA accZ;InertialMeasurementUnit LLA accY;Accelerometer LUA^ accZ;Accelerometer HIP accZ
-23.0;?;-14;48.0;751.0;-223.0;-628.0;835.0;?
45.0;-108.0;2;51.0;691.0;-291.0;-732.0;848.0;339.0
38.0;-103.0;0;92.0;699.0;-461.0;-710.0;931.0;347.0
49.0;-115.0;19;65.0;753.0;-499.0;-744.0;1017.0;286.0
-71.0;?;15;118.0;804.0;-380.0;?;?;316.0
-147.0;-154.0;15;126.0;796.0;-197.0;-710.0;?;288.0
-47.0;?;?;?;926.0;-97.0;-709.0;1210.0;?
184.0;-140.0;-46;60.0;?;?;-620.0;1068.0;?
?;?;-23;-14.0;861.0;-151.0;-547.0;1072.0;?
?;-87.0;-37;237.0;952.0;-93.0;-632.0;1033.0;402.0
747.0;-78.0;?;235.0;943.0;-70.0;-664.0;893.0;416.0
676.0;?;22;234.0;912.0;63.0;-773.0;1007.0;390.0
661.0;-95.0;23;227.0;?;219.0;-828.0;967.0;386.0
622.0;-131.0;33;223.0;?;397.0;-891.0;1005.0;384.0
?;-134.0;-2;133.0;931.0;516.0;-999.0;972.0;428.0
?;-151.0;?;?;?;506.0;-1026.0;941.0;419.0
660.0;-141.0;-17;77.0;850.0;344.0;?;892.0;430.0
783.0;-126.0;-10;192.0;832.0;228.0;?;?;411.0
?;?;-4;160.0;768.0;27.0;-977.0;746.0;364.0
385.0;-136.0;27;128.0;758.0;?;-979.0;805.0;396.0
346.0;?;10;136.0;714.0;-15.0;?;817.0;?
270.0;-102.0;-23;121.0;697.0;-25.0;-1036.0;863.0;?
367.0;-95.0;5;82.0;652.0;-41.0;-989.0;918.0;402.0
451.0;-100.0;-1;31.0;692.0;-98.0;-895.0;909.0;372.0
426.0;-130.0;-5;111.0;?;?;-811.0;?;344.0
?;?;?;?;663.0;?;-773.0;874.0;351.0
-233.0;-149.0;-32;105.0;678.0;-228.0;?;911.0;374.0
-598.0;?;-22;-110.0;787.0;-178.0;-677.0;?;346.0
?;-114.0;?;-21.0;877.0;-171.0;?;824.0;?
91.0;-106.0;-4;40.0;?;-197.0;-617.0;?;?
311.0;-87.0;-7;38.0;925.0;-224.0;-387.0;?;340.0
184.0;?;-1;16.0;881.0;-371.0;-432.0;750.0;307.0
196.0;-120.0;0;48.0;801.0;-524.0;-753.0;772.0;314.0
26.0;-127.0;20;77.0;662.0;?;-870.0;902.0;334.0
-42.0;-94.0;9;?;647.0;-298.0;-968.0;1059.0;371.0
?;-118.0;?;?;690.0;-103.0;-982.0;1297.0;375.0
-65.0;?;42;-68.0;685.0;120.0;-859.0;?;?
41.0;-147.0;14;6.0;715.0;?;-802.0;1247.0;321.0
?;-139.0;-21;?;830.0;?;-663.0;1068.0;338.0
?;-119.0;12;28.0;?;?;-605.0;?;316.0
144.0;-124.0;25;26.0;863.0;-324.0;-581.0;?;336.0
