InertialMeasurementUnit BACK magneticX;InertialMeasurementUnit RLA accX;Accelerometer RUA_ accX;Accelerometer RUA^ accZ;Accelerometer RWR accZ;Accelerometer RUA_ accY;InertialMeasurementUnit R-SHOE AngVelNavFrameX;InertialMeasurementUnit R-SHOE EuZ;InertialMeasurementUnit R-SHOE AngVelBodyFrameY;Accelerometer LH accZ;InertialMeasurementUnit R-SHOE Body_Ax
238.0;-885.0;290.0;295.0;524.0;812.0;106;-150;106;253.0;259
226.0;-691.0;291.0;217.0;706.0;822.0;183;-223;183;158.0;419
299.0;-1059.0;193.0;334.0;531.0;760.0;61;168;61;120.0;255
316.0;-737.0;169.0;104.0;682.0;1079.0;422;-211;422;147.0;390
505.0;-965.0;953.0;415.0;1154.0;1000.0;-40;-159;-40;-141.0;343
516.0;-767.0;657.0;380.0;820.0;979.0;-19;-159;-19;154.0;331
515.0;-883.0;334.0;218.0;582.0;1043.0;28;-159;28;164.0;322
498.0;-742.0;320.0;250.0;607.0;905.0;-34;-158;-34;38.0;342
502.0;-795.0;351.0;220.0;579.0;924.0;40;-159;40;-10.0;346
518.0;-811.0;270.0;266.0;580.0;982.0;55;-159;55;108.0;314
499.0;-806.0;349.0;313.0;571.0;995.0;-12;-160;-12;16.0;308
529.0;-845.0;258.0;209.0;539.0;992.0;66;-160;66;29.0;325
529.0;-854.0;263.0;218.0;598.0;984.0;-26;-160;-26;144.0;303
527.0;-854.0;241.0;218.0;542.0;1034.0;-37;-159;-37;91.0;318
549.0;-708.0;210.0;52.0;453.0;872.0;-64;-159;-64;302.0;333
547.0;-853.0;255.0;239.0;524.0;1000.0;12;-159;12;91.0;296
552.0;-783.0;293.0;246.0;553.0;944.0;17;-159;17;33.0;300
559.0;-1097.0;327.0;80.0;472.0;1492.0;76;-158;76;-153.0;291
559.0;-902.0;82.0;51.0;497.0;1008.0;1;-159;1;-168.0;320
556.0;-865.0;211.0;217.0;549.0;973.0;-11;-159;-11;73.0;306
551.0;-876.0;266.0;199.0;551.0;986.0;-39;-159;-39;69.0;307
537.0;-856.0;248.0;250.0;535.0;995.0;-23;-159;-23;43.0;314
540.0;-814.0;340.0;248.0;585.0;969.0;15;-159;15;173.0;327
564.0;-810.0;208.0;199.0;480.0;951.0;5;-159;5;98.0;292
579.0;-1084.0;203.0;41.0;450.0;1291.0;115;-159;115;-203.0;314
543.0;-839.0;300.0;198.0;561.0;990.0;-14;-159;-14;385.0;290
537.0;-834.0;253.0;187.0;539.0;990.0;-4;-159;-4;275.0;296
519.0;-812.0;283.0;228.0;573.0;936.0;20;-159;20;798.0;297
544.0;-761.0;416.0;309.0;650.0;948.0;37;-159;37;90.0;300
538.0;-889.0;200.0;225.0;512.0;1026.0;-26;-159;-26;182.0;308
527.0;-800.0;299.0;262.0;574.0;956.0;-18;-159;-18;-6.0;312
527.0;-836.0;271.0;207.0;551.0;990.0;33;-159;33;63.0;306
510.0;-873.0;243.0;267.0;621.0;1037.0;-16;-159;-16;86.0;307
501.0;-831.0;260.0;250.0;554.0;960.0;5;-159;5;73.0;308
510.0;-841.0;270.0;257.0;581.0;975.0;33;-160;33;38.0;299
513.0;-819.0;291.0;268.0;551.0;961.0;-9;-159;-9;60.0;295
516.0;-844.0;250.0;249.0;589.0;973.0;-9;-159;-9;29.0;300
518.0;-836.0;280.0;265.0;574.0;990.0;9;-159;9;53.0;300
516.0;-836.0;274.0;277.0;587.0;990.0;22;-160;22;3.0;298
516.0;-827.0;267.0;264.0;587.0;962.0;-18;-160;-18;75.0;301
508.0;-826.0;309.0;265.0;584.0;979.0;25;-159;25;60.0;313
509.0;-843.0;304.0;280.0;575.0;1001.0;-23;-159;-23;63.0;304
513.0;-841.0;281.0;288.0;591.0;971.0;4;-159;4;49.0;311
512.0;-837.0;280.0;267.0;613.0;979.0;-11;-159;-11;36.0;307
510.0;-830.0;274.0;269.0;583.0;974.0;-5;-159;-5;65.0;307
508.0;-839.0;285.0;272.0;550.0;985.0;0;-159;0;62.0;304
508.0;-846.0;303.0;244.0;545.0;985.0;7;-159;7;54.0;309
508.0;-837.0;310.0;286.0;591.0;981.0;7;-159;7;103.0;302
506.0;-834.0;265.0;236.0;592.0;976.0;4;-159;4;24.0;309
508.0;-844.0;267.0;217.0;569.0;985.0;-27;-159;-27;70.0;305
519.0;-837.0;295.0;277.0;663.0;982.0;8;-159;8;25.0;302
518.0;-826.0;316.0;306.0;626.0;990.0;7;-159;7;113.0;303
515.0;-835.0;305.0;276.0;578.0;972.0;-36;-159;-36;61.0;302
514.0;-826.0;271.0;255.0;572.0;962.0;-75;-159;-75;71.0;304
514.0;-843.0;269.0;267.0;575.0;991.0;16;-159;16;43.0;307
514.0;-831.0;287.0;258.0;574.0;976.0;-11;-159;-11;90.0;307
501.0;-825.0;320.0;270.0;612.0;978.0;4;-159;4;51.0;306
500.0;-836.0;328.0;278.0;601.0;977.0;6;-159;6;30.0;308
501.0;-828.0;297.0;287.0;626.0;988.0;-18;-159;-18;52.0;309
501.0;-823.0;287.0;268.0;610.0;969.0;3;-159;3;29.0;310
508.0;-836.0;310.0;278.0;601.0;970.0;16;-159;16;79.0;314
511.0;-844.0;289.0;247.0;581.0;969.0;1;-159;1;28.0;317
509.0;-840.0;283.0;275.0;579.0;985.0;9;-159;9;58.0;304
511.0;-845.0;283.0;242.0;581.0;970.0;4;-159;4;42.0;310
513.0;-842.0;271.0;269.0;604.0;998.0;8;-159;8;55.0;315
516.0;-838.0;295.0;236.0;609.0;981.0;1;-159;1;9.0;311
509.0;-862.0;231.0;230.0;547.0;994.0;-28;-159;-28;227.0;306
545.0;-849.0;281.0;237.0;609.0;998.0;21;-159;21;241.0;297
534.0;-835.0;314.0;272.0;588.0;974.0;37;-159;37;51.0;301
536.0;-835.0;270.0;262.0;601.0;970.0;21;-159;21;26.0;306
535.0;-831.0;290.0;233.0;586.0;980.0;9;-159;9;33.0;304
527.0;-835.0;284.0;261.0;606.0;995.0;-32;-159;-32;63.0;311
522.0;-816.0;270.0;267.0;615.0;949.0;11;-159;11;51.0;306
527.0;-870.0;311.0;252.0;601.0;1020.0;9;-159;9;66.0;303
518.0;-848.0;266.0;247.0;604.0;1010.0;-72;-159;-72;82.0;304
517.0;-837.0;270.0;278.0;552.0;987.0;-19;-159;-19;51.0;308
516.0;-828.0;301.0;282.0;612.0;971.0;64;-159;64;48.0;310
519.0;-834.0;287.0;266.0;560.0;976.0;-12;-159;-12;133.0;298
520.0;-824.0;298.0;285.0;558.0;972.0;-7;-160;-7;144.0;297
455.0;-947.0;185.0;102.0;461.0;1029.0;-192;-163;-192;-40.0;719
410.0;-906.0;-69.0;124.0;366.0;1032.0;139;-163;139;295.0;280
412.0;-759.0;-18.0;128.0;314.0;872.0;59;-163;59;277.0;272
394.0;-904.0;188.0;262.0;672.0;845.0;74;-170;74;-95.0;123
538.0;-934.0;311.0;138.0;481.0;1143.0;-64;-171;-64;253.0;-294
739.0;-580.0;536.0;653.0;943.0;870.0;184;-122;184;-48.0;826
690.0;-786.0;167.0;341.0;978.0;864.0;32;-168;32;-496.0;-109
296.0;-846.0;81.0;7.0;416.0;1173.0;166;172;166;142.0;398
300.0;-841.0;31.0;76.0;348.0;829.0;512;172;512;146.0;344
497.0;-688.0;-14.0;-26.0;437.0;1024.0;106;-165;106;325.0;-128
697.0;-837.0;-115.0;-72.0;157.0;786.0;-27;-169;-27;342.0;401
650.0;-507.0;-49.0;110.0;345.0;528.0;28;-169;28;348.0;338
336.0;-859.0;284.0;235.0;535.0;958.0;342;178;342;318.0;341
572.0;-1376.0;212.0;253.0;489.0;840.0;25;-171;25;538.0;261
380.0;-1245.0;271.0;191.0;701.0;815.0;86;177;86;60.0;261
1081.0;-54.0;518.0;702.0;483.0;448.0;41;-173;41;152.0;254
91.0;-777.0;324.0;453.0;796.0;951.0;-463;-164;-463;-265.0;126
400.0;-675.0;396.0;381.0;794.0;797.0;-109;180;-109;485.0;261
243.0;-1020.0;343.0;106.0;582.0;1277.0;-116;-160;-116;1.0;207
360.0;-697.0;434.0;541.0;834.0;870.0;19;-173;19;28.0;260
388.0;-256.0;822.0;729.0;1088.0;505.0;214;-173;214;74.0;341
426.0;-138.0;822.0;473.0;667.0;371.0;95;-160;95;99.0;412
445.0;-971.0;96.0;241.0;694.0;1048.0;375;-167;375;212.0;214
466.0;-684.0;154.0;354.0;598.0;834.0;104;-169;104;178.0;261
469.0;-703.0;299.0;366.0;664.0;854.0;243;-166;243;24.0;258
472.0;-790.0;345.0;214.0;805.0;1030.0;-8;-166;-8;101.0;319
547.0;-713.0;480.0;384.0;898.0;1192.0;502;-127;502;196.0;307
489.0;-632.0;237.0;92.0;712.0;1157.0;-402;-120;-402;132.0;49
479.0;-1049.0;-69.0;190.0;590.0;1146.0;30;-169;30;290.0;283
406.0;-633.0;415.0;542.0;866.0;812.0;86;-169;86;80.0;300
490.0;-831.0;243.0;228.0;702.0;862.0;-123;-121;-123;273.0;357
486.0;-982.0;231.0;259.0;696.0;832.0;-123;-120;-123;179.0;329
498.0;-801.0;228.0;316.0;500.0;792.0;-39;-121;-39;132.0;266
264.0;-861.0;347.0;246.0;686.0;934.0;-366;-162;-366;246.0;282
252.0;-856.0;165.0;200.0;595.0;989.0;-228;-158;-228;-639.0;292
267.0;-869.0;140.0;145.0;488.0;993.0;33;-158;33;-562.0;299
264.0;-869.0;145.0;99.0;497.0;1021.0;-52;-158;-52;-550.0;299
513.0;-665.0;371.0;229.0;764.0;1144.0;-490;-145;-490;-249.0;36
267.0;-907.0;171.0;180.0;559.0;1029.0;-260;-159;-260;128.0;365
271.0;-895.0;174.0;174.0;566.0;1010.0;-297;-159;-297;-345.0;340
290.0;-915.0;178.0;188.0;579.0;1051.0;142;-156;142;-176.0;321
296.0;-909.0;214.0;197.0;574.0;1068.0;31;-156;31;-179.0;295
442.0;-786.0;75.0;163.0;436.0;923.0;40;-156;40;-312.0;283
439.0;-782.0;109.0;110.0;396.0;949.0;-2;-156;-2;-483.0;274
415.0;-812.0;17.0;109.0;372.0;950.0;-26;-156;-26;-44.0;268
412.0;-812.0;19.0;122.0;456.0;946.0;-34;-156;-34;-65.0;266
458.0;-935.0;-26.0;213.0;555.0;935.0;15;-144;15;760.0;256
515.0;-779.0;242.0;180.0;785.0;881.0;325;-153;325;347.0;382
443.0;-724.0;293.0;326.0;610.0;872.0;107;-165;107;-85.0;219
572.0;-725.0;312.0;247.0;650.0;865.0;114;-158;114;-67.0;274
572.0;-814.0;318.0;291.0;562.0;944.0;46;-159;46;113.0;278
506.0;-432.0;598.0;-111.0;588.0;711.0;-8;-161;-8;174.0;317
418.0;-795.0;246.0;391.0;668.0;926.0;24;-175;24;232.0;283
414.0;-707.0;455.0;348.0;647.0;862.0;-18;-175;-18;19.0;261
424.0;-806.0;357.0;284.0;662.0;939.0;-17;-175;-17;143.0;285
426.0;-771.0;394.0;323.0;642.0;925.0;-9;-175;-9;80.0;277
429.0;-779.0;396.0;288.0;678.0;943.0;4;-175;4;71.0;273
425.0;-815.0;339.0;253.0;672.0;980.0;3;-175;3;7.0;272
423.0;-806.0;328.0;270.0;672.0;970.0;-2;-175;-2;73.0;275
423.0;-812.0;339.0;337.0;687.0;966.0;6;-175;6;50.0;273
412.0;-758.0;382.0;260.0;674.0;932.0;-56;-175;-56;30.0;277
190.0;-1093.0;-197.0;562.0;669.0;854.0;-7;-175;-7;-14.0;280
-113.0;-859.0;282.0;164.0;631.0;998.0;5;-175;5;124.0;280
-88.0;-783.0;408.0;97.0;662.0;951.0;10;-175;10;150.0;276
-85.0;-798.0;383.0;69.0;647.0;964.0;-36;-175;-36;143.0;277
-84.0;-794.0;392.0;93.0;668.0;992.0;-18;-175;-18;160.0;280
-75.0;-796.0;292.0;-98.0;562.0;1027.0;-15;-175;-15;142.0;273
-64.0;-895.0;103.0;-186.0;481.0;999.0;-47;-175;-47;154.0;277
-64.0;-902.0;99.0;-193.0;518.0;1017.0;-2;-175;-2;160.0;277
-77.0;-800.0;361.0;203.0;651.0;972.0;23;-175;23;173.0;279
586.0;-795.0;717.0;290.0;1028.0;669.0;-127;-149;-127;-115.0;458
604.0;-539.0;381.0;242.0;798.0;981.0;438;-153;438;11.0;556
605.0;-599.0;657.0;444.0;917.0;846.0;-5;-152;-5;-50.0;348
475.0;100.0;756.0;507.0;957.0;689.0;-116;-155;-116;105.0;269
