InertialMeasurementUnit LUA magneticZ;InertialMeasurementUnit L-SHOE AngVelNavFrameZ;InertialMeasurementUnit BACK magneticY;InertialMeasurementUnit BACK Quaternion1;InertialMeasurementUnit L-SHOE Nav_Az;InertialMeasurementUnit BACK Quaternion3;InertialMeasurementUnit L-SHOE Body_Ay;InertialMeasurementUnit L-SHOE Nav_Ax
?;44;-431.0;-683.0;22;-558.0;?;?
99.0;26;-438.0;?;21;-562.0;645;1
66.0;0;-439.0;?;22;?;643;-6
50.0;-4;-437.0;?;?;-563.0;?;-6
53.0;?;-437.0;-670.0;21;-565.0;645;?
66.0;-1;-440.0;-668.0;21;-566.0;644;1
87.0;-7;-441.0;?;21;-569.0;642;-2
113.0;12;-441.0;-665.0;19;-570.0;644;?
154.0;?;-437.0;-668.0;18;-570.0;644;2
587.0;17;?;?;21;-594.0;646;3
602.0;14;?;-657.0;?;-594.0;?;9
603.0;?;-408.0;-657.0;?;-593.0;645;1
?;-16;-411.0;?;20;-592.0;644;-4
595.0;-15;-409.0;-657.0;19;-592.0;650;-3
596.0;39;-411.0;-656.0;21;?;644;?
?;-21;-411.0;-656.0;?;-593.0;647;?
619.0;-17;-409.0;-657.0;15;-593.0;650;4
628.0;5;-406.0;-657.0;?;-593.0;642;?
633.0;-16;-403.0;-656.0;25;-591.0;641;?
?;?;?;-657.0;19;-588.0;647;-1
624.0;?;-409.0;-658.0;14;-586.0;650;-6
?;15;?;-656.0;12;-583.0;?;?
564.0;23;-415.0;-656.0;14;-581.0;649;3
512.0;?;-419.0;?;14;-575.0;?;-3
453.0;-6;?;-658.0;20;-571.0;644;?
386.0;-43;-430.0;?;22;-567.0;645;3
?;?;?;-662.0;18;-565.0;?;?
?;-15;-433.0;-664.0;25;-565.0;642;-1
211.0;-31;-432.0;-666.0;21;-563.0;?;1
?;7;-431.0;-672.0;23;-562.0;?;?
?;?;-432.0;-674.0;29;-568.0;638;?
48.0;-22;?;-675.0;20;?;?;12
13.0;?;?;-674.0;22;-572.0;641;2
-4.0;?;?;-672.0;25;-572.0;639;?
-2.0;?;-435.0;-671.0;17;-572.0;643;-4
18.0;-3;-436.0;?;19;?;644;-1
40.0;-10;-438.0;-669.0;21;-573.0;644;?
55.0;1;-440.0;?;16;-573.0;645;?
70.0;9;-432.0;-675.0;15;-571.0;648;1
89.0;?;-429.0;-679.0;16;-571.0;648;-1
119.0;15;-424.0;-682.0;?;-570.0;642;2
578.0;10;?;-665.0;15;-601.0;642;-5
597.0;-23;?;-664.0;19;-601.0;641;-6
?;18;-406.0;?;21;-600.0;638;-6
589.0;10;-407.0;-664.0;18;-599.0;643;-8
?;-18;-410.0;-664.0;23;-599.0;645;3
593.0;-21;-407.0;-664.0;23;-599.0;639;1
606.0;-24;-406.0;-663.0;18;-600.0;640;-6
615.0;-32;-403.0;?;21;?;645;1
617.0;-1;?;-659.0;19;-605.0;?;0
627.0;40;-402.0;?;?;-607.0;650;0
631.0;18;-397.0;-658.0;15;-609.0;650;4
632.0;-1;-394.0;-658.0;18;-609.0;640;-6
613.0;-2;?;-660.0;19;-606.0;639;?
?;?;-390.0;-662.0;19;?;643;?
536.0;15;-398.0;-663.0;21;-595.0;640;-3
482.0;12;?;-664.0;25;-588.0;638;-5
417.0;-40;-409.0;?;24;-581.0;641;?
355.0;-4;-413.0;-671.0;?;-573.0;638;-3
?;?;-419.0;-676.0;19;-567.0;644;1
235.0;-22;-415.0;-680.0;20;-563.0;643;1
181.0;-18;-414.0;-684.0;18;-562.0;639;-3
125.0;-10;-411.0;-686.0;16;-565.0;646;1
79.0;-17;-410.0;-686.0;?;-569.0;642;5
38.0;-26;-412.0;-686.0;20;-569.0;647;4
16.0;?;-415.0;-683.0;18;-569.0;648;?
7.0;24;-418.0;-682.0;21;-569.0;641;-4
?;8;-419.0;-680.0;20;?;644;-5
27.0;8;-422.0;-679.0;24;-570.0;641;0
38.0;16;-423.0;-677.0;17;-570.0;644;-3
?;?;-424.0;-678.0;17;-570.0;647;?
?;15;-425.0;?;21;-570.0;641;0
597.0;-3;-432.0;?;22;-577.0;645;?
599.0;-3;-431.0;-671.0;?;-579.0;643;-3
