InertialMeasurementUnit BACK magneticX;InertialMeasurementUnit RLA accX;Accelerometer RUA_ accX;Accelerometer RUA^ accZ;Accelerometer RWR accZ;Accelerometer RUA_ accY;InertialMeasurementUnit R-SHOE AngVelNavFrameX;InertialMeasurementUnit R-SHOE EuZ;InertialMeasurementUnit R-SHOE AngVelBodyFrameY;Accelerometer LH accZ;InertialMeasurementUnit R-SHOE Body_Ax
536.0;-835.0;270.0;262.0;601.0;970.0;21;-159;21;26.0;306
479.0;-581.0;600.0;346.0;876.0;772.0;-18;-163;-18;81.0;266
1018.0;-776.0;131.0;137.0;538.0;887.0;-711;-164;-711;160.0;2642
439.0;-689.0;504.0;172.0;789.0;905.0;-8;-158;-8;434.0;293
596.0;-415.0;630.0;352.0;873.0;739.0;49;-174;49;-784.0;246
413.0;-842.0;252.0;277.0;556.0;990.0;-2;-156;-2;93.0;279
523.0;-748.0;417.0;252.0;704.0;831.0;38;-174;38;57.0;236
498.0;-742.0;320.0;250.0;607.0;905.0;-34;-158;-34;38.0;342
502.0;-795.0;351.0;220.0;579.0;924.0;40;-159;40;-10.0;346
460.0;-1080.0;-58.0;179.0;411.0;1029.0;251;-136;251;257.0;433
499.0;-806.0;349.0;313.0;571.0;995.0;-12;-160;-12;16.0;308
489.0;437.0;969.0;709.0;832.0;17.0;-19;-131;-19;-631.0;212
137.0;-489.0;635.0;221.0;941.0;800.0;-6;-168;-6;618.0;178
418.0;717.0;541.0;1035.0;405.0;-462.0;-16;-153;-16;55.0;261
547.0;-638.0;251.0;261.0;608.0;731.0;8;-168;8;228.0;249
495.0;-454.0;533.0;197.0;795.0;892.0;23;176;23;317.0;278
552.0;-783.0;293.0;246.0;553.0;944.0;17;-159;17;33.0;300
472.0;-790.0;345.0;214.0;805.0;1030.0;-8;-166;-8;101.0;319
791.0;-723.0;347.0;340.0;557.0;877.0;42;-156;42;290.0;271
561.0;-585.0;242.0;349.0;682.0;805.0;-21;-166;-21;232.0;293
1163.0;-574.0;259.0;314.0;607.0;767.0;-44;-157;-44;96.0;243
431.0;-752.0;407.0;287.0;688.0;895.0;-171;-160;-171;40.0;312
545.0;-849.0;281.0;237.0;609.0;998.0;21;-159;21;241.0;297
268.0;-706.0;208.0;262.0;662.0;868.0;55;-152;55;296.0;239
528.0;-21.0;639.0;810.0;608.0;380.0;40;-146;40;66.0;262
407.0;-663.0;390.0;507.0;755.0;843.0;17;-160;17;54.0;256
419.0;-721.0;432.0;277.0;653.0;929.0;-49;-160;-49;79.0;327
500.0;-772.0;446.0;418.0;655.0;935.0;-4;176;-4;198.0;264
544.0;-761.0;416.0;309.0;650.0;948.0;37;-159;37;90.0;300
220.0;-711.0;222.0;382.0;631.0;840.0;14;-173;14;29.0;234
264.0;-869.0;145.0;99.0;497.0;1021.0;-52;-158;-52;-550.0;299
423.0;-773.0;242.0;262.0;763.0;1133.0;566;-173;566;-196.0;-3
690.0;-840.0;267.0;166.0;472.0;791.0;1500;-154;1500;61.0;315
442.0;-850.0;126.0;188.0;532.0;972.0;46;-168;46;150.0;287
510.0;-841.0;270.0;257.0;581.0;975.0;33;-160;33;38.0;299
513.0;-819.0;291.0;268.0;551.0;961.0;-9;-159;-9;60.0;295
840.0;-774.0;329.0;245.0;681.0;961.0;5;-157;5;142.0;334
518.0;-836.0;280.0;265.0;574.0;990.0;9;-159;9;53.0;300
414.0;-707.0;455.0;348.0;647.0;862.0;-18;-175;-18;19.0;261
516.0;-827.0;267.0;264.0;587.0;962.0;-18;-160;-18;75.0;301
508.0;-826.0;309.0;265.0;584.0;979.0;25;-159;25;60.0;313
424.0;-806.0;357.0;284.0;662.0;939.0;-17;-175;-17;143.0;285
513.0;-841.0;281.0;288.0;591.0;971.0;4;-159;4;49.0;311
512.0;-837.0;280.0;267.0;613.0;979.0;-11;-159;-11;36.0;307
510.0;-830.0;274.0;269.0;583.0;974.0;-5;-159;-5;65.0;307
426.0;-771.0;394.0;323.0;642.0;925.0;-9;-175;-9;80.0;277
429.0;-779.0;396.0;288.0;678.0;943.0;4;-175;4;71.0;273
508.0;-837.0;310.0;286.0;591.0;981.0;7;-159;7;103.0;302
296.0;-909.0;214.0;197.0;574.0;1068.0;31;-156;31;-179.0;295
520.0;-824.0;298.0;285.0;558.0;972.0;-7;-160;-7;144.0;297
519.0;-837.0;295.0;277.0;663.0;982.0;8;-159;8;25.0;302
518.0;-826.0;316.0;306.0;626.0;990.0;7;-159;7;113.0;303
506.0;-948.0;260.0;217.0;545.0;802.0;3186;-177;3186;160.0;1068
772.0;-875.0;421.0;131.0;557.0;1064.0;738;-141;738;192.0;409
425.0;-815.0;339.0;253.0;672.0;980.0;3;-175;3;7.0;272
508.0;-844.0;267.0;217.0;569.0;985.0;-27;-159;-27;70.0;305
501.0;-825.0;320.0;270.0;612.0;978.0;4;-159;4;51.0;306
500.0;-836.0;328.0;278.0;601.0;977.0;6;-159;6;30.0;308
501.0;-828.0;297.0;287.0;626.0;988.0;-18;-159;-18;52.0;309
501.0;-823.0;287.0;268.0;610.0;969.0;3;-159;3;29.0;310
508.0;-836.0;310.0;278.0;601.0;970.0;16;-159;16;79.0;314
511.0;-844.0;289.0;247.0;581.0;969.0;1;-159;1;28.0;317
509.0;-840.0;283.0;275.0;579.0;985.0;9;-159;9;58.0;304
459.0;-917.0;285.0;169.0;564.0;822.0;4;-169;4;38.0;211
522.0;-816.0;270.0;267.0;615.0;949.0;11;-159;11;51.0;306
