InertialMeasurementUnit BACK magneticX;InertialMeasurementUnit RLA accX;Accelerometer RUA_ accX;Accelerometer RUA^ accZ;Accelerometer RWR accZ;Accelerometer RUA_ accY;InertialMeasurementUnit R-SHOE AngVelNavFrameX;InertialMeasurementUnit R-SHOE EuZ;InertialMeasurementUnit R-SHOE AngVelBodyFrameY;Accelerometer LH accZ;InertialMeasurementUnit R-SHOE Body_Ax
521.0;-589.0;250.0;393.0;608.0;756.0;-66;-147;-66;253.0;310
223.0;-640.0;281.0;390.0;635.0;838.0;26;-151;26;275.0;198
249.0;-782.0;244.0;332.0;509.0;822.0;7;-142;7;295.0;267
550.0;-697.0;366.0;291.0;699.0;999.0;-25;-164;-25;234.0;252
383.0;-791.0;351.0;162.0;804.0;836.0;188;-161;188;-201.0;270
516.0;-767.0;657.0;380.0;820.0;979.0;-19;-159;-19;154.0;331
515.0;-883.0;334.0;218.0;582.0;1043.0;28;-159;28;164.0;322
498.0;-742.0;320.0;250.0;607.0;905.0;-34;-158;-34;38.0;342
502.0;-795.0;351.0;220.0;579.0;924.0;40;-159;40;-10.0;346
518.0;-811.0;270.0;266.0;580.0;982.0;55;-159;55;108.0;314
499.0;-806.0;349.0;313.0;571.0;995.0;-12;-160;-12;16.0;308
529.0;-845.0;258.0;209.0;539.0;992.0;66;-160;66;29.0;325
529.0;-854.0;263.0;218.0;598.0;984.0;-26;-160;-26;144.0;303
527.0;-854.0;241.0;218.0;542.0;1034.0;-37;-159;-37;91.0;318
380.0;-776.0;413.0;111.0;783.0;778.0;118;-162;118;341.0;247
547.0;-853.0;255.0;239.0;524.0;1000.0;12;-159;12;91.0;296
552.0;-783.0;293.0;246.0;553.0;944.0;17;-159;17;33.0;300
496.0;-834.0;319.0;183.0;664.0;978.0;10;-157;10;108.0;271
492.0;-604.0;423.0;153.0;620.0;1096.0;21;-157;21;118.0;269
556.0;-865.0;211.0;217.0;549.0;973.0;-11;-159;-11;73.0;306
551.0;-876.0;266.0;199.0;551.0;986.0;-39;-159;-39;69.0;307
537.0;-856.0;248.0;250.0;535.0;995.0;-23;-159;-23;43.0;314
540.0;-814.0;340.0;248.0;585.0;969.0;15;-159;15;173.0;327
564.0;-810.0;208.0;199.0;480.0;951.0;5;-159;5;98.0;292
489.0;-618.0;523.0;92.0;539.0;1036.0;8;-157;8;98.0;270
543.0;-839.0;300.0;198.0;561.0;990.0;-14;-159;-14;385.0;290
537.0;-834.0;253.0;187.0;539.0;990.0;-4;-159;-4;275.0;296
487.0;-619.0;492.0;81.0;679.0;966.0;42;-157;42;99.0;271
544.0;-761.0;416.0;309.0;650.0;948.0;37;-159;37;90.0;300
538.0;-889.0;200.0;225.0;512.0;1026.0;-26;-159;-26;182.0;308
527.0;-800.0;299.0;262.0;574.0;956.0;-18;-159;-18;-6.0;312
527.0;-836.0;271.0;207.0;551.0;990.0;33;-159;33;63.0;306
510.0;-873.0;243.0;267.0;621.0;1037.0;-16;-159;-16;86.0;307
501.0;-831.0;260.0;250.0;554.0;960.0;5;-159;5;73.0;308
510.0;-841.0;270.0;257.0;581.0;975.0;33;-160;33;38.0;299
513.0;-819.0;291.0;268.0;551.0;961.0;-9;-159;-9;60.0;295
516.0;-844.0;250.0;249.0;589.0;973.0;-9;-159;-9;29.0;300
518.0;-836.0;280.0;265.0;574.0;990.0;9;-159;9;53.0;300
516.0;-836.0;274.0;277.0;587.0;990.0;22;-160;22;3.0;298
516.0;-827.0;267.0;264.0;587.0;962.0;-18;-160;-18;75.0;301
508.0;-826.0;309.0;265.0;584.0;979.0;25;-159;25;60.0;313
509.0;-843.0;304.0;280.0;575.0;1001.0;-23;-159;-23;63.0;304
513.0;-841.0;281.0;288.0;591.0;971.0;4;-159;4;49.0;311
512.0;-837.0;280.0;267.0;613.0;979.0;-11;-159;-11;36.0;307
510.0;-830.0;274.0;269.0;583.0;974.0;-5;-159;-5;65.0;307
508.0;-839.0;285.0;272.0;550.0;985.0;0;-159;0;62.0;304
508.0;-846.0;303.0;244.0;545.0;985.0;7;-159;7;54.0;309
508.0;-837.0;310.0;286.0;591.0;981.0;7;-159;7;103.0;302
506.0;-834.0;265.0;236.0;592.0;976.0;4;-159;4;24.0;309
508.0;-844.0;267.0;217.0;569.0;985.0;-27;-159;-27;70.0;305
519.0;-837.0;295.0;277.0;663.0;982.0;8;-159;8;25.0;302
518.0;-826.0;316.0;306.0;626.0;990.0;7;-159;7;113.0;303
515.0;-835.0;305.0;276.0;578.0;972.0;-36;-159;-36;61.0;302
514.0;-826.0;271.0;255.0;572.0;962.0;-75;-159;-75;71.0;304
514.0;-843.0;269.0;267.0;575.0;991.0;16;-159;16;43.0;307
514.0;-831.0;287.0;258.0;574.0;976.0;-11;-159;-11;90.0;307
501.0;-825.0;320.0;270.0;612.0;978.0;4;-159;4;51.0;306
500.0;-836.0;328.0;278.0;601.0;977.0;6;-159;6;30.0;308
501.0;-828.0;297.0;287.0;626.0;988.0;-18;-159;-18;52.0;309
501.0;-823.0;287.0;268.0;610.0;969.0;3;-159;3;29.0;310
508.0;-836.0;310.0;278.0;601.0;970.0;16;-159;16;79.0;314
511.0;-844.0;289.0;247.0;581.0;969.0;1;-159;1;28.0;317
509.0;-840.0;283.0;275.0;579.0;985.0;9;-159;9;58.0;304
511.0;-845.0;283.0;242.0;581.0;970.0;4;-159;4;42.0;310
