InertialMeasurementUnit RLA accZ;InertialMeasurementUnit L-SHOE EuZ;InertialMeasurementUnit RLA Quaternion1;InertialMeasurementUnit LUA Quaternion2;InertialMeasurementUnit BACK Quaternion2;InertialMeasurementUnit RLA Quaternion3;InertialMeasurementUnit LLA Quaternion2;InertialMeasurementUnit RUA Quaternion1;InertialMeasurementUnit LLA magneticY
410.0;-170;88.0;165.0;-217.0;-37.0;-3.0;-224.0;423.0
325.0;178;247.0;9.0;-390.0;-270.0;88.0;-195.0;386.0
920.0;-176;360.0;-164.0;4.0;-316.0;238.0;-488.0;-131.0
645.0;-176;289.0;-162.0;-2.0;-334.0;242.0;-542.0;-123.0
409.0;-176;198.0;-161.0;-8.0;-311.0;261.0;-563.0;-90.0
566.0;-176;142.0;-157.0;-17.0;-311.0;269.0;-564.0;-85.0
562.0;-176;137.0;-148.0;-38.0;-410.0;286.0;-570.0;-63.0
688.0;152;8.0;140.0;345.0;-112.0;-8.0;-335.0;83.0
455.0;-173;119.0;107.0;299.0;-167.0;-74.0;-292.0;402.0
535.0;-179;89.0;74.0;297.0;-62.0;12.0;-286.0;371.0
543.0;-179;89.0;71.0;299.0;-60.0;23.0;-290.0;321.0
520.0;-179;98.0;88.0;306.0;-71.0;2.0;-287.0;288.0
407.0;-178;165.0;92.0;335.0;-98.0;-16.0;-228.0;440.0
499.0;-178;157.0;86.0;332.0;-83.0;0.0;-235.0;460.0
566.0;-177;123.0;97.0;327.0;-76.0;6.0;-255.0;428.0
549.0;-177;119.0;97.0;326.0;-76.0;10.0;-258.0;424.0
482.0;-177;105.0;78.0;310.0;-82.0;29.0;-275.0;376.0
478.0;-177;105.0;74.0;306.0;-83.0;31.0;-277.0;377.0
545.0;-178;133.0;54.0;299.0;-53.0;30.0;-274.0;435.0
510.0;-177;135.0;54.0;303.0;-49.0;29.0;-273.0;450.0
490.0;-178;135.0;54.0;304.0;-45.0;28.0;-271.0;451.0
479.0;-187;139.0;68.0;318.0;-49.0;21.0;-262.0;431.0
478.0;159;160.0;106.0;344.0;-51.0;-18.0;-245.0;398.0
519.0;-161;182.0;119.0;388.0;-47.0;-3.0;-234.0;411.0
494.0;-179;141.0;76.0;329.0;-33.0;30.0;-267.0;369.0
468.0;-178;118.0;51.0;302.0;-56.0;41.0;-298.0;467.0
338.0;-178;142.0;64.0;340.0;-78.0;29.0;-262.0;467.0
321.0;-178;140.0;59.0;338.0;-81.0;29.0;-261.0;482.0
479.0;-178;143.0;58.0;333.0;-65.0;41.0;-265.0;507.0
484.0;-177;125.0;37.0;301.0;-50.0;68.0;-287.0;390.0
471.0;-177;124.0;18.0;283.0;-45.0;72.0;-292.0;437.0
472.0;-177;123.0;12.0;277.0;-45.0;75.0;-294.0;457.0
505.0;-177;106.0;5.0;271.0;-34.0;67.0;-300.0;538.0
486.0;-176;121.0;22.0;291.0;-46.0;69.0;-288.0;506.0
340.0;-179;120.0;38.0;316.0;-84.0;65.0;-272.0;532.0
447.0;-179;117.0;22.0;308.0;-86.0;52.0;-280.0;610.0
493.0;157;109.0;19.0;307.0;-81.0;108.0;-281.0;519.0
516.0;190;103.0;26.0;303.0;-75.0;104.0;-287.0;482.0
473.0;176;110.0;-22.0;252.0;-40.0;112.0;-302.0;533.0
497.0;175;107.0;-36.0;251.0;-29.0;120.0;-303.0;555.0
472.0;-175;113.0;-20.0;262.0;-43.0;119.0;-305.0;530.0
448.0;-157;116.0;-12.0;266.0;-46.0;114.0;-301.0;516.0
377.0;-176;132.0;-1.0;307.0;-63.0;104.0;-280.0;543.0
344.0;-177;103.0;-7.0;319.0;-93.0;88.0;-285.0;670.0
563.0;-177;154.0;214.0;367.0;-44.0;-220.0;-257.0;417.0
544.0;-177;166.0;282.0;377.0;-33.0;-268.0;-248.0;263.0
508.0;-177;173.0;347.0;382.0;-31.0;-296.0;-242.0;129.0
440.0;-177;176.0;430.0;386.0;-38.0;-313.0;-237.0;-77.0
559.0;-176;136.0;-149.0;-37.0;-409.0;330.0;-574.0;66.0
561.0;-176;136.0;-149.0;-35.0;-411.0;321.0;-573.0;29.0
562.0;-176;134.0;-152.0;-32.0;-412.0;266.0;-574.0;-124.0
562.0;-176;134.0;-152.0;-32.0;-412.0;262.0;-574.0;-131.0
567.0;-176;133.0;-152.0;-32.0;-412.0;263.0;-575.0;-127.0
564.0;-176;133.0;-152.0;-32.0;-412.0;264.0;-576.0;-124.0
518.0;-177;144.0;141.0;349.0;-67.0;39.0;-254.0;588.0
542.0;-177;118.0;96.0;343.0;-33.0;42.0;-262.0;344.0
463.0;-177;179.0;75.0;338.0;-84.0;46.0;-238.0;499.0
496.0;-177;159.0;56.0;336.0;-74.0;70.0;-242.0;492.0
523.0;-177;134.0;53.0;336.0;-58.0;69.0;-246.0;471.0
494.0;-177;127.0;54.0;336.0;-55.0;67.0;-250.0;469.0
455.0;-177;138.0;66.0;340.0;-64.0;56.0;-252.0;476.0
510.0;-177;157.0;62.0;345.0;-64.0;55.0;-235.0;469.0
219.0;-177;-93.0;51.0;335.0;-302.0;66.0;-281.0;482.0
373.0;-177;-87.0;52.0;334.0;-332.0;65.0;-285.0;483.0
317.0;-177;-40.0;40.0;320.0;-372.0;80.0;-268.0;505.0
292.0;-177;-26.0;35.0;316.0;-387.0;85.0;-269.0;510.0
413.0;-177;7.0;37.0;316.0;-313.0;82.0;-255.0;515.0
521.0;-177;45.0;75.0;361.0;-88.0;38.0;-235.0;469.0
506.0;-177;79.0;91.0;380.0;-106.0;38.0;-223.0;468.0
474.0;-177;80.0;76.0;375.0;-127.0;62.0;-227.0;492.0
481.0;-177;85.0;77.0;375.0;-125.0;62.0;-224.0;493.0
450.0;-177;80.0;66.0;368.0;-132.0;78.0;-228.0;505.0
470.0;-177;74.0;66.0;363.0;-129.0;79.0;-232.0;506.0
462.0;-177;65.0;49.0;349.0;-133.0;95.0;-238.0;520.0
481.0;-177;63.0;44.0;344.0;-132.0;101.0;-241.0;518.0
476.0;-177;73.0;47.0;347.0;-132.0;98.0;-231.0;508.0
473.0;-177;71.0;49.0;344.0;-138.0;97.0;-230.0;508.0
469.0;-177;66.0;49.0;344.0;-144.0;95.0;-230.0;521.0
457.0;-177;61.0;50.0;349.0;-150.0;92.0;-230.0;533.0
456.0;-177;71.0;47.0;355.0;-145.0;96.0;-229.0;509.0
441.0;-177;53.0;38.0;349.0;-141.0;103.0;-238.0;517.0
463.0;-177;56.0;38.0;349.0;-147.0;102.0;-236.0;524.0
465.0;-177;57.0;39.0;349.0;-147.0;101.0;-236.0;524.0
466.0;-177;60.0;40.0;349.0;-144.0;98.0;-233.0;519.0
473.0;-177;62.0;41.0;348.0;-139.0;97.0;-232.0;517.0
463.0;-177;64.0;43.0;350.0;-135.0;95.0;-230.0;512.0
469.0;-177;60.0;41.0;353.0;-136.0;95.0;-234.0;516.0
472.0;-177;56.0;35.0;348.0;-143.0;100.0;-238.0;526.0
462.0;-177;20.0;17.0;325.0;-165.0;119.0;-261.0;556.0
479.0;-177;-1.0;9.0;317.0;-176.0;131.0;-275.0;583.0
476.0;-177;-1.0;5.0;314.0;-178.0;137.0;-277.0;588.0
469.0;-177;-43.0;-21.0;291.0;-195.0;164.0;-307.0;622.0
478.0;-177;-43.0;-21.0;291.0;-195.0;163.0;-307.0;624.0
478.0;-177;-40.0;-20.0;292.0;-194.0;163.0;-305.0;626.0
450.0;-177;-25.0;-19.0;292.0;-196.0;163.0;-297.0;624.0
452.0;-177;-18.0;-18.0;295.0;-192.0;162.0;-292.0;620.0
444.0;-177;-19.0;-16.0;300.0;-194.0;163.0;-293.0;612.0
425.0;-177;-5.0;3.0;319.0;-183.0;152.0;-284.0;588.0
411.0;-177;1.0;5.0;322.0;-184.0;151.0;-281.0;584.0
469.0;-176;8.0;16.0;330.0;-175.0;136.0;-276.0;589.0
