Accelerometer LH accX;Accelerometer RKN_ accX;InertialMeasurementUnit L-SHOE AngVelBodyFrameX;Accelerometer BACK accX;Accelerometer LUA_ accZ;InertialMeasurementUnit LUA accZ;InertialMeasurementUnit LLA accY;Accelerometer LUA^ accZ;Accelerometer HIP accZ
339.0;-27.0;-23;338.0;483.0;291.0;-334.0;277.0;394.0
234.0;-40.0;-300;282.0;268.0;426.0;-421.0;162.0;170.0
300.0;-81.0;-12;435.0;325.0;-4.0;-410.0;116.0;281.0
429.0;-66.0;25;421.0;402.0;74.0;-373.0;164.0;282.0
252.0;-138.0;63;-130.0;238.0;202.0;-281.0;135.0;499.0
204.0;21.0;53;-33.0;262.0;156.0;-272.0;183.0;420.0
270.0;-64.0;-23;76.0;329.0;160.0;-246.0;226.0;465.0
218.0;-81.0;-43;1.0;273.0;98.0;-319.0;178.0;436.0
444.0;-209.0;-99;48.0;252.0;45.0;-177.0;172.0;552.0
116.0;517.0;-7;166.0;413.0;268.0;-349.0;219.0;284.0
609.0;-340.0;16;145.0;398.0;363.0;-121.0;350.0;352.0
264.0;-303.0;5;88.0;359.0;522.0;-341.0;59.0;339.0
485.0;30.0;278;118.0;260.0;374.0;-221.0;155.0;451.0
74.0;13.0;154;259.0;312.0;513.0;-356.0;198.0;308.0
321.0;-22.0;80;274.0;333.0;447.0;-270.0;262.0;340.0
663.0;-60.0;117;260.0;433.0;436.0;-177.0;443.0;389.0
602.0;-107.0;273;81.0;371.0;100.0;-701.0;306.0;450.0
190.0;-147.0;-744;-29.0;201.0;321.0;-76.0;13.0;346.0
503.0;-110.0;-34;63.0;381.0;162.0;-380.0;276.0;375.0
508.0;-121.0;181;42.0;378.0;230.0;-399.0;271.0;411.0
530.0;87.0;93;303.0;433.0;420.0;50.0;291.0;291.0
377.0;-81.0;123;373.0;387.0;555.0;-81.0;300.0;313.0
333.0;-172.0;53;104.0;408.0;138.0;-299.0;273.0;365.0
375.0;-67.0;-62;96.0;417.0;153.0;-330.0;275.0;361.0
371.0;291.0;215;310.0;186.0;225.0;-140.0;-62.0;371.0
274.0;-213.0;-48;95.0;412.0;220.0;-297.0;220.0;341.0
333.0;-144.0;-3;67.0;391.0;181.0;-310.0;243.0;385.0
591.0;4.0;-265;123.0;370.0;114.0;-175.0;315.0;487.0
505.0;-256.0;402;219.0;368.0;179.0;-365.0;252.0;111.0
201.0;-153.0;-54;283.0;447.0;457.0;-376.0;165.0;29.0
148.0;-116.0;14;247.0;425.0;194.0;-370.0;154.0;283.0
156.0;-104.0;15;265.0;391.0;231.0;-283.0;249.0;233.0
353.0;-145.0;-10;200.0;421.0;186.0;-331.0;267.0;265.0
387.0;-180.0;-102;208.0;452.0;201.0;-335.0;305.0;346.0
162.0;-45.0;-417;162.0;282.0;487.0;-175.0;51.0;405.0
