InertialMeasurementUnit RUA Quaternion2;InertialMeasurementUnit LUA Quaternion3;Accelerometer LWR accY;InertialMeasurementUnit LUA gyroX;InertialMeasurementUnit RUA gyroX;InertialMeasurementUnit LLA Quaternion3;InertialMeasurementUnit LLA accZ;InertialMeasurementUnit RLA Quaternion4;Accelerometer LUA_ accY
-58.0;-207.0;-1248.0;431.0;-943.0;230.0;-255.0;-863.0;?
-52.0;-195.0;?;764.0;-1134.0;?;-99.0;-871.0;-743.0
?;-184.0;-1011.0;592.0;-565.0;211.0;3.0;?;-695.0
?;-177.0;?;-22.0;-83.0;199.0;-19.0;-875.0;-803.0
-53.0;?;-889.0;-363.0;198.0;192.0;-146.0;-870.0;-1004.0
?;?;-906.0;-330.0;178.0;193.0;-65.0;?;?
-50.0;-191.0;-1156.0;-359.0;90.0;?;?;?;-804.0
-47.0;-201.0;?;-369.0;160.0;?;-37.0;?;-739.0
-44.0;-218.0;-1249.0;-344.0;257.0;196.0;-99.0;-836.0;-633.0
458.0;-658.0;-587.0;?;?;?;458.0;-329.0;?
455.0;?;-413.0;-138.0;?;?;492.0;?;-300.0
448.0;-654.0;-330.0;10.0;-243.0;580.0;519.0;-338.0;-325.0
434.0;-645.0;-375.0;145.0;-251.0;573.0;568.0;-350.0;-461.0
412.0;-631.0;-413.0;259.0;-377.0;?;739.0;-370.0;-443.0
389.0;?;-471.0;383.0;-319.0;545.0;879.0;-394.0;-438.0
362.0;-588.0;-593.0;-10.0;?;525.0;949.0;-425.0;-464.0
331.0;-567.0;-572.0;-375.0;?;503.0;951.0;-463.0;-532.0
297.0;-544.0;?;-625.0;?;475.0;860.0;?;?
264.0;-520.0;-646.0;?;928.0;?;630.0;-555.0;?
227.0;-496.0;-668.0;-774.0;?;421.0;329.0;-604.0;-514.0
187.0;-465.0;-657.0;-670.0;973.0;404.0;?;-653.0;-465.0
150.0;-431.0;-652.0;-428.0;872.0;381.0;?;-698.0;?
112.0;-394.0;?;-63.0;734.0;349.0;113.0;?;-478.0
77.0;-357.0;-588.0;24.0;644.0;314.0;41.0;-776.0;-558.0
44.0;-322.0;-591.0;-13.0;644.0;283.0;8.0;-806.0;-811.0
14.0;-291.0;-664.0;57.0;?;?;-51.0;-830.0;-1163.0
-12.0;-266.0;-832.0;?;?;234.0;-197.0;-847.0;?
?;?;-1175.0;-374.0;1020.0;222.0;?;-858.0;-1227.0
-50.0;-229.0;-1419.0;?;992.0;208.0;-161.0;?;-957.0
-62.0;-214.0;-1492.0;-512.0;453.0;?;-189.0;-865.0;-824.0
-68.0;-198.0;?;-415.0;?;173.0;-417.0;-870.0;-679.0
-65.0;-186.0;-1207.0;468.0;-827.0;178.0;?;?;?
-62.0;-180.0;-1024.0;?;-632.0;187.0;-8.0;-882.0;-588.0
-62.0;?;-880.0;727.0;-107.0;188.0;?;-880.0;-673.0
-59.0;-180.0;-795.0;148.0;159.0;189.0;97.0;-875.0;-771.0
-54.0;?;?;-326.0;161.0;?;246.0;-868.0;?
-48.0;?;-909.0;?;-167.0;?;?;-864.0;-861.0
?;-201.0;-1013.0;?;-257.0;183.0;?;?;?
-35.0;-205.0;-1073.0;-186.0;-138.0;185.0;149.0;-861.0;?
?;-211.0;-1017.0;-246.0;-47.0;182.0;67.0;-858.0;-704.0
-30.0;-222.0;-989.0;-339.0;21.0;179.0;-78.0;-852.0;-787.0
?;-659.0;-751.0;-377.0;-160.0;616.0;385.0;-376.0;?
?;-660.0;-683.0;-147.0;?;614.0;371.0;-376.0;?
420.0;-659.0;-529.0;-74.0;-142.0;?;431.0;-377.0;-330.0
416.0;-656.0;-431.0;-56.0;-203.0;607.0;515.0;?;?
407.0;-648.0;-430.0;25.0;?;?;572.0;-389.0;-371.0
392.0;-635.0;-435.0;173.0;-278.0;585.0;678.0;?;-384.0
374.0;-618.0;-484.0;164.0;-133.0;570.0;?;-422.0;-387.0
354.0;-599.0;?;?;?;558.0;?;?;-413.0
?;-578.0;-493.0;-315.0;?;541.0;851.0;-475.0;-398.0
295.0;?;-524.0;-396.0;691.0;?;791.0;-511.0;-379.0
260.0;-524.0;-564.0;-356.0;?;493.0;638.0;-553.0;-409.0
