InertialMeasurementUnit L-SHOE Compass;InertialMeasurementUnit R-SHOE Body_Az;Accelerometer RUA^ accY;Accelerometer LUA^ accX;InertialMeasurementUnit R-SHOE AngVelNavFrameY;InertialMeasurementUnit R-SHOE AngVelBodyFrameZ;InertialMeasurementUnit RUA accX;InertialMeasurementUnit RUA accY
167;805;1055.0;363.0;3;-23;-993.0;259.0
44;802;875.0;288.0;-36;20;-817.0;233.0
-57;788;946.0;255.0;-127;-42;-877.0;199.0
-93;809;1071.0;278.0;-23;-75;-958.0;220.0
37;819;1027.0;443.0;97;0;-919.0;178.0
2;817;974.0;379.0;-38;-33;-884.0;0.0
15;753;1050.0;223.0;-95;-20;-905.0;240.0
132;814;1003.0;246.0;8;-23;-881.0;124.0
25;787;922.0;269.0;-45;22;-749.0;330.0
-109;822;1095.0;275.0;-73;82;-921.0;193.0
26;811;1110.0;326.0;7;-38;-1083.0;243.0
23;815;1016.0;266.0;-28;5;-1011.0;305.0
-1;825;1057.0;355.0;-1;-105;-935.0;364.0
24;801;1064.0;286.0;63;16;-959.0;181.0
25;805;1092.0;277.0;-3;-31;-961.0;314.0
148;798;1030.0;372.0;-36;-22;-779.0;136.0
152;799;934.0;282.0;44;-32;-1012.0;201.0
154;789;1000.0;374.0;42;13;-913.0;407.0
24;797;1140.0;375.0;-35;-11;-930.0;209.0
18;765;1001.0;354.0;-1;133;-909.0;232.0
17;799;1055.0;333.0;-13;-38;-963.0;106.0
17;786;1089.0;343.0;30;-140;-934.0;121.0
-53;800;1087.0;277.0;31;50;-888.0;147.0
-63;800;1063.0;326.0;-56;105;-938.0;388.0
15;794;1001.0;258.0;-12;2;-925.0;236.0
15;805;1069.0;284.0;-2;20;-966.0;239.0
14;789;1043.0;280.0;36;-11;-1025.0;253.0
14;793;1069.0;296.0;46;-62;-975.0;235.0
14;792;1073.0;261.0;1;-24;-953.0;165.0
-80;774;1047.0;278.0;-13;-6;-954.0;369.0
162;806;991.0;355.0;-43;-52;-985.0;106.0
