InertialMeasurementUnit BACK magneticX;InertialMeasurementUnit RLA accX;Accelerometer RUA_ accX;Accelerometer RUA^ accZ;Accelerometer RWR accZ;Accelerometer RUA_ accY;InertialMeasurementUnit R-SHOE AngVelNavFrameX;InertialMeasurementUnit R-SHOE EuZ;InertialMeasurementUnit R-SHOE AngVelBodyFrameY;Accelerometer LH accZ;InertialMeasurementUnit R-SHOE Body_Ax
521.0;-589.0;250.0;393.0;608.0;756.0;-66;-147;-66;253.0;310
-200.0;-368.0;583.0;96.0;662.0;923.0;12;-162;12;210.0;265
-204.0;-996.0;-135.0;-58.0;479.0;1079.0;-22;-156;-22;723.0;264
550.0;-697.0;366.0;291.0;699.0;999.0;-25;-164;-25;234.0;252
383.0;-791.0;351.0;162.0;804.0;836.0;188;-161;188;-201.0;270
516.0;-767.0;657.0;380.0;820.0;979.0;-19;-159;-19;154.0;331
515.0;-883.0;334.0;218.0;582.0;1043.0;28;-159;28;164.0;322
498.0;-742.0;320.0;250.0;607.0;905.0;-34;-158;-34;38.0;342
502.0;-795.0;351.0;220.0;579.0;924.0;40;-159;40;-10.0;346
518.0;-811.0;270.0;266.0;580.0;982.0;55;-159;55;108.0;314
499.0;-806.0;349.0;313.0;571.0;995.0;-12;-160;-12;16.0;308
529.0;-845.0;258.0;209.0;539.0;992.0;66;-160;66;29.0;325
529.0;-854.0;263.0;218.0;598.0;984.0;-26;-160;-26;144.0;303
527.0;-854.0;241.0;218.0;542.0;1034.0;-37;-159;-37;91.0;318
380.0;-776.0;413.0;111.0;783.0;778.0;118;-162;118;341.0;247
547.0;-853.0;255.0;239.0;524.0;1000.0;12;-159;12;91.0;296
552.0;-783.0;293.0;246.0;553.0;944.0;17;-159;17;33.0;300
496.0;-834.0;319.0;183.0;664.0;978.0;10;-157;10;108.0;271
492.0;-604.0;423.0;153.0;620.0;1096.0;21;-157;21;118.0;269
556.0;-865.0;211.0;217.0;549.0;973.0;-11;-159;-11;73.0;306
551.0;-876.0;266.0;199.0;551.0;986.0;-39;-159;-39;69.0;307
537.0;-856.0;248.0;250.0;535.0;995.0;-23;-159;-23;43.0;314
540.0;-814.0;340.0;248.0;585.0;969.0;15;-159;15;173.0;327
564.0;-810.0;208.0;199.0;480.0;951.0;5;-159;5;98.0;292
489.0;-618.0;523.0;92.0;539.0;1036.0;8;-157;8;98.0;270
519.0;-812.0;283.0;228.0;573.0;936.0;20;-159;20;798.0;297
537.0;-834.0;253.0;187.0;539.0;990.0;-4;-159;-4;275.0;296
487.0;-619.0;492.0;81.0;679.0;966.0;42;-157;42;99.0;271
544.0;-761.0;416.0;309.0;650.0;948.0;37;-159;37;90.0;300
609.0;-1047.0;56.0;179.0;468.0;1248.0;-144;-79;-144;85.0;94
527.0;-800.0;299.0;262.0;574.0;956.0;-18;-159;-18;-6.0;312
527.0;-836.0;271.0;207.0;551.0;990.0;33;-159;33;63.0;306
510.0;-873.0;243.0;267.0;621.0;1037.0;-16;-159;-16;86.0;307
501.0;-831.0;260.0;250.0;554.0;960.0;5;-159;5;73.0;308
510.0;-841.0;270.0;257.0;581.0;975.0;33;-160;33;38.0;299
513.0;-819.0;291.0;268.0;551.0;961.0;-9;-159;-9;60.0;295
516.0;-844.0;250.0;249.0;589.0;973.0;-9;-159;-9;29.0;300
518.0;-836.0;280.0;265.0;574.0;990.0;9;-159;9;53.0;300
516.0;-836.0;274.0;277.0;587.0;990.0;22;-160;22;3.0;298
516.0;-827.0;267.0;264.0;587.0;962.0;-18;-160;-18;75.0;301
508.0;-826.0;309.0;265.0;584.0;979.0;25;-159;25;60.0;313
509.0;-843.0;304.0;280.0;575.0;1001.0;-23;-159;-23;63.0;304
513.0;-841.0;281.0;288.0;591.0;971.0;4;-159;4;49.0;311
512.0;-837.0;280.0;267.0;613.0;979.0;-11;-159;-11;36.0;307
510.0;-830.0;274.0;269.0;583.0;974.0;-5;-159;-5;65.0;307
508.0;-839.0;285.0;272.0;550.0;985.0;0;-159;0;62.0;304
508.0;-846.0;303.0;244.0;545.0;985.0;7;-159;7;54.0;309
508.0;-837.0;310.0;286.0;591.0;981.0;7;-159;7;103.0;302
506.0;-834.0;265.0;236.0;592.0;976.0;4;-159;4;24.0;309
508.0;-844.0;267.0;217.0;569.0;985.0;-27;-159;-27;70.0;305
519.0;-837.0;295.0;277.0;663.0;982.0;8;-159;8;25.0;302
518.0;-826.0;316.0;306.0;626.0;990.0;7;-159;7;113.0;303
515.0;-835.0;305.0;276.0;578.0;972.0;-36;-159;-36;61.0;302
514.0;-826.0;271.0;255.0;572.0;962.0;-75;-159;-75;71.0;304
514.0;-843.0;269.0;267.0;575.0;991.0;16;-159;16;43.0;307
514.0;-831.0;287.0;258.0;574.0;976.0;-11;-159;-11;90.0;307
501.0;-825.0;320.0;270.0;612.0;978.0;4;-159;4;51.0;306
500.0;-836.0;328.0;278.0;601.0;977.0;6;-159;6;30.0;308
501.0;-828.0;297.0;287.0;626.0;988.0;-18;-159;-18;52.0;309
501.0;-823.0;287.0;268.0;610.0;969.0;3;-159;3;29.0;310
508.0;-836.0;310.0;278.0;601.0;970.0;16;-159;16;79.0;314
511.0;-844.0;289.0;247.0;581.0;969.0;1;-159;1;28.0;317
509.0;-840.0;283.0;275.0;579.0;985.0;9;-159;9;58.0;304
511.0;-845.0;283.0;242.0;581.0;970.0;4;-159;4;42.0;310
513.0;-842.0;271.0;269.0;604.0;998.0;8;-159;8;55.0;315
516.0;-838.0;295.0;236.0;609.0;981.0;1;-159;1;9.0;311
509.0;-862.0;231.0;230.0;547.0;994.0;-28;-159;-28;227.0;306
545.0;-849.0;281.0;237.0;609.0;998.0;21;-159;21;241.0;297
534.0;-835.0;314.0;272.0;588.0;974.0;37;-159;37;51.0;301
536.0;-835.0;270.0;262.0;601.0;970.0;21;-159;21;26.0;306
535.0;-831.0;290.0;233.0;586.0;980.0;9;-159;9;33.0;304
527.0;-835.0;284.0;261.0;606.0;995.0;-32;-159;-32;63.0;311
522.0;-816.0;270.0;267.0;615.0;949.0;11;-159;11;51.0;306
527.0;-870.0;311.0;252.0;601.0;1020.0;9;-159;9;66.0;303
518.0;-848.0;266.0;247.0;604.0;1010.0;-72;-159;-72;82.0;304
517.0;-837.0;270.0;278.0;552.0;987.0;-19;-159;-19;51.0;308
516.0;-828.0;301.0;282.0;612.0;971.0;64;-159;64;48.0;310
519.0;-834.0;287.0;266.0;560.0;976.0;-12;-159;-12;133.0;298
520.0;-824.0;298.0;285.0;558.0;972.0;-7;-160;-7;144.0;297
423.0;-395.0;724.0;307.0;909.0;656.0;-24;-162;-24;69.0;288
429.0;-510.0;725.0;318.0;888.0;723.0;-15;-162;-15;30.0;281
432.0;-425.0;666.0;244.0;867.0;889.0;-8;-162;-8;77.0;276
394.0;-904.0;188.0;262.0;672.0;845.0;74;-170;74;-95.0;123
606.0;-236.0;694.0;173.0;998.0;744.0;-11;-156;-11;126.0;237
447.0;-378.0;721.0;252.0;893.0;739.0;0;-162;0;72.0;275
486.0;-576.0;690.0;274.0;815.0;796.0;-46;-163;-46;39.0;280
475.0;-739.0;584.0;395.0;933.0;849.0;23;-163;23;9.0;268
440.0;-696.0;497.0;189.0;840.0;886.0;-28;-158;-28;373.0;289
441.0;-688.0;481.0;149.0;802.0;897.0;26;-158;26;391.0;293
137.0;-489.0;635.0;221.0;941.0;800.0;-6;-168;-6;618.0;178
149.0;-440.0;665.0;50.0;906.0;746.0;178;-167;178;766.0;191
441.0;-693.0;485.0;180.0;773.0;886.0;-21;-158;-21;414.0;292
444.0;-692.0;475.0;169.0;737.0;896.0;-31;-158;-31;392.0;288
447.0;-695.0;466.0;133.0;748.0;894.0;13;-158;13;365.0;294
467.0;-625.0;478.0;267.0;1072.0;886.0;-27;-162;-27;182.0;272
466.0;-575.0;485.0;317.0;752.0;891.0;-20;-163;-20;150.0;265
475.0;-557.0;576.0;336.0;794.0;797.0;-47;-163;-47;140.0;264
485.0;-607.0;547.0;280.0;804.0;864.0;25;-163;25;131.0;263
360.0;-697.0;434.0;541.0;834.0;870.0;19;-173;19;28.0;260
478.0;-592.0;691.0;438.0;841.0;702.0;0;-163;0;91.0;271
479.0;-581.0;600.0;346.0;876.0;772.0;-18;-163;-18;81.0;266
479.0;-598.0;664.0;396.0;855.0;798.0;-29;-163;-29;139.0;267
466.0;-684.0;154.0;354.0;598.0;834.0;104;-169;104;178.0;261
