Accelerometer LH accX;Accelerometer RKN_ accX;InertialMeasurementUnit L-SHOE AngVelBodyFrameX;Accelerometer BACK accX;Accelerometer LUA_ accZ;InertialMeasurementUnit LUA accZ;InertialMeasurementUnit LLA accY;Accelerometer LUA^ accZ;Accelerometer HIP accZ
343.0;-98.0;-3;175.0;342.0;240.0;-307.0;193.0;450.0
337.0;-128.0;19;151.0;352.0;193.0;-319.0;209.0;428.0
411.0;-110.0;-14;171.0;387.0;198.0;-333.0;223.0;437.0
352.0;-137.0;11;172.0;361.0;201.0;-329.0;267.0;425.0
369.0;-106.0;-3;181.0;379.0;191.0;-341.0;295.0;435.0
342.0;-115.0;-4;159.0;363.0;193.0;-303.0;245.0;426.0
332.0;-100.0;2;168.0;382.0;239.0;-335.0;238.0;438.0
444.0;-19.0;577;293.0;391.0;245.0;-403.0;222.0;233.0
321.0;-22.0;80;274.0;333.0;447.0;-270.0;262.0;340.0
366.0;-109.0;12;184.0;388.0;168.0;-358.0;286.0;418.0
198.0;2.0;23;393.0;296.0;434.0;-262.0;41.0;233.0
539.0;846.0;46;275.0;350.0;239.0;-268.0;174.0;292.0
427.0;-28.0;105;392.0;392.0;253.0;-177.0;218.0;192.0
234.0;13.0;-20;212.0;360.0;314.0;-238.0;142.0;302.0
269.0;-242.0;25;334.0;346.0;435.0;-277.0;75.0;237.0
442.0;-116.0;58;241.0;385.0;178.0;-27.0;144.0;344.0
384.0;-58.0;-2;197.0;347.0;240.0;-294.0;200.0;390.0
378.0;-125.0;27;327.0;458.0;380.0;-381.0;164.0;382.0
262.0;-6.0;236;277.0;423.0;61.0;-186.0;263.0;319.0
571.0;-9.0;6920;181.0;336.0;303.0;-329.0;250.0;157.0
271.0;-125.0;-10;187.0;401.0;155.0;-323.0;273.0;395.0
367.0;-309.0;-43;191.0;326.0;228.0;-291.0;147.0;262.0
308.0;-225.0;14;29.0;342.0;174.0;-325.0;224.0;409.0
274.0;-101.0;-11;-1.0;299.0;180.0;-276.0;217.0;497.0
362.0;20.0;1;163.0;414.0;110.0;-220.0;265.0;435.0
354.0;-112.0;-30;150.0;370.0;183.0;-319.0;235.0;427.0
377.0;-129.0;-5;174.0;374.0;169.0;-353.0;259.0;385.0
322.0;-119.0;5;133.0;361.0;176.0;-342.0;234.0;381.0
473.0;-81.0;1562;132.0;455.0;191.0;-471.0;297.0;374.0
503.0;-110.0;-34;63.0;381.0;162.0;-380.0;276.0;375.0
387.0;-127.0;11;122.0;390.0;162.0;-281.0;265.0;373.0
347.0;-128.0;-3;132.0;363.0;190.0;-366.0;284.0;393.0
353.0;-145.0;-10;200.0;421.0;186.0;-331.0;267.0;265.0
381.0;-119.0;-16;192.0;369.0;190.0;-341.0;265.0;414.0
372.0;-98.0;24;156.0;393.0;200.0;-343.0;257.0;441.0
