InertialMeasurementUnit BACK accZ;Accelerometer RKN^ accZ;Accelerometer BACK accZ;InertialMeasurementUnit LUA gyroZ;InertialMeasurementUnit R-SHOE Compass;Accelerometer LUA_ accX
212.0;95.0;-506.0;2.0;-16;-19.0
99.0;133.0;-449.0;13.0;-8;17.0
115.0;139.0;-482.0;157.0;-7;28.0
51.0;10.0;-633.0;92.0;2;-153.0
176.0;86.0;-555.0;905.0;-6;-45.0
139.0;335.0;-461.0;-284.0;-6;9.0
391.0;130.0;-675.0;17.0;-31;-316.0
258.0;-18.0;-582.0;26.0;-8;106.0
194.0;477.0;-559.0;131.0;-163;-278.0
300.0;285.0;-756.0;468.0;-22;-89.0
169.0;204.0;-611.0;133.0;-30;204.0
202.0;95.0;-561.0;29.0;-97;-1.0
181.0;159.0;-484.0;11.0;-7;-9.0
148.0;-45.0;-504.0;13.0;-142;-61.0
59.0;457.0;-400.0;69.0;-6;27.0
158.0;268.0;-516.0;125.0;-81;78.0
104.0;-27.0;-430.0;-15.0;-143;-289.0
112.0;-32.0;-465.0;100.0;-142;-254.0
180.0;8.0;-616.0;134.0;-116;7.0
186.0;102.0;-570.0;81.0;-98;25.0
182.0;142.0;-629.0;37.0;-115;35.0
275.0;157.0;-591.0;-146.0;-7;-3.0
132.0;127.0;-510.0;131.0;-57;-184.0
154.0;1723.0;-667.0;621.0;-52;-8.0
196.0;46.0;-527.0;60.0;-94;67.0
442.0;21.0;-813.0;222.0;-158;8.0
399.0;211.0;-643.0;271.0;9;279.0
225.0;88.0;-518.0;134.0;-112;68.0
193.0;89.0;-500.0;140.0;-16;-17.0
202.0;107.0;-493.0;79.0;-16;-13.0
203.0;103.0;-514.0;78.0;-16;5.0
204.0;862.0;-545.0;417.0;-10;146.0
294.0;333.0;-617.0;-22.0;-7;61.0
177.0;149.0;-506.0;-38.0;-7;39.0
211.0;200.0;-547.0;-57.0;-7;39.0
156.0;203.0;-498.0;-12.0;-82;31.0
825.0;388.0;-853.0;219.0;-70;76.0
157.0;309.0;-431.0;-116.0;-7;14.0
236.0;672.0;-624.0;-24.0;16;194.0
289.0;465.0;-660.0;209.0;-70;107.0
172.0;227.0;-438.0;-14.0;-7;11.0
215.0;109.0;-509.0;-16.0;-16;-17.0
186.0;115.0;-490.0;-110.0;-7;46.0
189.0;122.0;-500.0;261.0;-16;-13.0
207.0;181.0;-552.0;52.0;-7;9.0
255.0;122.0;-647.0;2.0;-31;89.0
218.0;-11.0;-550.0;-89.0;-7;67.0
242.0;35.0;-462.0;-1362.0;-51;-47.0
259.0;92.0;-662.0;173.0;-8;149.0
91.0;107.0;-400.0;104.0;-60;-31.0
196.0;93.0;-492.0;-109.0;-16;-10.0
215.0;106.0;-513.0;129.0;-5;138.0
218.0;-31.0;-389.0;65.0;21;68.0
220.0;87.0;-490.0;32.0;-16;16.0
221.0;98.0;-494.0;48.0;-16;5.0
206.0;-196.0;-528.0;275.0;-23;3.0
209.0;140.0;-547.0;79.0;-8;4.0
218.0;263.0;-530.0;96.0;-7;34.0
267.0;58.0;-551.0;71.0;-6;-162.0
220.0;99.0;-505.0;50.0;-16;-19.0
214.0;109.0;-500.0;25.0;-16;-20.0
197.0;572.0;-505.0;-383.0;-102;101.0
213.0;95.0;-512.0;-19.0;-16;-10.0
188.0;8.0;-489.0;426.0;-6;-203.0
64.0;-69.0;-470.0;40.0;-10;48.0
87.0;173.0;-491.0;-5.0;-7;19.0
294.0;220.0;-547.0;-667.0;-7;78.0
158.0;162.0;-519.0;-45.0;-82;45.0
79.0;184.0;-407.0;-15.0;-8;6.0
26.0;438.0;-398.0;-7.0;-6;30.0
123.0;137.0;-470.0;-43.0;-7;16.0
122.0;261.0;-532.0;433.0;-23;113.0
131.0;72.0;-476.0;72.0;-7;10.0
158.0;-394.0;-530.0;640.0;-54;39.0
208.0;39.0;-553.0;-81.0;-88;88.0
864.0;251.0;-857.0;-39.0;-83;-330.0
173.0;-29.0;-495.0;-152.0;-111;72.0
159.0;86.0;-439.0;191.0;-2;209.0
207.0;3.0;-559.0;497.0;-8;70.0
354.0;-70.0;-710.0;29.0;-135;253.0
119.0;67.0;-479.0;134.0;-6;-470.0
129.0;120.0;-491.0;35.0;-7;6.0
289.0;31.0;-619.0;-21.0;-6;-16.0
46.0;102.0;-394.0;21.0;-7;6.0
146.0;40.0;-442.0;-317.0;-11;20.0
209.0;581.0;-648.0;-253.0;-50;-122.0
491.0;119.0;-712.0;-129.0;-25;171.0
413.0;903.0;-747.0;6.0;18;-95.0
177.0;895.0;-637.0;28.0;18;-190.0
-18.0;188.0;-415.0;40.0;-5;40.0
108.0;144.0;-483.0;-131.0;-4;49.0
205.0;-20.0;-530.0;24.0;-7;57.0
415.0;-833.0;-475.0;131.0;-87;187.0
88.0;131.0;-457.0;65.0;-7;24.0
395.0;-73.0;-652.0;-338.0;-23;-165.0
325.0;-259.0;-488.0;1141.0;7;21.0
901.0;481.0;-883.0;-40.0;-98;30.0
143.0;1.0;-417.0;-201.0;-11;-49.0
99.0;109.0;-432.0;-31.0;-4;39.0
246.0;70.0;-542.0;-826.0;-13;-117.0
