InertialMeasurementUnit BACK accZ;Accelerometer RKN^ accZ;Accelerometer BACK accZ;InertialMeasurementUnit LUA gyroZ;InertialMeasurementUnit R-SHOE Compass;Accelerometer LUA_ accX
68.0;48.0;-383.0;147.0;-36;-29.0
223.0;-21.0;-535.0;98.0;-7;88.0
264.0;-66.0;-614.0;47.0;18;73.0
152.0;108.0;-445.0;-173.0;-11;-5.0
206.0;15.0;-471.0;130.0;-120;102.0
213.0;222.0;-524.0;-67.0;-12;14.0
103.0;88.0;-425.0;-119.0;-12;85.0
198.0;183.0;-539.0;160.0;-75;106.0
137.0;91.0;-385.0;128.0;-12;42.0
156.0;6.0;-378.0;-229.0;-11;-24.0
181.0;213.0;-570.0;52.0;-59;108.0
176.0;270.0;-609.0;-9.0;-34;92.0
183.0;-77.0;-542.0;-21.0;-10;49.0
168.0;-5.0;-510.0;48.0;-10;4.0
86.0;-37.0;-657.0;610.0;-6;81.0
169.0;204.0;-611.0;133.0;-30;204.0
176.0;166.0;-524.0;82.0;-31;249.0
215.0;150.0;-517.0;-61.0;-31;84.0
220.0;254.0;-367.0;192.0;-2;56.0
128.0;112.0;-413.0;175.0;-16;314.0
68.0;46.0;-413.0;-180.0;3;-210.0
201.0;277.0;-595.0;-100.0;-12;-41.0
60.0;20.0;-537.0;211.0;10;136.0
108.0;69.0;-612.0;20.0;6;-154.0
235.0;117.0;-550.0;-90.0;-31;93.0
137.0;160.0;-477.0;133.0;-56;-121.0
140.0;137.0;-479.0;100.0;-56;-95.0
132.0;127.0;-510.0;131.0;-57;-184.0
157.0;309.0;-431.0;-116.0;-7;14.0
133.0;265.0;-454.0;-137.0;-7;-13.0
113.0;159.0;-449.0;118.0;-57;-112.0
141.0;349.0;-442.0;-54.0;-7;-39.0
263.0;56.0;-355.0;-59.0;-21;121.0
128.0;355.0;-403.0;212.0;-7;8.0
211.0;200.0;-547.0;-57.0;-7;39.0
227.0;41.0;-549.0;-109.0;-7;-14.0
221.0;55.0;-541.0;-79.0;-7;-12.0
208.0;241.0;-475.0;-7.0;-7;0.0
192.0;250.0;-478.0;-81.0;-7;-226.0
218.0;263.0;-530.0;96.0;-7;34.0
177.0;178.0;-452.0;14.0;-7;-17.0
152.0;90.0;-470.0;118.0;-7;20.0
183.0;198.0;-526.0;279.0;-8;1.0
213.0;146.0;-525.0;149.0;-8;17.0
209.0;140.0;-547.0;79.0;-8;4.0
205.0;128.0;-576.0;55.0;-8;22.0
247.0;99.0;-573.0;-44.0;-8;19.0
239.0;154.0;-585.0;-93.0;-8;15.0
245.0;206.0;-562.0;-132.0;-7;-39.0
247.0;232.0;-576.0;-123.0;-7;26.0
254.0;252.0;-504.0;-74.0;-7;58.0
294.0;333.0;-617.0;-22.0;-7;61.0
228.0;356.0;-539.0;-17.0;-7;38.0
104.0;131.0;-429.0;72.0;-57;-87.0
171.0;191.0;-524.0;321.0;-8;18.0
182.0;200.0;-527.0;352.0;-7;1.0
207.0;95.0;-550.0;95.0;-7;14.0
207.0;181.0;-552.0;52.0;-7;9.0
250.0;325.0;-552.0;-298.0;-9;70.0
120.0;178.0;-596.0;-1101.0;-25;-12.0
275.0;157.0;-591.0;-146.0;-7;-3.0
249.0;254.0;-530.0;-65.0;-7;14.0
229.0;299.0;-523.0;16.0;-7;106.0
246.0;223.0;-530.0;-315.0;-7;48.0
76.0;141.0;-389.0;69.0;-59;-27.0
168.0;-6.0;-413.0;390.0;-6;-166.0
333.0;288.0;-417.0;-44.0;-14;-77.0
235.0;283.0;-591.0;32.0;-7;59.0
284.0;233.0;-591.0;102.0;-7;28.0
245.0;287.0;-607.0;28.0;-7;27.0
295.0;295.0;-573.0;78.0;-7;61.0
178.0;31.0;-512.0;269.0;11;-59.0
235.0;245.0;-481.0;-178.0;58;211.0
91.0;107.0;-400.0;104.0;-60;-31.0
88.0;131.0;-382.0;101.0;-59;-29.0
74.0;98.0;-450.0;283.0;-106;-32.0
116.0;168.0;-441.0;110.0;-105;-132.0
163.0;88.0;-419.0;88.0;-100;-201.0
98.0;60.0;-391.0;64.0;-59;-35.0
82.0;124.0;-420.0;52.0;-59;-30.0
69.0;120.0;-431.0;15.0;-59;-48.0
91.0;50.0;-418.0;48.0;-58;-55.0
95.0;5.0;-400.0;53.0;-59;-25.0
82.0;12.0;-409.0;42.0;-58;-63.0
95.0;3.0;-412.0;87.0;-58;-96.0
246.0;113.0;-549.0;-133.0;-31;136.0
255.0;122.0;-647.0;2.0;-31;89.0
106.0;126.0;-432.0;-199.0;-59;6.0
160.0;160.0;-458.0;25.0;-61;-138.0
91.0;117.0;-605.0;-20.0;-13;-18.0
79.0;61.0;-616.0;-97.0;-13;-10.0
137.0;710.0;-556.0;119.0;-1;189.0
117.0;167.0;-452.0;29.0;-7;85.0
104.0;176.0;-442.0;145.0;-7;48.0
127.0;161.0;-499.0;82.0;-60;-11.0
31.0;185.0;-459.0;133.0;-7;2.0
118.0;184.0;-489.0;64.0;-7;1.0
112.0;165.0;-458.0;-16.0;-7;-15.0
140.0;185.0;-375.0;-158.0;-7;-10.0
91.0;184.0;-445.0;-122.0;-7;39.0
122.0;148.0;-449.0;50.0;-7;40.0
111.0;191.0;-470.0;38.0;-7;19.0
121.0;119.0;-490.0;32.0;-7;-20.0
172.0;227.0;-438.0;-14.0;-7;11.0
123.0;137.0;-470.0;-43.0;-7;16.0
96.0;151.0;-452.0;9.0;-7;64.0
135.0;187.0;-441.0;36.0;-7;19.0
138.0;167.0;-450.0;-32.0;-7;10.0
142.0;168.0;-480.0;-18.0;-7;39.0
122.0;167.0;-464.0;-48.0;-7;-24.0
133.0;197.0;-478.0;-1.0;-7;5.0
118.0;238.0;-494.0;189.0;-7;10.0
126.0;170.0;-478.0;203.0;-7;-4.0
115.0;139.0;-482.0;157.0;-7;28.0
125.0;168.0;-464.0;66.0;-7;47.0
111.0;179.0;-513.0;-11.0;-7;25.0
102.0;165.0;-470.0;-115.0;-7;14.0
78.0;139.0;-446.0;5.0;-7;5.0
80.0;140.0;-444.0;33.0;-7;19.0
85.0;149.0;-452.0;36.0;-7;27.0
86.0;150.0;-461.0;47.0;-7;59.0
86.0;158.0;-491.0;-66.0;-7;19.0
94.0;152.0;-480.0;-59.0;-7;31.0
104.0;119.0;-451.0;-18.0;-7;26.0
111.0;157.0;-452.0;-80.0;-7;20.0
105.0;148.0;-427.0;2.0;-7;10.0
112.0;138.0;-475.0;35.0;-7;-7.0
114.0;152.0;-457.0;33.0;-7;24.0
111.0;138.0;-432.0;3.0;-7;15.0
98.0;125.0;-463.0;46.0;-7;40.0
98.0;109.0;-428.0;74.0;-7;9.0
104.0;78.0;-481.0;18.0;-7;19.0
97.0;132.0;-460.0;15.0;-7;-12.0
107.0;122.0;-451.0;48.0;-7;-13.0
106.0;97.0;-476.0;43.0;-7;12.0
99.0;133.0;-449.0;13.0;-8;17.0
102.0;149.0;-406.0;-8.0;-8;-1.0
83.0;162.0;-380.0;3.0;-8;10.0
80.0;141.0;-409.0;-20.0;-8;9.0
73.0;123.0;-419.0;-34.0;-8;-12.0
82.0;188.0;-422.0;-95.0;-8;22.0
77.0;198.0;-423.0;-66.0;-8;20.0
79.0;184.0;-407.0;-15.0;-8;6.0
56.0;185.0;-446.0;7.0;-8;42.0
66.0;179.0;-473.0;85.0;-7;2.0
75.0;128.0;-439.0;104.0;-7;-1.0
81.0;159.0;-442.0;83.0;-7;3.0
89.0;143.0;-471.0;71.0;-7;22.0
88.0;131.0;-457.0;65.0;-7;24.0
87.0;156.0;-453.0;21.0;-7;18.0
91.0;167.0;-463.0;16.0;-7;12.0
87.0;173.0;-491.0;-5.0;-7;19.0
91.0;158.0;-462.0;52.0;-8;8.0
95.0;170.0;-452.0;19.0;-7;10.0
84.0;161.0;-413.0;25.0;-7;21.0
101.0;139.0;-434.0;40.0;-7;-3.0
91.0;147.0;-457.0;73.0;-7;-6.0
93.0;150.0;-472.0;37.0;-7;-7.0
96.0;172.0;-452.0;44.0;-7;-1.0
105.0;149.0;-435.0;0.0;-7;3.0
92.0;139.0;-457.0;-8.0;-7;-3.0
115.0;106.0;-449.0;-5.0;-7;7.0
109.0;120.0;-486.0;1.0;-7;28.0
107.0;117.0;-463.0;5.0;-7;13.0
121.0;143.0;-468.0;-34.0;-7;-28.0
109.0;132.0;-466.0;-36.0;-7;16.0
126.0;100.0;-456.0;22.0;-7;-1.0
131.0;120.0;-476.0;-40.0;-7;14.0
131.0;119.0;-460.0;-75.0;-7;6.0
110.0;114.0;-446.0;-29.0;-7;-4.0
112.0;129.0;-458.0;12.0;-7;-17.0
109.0;118.0;-472.0;-76.0;-7;29.0
122.0;125.0;-439.0;-8.0;-7;10.0
103.0;122.0;-439.0;2.0;-7;7.0
93.0;109.0;-435.0;44.0;-7;5.0
91.0;110.0;-433.0;110.0;-7;54.0
72.0;108.0;-450.0;5.0;-7;29.0
70.0;146.0;-434.0;-66.0;-7;85.0
84.0;135.0;-426.0;-10.0;-7;18.0
93.0;151.0;-441.0;19.0;-7;3.0
76.0;153.0;-444.0;1.0;-7;20.0
81.0;114.0;-462.0;24.0;-7;26.0
90.0;108.0;-454.0;28.0;-7;12.0
