InertialMeasurementUnit BACK accZ;Accelerometer RKN^ accZ;Accelerometer BACK accZ;InertialMeasurementUnit LUA gyroZ;InertialMeasurementUnit R-SHOE Compass;Accelerometer LUA_ accX
112.0;129.0;-458.0;12.0;-7;-17.0
276.0;167.0;-567.0;91.0;1;73.0
291.0;428.0;-656.0;199.0;-69;133.0
186.0;218.0;-467.0;141.0;-7;11.0
321.0;215.0;-678.0;218.0;-164;-194.0
213.0;222.0;-524.0;-67.0;-12;14.0
128.0;112.0;-413.0;175.0;-16;314.0
198.0;183.0;-539.0;160.0;-75;106.0
171.0;163.0;-556.0;210.0;-87;34.0
492.0;201.0;-768.0;-128.0;3;-113.0
181.0;213.0;-570.0;52.0;-59;108.0
176.0;270.0;-609.0;-9.0;-34;92.0
162.0;330.0;-534.0;86.0;-81;18.0
158.0;268.0;-516.0;125.0;-81;78.0
160.0;262.0;-529.0;56.0;-82;1.0
156.0;242.0;-560.0;61.0;-82;33.0
305.0;49.0;-622.0;14.0;-6;-15.0
215.0;150.0;-517.0;-61.0;-31;84.0
303.0;77.0;-619.0;-41.0;-6;5.0
308.0;48.0;-616.0;-26.0;-6;-37.0
301.0;69.0;-605.0;-11.0;-6;-18.0
289.0;31.0;-619.0;-21.0;-6;-16.0
289.0;59.0;-602.0;-35.0;-6;1.0
285.0;33.0;-590.0;32.0;-6;-14.0
294.0;129.0;-528.0;-213.0;-70;65.0
282.0;58.0;-609.0;55.0;-6;0.0
140.0;137.0;-479.0;100.0;-56;-95.0
285.0;47.0;-600.0;42.0;-6;-14.0
284.0;44.0;-595.0;71.0;-6;-22.0
142.0;148.0;-507.0;184.0;-45;16.0
279.0;58.0;-606.0;101.0;-6;-81.0
267.0;58.0;-551.0;71.0;-6;-162.0
157.0;235.0;-502.0;-26.0;-82;12.0
223.0;91.0;-636.0;35.0;-8;122.0
211.0;200.0;-547.0;-57.0;-7;39.0
156.0;203.0;-498.0;-12.0;-82;31.0
221.0;55.0;-541.0;-79.0;-7;-12.0
208.0;241.0;-475.0;-7.0;-7;0.0
158.0;162.0;-519.0;-45.0;-82;45.0
218.0;263.0;-530.0;96.0;-7;34.0
177.0;178.0;-452.0;14.0;-7;-17.0
152.0;90.0;-470.0;118.0;-7;20.0
155.0;157.0;-503.0;-73.0;-82;46.0
213.0;146.0;-525.0;149.0;-8;17.0
209.0;140.0;-547.0;79.0;-8;4.0
205.0;128.0;-576.0;55.0;-8;22.0
247.0;99.0;-573.0;-44.0;-8;19.0
275.0;157.0;-591.0;-146.0;-7;-3.0
216.0;108.0;-515.0;116.0;-16;69.0
250.0;325.0;-552.0;-298.0;-9;70.0
254.0;252.0;-504.0;-74.0;-7;58.0
214.0;109.0;-499.0;66.0;-16;29.0
222.0;87.0;-488.0;21.0;-16;14.0
220.0;87.0;-490.0;32.0;-16;16.0
221.0;98.0;-494.0;48.0;-16;5.0
222.0;79.0;-500.0;112.0;-16;-6.0
207.0;95.0;-550.0;95.0;-7;14.0
207.0;181.0;-552.0;52.0;-7;9.0
220.0;93.0;-510.0;82.0;-16;-24.0
220.0;99.0;-505.0;50.0;-16;-19.0
214.0;109.0;-500.0;25.0;-16;-20.0
247.0;232.0;-576.0;-123.0;-7;26.0
229.0;299.0;-523.0;16.0;-7;106.0
212.0;95.0;-506.0;2.0;-16;-19.0
210.0;97.0;-512.0;-19.0;-16;-20.0
213.0;95.0;-512.0;-19.0;-16;-10.0
215.0;109.0;-509.0;-16.0;-16;-17.0
235.0;283.0;-591.0;32.0;-7;59.0
284.0;233.0;-591.0;102.0;-7;28.0
245.0;287.0;-607.0;28.0;-7;27.0
295.0;295.0;-573.0;78.0;-7;61.0
203.0;103.0;-514.0;78.0;-16;5.0
202.0;107.0;-493.0;79.0;-16;-13.0
196.0;105.0;-509.0;121.0;-16;-28.0
193.0;68.0;-460.0;134.0;-12;-70.0
197.0;70.0;-490.0;-36.0;-16;-20.0
177.0;114.0;-512.0;-31.0;-85;59.0
311.0;176.0;-573.0;241.0;-7;-48.0
183.0;42.0;-501.0;45.0;-94;34.0
148.0;-45.0;-504.0;13.0;-142;-61.0
189.0;47.0;-532.0;52.0;-94;54.0
196.0;46.0;-527.0;60.0;-94;67.0
202.0;109.0;-534.0;52.0;-95;67.0
203.0;68.0;-542.0;28.0;-97;69.0
204.0;94.0;-533.0;11.0;-97;59.0
183.0;156.0;-567.0;-25.0;-11;128.0
255.0;122.0;-647.0;2.0;-31;89.0
270.0;43.0;-492.0;14.0;-6;19.0
262.0;64.0;-517.0;-52.0;-6;-9.0
253.0;251.0;-502.0;142.0;-7;34.0
156.0;129.0;-503.0;-48.0;-6;43.0
177.0;294.0;-590.0;157.0;-6;68.0
307.0;74.0;-652.0;318.0;-7;-149.0
296.0;99.0;-684.0;16.0;-4;47.0
127.0;161.0;-499.0;82.0;-60;-11.0
261.0;139.0;-575.0;-37.0;-10;-16.0
118.0;184.0;-489.0;64.0;-7;1.0
51.0;10.0;-633.0;92.0;2;-153.0
228.0;199.0;-523.0;156.0;-11;125.0
228.0;49.0;-562.0;26.0;-11;116.0
122.0;148.0;-449.0;50.0;-7;40.0
111.0;191.0;-470.0;38.0;-7;19.0
121.0;119.0;-490.0;32.0;-7;-20.0
157.0;309.0;-431.0;-116.0;-7;14.0
196.0;138.0;-491.0;-175.0;-46;-97.0
190.0;112.0;-600.0;33.0;-99;47.0
135.0;187.0;-441.0;36.0;-7;19.0
138.0;167.0;-450.0;-32.0;-7;10.0
142.0;168.0;-480.0;-18.0;-7;39.0
188.0;104.0;-572.0;73.0;-98;19.0
133.0;197.0;-478.0;-1.0;-7;5.0
186.0;102.0;-570.0;81.0;-98;25.0
188.0;105.0;-533.0;42.0;-98;-3.0
192.0;99.0;-542.0;0.0;-98;-16.0
125.0;168.0;-464.0;66.0;-7;47.0
111.0;179.0;-513.0;-11.0;-7;25.0
207.0;91.0;-568.0;3.0;-97;14.0
202.0;95.0;-561.0;29.0;-97;-1.0
187.0;339.0;-559.0;99.0;-93;-4.0
236.0;123.0;-531.0;157.0;-112;56.0
285.0;318.0;-621.0;53.0;-71;24.0
225.0;88.0;-518.0;134.0;-112;68.0
218.0;95.0;-520.0;14.0;-112;88.0
212.0;296.0;-519.0;8.0;-111;59.0
174.0;336.0;-540.0;21.0;-11;4.0
231.0;317.0;-518.0;82.0;-11;-30.0
112.0;138.0;-475.0;35.0;-7;-7.0
114.0;152.0;-457.0;33.0;-7;24.0
253.0;334.0;-520.0;12.0;-11;-74.0
167.0;60.0;-551.0;27.0;-6;96.0
175.0;79.0;-517.0;6.0;-6;64.0
208.0;209.0;-639.0;55.0;28;-29.0
174.0;59.0;-502.0;42.0;-6;44.0
182.0;142.0;-629.0;37.0;-115;35.0
259.0;299.0;-619.0;22.0;-116;-12.0
244.0;180.0;-644.0;-4.0;-115;107.0
243.0;94.0;-566.0;34.0;-4;93.0
238.0;110.0;-588.0;-49.0;-4;122.0
235.0;117.0;-550.0;-90.0;-31;93.0
406.0;179.0;-634.0;53.0;-3;-143.0
161.0;177.0;-489.0;100.0;11;-87.0
247.0;67.0;-577.0;96.0;-31;96.0
226.0;121.0;-630.0;-49.0;-31;94.0
223.0;138.0;-604.0;-62.0;-31;100.0
172.0;149.0;-472.0;112.0;-6;77.0
186.0;125.0;-505.0;181.0;-7;27.0
153.0;107.0;-528.0;113.0;-7;-15.0
118.0;109.0;-462.0;12.0;-7;9.0
119.0;111.0;-501.0;-14.0;-7;9.0
131.0;109.0;-474.0;3.0;-7;12.0
129.0;120.0;-491.0;35.0;-7;6.0
140.0;121.0;-482.0;66.0;-7;13.0
131.0;72.0;-476.0;72.0;-7;10.0
127.0;111.0;-499.0;59.0;-7;12.0
133.0;104.0;-489.0;69.0;-7;0.0
130.0;120.0;-476.0;74.0;-7;38.0
122.0;129.0;-476.0;11.0;-7;30.0
93.0;150.0;-472.0;37.0;-7;-7.0
159.0;138.0;-464.0;83.0;-7;6.0
177.0;149.0;-506.0;-38.0;-7;39.0
170.0;129.0;-447.0;-15.0;-7;27.0
177.0;147.0;-521.0;-21.0;-7;19.0
109.0;120.0;-486.0;1.0;-7;28.0
178.0;113.0;-498.0;-58.0;-7;5.0
181.0;159.0;-484.0;11.0;-7;-9.0
104.0;139.0;-469.0;38.0;-7;20.0
126.0;100.0;-456.0;22.0;-7;-1.0
131.0;120.0;-476.0;-40.0;-7;14.0
187.0;26.0;-627.0;247.0;-6;48.0
898.0;435.0;-855.0;-58.0;-75;-56.0
110.0;114.0;-446.0;-29.0;-7;-4.0
108.0;144.0;-483.0;-131.0;-4;49.0
122.0;125.0;-439.0;-8.0;-7;10.0
103.0;122.0;-439.0;2.0;-7;7.0
93.0;109.0;-435.0;44.0;-7;5.0
91.0;110.0;-433.0;110.0;-7;54.0
72.0;108.0;-450.0;5.0;-7;29.0
35.0;450.0;-399.0;65.0;-6;29.0
84.0;135.0;-426.0;-10.0;-7;18.0
93.0;151.0;-441.0;19.0;-7;3.0
76.0;153.0;-444.0;1.0;-7;20.0
