InertialMeasurementUnit LUA magneticZ;InertialMeasurementUnit L-SHOE AngVelNavFrameZ;InertialMeasurementUnit BACK magneticY;InertialMeasurementUnit BACK Quaternion1;InertialMeasurementUnit L-SHOE Nav_Az;InertialMeasurementUnit BACK Quaternion3;InertialMeasurementUnit L-SHOE Body_Ay;InertialMeasurementUnit L-SHOE Nav_Ax
-357.0;-1;179.0;70.0;19;-111.0;652;6
-608.0;54;410.0;118.0;15;252.0;689;15
161.0;-36;-81.0;816.0;16;576.0;752;1
149.0;-11;-28.0;808.0;14;588.0;750;3
150.0;7;-20.0;807.0;20;590.0;744;0
176.0;-11;-10.0;811.0;16;585.0;749;1
184.0;-14;-8.0;813.0;15;583.0;751;2
193.0;-22;32.0;821.0;11;571.0;753;0
199.0;-22;47.0;825.0;13;565.0;748;-3
240.0;8;91.0;840.0;13;538.0;750;-3
239.0;10;90.0;839.0;16;539.0;753;-1
234.0;-38;90.0;839.0;13;540.0;754;-1
241.0;-13;89.0;839.0;13;540.0;758;5
240.0;-2;88.0;839.0;14;539.0;758;-2
240.0;-11;89.0;839.0;12;539.0;757;1
239.0;-11;91.0;839.0;7;540.0;759;3
231.0;-9;95.0;838.0;13;541.0;752;1
231.0;1;93.0;839.0;14;539.0;752;0
230.0;9;96.0;839.0;15;540.0;755;0
231.0;-22;99.0;839.0;17;540.0;750;-2
232.0;2;99.0;839.0;12;539.0;756;1
229.0;-4;98.0;839.0;17;539.0;753;0
229.0;0;100.0;839.0;16;540.0;755;5
233.0;-5;98.0;838.0;12;541.0;758;7
234.0;-15;97.0;838.0;16;541.0;752;2
235.0;-12;98.0;838.0;16;541.0;754;-6
232.0;8;103.0;838.0;17;541.0;751;-6
233.0;19;106.0;838.0;13;541.0;758;-1
232.0;-27;105.0;838.0;12;541.0;753;-2
231.0;-21;104.0;838.0;13;541.0;754;-2
236.0;13;109.0;838.0;16;541.0;754;-4
234.0;5;108.0;838.0;16;541.0;754;-4
230.0;8;104.0;838.0;16;541.0;754;-4
235.0;-82;93.0;838.0;8;541.0;759;3
235.0;-43;72.0;838.0;16;541.0;754;-1
237.0;19;56.0;838.0;11;542.0;761;2
232.0;17;34.0;838.0;19;542.0;748;-1
233.0;-11;5.0;838.0;11;541.0;759;-1
245.0;-5;-26.0;835.0;14;542.0;758;0
249.0;1;-30.0;834.0;9;543.0;760;4
250.0;9;-27.0;834.0;14;544.0;754;-2
241.0;-12;-10.0;832.0;14;548.0;753;3
17.0;-3;101.0;825.0;13;561.0;753;4
285.0;-5;92.0;790.0;13;609.0;751;-5
273.0;-12;80.0;791.0;12;609.0;756;-3
246.0;-12;55.0;793.0;11;607.0;755;-3
219.0;-18;-15.0;801.0;15;598.0;750;-6
195.0;-2;-35.0;804.0;13;592.0;754;2
190.0;-7;-42.0;805.0;13;592.0;753;0
197.0;-4;-56.0;806.0;17;590.0;752;-1
198.0;26;-58.0;806.0;8;590.0;752;-3
200.0;4;-62.0;806.0;15;590.0;750;-5
200.0;-11;-62.0;806.0;18;589.0;750;-4
195.0;-22;-67.0;807.0;11;588.0;758;3
186.0;10;-70.0;808.0;11;586.0;755;-4
184.0;-4;-57.0;803.0;16;594.0;750;-3
201.0;-24;-10.0;797.0;18;603.0;751;0
180.0;-35;80.0;787.0;19;615.0;748;-6
-650.0;-16;485.0;303.0;23;379.0;646;3
-654.0;6;489.0;288.0;20;373.0;648;8
-654.0;6;488.0;287.0;20;372.0;646;13
-653.0;-17;483.0;276.0;13;368.0;663;-11
-653.0;-5;485.0;274.0;18;367.0;656;-5
-655.0;6;488.0;273.0;15;367.0;658;-5
-608.0;76;442.0;262.0;18;329.0;653;-17
-606.0;62;435.0;260.0;17;324.0;654;-17
-596.0;67;425.0;256.0;18;313.0;654;-17
269.0;15;113.0;753.0;9;653.0;761;2
236.0;-12;108.0;754.0;18;652.0;752;-2
227.0;-39;100.0;756.0;8;651.0;759;0
215.0;-12;103.0;762.0;11;643.0;762;4
218.0;-13;104.0;763.0;10;641.0;760;1
218.0;2;104.0;764.0;9;640.0;760;0
222.0;-18;91.0;763.0;11;643.0;763;5
225.0;-22;89.0;763.0;14;643.0;759;2
216.0;-7;104.0;765.0;16;639.0;758;0
226.0;21;101.0;765.0;11;639.0;762;5
232.0;-7;93.0;772.0;19;631.0;751;-4
231.0;-1;93.0;772.0;7;630.0;766;2
262.0;-12;97.0;770.0;16;634.0;754;0
265.0;-11;98.0;767.0;8;638.0;761;7
169.0;20;74.0;758.0;13;650.0;768;5
160.0;-5;74.0;759.0;15;648.0;760;-3
151.0;-12;73.0;762.0;17;644.0;755;-1
163.0;-13;72.0;762.0;17;644.0;756;0
166.0;24;62.0;763.0;9;644.0;765;2
163.0;8;70.0;764.0;19;642.0;750;-9
176.0;-2;54.0;766.0;13;640.0;760;3
164.0;11;48.0;763.0;12;643.0;763;-7
162.0;-2;58.0;769.0;13;636.0;763;4
164.0;-3;54.0;769.0;12;636.0;763;2
158.0;-21;42.0;769.0;12;636.0;760;-1
154.0;-27;41.0;770.0;15;635.0;758;-1
153.0;-4;48.0;771.0;19;633.0;758;3
157.0;-2;52.0;772.0;6;632.0;764;4
166.0;6;50.0;770.0;11;634.0;761;4
163.0;-20;55.0;765.0;14;640.0;760;6
145.0;2;62.0;764.0;12;641.0;764;4
150.0;30;63.0;764.0;17;641.0;762;3
153.0;9;67.0;764.0;21;642.0;756;3
157.0;-41;74.0;762.0;14;644.0;760;-1
137.0;15;108.0;756.0;11;649.0;761;-4
140.0;23;110.0;757.0;13;649.0;765;5
