InertialMeasurementUnit RUA Quaternion2;InertialMeasurementUnit LUA Quaternion3;Accelerometer LWR accY;InertialMeasurementUnit LUA gyroX;InertialMeasurementUnit RUA gyroX;InertialMeasurementUnit LLA Quaternion3;InertialMeasurementUnit LLA accZ;InertialMeasurementUnit RLA Quaternion4;Accelerometer LUA_ accY
-3.0;3.0;463.0;10.0;-252.0;147.0;110.0;-467.0;741.0
-82.0;74.0;826.0;-77.0;-113.0;115.0;-429.0;-614.0;930.0
-350.0;-186.0;327.0;-52.0;-25.0;168.0;-89.0;-357.0;503.0
-213.0;380.0;1045.0;-310.0;89.0;-408.0;-109.0;-34.0;1082.0
-334.0;384.0;985.0;-214.0;-296.0;-437.0;-84.0;161.0;1009.0
328.0;-439.0;716.0;-455.0;274.0;551.0;-115.0;-760.0;989.0
179.0;-633.0;-286.0;-48.0;-510.0;614.0;84.0;-853.0;-32.0
-347.0;-180.0;303.0;-43.0;28.0;161.0;-95.0;-380.0;504.0
-284.0;-132.0;243.0;47.0;-614.0;134.0;-227.0;-776.0;478.0
-271.0;-75.0;280.0;43.0;197.0;36.0;-272.0;-788.0;590.0
391.0;-619.0;230.0;6.0;902.0;807.0;-377.0;-812.0;542.0
-342.0;-174.0;319.0;-54.0;8.0;150.0;-117.0;-417.0;494.0
-342.0;-171.0;312.0;-72.0;-29.0;145.0;-125.0;-427.0;525.0
-334.0;545.0;863.0;-1195.0;-957.0;-514.0;66.0;834.0;876.0
615.0;-580.0;1165.0;-21.0;168.0;686.0;84.0;-817.0;1216.0
-415.0;142.0;689.0;-465.0;-443.0;-298.0;59.0;234.0;758.0
-292.0;30.0;-220.0;397.0;1076.0;-75.0;-171.0;-690.0;440.0
-288.0;-85.0;265.0;-151.0;103.0;66.0;-329.0;-824.0;546.0
149.0;-633.0;-316.0;70.0;16.0;613.0;67.0;-858.0;53.0
450.0;-444.0;919.0;3.0;-180.0;552.0;28.0;-875.0;1038.0
639.0;-536.0;1226.0;-872.0;-415.0;653.0;44.0;-758.0;1320.0
448.0;-427.0;894.0;-139.0;-92.0;541.0;24.0;-880.0;1045.0
578.0;-130.0;824.0;-291.0;472.0;418.0;-142.0;-761.0;872.0
402.0;-327.0;915.0;137.0;-191.0;507.0;212.0;-856.0;989.0
98.0;-591.0;841.0;-158.0;705.0;560.0;-7.0;-964.0;943.0
569.0;-646.0;810.0;-161.0;-40.0;712.0;-170.0;-848.0;940.0
50.0;-602.0;877.0;-119.0;249.0;647.0;33.0;-536.0;920.0
633.0;-613.0;979.0;-141.0;118.0;675.0;-161.0;-809.0;1006.0
30.0;-621.0;844.0;-199.0;-16.0;669.0;135.0;-521.0;910.0
26.0;-621.0;827.0;-170.0;-25.0;649.0;29.0;-511.0;941.0
563.0;-642.0;868.0;-205.0;-21.0;713.0;5.0;-848.0;956.0
26.0;-620.0;858.0;-204.0;-18.0;645.0;13.0;-510.0;931.0
26.0;-621.0;849.0;-203.0;-42.0;646.0;19.0;-510.0;914.0
584.0;-636.0;867.0;94.0;83.0;709.0;55.0;-835.0;929.0
594.0;-623.0;821.0;-344.0;-4.0;680.0;-19.0;-829.0;908.0
593.0;-619.0;791.0;-237.0;39.0;678.0;-39.0;-830.0;923.0
21.0;-622.0;855.0;58.0;37.0;658.0;75.0;-507.0;904.0
17.0;-621.0;849.0;9.0;69.0;655.0;61.0;-506.0;934.0
14.0;-619.0;834.0;14.0;65.0;651.0;52.0;-508.0;929.0
15.0;-619.0;860.0;-12.0;33.0;650.0;57.0;-506.0;924.0
15.0;-619.0;847.0;-24.0;43.0;652.0;63.0;-503.0;914.0
16.0;-618.0;846.0;-19.0;33.0;652.0;68.0;-501.0;936.0
-356.0;-32.0;1004.0;1372.0;547.0;-116.0;-8.0;213.0;938.0
566.0;-622.0;838.0;28.0;-198.0;711.0;70.0;-849.0;931.0
573.0;-641.0;824.0;50.0;197.0;693.0;22.0;-858.0;957.0
17.0;-618.0;840.0;-51.0;-30.0;651.0;56.0;-501.0;904.0
570.0;-616.0;826.0;-177.0;-4.0;681.0;-8.0;-840.0;951.0
20.0;-617.0;840.0;-17.0;14.0;652.0;65.0;-499.0;902.0
-501.0;173.0;938.0;370.0;-70.0;-336.0;82.0;256.0;990.0
558.0;-614.0;767.0;-441.0;-130.0;672.0;40.0;-846.0;891.0
-529.0;215.0;891.0;311.0;-642.0;-375.0;335.0;231.0;903.0
550.0;-635.0;785.0;-173.0;-104.0;715.0;65.0;-851.0;888.0
554.0;-638.0;891.0;-158.0;153.0;703.0;26.0;-851.0;976.0
551.0;-636.0;885.0;-116.0;95.0;680.0;45.0;-853.0;960.0
549.0;-622.0;831.0;-300.0;34.0;659.0;26.0;-851.0;964.0
20.0;-617.0;849.0;-23.0;34.0;652.0;62.0;-498.0;933.0
557.0;-622.0;880.0;-60.0;136.0;707.0;56.0;-844.0;992.0
549.0;-643.0;921.0;-86.0;151.0;733.0;15.0;-853.0;1007.0
556.0;-621.0;918.0;-100.0;118.0;699.0;41.0;-844.0;933.0
18.0;-619.0;854.0;10.0;11.0;652.0;60.0;-497.0;921.0
18.0;-620.0;836.0;-10.0;16.0;653.0;64.0;-498.0;909.0
