InertialMeasurementUnit LUA magneticZ;InertialMeasurementUnit L-SHOE AngVelNavFrameZ;InertialMeasurementUnit BACK magneticY;InertialMeasurementUnit BACK Quaternion1;InertialMeasurementUnit L-SHOE Nav_Az;InertialMeasurementUnit BACK Quaternion3;InertialMeasurementUnit L-SHOE Body_Ay;InertialMeasurementUnit L-SHOE Nav_Ax
-234.0;-3;121.0;91.0;20;62.0;660;8
-295.0;-13;124.0;67.0;16;-73.0;658;6
-359.0;-33;153.0;58.0;17;-99.0;652;5
-311.0;-36;114.0;60.0;18;-68.0;650;-7
-314.0;11;110.0;66.0;14;-68.0;656;2
-338.0;-5;111.0;72.0;18;-66.0;651;-2
-348.0;-5;109.0;74.0;20;-65.0;649;-5
-438.0;5;94.0;86.0;12;-52.0;658;17
-343.0;-14;173.0;73.0;18;-108.0;651;-3
-342.0;-15;164.0;80.0;19;-102.0;652;0
-344.0;-5;161.0;72.0;19;-103.0;648;-2
-410.0;-35;71.0;122.0;18;-63.0;651;-6
-399.0;-4;57.0;127.0;17;-54.0;648;-5
-396.0;-5;44.0;131.0;19;-47.0;648;0
-399.0;-29;22.0;141.0;8;-35.0;656;-6
-399.0;-54;10.0;153.0;19;-25.0;659;12
-383.0;-23;-38.0;189.0;21;-1.0;656;7
-375.0;-40;-47.0;194.0;11;2.0;665;-5
-392.0;-84;-66.0;201.0;-2;11.0;683;-17
-313.0;-36;-129.0;216.0;12;52.0;661;7
-281.0;11;-143.0;217.0;21;61.0;657;10
44.0;46;-299.0;282.0;26;207.0;666;26
-133.0;-211;-268.0;383.0;-12;203.0;692;7
-102.0;112;-153.0;267.0;-1;140.0;674;117
-241.0;-50;-117.0;285.0;-25;114.0;521;-40
-210.0;-17;-148.0;294.0;26;110.0;631;49
-291.0;-21;107.0;-1.0;60;142.0;686;-126
-288.0;-30;111.0;-26.0;-19;128.0;624;-63
-368.0;-128;130.0;-19.0;64;119.0;755;-157
-418.0;24;340.0;107.0;22;213.0;714;-38
-514.0;-52;152.0;127.0;13;102.0;672;-35
-362.0;-9;19.0;85.0;26;-3.0;654;-16
-149.0;26;-221.0;374.0;12;184.0;666;-19
-129.0;95;-221.0;375.0;24;182.0;673;-15
-462.0;-4;281.0;204.0;24;181.0;665;11
-454.0;-4;274.0;205.0;36;177.0;658;5
-424.0;-89;-18.0;136.0;16;22.0;667;-38
-395.0;-53;-9.0;134.0;33;17.0;636;1
-433.0;53;267.0;329.0;19;173.0;663;1
-432.0;55;258.0;329.0;17;171.0;669;-6
-405.0;-63;236.0;323.0;11;159.0;688;-6
-471.0;-26;265.0;321.0;24;187.0;660;7
-495.0;-39;285.0;322.0;15;200.0;670;0
-357.0;-1;179.0;70.0;19;-111.0;652;6
-611.0;-57;344.0;177.0;39;261.0;686;-94
-525.0;-88;318.0;55.0;27;175.0;668;14
