InertialMeasurementUnit RLA accZ;InertialMeasurementUnit L-SHOE EuZ;InertialMeasurementUnit RLA Quaternion1;InertialMeasurementUnit LUA Quaternion2;InertialMeasurementUnit BACK Quaternion2;InertialMeasurementUnit RLA Quaternion3;InertialMeasurementUnit LLA Quaternion2;InertialMeasurementUnit RUA Quaternion1;InertialMeasurementUnit LLA magneticY
75.0;-178;?;674.0;367.0;-266.0;-583.0;-448.0;529.0
341.0;-178;76.0;?;376.0;?;-583.0;-469.0;550.0
435.0;-179;?;663.0;378.0;?;-578.0;?;575.0
?;-178;66.0;669.0;380.0;-273.0;-582.0;?;585.0
327.0;-178;?;678.0;?;-281.0;-596.0;-470.0;587.0
358.0;-178;81.0;686.0;383.0;-288.0;-611.0;-459.0;580.0
?;-178;94.0;692.0;384.0;-297.0;?;-445.0;?
343.0;-178;110.0;699.0;385.0;?;?;-427.0;552.0
274.0;?;127.0;704.0;383.0;-317.0;?;-402.0;524.0
434.0;-178;700.0;302.0;390.0;-596.0;-246.0;?;-196.0
431.0;-178;702.0;?;390.0;?;-246.0;251.0;-196.0
539.0;-178;?;307.0;391.0;-585.0;-246.0;?;-192.0
672.0;-178;?;313.0;391.0;?;?;247.0;?
846.0;-178;715.0;?;392.0;-547.0;-244.0;238.0;?
1079.0;?;717.0;335.0;?;-524.0;-245.0;?;-173.0
1091.0;-178;711.0;355.0;394.0;-502.0;?;195.0;-164.0
?;?;696.0;?;392.0;?;-268.0;161.0;-150.0
?;-178;674.0;415.0;393.0;?;-292.0;117.0;-127.0
812.0;?;641.0;449.0;396.0;-432.0;-322.0;67.0;-97.0
690.0;-178;600.0;483.0;397.0;-410.0;?;14.0;-52.0
647.0;-179;554.0;518.0;398.0;?;?;-41.0;?
645.0;?;503.0;547.0;401.0;-366.0;-408.0;?;48.0
585.0;-178;?;570.0;?;-341.0;-430.0;?;106.0
604.0;?;400.0;?;403.0;-312.0;-449.0;-199.0;173.0
651.0;?;?;607.0;403.0;-280.0;-465.0;?;245.0
667.0;-178;?;619.0;402.0;-250.0;-482.0;?;?
566.0;?;243.0;630.0;400.0;-224.0;-502.0;?;379.0
371.0;-178;193.0;639.0;396.0;-210.0;-521.0;-370.0;427.0
77.0;-178;153.0;648.0;?;-213.0;-539.0;-410.0;471.0
-73.0;-178;124.0;653.0;?;-222.0;-557.0;?;510.0
-122.0;-178;105.0;656.0;377.0;-223.0;?;-472.0;?
137.0;?;93.0;649.0;371.0;?;-583.0;-492.0;563.0
?;?;88.0;641.0;372.0;-214.0;?;-500.0;579.0
350.0;-178;?;637.0;374.0;-220.0;-587.0;-496.0;592.0
405.0;-178;92.0;640.0;?;-230.0;-592.0;-486.0;595.0
385.0;-178;99.0;648.0;376.0;-242.0;?;-472.0;581.0
?;-178;110.0;653.0;377.0;?;-606.0;-461.0;570.0
567.0;-178;121.0;655.0;375.0;-264.0;-613.0;-450.0;565.0
579.0;-178;130.0;657.0;?;-264.0;-618.0;-442.0;549.0
477.0;-178;141.0;664.0;?;-267.0;-621.0;-434.0;?
381.0;-178;?;?;?;-276.0;-630.0;-421.0;519.0
?;-178;685.0;271.0;369.0;-571.0;?;243.0;-212.0
510.0;-178;690.0;273.0;369.0;-566.0;-263.0;243.0;?
483.0;-178;694.0;?;370.0;-562.0;-262.0;243.0;?
?;-179;698.0;281.0;371.0;?;-263.0;243.0;-208.0
628.0;-178;701.0;290.0;371.0;?;-264.0;241.0;-203.0
800.0;-178;705.0;301.0;372.0;-526.0;-267.0;236.0;-201.0
?;-178;706.0;?;373.0;-506.0;-273.0;223.0;?
1024.0;-178;?;?;373.0;?;-278.0;?;-189.0
979.0;-178;691.0;?;373.0;-466.0;-288.0;171.0;-172.0
926.0;-179;?;395.0;374.0;-442.0;-304.0;134.0;-154.0
869.0;-178;649.0;?;375.0;-418.0;-324.0;92.0;-116.0
844.0;?;?;463.0;375.0;-393.0;-344.0;46.0;-73.0
809.0;-178;572.0;494.0;376.0;?;-364.0;-3.0;-13.0
763.0;-178;?;524.0;378.0;?;?;?;48.0
?;-178;472.0;549.0;381.0;-319.0;-406.0;?;118.0
651.0;-178;413.0;570.0;383.0;-294.0;-428.0;-166.0;?
542.0;-178;352.0;590.0;385.0;?;?;-220.0;267.0
416.0;-178;291.0;606.0;?;-253.0;-477.0;-272.0;329.0
331.0;-178;234.0;621.0;?;-240.0;-501.0;-321.0;?
222.0;-178;?;636.0;377.0;-229.0;-527.0;?;431.0
?;-178;136.0;648.0;?;-224.0;-552.0;?;473.0
96.0;-178;102.0;653.0;366.0;-226.0;-575.0;-440.0;510.0
127.0;-178;78.0;649.0;361.0;-230.0;-589.0;-464.0;533.0
202.0;-178;63.0;642.0;362.0;-231.0;?;-479.0;548.0
417.0;-178;57.0;?;366.0;?;-595.0;?;562.0
501.0;-178;58.0;?;368.0;-239.0;-595.0;?;576.0
537.0;-178;63.0;646.0;370.0;-246.0;-599.0;?;569.0
501.0;-178;?;649.0;?;-255.0;-604.0;-461.0;563.0
489.0;-178;85.0;653.0;?;-260.0;-605.0;-451.0;562.0
384.0;-178;?;660.0;372.0;-265.0;-609.0;?;554.0
?;-178;117.0;?;?;-274.0;-619.0;-422.0;541.0
408.0;?;684.0;257.0;374.0;-605.0;-285.0;205.0;?
504.0;-178;?;259.0;373.0;?;?;198.0;-133.0
659.0;-178;698.0;259.0;373.0;?;-269.0;?;?
612.0;-179;698.0;?;372.0;?;-254.0;159.0;-59.0
532.0;-178;?;249.0;372.0;?;-234.0;122.0;0.0
451.0;-178;680.0;238.0;374.0;?;-212.0;?;65.0
364.0;-178;659.0;223.0;374.0;-492.0;-183.0;32.0;?
437.0;-178;623.0;205.0;373.0;?;-148.0;-12.0;285.0
348.0;-179;571.0;183.0;373.0;-459.0;-115.0;-53.0;427.0
201.0;-179;?;166.0;373.0;-438.0;-83.0;-89.0;546.0
387.0;-178;441.0;?;371.0;?;-47.0;-119.0;631.0
642.0;-181;379.0;152.0;?;-355.0;-11.0;-145.0;671.0
?;-175;321.0;?;366.0;?;?;-172.0;?
675.0;-183;?;144.0;365.0;-265.0;34.0;-196.0;563.0
789.0;-176;203.0;139.0;363.0;?;46.0;-220.0;459.0
715.0;-176;149.0;132.0;360.0;-204.0;?;-247.0;347.0
644.0;-190;99.0;130.0;?;-185.0;45.0;-275.0;?
708.0;?;58.0;130.0;355.0;-171.0;40.0;-297.0;180.0
?;-218;29.0;132.0;354.0;-157.0;?;-316.0;124.0
664.0;-104;10.0;134.0;?;-146.0;28.0;-330.0;103.0
698.0;?;0.0;136.0;352.0;-135.0;17.0;?;94.0
728.0;188;0.0;?;350.0;-123.0;4.0;-338.0;85.0
688.0;152;8.0;140.0;345.0;-112.0;-8.0;-335.0;83.0
694.0;?;19.0;137.0;341.0;-106.0;?;-329.0;102.0
?;148;33.0;131.0;337.0;-105.0;?;-322.0;135.0
?;208;?;?;332.0;-111.0;-15.0;-316.0;176.0
?;162;63.0;115.0;326.0;-121.0;-19.0;-312.0;225.0
?;?;78.0;109.0;321.0;?;-26.0;-310.0;273.0
514.0;?;91.0;?;314.0;-147.0;-36.0;-306.0;?
492.0;-157;?;?;309.0;-158.0;-50.0;?;357.0
?;-192;?;105.0;303.0;-165.0;?;-298.0;380.0
455.0;-173;119.0;107.0;299.0;-167.0;-74.0;-292.0;402.0
?;-180;125.0;109.0;?;-164.0;-81.0;-285.0;419.0
490.0;-181;130.0;110.0;296.0;-157.0;-84.0;?;428.0
492.0;-177;?;109.0;295.0;-147.0;-83.0;-275.0;439.0
491.0;-182;133.0;?;296.0;-137.0;-78.0;-274.0;449.0
490.0;?;129.0;103.0;297.0;-126.0;-70.0;-273.0;451.0
501.0;?;123.0;100.0;?;-114.0;-61.0;-271.0;450.0
520.0;-180;117.0;94.0;?;-101.0;-50.0;-271.0;440.0
522.0;-179;111.0;88.0;298.0;?;-38.0;-273.0;428.0
?;-179;104.0;?;297.0;-78.0;?;-276.0;418.0
564.0;?;98.0;77.0;297.0;-70.0;-11.0;?;403.0
?;-179;93.0;75.0;297.0;-65.0;2.0;-283.0;389.0
535.0;-179;89.0;74.0;297.0;-62.0;12.0;-286.0;371.0
553.0;?;87.0;72.0;298.0;-59.0;19.0;-287.0;351.0
560.0;-179;88.0;71.0;?;?;22.0;-289.0;332.0
543.0;-179;89.0;71.0;299.0;-60.0;23.0;-290.0;321.0
537.0;-179;92.0;75.0;?;-64.0;20.0;-290.0;312.0
531.0;?;?;81.0;?;-68.0;13.0;-289.0;299.0
520.0;-179;98.0;88.0;306.0;-71.0;2.0;-287.0;288.0
519.0;-179;103.0;?;309.0;-71.0;-11.0;-283.0;?
498.0;-179;110.0;107.0;314.0;?;-23.0;-277.0;283.0
471.0;?;119.0;?;318.0;-69.0;-28.0;-270.0;?
515.0;-178;?;120.0;322.0;-65.0;-29.0;?;296.0
?;-177;143.0;119.0;326.0;-60.0;-31.0;?;312.0
520.0;-178;155.0;120.0;329.0;?;-33.0;-244.0;331.0
465.0;?;168.0;122.0;328.0;-60.0;-41.0;?;344.0
495.0;-178;176.0;131.0;332.0;?;-43.0;?;357.0
686.0;-178;181.0;?;?;-56.0;-41.0;-214.0;365.0
?;-178;186.0;129.0;349.0;-52.0;-39.0;-212.0;364.0
408.0;-178;187.0;129.0;352.0;-57.0;-41.0;-212.0;?
431.0;-178;187.0;122.0;?;-64.0;-42.0;-216.0;356.0
?;-178;185.0;?;348.0;?;?;-221.0;363.0
347.0;-178;?;103.0;342.0;-89.0;-33.0;-225.0;392.0
?;-178;?;100.0;338.0;-96.0;-23.0;-226.0;426.0
378.0;?;167.0;97.0;336.0;-99.0;-18.0;-227.0;?
407.0;-178;165.0;92.0;335.0;-98.0;-16.0;-228.0;440.0
469.0;-178;?;88.0;?;-93.0;-11.0;?;448.0
504.0;-178;?;?;333.0;?;-4.0;-231.0;?
499.0;-178;157.0;86.0;332.0;-83.0;0.0;-235.0;460.0
528.0;-178;149.0;88.0;332.0;?;?;-239.0;?
562.0;-178;141.0;91.0;332.0;-79.0;2.0;-243.0;?
577.0;?;?;?;330.0;-78.0;2.0;-246.0;448.0
573.0;-178;?;95.0;329.0;-76.0;?;-251.0;435.0
566.0;-177;123.0;97.0;327.0;-76.0;6.0;-255.0;428.0
549.0;-177;119.0;97.0;326.0;-76.0;10.0;-258.0;424.0
?;-177;116.0;97.0;324.0;-77.0;?;-261.0;?
535.0;?;114.0;95.0;?;-78.0;17.0;-263.0;406.0
535.0;-177;?;?;320.0;-79.0;21.0;-265.0;394.0
526.0;-177;107.0;90.0;317.0;?;23.0;-268.0;386.0
501.0;-177;105.0;88.0;315.0;-80.0;25.0;?;?
491.0;?;104.0;?;313.0;-81.0;?;-273.0;374.0
482.0;-177;105.0;78.0;310.0;-82.0;29.0;-275.0;376.0
478.0;-177;105.0;74.0;306.0;-83.0;31.0;-277.0;377.0
473.0;-177;?;70.0;304.0;-82.0;33.0;-278.0;383.0
487.0;-177;?;65.0;302.0;-78.0;33.0;-278.0;?
503.0;?;109.0;62.0;300.0;?;33.0;-277.0;400.0
?;-177;115.0;59.0;299.0;-68.0;?;?;409.0
516.0;-177;?;58.0;299.0;-61.0;30.0;-274.0;?
536.0;-178;?;56.0;298.0;?;30.0;?;?
545.0;-178;133.0;54.0;299.0;-53.0;30.0;-274.0;435.0
541.0;?;134.0;54.0;?;-52.0;?;-275.0;?
531.0;-178;134.0;54.0;301.0;-51.0;31.0;?;449.0
510.0;-177;135.0;54.0;303.0;-49.0;29.0;-273.0;450.0
490.0;-178;135.0;54.0;304.0;-45.0;28.0;-271.0;451.0
497.0;-176;?;54.0;306.0;-43.0;27.0;-270.0;452.0
?;?;134.0;55.0;306.0;-42.0;26.0;?;452.0
?;-177;?;57.0;?;-42.0;26.0;-267.0;450.0
483.0;-174;135.0;59.0;311.0;-42.0;?;-265.0;445.0
484.0;-182;136.0;62.0;313.0;?;23.0;-264.0;440.0
484.0;-168;138.0;65.0;?;?;22.0;-264.0;437.0
479.0;-187;139.0;68.0;318.0;-49.0;21.0;-262.0;431.0
486.0;-170;?;72.0;?;-51.0;18.0;-259.0;427.0
483.0;?;144.0;78.0;?;?;13.0;-256.0;?
?;?;?;84.0;329.0;?;8.0;-253.0;?
494.0;38;151.0;91.0;?;-52.0;?;-249.0;409.0
503.0;225;155.0;?;340.0;-51.0;?;-246.0;404.0
478.0;159;160.0;106.0;344.0;-51.0;-18.0;-245.0;398.0
391.0;183;164.0;118.0;346.0;?;?;-243.0;394.0
623.0;183;164.0;122.0;348.0;-49.0;-24.0;?;389.0
483.0;173;165.0;116.0;354.0;-45.0;?;?;384.0
334.0;185;165.0;113.0;?;?;-22.0;-235.0;?
364.0;?;170.0;?;364.0;?;-17.0;-236.0;?
356.0;181;173.0;99.0;368.0;-48.0;?;-236.0;405.0
?;?;?;99.0;370.0;-45.0;-11.0;-231.0;427.0
372.0;179;167.0;99.0;373.0;-39.0;-12.0;-226.0;?
360.0;179;164.0;?;?;-36.0;-18.0;?;443.0
362.0;182;166.0;100.0;382.0;-37.0;-23.0;-225.0;?
405.0;176;174.0;103.0;385.0;-37.0;?;-223.0;449.0
409.0;183;184.0;?;387.0;-38.0;?;-224.0;453.0
399.0;?;189.0;107.0;388.0;-42.0;-20.0;?;459.0
?;175;?;?;?;-49.0;-15.0;-228.0;462.0
?;?;?;105.0;388.0;-55.0;-9.0;-230.0;?
428.0;155;191.0;105.0;?;-58.0;-4.0;-230.0;460.0
454.0;216;191.0;107.0;?;?;-2.0;-230.0;453.0
?;122;190.0;110.0;389.0;-56.0;-1.0;-230.0;449.0
?;-182;?;113.0;?;-53.0;-2.0;-231.0;435.0
507.0;-197;185.0;116.0;389.0;-50.0;-2.0;?;?
519.0;-161;182.0;119.0;388.0;-47.0;-3.0;-234.0;411.0
530.0;?;178.0;121.0;386.0;?;?;?;399.0
?;-171;175.0;122.0;?;-37.0;-3.0;-237.0;387.0
534.0;-182;169.0;121.0;?;-33.0;-2.0;-240.0;374.0
510.0;?;164.0;119.0;?;-32.0;1.0;-246.0;364.0
505.0;-177;159.0;?;372.0;?;4.0;-250.0;354.0
?;?;156.0;110.0;366.0;?;9.0;-254.0;352.0
489.0;-178;152.0;?;359.0;-31.0;14.0;-256.0;351.0
495.0;?;?;?;351.0;?;19.0;?;351.0
?;-179;145.0;88.0;344.0;?;24.0;-262.0;?
?;-179;?;81.0;?;-32.0;28.0;-265.0;362.0
494.0;-179;141.0;76.0;329.0;-33.0;30.0;-267.0;369.0
?;-179;140.0;71.0;322.0;?;31.0;?;374.0
479.0;-179;139.0;66.0;316.0;?;?;-273.0;?
473.0;-179;138.0;60.0;310.0;-36.0;34.0;-276.0;?
