InertialMeasurementUnit BACK accZ;Accelerometer RKN^ accZ;Accelerometer BACK accZ;InertialMeasurementUnit LUA gyroZ;InertialMeasurementUnit R-SHOE Compass;Accelerometer LUA_ accX
112.0;129.0;-458.0;12.0;-7;-17.0
284.0;233.0;-591.0;102.0;-7;28.0
251.0;397.0;-672.0;129.0;-3;178.0
186.0;218.0;-467.0;141.0;-7;11.0
587.0;225.0;-460.0;233.0;-170;-240.0
249.0;254.0;-530.0;-65.0;-7;14.0
124.0;79.0;-445.0;65.0;-16;332.0
171.0;163.0;-556.0;210.0;-87;34.0
177.0;50.0;-525.0;713.0;-6;48.0
934.0;383.0;-844.0;-457.0;-81;-37.0
181.0;213.0;-570.0;52.0;-59;108.0
201.0;375.0;-624.0;-30.0;-11;145.0
-5.0;422.0;-455.0;164.0;-4;11.0
161.0;257.0;-508.0;142.0;-81;98.0
115.0;375.0;-514.0;221.0;-142;-339.0
162.0;330.0;-534.0;86.0;-81;18.0
305.0;49.0;-622.0;14.0;-6;-15.0
215.0;150.0;-517.0;-61.0;-31;84.0
492.0;201.0;-768.0;-128.0;3;-113.0
308.0;48.0;-616.0;-26.0;-6;-37.0
306.0;105.0;-672.0;-79.0;-31;-192.0
291.0;40.0;-620.0;-16.0;-6;9.0
300.0;59.0;-614.0;-17.0;-6;-9.0
285.0;33.0;-590.0;32.0;-6;-14.0
235.0;117.0;-550.0;-90.0;-31;93.0
282.0;58.0;-609.0;55.0;-6;0.0
112.0;-32.0;-465.0;100.0;-142;-254.0
285.0;47.0;-600.0;42.0;-6;-14.0
284.0;44.0;-595.0;71.0;-6;-22.0
97.0;253.0;-493.0;270.0;-11;1.0
308.0;-35.0;-719.0;163.0;-137;-78.0
275.0;41.0;-587.0;84.0;-6;-77.0
157.0;235.0;-502.0;-26.0;-82;12.0
223.0;91.0;-636.0;35.0;-8;122.0
211.0;200.0;-547.0;-57.0;-7;39.0
156.0;203.0;-498.0;-12.0;-82;31.0
