InertialMeasurementUnit LUA magneticZ;InertialMeasurementUnit L-SHOE AngVelNavFrameZ;InertialMeasurementUnit BACK magneticY;InertialMeasurementUnit BACK Quaternion1;InertialMeasurementUnit L-SHOE Nav_Az;InertialMeasurementUnit BACK Quaternion3;InertialMeasurementUnit L-SHOE Body_Ay;InertialMeasurementUnit L-SHOE Nav_Ax
-234.0;-3;121.0;91.0;20;62.0;660;8
-295.0;-13;124.0;67.0;16;-73.0;658;6
-359.0;-33;153.0;58.0;17;-99.0;652;5
128.0;-1221;-51.0;-738.0;74;-603.0;668;-212
22.0;49;-251.0;-373.0;8;-182.0;652;-36
-338.0;-5;111.0;72.0;18;-66.0;651;-2
-348.0;-5;109.0;74.0;20;-65.0;649;-5
-537.0;2;96.0;91.0;18;-68.0;675;-17
-343.0;-14;173.0;73.0;18;-108.0;651;-3
-342.0;-15;164.0;80.0;19;-102.0;652;0
-344.0;-5;161.0;72.0;19;-103.0;648;-2
-410.0;-35;71.0;122.0;18;-63.0;651;-6
-399.0;-4;57.0;127.0;17;-54.0;648;-5
-396.0;-5;44.0;131.0;19;-47.0;648;0
-399.0;-29;22.0;141.0;8;-35.0;656;-6
-399.0;-54;10.0;153.0;19;-25.0;659;12
-383.0;-23;-38.0;189.0;21;-1.0;656;7
-375.0;-40;-47.0;194.0;11;2.0;665;-5
-392.0;-84;-66.0;201.0;-2;11.0;683;-17
-313.0;-36;-129.0;216.0;12;52.0;661;7
-281.0;11;-143.0;217.0;21;61.0;657;10
523.0;0;-441.0;-679.0;22;-575.0;655;-1
-74.0;-174;-150.0;617.0;49;404.0;664;87
96.0;1756;-40.0;781.0;-1383;585.0;2652;1481
452.0;-339;-260.0;746.0;943;581.0;-579;-535
-210.0;-17;-148.0;294.0;26;110.0;631;49
-368.0;-128;130.0;-19.0;64;119.0;755;-157
-190.0;23;-33.0;-229.0;54;-52.0;679;-21
-30.0;338;30.0;-749.0;679;-623.0;527;-627
-418.0;24;340.0;107.0;22;213.0;714;-38
-514.0;-52;152.0;127.0;13;102.0;672;-35
-362.0;-9;19.0;85.0;26;-3.0;654;-16
-129.0;95;-221.0;375.0;24;182.0;673;-15
-101.0;866;-80.0;669.0;731;490.0;346;-508
-462.0;-4;281.0;204.0;24;181.0;665;11
-454.0;-4;274.0;205.0;36;177.0;658;5
-424.0;-89;-18.0;136.0;16;22.0;667;-38
-395.0;-53;-9.0;134.0;33;17.0;636;1
-433.0;53;267.0;329.0;19;173.0;663;1
-629.0;1103;438.0;411.0;-10;281.0;977;-493
-405.0;-63;236.0;323.0;11;159.0;688;-6
-471.0;-26;265.0;321.0;24;187.0;660;7
-495.0;-39;285.0;322.0;15;200.0;670;0
-357.0;-1;179.0;70.0;19;-111.0;652;6
-562.0;-5;145.0;1.0;21;-107.0;665;90
-740.0;-30;598.0;186.0;19;306.0;681;-124
