InertialMeasurementUnit RUA Quaternion2;InertialMeasurementUnit LUA Quaternion3;Accelerometer LWR accY;InertialMeasurementUnit LUA gyroX;InertialMeasurementUnit RUA gyroX;InertialMeasurementUnit LLA Quaternion3;InertialMeasurementUnit LLA accZ;InertialMeasurementUnit RLA Quaternion4;Accelerometer LUA_ accY
312.0;90.0;879.0;-210.0;-340.0;112.0;63.0;-25.0;930.0
219.0;-317.0;896.0;-310.0;-254.0;235.0;-164.0;-125.0;930.0
141.0;-242.0;916.0;1.0;12.0;161.0;-82.0;-12.0;956.0
283.0;-259.0;933.0;191.0;-329.0;217.0;-123.0;-180.0;1031.0
-246.0;6.0;711.0;-229.0;96.0;-104.0;-149.0;-104.0;821.0
248.0;-268.0;971.0;91.0;-416.0;239.0;-95.0;-154.0;1035.0
-97.0;48.0;682.0;128.0;14.0;-12.0;286.0;-467.0;886.0
-101.0;57.0;644.0;169.0;-14.0;-21.0;287.0;-467.0;845.0
625.0;-116.0;733.0;-215.0;218.0;281.0;144.0;-223.0;828.0
305.0;-325.0;858.0;-537.0;101.0;411.0;-63.0;-21.0;895.0
223.0;-333.0;941.0;-119.0;-289.0;246.0;-155.0;-168.0;1140.0
203.0;-334.0;960.0;-16.0;-75.0;240.0;-169.0;-165.0;1000.0
421.0;-122.0;840.0;-197.0;-568.0;267.0;165.0;-140.0;925.0
-63.0;-187.0;950.0;342.0;135.0;111.0;135.0;-459.0;1020.0
437.0;13.0;757.0;-340.0;9.0;283.0;-123.0;59.0;831.0
298.0;-8.0;839.0;-26.0;162.0;179.0;-76.0;231.0;905.0
288.0;-123.0;807.0;-117.0;149.0;323.0;-70.0;286.0;926.0
23.0;20.0;508.0;128.0;95.0;147.0;88.0;-467.0;715.0
292.0;-118.0;851.0;-115.0;133.0;315.0;-48.0;277.0;950.0
301.0;-110.0;822.0;-195.0;-15.0;305.0;-46.0;266.0;929.0
289.0;-87.0;824.0;-224.0;-231.0;277.0;-46.0;283.0;940.0
415.0;-123.0;794.0;-160.0;-348.0;271.0;147.0;-146.0;919.0
287.0;-84.0;776.0;-270.0;-182.0;274.0;-53.0;286.0;928.0
281.0;-78.0;814.0;-177.0;-161.0;265.0;-43.0;294.0;942.0
278.0;-74.0;802.0;-202.0;-152.0;262.0;-42.0;298.0;906.0
262.0;-69.0;831.0;1.0;-26.0;254.0;-103.0;315.0;994.0
203.0;-334.0;946.0;15.0;-26.0;239.0;-152.0;-165.0;1032.0
