InertialMeasurementUnit L-SHOE Compass;InertialMeasurementUnit R-SHOE Body_Az;Accelerometer RUA^ accY;Accelerometer LUA^ accX;InertialMeasurementUnit R-SHOE AngVelNavFrameY;InertialMeasurementUnit R-SHOE AngVelBodyFrameZ;InertialMeasurementUnit RUA accX;InertialMeasurementUnit RUA accY
141;802;1078.0;455.0;-3;4;-965.0;164.0
168;793;1041.0;389.0;-2;30;-959.0;241.0
168;803;1041.0;409.0;-2;24;-957.0;229.0
168;808;990.0;425.0;-22;6;-948.0;207.0
6;866;951.0;484.0;5925;87;-991.0;10.0
168;806;1057.0;448.0;-13;33;-926.0;263.0
-6;800;1000.0;435.0;-23;-6;-846.0;43.0
168;808;1026.0;435.0;17;17;-966.0;231.0
168;806;1035.0;450.0;-1;17;-957.0;212.0
55;820;1138.0;426.0;14;0;-953.0;178.0
-177;728;1076.0;410.0;-294;75;-973.0;265.0
36;809;919.0;369.0;-71;87;-888.0;135.0
-147;794;978.0;533.0;6;-6;-978.0;202.0
24;801;1064.0;286.0;63;16;-959.0;181.0
-90;776;807.0;478.0;-142;-6;-970.0;113.0
17;797;998.0;337.0;23;-6;-951.0;250.0
15;746;836.0;410.0;-100;-10;-862.0;511.0
16;802;1067.0;330.0;11;36;-955.0;390.0
24;797;1140.0;375.0;-35;-11;-930.0;209.0
16;688;1137.0;446.0;-578;2491;-853.0;244.0
-56;800;1025.0;269.0;-55;-73;-948.0;-52.0
16;797;1072.0;371.0;6;30;-875.0;341.0
-12;804;1039.0;309.0;-58;-1;-1345.0;195.0
40;810;1058.0;386.0;-34;-38;-900.0;234.0
2;812;1030.0;256.0;-44;-30;-901.0;228.0
15;805;1069.0;284.0;-2;20;-966.0;239.0
41;810;1020.0;334.0;28;1;-938.0;147.0
109;635;914.0;593.0;3114;-1418;-1100.0;250.0
-17;798;1047.0;217.0;-26;15;-910.0;143.0
38;810;1058.0;374.0;36;-1;-924.0;270.0
45;811;1032.0;374.0;35;-1;-966.0;248.0
48;807;1089.0;449.0;-16;-3;-903.0;230.0
68;829;1024.0;534.0;1573;1973;-823.0;414.0
-11;444;916.0;426.0;3541;567;-1093.0;118.0
33;815;1064.0;412.0;1;6;-947.0;211.0
17;797;1072.0;172.0;-37;-14;-960.0;66.0
15;796;1035.0;300.0;-11;-12;-938.0;136.0
15;796;1086.0;315.0;66;-5;-951.0;144.0
15;800;1066.0;305.0;53;-10;-958.0;143.0
17;799;1055.0;333.0;-13;-38;-963.0;106.0
152;665;1110.0;665.0;1218;200;-1006.0;50.0
15;797;1038.0;374.0;-17;7;-957.0;177.0
