InertialMeasurementUnit RUA Quaternion2;InertialMeasurementUnit LUA Quaternion3;Accelerometer LWR accY;InertialMeasurementUnit LUA gyroX;InertialMeasurementUnit RUA gyroX;InertialMeasurementUnit LLA Quaternion3;InertialMeasurementUnit LLA accZ;InertialMeasurementUnit RLA Quaternion4;Accelerometer LUA_ accY
-333.0;-162.0;256.0;60.0;-13.0;176.0;-234.0;-713.0;459.0
561.0;-239.0;833.0;309.0;-416.0;376.0;331.0;-353.0;911.0
-410.0;404.0;1003.0;7.0;116.0;-447.0;-116.0;335.0;1048.0
-213.0;380.0;1045.0;-310.0;89.0;-408.0;-109.0;-34.0;1082.0
-224.0;393.0;944.0;-153.0;-270.0;-415.0;-126.0;-17.0;964.0
361.0;-341.0;828.0;-398.0;232.0;630.0;-4.0;-855.0;951.0
-272.0;335.0;1031.0;223.0;-567.0;-379.0;64.0;-16.0;921.0
-537.0;176.0;1264.0;-143.0;-263.0;-368.0;9.0;139.0;1043.0
-546.0;203.0;837.0;-109.0;-552.0;-368.0;231.0;265.0;992.0
518.0;-523.0;666.0;322.0;539.0;648.0;-181.0;-636.0;991.0
515.0;-501.0;708.0;-106.0;305.0;635.0;-215.0;-614.0;1082.0
-675.0;136.0;786.0;-553.0;312.0;-300.0;184.0;409.0;849.0
356.0;-430.0;1133.0;174.0;602.0;622.0;234.0;-737.0;864.0
623.0;-627.0;559.0;138.0;98.0;768.0;-249.0;-797.0;826.0
555.0;-560.0;893.0;-152.0;49.0;658.0;-43.0;-829.0;1070.0
556.0;-573.0;1025.0;375.0;-360.0;677.0;20.0;-832.0;1019.0
539.0;-619.0;908.0;439.0;40.0;732.0;-23.0;-854.0;892.0
535.0;-630.0;814.0;99.0;-190.0;745.0;-64.0;-856.0;868.0
538.0;-643.0;816.0;100.0;-178.0;755.0;-36.0;-859.0;923.0
547.0;-644.0;899.0;59.0;-94.0;747.0;0.0;-856.0;1001.0
548.0;-643.0;908.0;11.0;54.0;742.0;16.0;-855.0;1019.0
549.0;-643.0;921.0;-86.0;151.0;733.0;15.0;-853.0;1007.0
549.0;-641.0;914.0;-269.0;202.0;724.0;5.0;-853.0;1011.0
550.0;-610.0;747.0;-469.0;-190.0;686.0;-34.0;-851.0;907.0
-519.0;112.0;888.0;-1223.0;423.0;-274.0;22.0;173.0;894.0
569.0;-646.0;810.0;-161.0;-40.0;712.0;-170.0;-848.0;940.0
548.0;-673.0;877.0;390.0;-18.0;753.0;94.0;-858.0;893.0
552.0;-641.0;840.0;-45.0;183.0;688.0;-87.0;-854.0;956.0
552.0;-635.0;839.0;211.0;47.0;690.0;-38.0;-854.0;917.0
559.0;-633.0;869.0;311.0;-416.0;702.0;4.0;-849.0;1000.0
563.0;-642.0;868.0;-205.0;-21.0;713.0;5.0;-848.0;956.0
562.0;-639.0;812.0;-350.0;24.0;701.0;3.0;-849.0;658.0
-409.0;404.0;989.0;17.0;-77.0;-448.0;-112.0;335.0;1024.0
584.0;-636.0;867.0;94.0;83.0;709.0;55.0;-835.0;929.0
594.0;-623.0;821.0;-344.0;-4.0;680.0;-19.0;-829.0;908.0
593.0;-619.0;791.0;-237.0;39.0;678.0;-39.0;-830.0;923.0
585.0;-614.0;825.0;156.0;211.0;679.0;-19.0;-835.0;999.0
559.0;-631.0;903.0;399.0;143.0;699.0;-20.0;-848.0;975.0
-406.0;404.0;985.0;-11.0;-89.0;-447.0;-110.0;332.0;1021.0
550.0;-638.0;885.0;421.0;172.0;714.0;23.0;-851.0;954.0
552.0;-630.0;874.0;13.0;298.0;702.0;-4.0;-849.0;741.0
551.0;-625.0;759.0;-407.0;91.0;689.0;-7.0;-848.0;854.0
-408.0;-33.0;938.0;510.0;205.0;-109.0;63.0;-145.0;1047.0
566.0;-622.0;838.0;28.0;-198.0;711.0;70.0;-849.0;931.0
566.0;-623.0;832.0;14.0;186.0;706.0;40.0;-847.0;961.0
570.0;-619.0;882.0;-366.0;86.0;683.0;0.0;-841.0;923.0
570.0;-616.0;826.0;-177.0;-4.0;681.0;-8.0;-840.0;951.0
554.0;-621.0;824.0;-472.0;164.0;684.0;26.0;-847.0;874.0
558.0;-614.0;767.0;-441.0;-130.0;672.0;40.0;-846.0;891.0
