InertialMeasurementUnit L-SHOE Compass;InertialMeasurementUnit R-SHOE Body_Az;Accelerometer RUA^ accY;Accelerometer LUA^ accX;InertialMeasurementUnit R-SHOE AngVelNavFrameY;InertialMeasurementUnit R-SHOE AngVelBodyFrameZ;InertialMeasurementUnit RUA accX;InertialMeasurementUnit RUA accY
167;805;1055.0;363.0;3;-23;-993.0;259.0
44;802;875.0;288.0;-36;20;-817.0;233.0
-166;786;906.0;346.0;-184;-129;-802.0;254.0
-93;809;1071.0;278.0;-23;-75;-958.0;220.0
-11;444;916.0;426.0;3541;567;-1093.0;118.0
78;810;1014.0;398.0;2;-42;-851.0;-94.0
15;753;1050.0;223.0;-95;-20;-905.0;240.0
132;814;1003.0;246.0;8;-23;-881.0;124.0
135;43;666.0;212.0;17;-14;-551.0;437.0
-109;822;1095.0;275.0;-73;82;-921.0;193.0
-12;804;1039.0;309.0;-58;-1;-1345.0;195.0
24;778;948.0;121.0;-184;216;-1213.0;247.0
-146;788;1020.0;434.0;104;-431;-877.0;365.0
24;801;1064.0;286.0;63;16;-959.0;181.0
25;805;1092.0;277.0;-3;-31;-961.0;314.0
148;798;1030.0;372.0;-36;-22;-779.0;136.0
98;798;893.0;312.0;-102;-122;-1150.0;186.0
154;789;1000.0;374.0;42;13;-913.0;407.0
24;797;1140.0;375.0;-35;-11;-930.0;209.0
54;652;997.0;574.0;147;2461;-881.0;448.0
17;799;1055.0;333.0;-13;-38;-963.0;106.0
-17;826;1155.0;593.0;1017;-1293;-989.0;59.0
-53;800;1087.0;277.0;31;50;-888.0;147.0
135;733;1206.0;606.0;-1245;857;-937.0;204.0
15;794;1001.0;258.0;-12;2;-925.0;236.0
15;805;1069.0;284.0;-2;20;-966.0;239.0
14;789;1043.0;280.0;36;-11;-1025.0;253.0
14;793;1069.0;296.0;46;-62;-975.0;235.0
14;792;1073.0;261.0;1;-24;-953.0;165.0
-80;774;1047.0;278.0;-13;-6;-954.0;369.0
