InertialMeasurementUnit L-SHOE Compass;InertialMeasurementUnit R-SHOE Body_Az;Accelerometer RUA^ accY;Accelerometer LUA^ accX;InertialMeasurementUnit R-SHOE AngVelNavFrameY;InertialMeasurementUnit R-SHOE AngVelBodyFrameZ;InertialMeasurementUnit RUA accX;InertialMeasurementUnit RUA accY
15;797;1038.0;374.0;-17;7;-957.0;177.0
17;806;1036.0;407.0;3;40;-1054.0;243.0
135;53;789.0;460.0;2;6;-721.0;588.0
49;782;884.0;266.0;-298;-29;-718.0;199.0
16;799;1077.0;339.0;-39;-13;-973.0;217.0
16;804;1083.0;344.0;-11;23;-979.0;198.0
16;800;1065.0;342.0;-16;19;-975.0;226.0
16;797;1067.0;326.0;-20;-3;-977.0;213.0
16;800;1055.0;334.0;1;-3;-961.0;233.0
16;799;1080.0;323.0;-40;25;-966.0;213.0
16;802;1051.0;321.0;-4;-32;-963.0;242.0
16;805;1084.0;330.0;-26;10;-971.0;229.0
-146;795;1026.0;573.0;17;-1;-977.0;158.0
16;805;1063.0;332.0;-53;-10;-970.0;246.0
16;794;1063.0;358.0;-40;-13;-977.0;218.0
45;801;855.0;216.0;-24;-22;-955.0;265.0
16;802;1084.0;363.0;-104;41;-919.0;130.0
8;809;1189.0;207.0;-1652;-494;-901.0;203.0
16;802;1089.0;292.0;-19;0;-957.0;165.0
16;799;1068.0;355.0;-13;-2;-970.0;232.0
16;805;1069.0;333.0;-13;11;-979.0;225.0
16;797;1055.0;328.0;-16;24;-961.0;220.0
16;798;1044.0;334.0;-20;6;-968.0;242.0
16;810;1126.0;380.0;-573;-17;-1026.0;79.0
152;665;1110.0;665.0;1218;200;-1006.0;50.0
-154;783;1080.0;354.0;-24;-27;-963.0;161.0
68;702;995.0;507.0;404;-1181;-950.0;351.0
139;773;795.0;352.0;12;13;-694.0;662.0
-116;787;1018.0;326.0;-77;-21;-892.0;262.0
16;800;1071.0;332.0;25;18;-952.0;209.0
45;811;1032.0;374.0;35;-1;-966.0;248.0
16;797;1090.0;350.0;-8;-10;-972.0;210.0
113;797;1070.0;514.0;-1;21;-1011.0;194.0
