InertialMeasurementUnit BACK accZ;Accelerometer RKN^ accZ;Accelerometer BACK accZ;InertialMeasurementUnit LUA gyroZ;InertialMeasurementUnit R-SHOE Compass;Accelerometer LUA_ accX
88.0;-1.0;-319.0;687.0;?;-63.0
-25.0;13.0;?;532.0;-7;?
204.0;7.0;-381.0;352.0;-7;-126.0
?;?;-310.0;216.0;-7;-80.0
?;1.0;-305.0;99.0;-7;-67.0
84.0;9.0;-370.0;54.0;-7;-266.0
?;?;-387.0;-4.0;?;?
63.0;11.0;-429.0;-30.0;-7;-533.0
?;-4.0;-337.0;110.0;-7;-528.0
?;-22.0;?;0.0;-7;764.0
-31.0;-42.0;-130.0;21.0;?;711.0
-12.0;?;-132.0;?;?;628.0
-31.0;-9.0;?;?;-7;468.0
-50.0;-7.0;-124.0;-351.0;?;283.0
-39.0;-2.0;-130.0;-404.0;-7;277.0
-52.0;-16.0;?;-349.0;-7;183.0
-60.0;-50.0;-106.0;?;-7;116.0
-50.0;-37.0;?;-294.0;-7;80.0
-64.0;17.0;?;?;-7;23.0
?;15.0;?;-176.0;-7;-48.0
-100.0;-18.0;?;?;-7;?
-110.0;?;-219.0;-248.0;-7;-115.0
-54.0;-23.0;-276.0;-270.0;-7;-148.0
?;?;-329.0;?;?;-191.0
44.0;-40.0;?;111.0;-7;-188.0
67.0;?;-176.0;396.0;-7;-166.0
108.0;-22.0;-423.0;797.0;-7;?
47.0;-30.0;-410.0;1123.0;-7;-48.0
71.0;?;-281.0;1363.0;-7;-35.0
131.0;?;?;1557.0;-7;61.0
?;?;-391.0;1560.0;?;?
145.0;?;-411.0;1122.0;?;158.0
?;-20.0;?;749.0;?;115.0
108.0;-22.0;-346.0;407.0;-7;17.0
76.0;?;-341.0;182.0;-7;-112.0
?;?;-355.0;?;-7;-228.0
11.0;?;-353.0;?;-7;-339.0
59.0;-51.0;-366.0;-184.0;-7;-422.0
73.0;-31.0;-409.0;-208.0;-7;-411.0
58.0;-40.0;-389.0;-193.0;-7;?
94.0;-10.0;-369.0;?;-7;-268.0
3.0;-1.0;?;88.0;-7;?
4.0;?;-126.0;?;-7;641.0
9.0;-2.0;-117.0;59.0;?;637.0
4.0;26.0;-150.0;-121.0;?;576.0
-1.0;-13.0;-181.0;-281.0;-7;480.0
-12.0;2.0;-124.0;-429.0;-7;448.0
-20.0;-3.0;?;-448.0;-7;?
?;-21.0;-26.0;-465.0;-7;?
-37.0;-10.0;39.0;-495.0;-7;?
-59.0;21.0;58.0;-496.0;-7;46.0
-72.0;?;?;-481.0;-7;-34.0
?;-5.0;-125.0;?;?;-146.0
-137.0;-20.0;-116.0;-380.0;-7;-221.0
-84.0;-3.0;-183.0;-254.0;-7;-209.0
-62.0;10.0;-270.0;-61.0;-7;-247.0
-17.0;17.0;-289.0;232.0;-7;-182.0
23.0;30.0;-284.0;443.0;-7;?
89.0;12.0;-308.0;786.0;?;?
115.0;?;-499.0;1123.0;-7;-110.0
117.0;10.0;-334.0;?;-7;-43.0
?;5.0;-439.0;1573.0;-7;2.0
206.0;-10.0;?;1600.0;-7;100.0
153.0;?;-411.0;1040.0;-7;138.0
125.0;8.0;-408.0;750.0;-7;51.0
74.0;20.0;?;434.0;-7;-87.0
105.0;10.0;-362.0;220.0;-7;-168.0
?;9.0;-383.0;84.0;-7;?
77.0;?;-414.0;-124.0;-7;-359.0
62.0;32.0;-402.0;?;-7;-459.0
87.0;14.0;?;-258.0;-7;-512.0
120.0;?;?;-64.0;?;-494.0
50.0;-13.0;-290.0;?;?;8.0
?;-17.0;?;231.0;-7;-59.0
47.0;-43.0;-102.0;478.0;-7;-152.0
10.0;-12.0;-244.0;888.0;-7;?
16.0;?;-216.0;1348.0;?;?
-39.0;?;?;1932.0;-7;?
15.0;20.0;-219.0;2437.0;-7;-282.0
25.0;?;-207.0;2892.0;-7;-326.0
41.0;2.0;-209.0;3069.0;-7;?
27.0;10.0;-199.0;3251.0;-7;110.0
32.0;?;-322.0;3286.0;-7;316.0
?;-29.0;-339.0;3115.0;?;212.0
7.0;-42.0;?;2530.0;?;?
59.0;-1.0;-405.0;?;-8;?
?;22.0;-476.0;2646.0;-8;?
97.0;29.0;?;2336.0;-8;-45.0
?;7.0;-580.0;2096.0;-8;-76.0
167.0;40.0;?;1664.0;?;-53.0
186.0;45.0;-570.0;1255.0;-8;?
