InertialMeasurementUnit LUA gyroZ;InertialMeasurementUnit L-SHOE AngVelNavFrameY;InertialMeasurementUnit L-SHOE Body_Ay;Accelerometer RKN_ accY;InertialMeasurementUnit L-SHOE Body_Ax;InertialMeasurementUnit LUA gyroX;InertialMeasurementUnit L-SHOE AngVelBodyFrameX;InertialMeasurementUnit LLA gyroZ
76.0;11;596;905.0;-3;-48.0;-11;33.0
12.0;-16;603;888.0;11;-41.0;16;37.0
16.0;16;472;905.0;-132;-19.0;-16;48.0
6.0;-27;473;905.0;-118;-20.0;27;16.0
31.0;-27;467;898.0;-117;6.0;27;54.0
23.0;11;615;939.0;14;7.0;-11;34.0
29.0;-9;616;933.0;14;-87.0;9;86.0
100.0;-3;497;913.0;-102;3.0;3;173.0
26.0;-9;621;939.0;15;-81.0;9;85.0
-2.0;-31;476;914.0;-73;6.0;31;18.0
10.0;-17;471;913.0;-119;-24.0;17;54.0
-123.0;7;617;912.0;-21;-298.0;-7;323.0
17.0;-17;728;882.0;164;-63.0;17;194.0
27.0;0;473;912.0;-113;15.0;0;50.0
24.0;-20;613;933.0;15;14.0;20;-5.0
24.0;6;475;895.0;-116;21.0;-6;34.0
20.0;6;474;913.0;-114;-32.0;-6;37.0
51.0;-20;490;893.0;-109;-45.0;20;71.0
19.0;4;477;897.0;-127;-12.0;-4;34.0
116.0;22;481;912.0;-124;-119.0;-22;78.0
-68.0;-14;713;898.0;139;18.0;14;133.0
12.0;-18;621;922.0;13;-22.0;18;3.0
-37.0;35;481;946.0;-11;54.0;-35;19.0
365.0;-533;265;1000.0;-157;-187.0;533;538.0
30.0;-4;483;946.0;-64;-13.0;4;53.0
14.0;-27;474;917.0;-69;-36.0;27;46.0
-4.0;-15;487;916.0;-91;-222.0;15;55.0
26.0;12;614;942.0;16;-22.0;-12;12.0
40.0;-18;477;943.0;-68;-46.0;18;123.0
24.0;15;476;953.0;-67;4.0;-15;31.0
-27.0;8;621;902.0;13;44.0;-8;-14.0
-48.0;22;618;937.0;17;78.0;-22;79.0
-130.0;-53;706;878.0;162;-46.0;53;-20.0
37.0;3;613;933.0;13;12.0;-3;124.0
-9.0;12;478;959.0;-66;-31.0;-12;26.0
16.0;7;473;929.0;-66;13.0;-7;47.0
-9.0;-3;471;944.0;-68;-27.0;3;48.0
-5.0;-1;478;941.0;-57;-5.0;1;8.0
42.0;-6;479;951.0;-62;-38.0;6;42.0
32.0;-27;483;923.0;-60;-25.0;27;82.0
9.0;-20;477;938.0;-59;-44.0;20;30.0
15.0;11;476;938.0;-56;-49.0;-11;73.0
34.0;-8;479;949.0;-55;-36.0;8;53.0
26.0;26;484;952.0;-56;-15.0;-26;73.0
-25.0;1;487;887.0;-149;-218.0;-1;-414.0
103.0;-14;718;878.0;171;-68.0;14;196.0
31.0;5;485;934.0;-58;0.0;-5;55.0
17.0;-5;485;942.0;-59;7.0;5;23.0
30.0;-21;621;994.0;22;-23.0;21;47.0
12.0;8;483;942.0;-59;-10.0;-8;19.0
30.0;-4;482;941.0;-59;-21.0;4;40.0
185.0;45;489;947.0;-99;-139.0;-45;50.0
35.0;17;479;932.0;-58;-11.0;-17;34.0
6.0;-13;482;945.0;-58;-33.0;13;42.0
-109.0;-5;623;933.0;9;162.0;5;99.0
