InertialMeasurementUnit LLA magneticY;InertialMeasurementUnit RUA Quaternion3;InertialMeasurementUnit BACK Quaternion3;InertialMeasurementUnit LUA magneticX;InertialMeasurementUnit RUA Quaternion1;InertialMeasurementUnit RLA magneticY;InertialMeasurementUnit BACK Quaternion1;InertialMeasurementUnit RUA magneticX
?;-112.0;157.0;487.0;?;294.0;359.0;369.0
?;?;?;484.0;-33.0;286.0;375.0;372.0
?;-83.0;192.0;476.0;-17.0;272.0;393.0;?
?;-62.0;214.0;467.0;3.0;253.0;413.0;376.0
-231.0;-36.0;237.0;?;?;228.0;432.0;376.0
-191.0;-8.0;262.0;?;51.0;?;451.0;375.0
?;22.0;287.0;444.0;77.0;166.0;469.0;367.0
?;53.0;?;439.0;98.0;146.0;?;348.0
-39.0;82.0;339.0;439.0;?;143.0;?;325.0
15.0;105.0;361.0;444.0;?;157.0;513.0;295.0
80.0;118.0;378.0;452.0;112.0;194.0;523.0;257.0
143.0;130.0;390.0;?;?;?;530.0;219.0
?;140.0;398.0;467.0;?;249.0;535.0;191.0
240.0;150.0;404.0;475.0;92.0;250.0;538.0;174.0
?;?;409.0;481.0;?;?;540.0;168.0
296.0;171.0;413.0;478.0;89.0;?;543.0;170.0
307.0;183.0;415.0;470.0;98.0;196.0;545.0;187.0
?;195.0;419.0;465.0;112.0;151.0;?;214.0
324.0;204.0;?;457.0;?;102.0;544.0;244.0
327.0;208.0;?;449.0;?;43.0;544.0;?
324.0;209.0;428.0;438.0;136.0;0.0;544.0;310.0
309.0;207.0;432.0;428.0;133.0;?;545.0;?
?;198.0;435.0;419.0;122.0;-36.0;544.0;374.0
246.0;188.0;438.0;406.0;?;-18.0;?;397.0
201.0;182.0;?;396.0;?;-7.0;543.0;416.0
158.0;174.0;?;392.0;109.0;-11.0;542.0;433.0
114.0;170.0;443.0;393.0;113.0;-27.0;543.0;437.0
96.0;175.0;443.0;396.0;120.0;?;544.0;440.0
95.0;?;444.0;396.0;127.0;-71.0;?;?
94.0;183.0;?;396.0;133.0;-68.0;?;?
?;?;?;?;?;-50.0;546.0;430.0
87.0;182.0;?;?;?;-32.0;545.0;422.0
82.0;183.0;444.0;398.0;148.0;-14.0;544.0;416.0
73.0;182.0;443.0;403.0;149.0;?;544.0;403.0
81.0;180.0;443.0;418.0;?;39.0;544.0;?
101.0;178.0;442.0;?;150.0;98.0;543.0;347.0
137.0;175.0;442.0;464.0;143.0;169.0;542.0;?
?;177.0;443.0;498.0;140.0;242.0;543.0;238.0
