Accelerometer LUA^ accX;InertialMeasurementUnit LUA accY;Accelerometer LUA_ accY;Accelerometer LH accY;InertialMeasurementUnit LLA accY;Accelerometer LUA_ accX;Accelerometer LUA^ accZ;Accelerometer LWR accY;Accelerometer LWR accZ;InertialMeasurementUnit LLA accX;Accelerometer LUA_ accZ
-3.0;-332.0;?;?;-430.0;-243.0;192.0;895.0;?;-752.0;429.0
?;-402.0;?;931.0;-483.0;?;254.0;?;358.0;-759.0;455.0
-118.0;?;770.0;871.0;-594.0;-336.0;316.0;770.0;405.0;-807.0;432.0
-208.0;-346.0;?;875.0;-649.0;-427.0;255.0;826.0;421.0;-858.0;443.0
-198.0;?;865.0;915.0;-615.0;?;230.0;884.0;?;?;448.0
-143.0;?;944.0;?;-592.0;-444.0;115.0;?;?;-962.0;408.0
-45.0;-121.0;1010.0;?;-527.0;-351.0;88.0;?;491.0;-937.0;427.0
-33.0;-58.0;986.0;?;-480.0;-284.0;27.0;1032.0;?;-925.0;404.0
-1.0;-34.0;968.0;?;-454.0;-232.0;11.0;?;?;-961.0;399.0
6.0;50.0;966.0;1088.0;?;-217.0;-20.0;1043.0;468.0;-993.0;375.0
-3.0;111.0;?;?;-475.0;-231.0;-104.0;1067.0;444.0;-1003.0;329.0
?;137.0;?;1121.0;-424.0;-202.0;?;1099.0;430.0;-1059.0;297.0
34.0;165.0;1034.0;1105.0;?;-188.0;-178.0;1110.0;?;-1041.0;280.0
?;148.0;?;1115.0;-345.0;-155.0;-192.0;1119.0;376.0;-993.0;266.0
46.0;?;1032.0;?;?;-151.0;-147.0;1071.0;365.0;-1037.0;211.0
-17.0;122.0;988.0;?;-292.0;-187.0;-38.0;988.0;179.0;?;190.0
-26.0;52.0;1058.0;1142.0;-309.0;-194.0;-100.0;1046.0;240.0;?;238.0
8.0;-40.0;1030.0;?;-318.0;-194.0;-114.0;960.0;?;-879.0;233.0
?;-68.0;?;990.0;-317.0;-214.0;-16.0;?;197.0;-849.0;?
-85.0;?;886.0;966.0;-314.0;?;20.0;836.0;128.0;-838.0;245.0
?;-119.0;868.0;942.0;-361.0;?;34.0;776.0;202.0;-792.0;279.0
-45.0;-129.0;?;905.0;-345.0;?;107.0;785.0;312.0;-782.0;?
-109.0;-113.0;818.0;?;-395.0;-364.0;117.0;723.0;?;-842.0;331.0
-137.0;?;837.0;915.0;-495.0;-367.0;57.0;?;276.0;?;312.0
-172.0;-145.0;892.0;1019.0;-536.0;?;74.0;?;455.0;-840.0;307.0
10.0;-57.0;?;1064.0;-662.0;?;135.0;894.0;?;-931.0;465.0
126.0;-93.0;875.0;962.0;-656.0;-206.0;57.0;956.0;595.0;-968.0;582.0
-12.0;-145.0;1000.0;993.0;-588.0;?;32.0;1016.0;659.0;-912.0;493.0
-149.0;-106.0;1002.0;1114.0;-555.0;-378.0;54.0;?;475.0;-874.0;327.0
-107.0;-95.0;?;?;-511.0;-388.0;?;951.0;446.0;?;277.0
-105.0;-78.0;?;1172.0;-494.0;-308.0;?;944.0;503.0;-891.0;?
-62.0;?;930.0;1081.0;-451.0;-298.0;57.0;959.0;?;-902.0;334.0
-8.0;?;927.0;1056.0;-458.0;-268.0;?;959.0;471.0;?;329.0
?;-34.0;960.0;1017.0;-547.0;-226.0;7.0;?;461.0;-905.0;384.0
?;-79.0;970.0;1100.0;-632.0;-222.0;?;1041.0;477.0;-954.0;477.0
142.0;?;913.0;1106.0;-684.0;-207.0;71.0;1035.0;625.0;?;?
139.0;-172.0;1052.0;1232.0;-773.0;-192.0;159.0;1181.0;679.0;?;639.0
84.0;-32.0;1053.0;?;-805.0;-350.0;263.0;1202.0;733.0;-1061.0;652.0
190.0;-89.0;1027.0;1279.0;-951.0;-280.0;211.0;?;1001.0;-1085.0;767.0
189.0;-166.0;1085.0;1188.0;-1151.0;?;274.0;1259.0;969.0;-1135.0;799.0
175.0;-249.0;1109.0;?;-1131.0;-530.0;305.0;1361.0;1112.0;-1091.0;785.0
151.0;-393.0;1098.0;1209.0;-1262.0;-554.0;399.0;?;1149.0;-1150.0;880.0
?;?;1062.0;1052.0;?;?;565.0;1314.0;1172.0;-1234.0;?
160.0;-250.0;1084.0;1218.0;?;-621.0;?;1311.0;1055.0;-1145.0;1021.0
141.0;-296.0;1103.0;1220.0;-586.0;-680.0;460.0;1138.0;?;-862.0;964.0
92.0;?;917.0;1157.0;-675.0;-598.0;495.0;839.0;?;?;?
-7.0;16.0;?;964.0;-706.0;?;279.0;722.0;686.0;-629.0;357.0
22.0;-216.0;685.0;795.0;-534.0;-509.0;175.0;592.0;755.0;?;233.0
?;-465.0;430.0;636.0;-475.0;?;153.0;534.0;693.0;-268.0;211.0
?;-604.0;168.0;518.0;?;-406.0;?;?;494.0;-142.0;166.0
-255.0;-1023.0;?;?;95.0;?;483.0;181.0;365.0;?;351.0
-257.0;-1085.0;-327.0;503.0;23.0;-299.0;?;-57.0;?;671.0;?
-246.0;?;-769.0;549.0;-189.0;?;1024.0;-381.0;-99.0;890.0;117.0
-508.0;?;-590.0;?;-213.0;?;836.0;-713.0;-63.0;?;26.0
?;-886.0;-893.0;-439.0;-282.0;-523.0;895.0;?;66.0;?;-2.0
-541.0;-956.0;-758.0;-573.0;-359.0;-639.0;767.0;?;179.0;1085.0;-34.0
-429.0;-967.0;-783.0;-791.0;-172.0;-398.0;875.0;-787.0;297.0;938.0;438.0
?;-977.0;-827.0;-874.0;-152.0;-420.0;924.0;?;298.0;912.0;496.0
-391.0;-955.0;-830.0;-923.0;-156.0;-445.0;947.0;-844.0;267.0;809.0;?
-291.0;-858.0;-781.0;-851.0;-250.0;-416.0;?;-771.0;268.0;630.0;524.0
-178.0;?;?;-789.0;-276.0;-354.0;919.0;-596.0;338.0;?;671.0
-34.0;-696.0;-485.0;-707.0;-310.0;-297.0;819.0;-432.0;416.0;523.0;802.0
?;-798.0;-399.0;?;-308.0;-321.0;?;-372.0;517.0;620.0;846.0
-112.0;-868.0;-466.0;-531.0;-346.0;-374.0;875.0;?;418.0;625.0;892.0
-189.0;?;-553.0;-613.0;-338.0;-399.0;892.0;?;305.0;701.0;812.0
?;-833.0;?;?;-403.0;?;856.0;-564.0;496.0;674.0;732.0
-386.0;-836.0;-549.0;-689.0;?;-546.0;802.0;-561.0;?;667.0;656.0
-401.0;-766.0;-524.0;-615.0;-755.0;?;780.0;-552.0;581.0;701.0;604.0
-470.0;-776.0;-455.0;-703.0;-816.0;-760.0;?;-575.0;600.0;?;607.0
-524.0;-772.0;-446.0;?;-855.0;-850.0;664.0;?;?;?;?
-526.0;-724.0;-420.0;-779.0;-1231.0;-904.0;718.0;-582.0;904.0;677.0;529.0
-568.0;?;?;?;-1185.0;-980.0;?;?;1110.0;668.0;?
-614.0;-679.0;-287.0;-958.0;-935.0;?;543.0;-564.0;1195.0;?;561.0
-668.0;?;-331.0;-929.0;-867.0;-1053.0;571.0;-544.0;1023.0;628.0;371.0
-732.0;?;-356.0;?;-696.0;?;530.0;-552.0;943.0;?;317.0
-624.0;-762.0;-571.0;-608.0;-730.0;?;573.0;-515.0;878.0;640.0;87.0
-556.0;?;-422.0;-541.0;-622.0;-906.0;?;?;822.0;?;?
?;-763.0;-486.0;?;?;?;570.0;?;?;?;?
-674.0;?;-549.0;-625.0;-568.0;?;606.0;?;629.0;1020.0;?
-741.0;?;-692.0;-954.0;-711.0;-981.0;637.0;-1038.0;304.0;946.0;-140.0
-811.0;-807.0;-649.0;-778.0;-508.0;-1037.0;638.0;?;?;1019.0;-111.0
-818.0;-794.0;-605.0;-986.0;-508.0;?;615.0;-1067.0;511.0;?;-48.0
-672.0;-729.0;-698.0;-914.0;-730.0;-921.0;711.0;-999.0;541.0;890.0;-73.0
?;-657.0;-582.0;-877.0;-775.0;-945.0;?;-878.0;628.0;?;84.0
?;?;-508.0;-935.0;-762.0;-927.0;?;-864.0;601.0;720.0;?
-426.0;-614.0;-421.0;-854.0;?;-924.0;?;-730.0;706.0;?;332.0
