Accelerometer RWR accX;InertialMeasurementUnit RUA accZ;InertialMeasurementUnit BACK accX;InertialMeasurementUnit LUA accX;InertialMeasurementUnit LUA magneticZ;InertialMeasurementUnit L-SHOE EuZ;InertialMeasurementUnit L-SHOE Nav_Ay;InertialMeasurementUnit RLA accZ;Accelerometer LUA^ accY;InertialMeasurementUnit BACK magneticY;InertialMeasurementUnit RUA gyroZ;Accelerometer RUA^ accX;Accelerometer RUA_ accZ
-942.0;330.0;-968.0;-977.0;365.0;9;-12;425.0;971.0;-130.0;90.0;-287.0;499.0
-334.0;261.0;-963.0;-982.0;460.0;9;1;338.0;986.0;-148.0;-4.0;-396.0;332.0
-333.0;258.0;-948.0;-980.0;604.0;4;-4;235.0;972.0;-428.0;-20.0;-441.0;214.0
-658.0;198.0;-950.0;-983.0;-48.0;-4;3;730.0;985.0;282.0;-101.0;-216.0;914.0
-921.0;390.0;-914.0;-951.0;-31.0;1;0;900.0;996.0;127.0;-138.0;-330.0;1129.0
-314.0;275.0;-954.0;-961.0;465.0;6;-9;333.0;988.0;-173.0;27.0;-413.0;278.0
-283.0;262.0;-960.0;-971.0;469.0;8;7;328.0;997.0;-182.0;35.0;-433.0;311.0
-276.0;263.0;-956.0;-969.0;468.0;8;9;326.0;996.0;-184.0;7.0;-408.0;329.0
-291.0;272.0;-955.0;-999.0;471.0;9;0;358.0;961.0;-153.0;-12.0;-359.0;317.0
-801.0;184.0;-730.0;-987.0;175.0;3;-1;319.0;1129.0;-43.0;-37.0;-378.0;550.0
-913.0;235.0;-739.0;-1067.0;171.0;3;-2;515.0;921.0;-67.0;-40.0;-446.0;519.0
-150.0;193.0;-957.0;-666.0;-93.0;-4;3;577.0;696.0;209.0;-105.0;-132.0;780.0
-362.0;249.0;-965.0;-995.0;452.0;9;1;334.0;987.0;-146.0;-43.0;-386.0;329.0
-481.0;63.0;-606.0;-900.0;-66.0;0;-10;33.0;1035.0;290.0;-818.0;-311.0;204.0
-778.0;292.0;-958.0;-956.0;405.0;9;-3;420.0;962.0;-149.0;8.0;-481.0;462.0
-627.0;295.0;-958.0;-956.0;409.0;9;-2;435.0;978.0;-142.0;-24.0;-434.0;455.0
-805.0;186.0;-951.0;-942.0;-59.0;-4;1;743.0;948.0;289.0;1765.0;-335.0;923.0
-591.0;307.0;-951.0;-962.0;407.0;9;1;453.0;982.0;-137.0;56.0;-412.0;459.0
-648.0;125.0;-872.0;-920.0;-201.0;4;33;513.0;1053.0;-3.0;109.0;-649.0;808.0
-609.0;323.0;-973.0;-969.0;384.0;9;1;443.0;1019.0;-119.0;-6.0;-432.0;487.0
-659.0;373.0;-747.0;-921.0;-244.0;5;5;384.0;1067.0;482.0;467.0;-475.0;449.0
-616.0;336.0;-973.0;-970.0;388.0;9;5;446.0;971.0;-133.0;-115.0;-454.0;505.0
-459.0;333.0;-988.0;-952.0;415.0;9;11;384.0;958.0;-169.0;116.0;-395.0;484.0
-314.0;339.0;-979.0;-968.0;411.0;11;7;295.0;992.0;-148.0;197.0;-458.0;464.0
-499.0;544.0;-1051.0;-1081.0;-10.0;8;-9;581.0;1071.0;-360.0;-914.0;-459.0;502.0
-298.0;523.0;-996.0;-949.0;-92.0;4;-29;501.0;1044.0;-255.0;168.0;-462.0;390.0
-448.0;267.0;-976.0;-968.0;367.0;11;3;409.0;1028.0;-118.0;-138.0;-507.0;521.0
-324.0;238.0;-965.0;-956.0;472.0;8;6;336.0;1001.0;-163.0;70.0;-395.0;324.0
-387.0;259.0;-955.0;-991.0;480.0;8;7;336.0;978.0;-194.0;-46.0;-391.0;355.0
-314.0;266.0;-969.0;-988.0;481.0;8;0;343.0;977.0;-197.0;-41.0;-415.0;331.0
-614.0;59.0;-839.0;-970.0;452.0;2;-2;-185.0;1006.0;-331.0;262.0;-180.0;60.0
-1043.0;385.0;-984.0;-1036.0;-681.0;86;-553;405.0;1269.0;592.0;-381.0;-597.0;799.0
-723.0;631.0;-856.0;-992.0;-64.0;-1;-69;594.0;1046.0;-175.0;-4.0;-558.0;663.0
-878.0;127.0;-912.0;-988.0;159.0;10;-1;62.0;987.0;26.0;-542.0;-382.0;370.0
-942.0;198.0;-931.0;-871.0;34.0;2;-3;-43.0;874.0;238.0;-227.0;-185.0;340.0
-589.0;160.0;-977.0;-1028.0;344.0;10;26;416.0;1010.0;-93.0;-956.0;-541.0;332.0
-833.0;125.0;-714.0;-956.0;272.0;3;1;511.0;959.0;-108.0;64.0;-549.0;583.0
-136.0;660.0;-972.0;-851.0;465.0;-9;4;922.0;884.0;-56.0;-49.0;-561.0;990.0
-313.0;263.0;-963.0;-972.0;479.0;8;-2;337.0;978.0;-197.0;-18.0;-395.0;318.0
-317.0;267.0;-967.0;-989.0;470.0;8;-1;328.0;987.0;-190.0;3.0;-406.0;340.0
-558.0;115.0;-977.0;-963.0;-85.0;-2;6;689.0;966.0;159.0;-1813.0;-241.0;860.0
-587.0;317.0;-955.0;-958.0;275.0;-16;-8;682.0;930.0;235.0;-30.0;-366.0;917.0
-847.0;176.0;-953.0;-912.0;20.0;4;1;333.0;884.0;182.0;570.0;-221.0;772.0
-693.0;198.0;-987.0;-950.0;303.0;-17;6;576.0;938.0;168.0;-171.0;-280.0;809.0
-296.0;193.0;-975.0;-958.0;303.0;-17;7;597.0;941.0;159.0;-40.0;-166.0;727.0
-638.0;535.0;-980.0;-977.0;345.0;-17;2;650.0;949.0;38.0;64.0;-236.0;721.0
-606.0;258.0;-968.0;-950.0;378.0;9;5;679.0;949.0;-112.0;585.0;-265.0;870.0
-907.0;223.0;-941.0;-915.0;219.0;12;-29;398.0;873.0;30.0;-77.0;-222.0;579.0
-291.0;261.0;-988.0;-971.0;334.0;-17;2;656.0;950.0;170.0;-56.0;-217.0;810.0
-151.0;248.0;-989.0;-967.0;335.0;-17;2;656.0;952.0;171.0;24.0;-198.0;780.0
-201.0;258.0;-980.0;-969.0;336.0;-17;4;643.0;950.0;177.0;7.0;-202.0;788.0
-193.0;250.0;-985.0;-969.0;337.0;-17;8;633.0;946.0;180.0;10.0;-208.0;770.0
-244.0;266.0;-975.0;-974.0;336.0;-17;7;623.0;948.0;177.0;39.0;-208.0;810.0
-324.0;339.0;-975.0;-948.0;342.0;-17;1;631.0;941.0;146.0;111.0;-220.0;809.0
-593.0;427.0;-951.0;-964.0;293.0;-12;2;751.0;941.0;209.0;-14.0;-410.0;940.0
-616.0;416.0;-949.0;-969.0;291.0;-12;-1;749.0;948.0;212.0;-14.0;-396.0;942.0
-243.0;265.0;-967.0;-976.0;467.0;8;5;339.0;984.0;-190.0;2.0;-408.0;342.0
-303.0;269.0;-966.0;-982.0;469.0;8;4;337.0;991.0;-190.0;25.0;-406.0;328.0
-312.0;265.0;-965.0;-976.0;472.0;8;11;334.0;991.0;-183.0;18.0;-409.0;327.0
-827.0;194.0;-694.0;-944.0;297.0;4;1;582.0;977.0;-154.0;155.0;-390.0;779.0
-531.0;201.0;-987.0;-966.0;322.0;-15;-3;570.0;931.0;103.0;-130.0;-225.0;759.0
-316.0;185.0;-990.0;-961.0;321.0;-15;3;613.0;937.0;98.0;26.0;-160.0;698.0
-322.0;201.0;-988.0;-965.0;321.0;-15;-4;606.0;945.0;97.0;47.0;-152.0;717.0
-766.0;98.0;-721.0;-972.0;324.0;4;3;405.0;989.0;-143.0;-91.0;-445.0;597.0
-469.0;225.0;-989.0;-962.0;318.0;-15;1;616.0;932.0;89.0;81.0;-170.0;749.0
-746.0;457.0;-969.0;-978.0;359.0;-15;1;560.0;930.0;28.0;-128.0;-231.0;770.0
-608.0;434.0;-951.0;-946.0;283.0;-13;1;746.0;943.0;222.0;18.0;-405.0;922.0
-384.0;284.0;-966.0;-857.0;-185.0;-4;5;741.0;758.0;224.0;-84.0;-149.0;829.0
-840.0;346.0;-949.0;-877.0;-289.0;-4;4;674.0;871.0;232.0;83.0;-199.0;848.0
-616.0;399.0;-950.0;-960.0;285.0;-13;1;742.0;930.0;220.0;-33.0;-376.0;910.0
-600.0;406.0;-947.0;-955.0;284.0;-13;-5;742.0;939.0;221.0;-18.0;-378.0;923.0
-601.0;409.0;-947.0;-941.0;280.0;-13;1;737.0;937.0;220.0;9.0;-378.0;940.0
-688.0;160.0;-950.0;-960.0;-32.0;-4;6;583.0;987.0;274.0;12.0;-207.0;887.0
-946.0;414.0;-973.0;-991.0;-55.0;-4;5;534.0;991.0;192.0;532.0;-296.0;822.0
-257.0;395.0;-958.0;-977.0;-21.0;-4;2;651.0;1031.0;106.0;126.0;-84.0;688.0
-962.0;463.0;-958.0;-975.0;-26.0;-4;5;563.0;997.0;89.0;-166.0;-281.0;812.0
-954.0;52.0;-739.0;-978.0;303.0;4;-1;474.0;987.0;-118.0;34.0;-431.0;511.0
-621.0;414.0;-947.0;-944.0;281.0;-13;4;741.0;941.0;219.0;-94.0;-386.0;926.0
-817.0;298.0;-986.0;-1002.0;-73.0;-4;5;636.0;986.0;287.0;4.0;-364.0;753.0
-582.0;260.0;-1084.0;-1132.0;-251.0;7;-34;339.0;974.0;228.0;-250.0;-628.0;281.0
-402.0;391.0;-938.0;-1180.0;-16.0;3;-3;302.0;887.0;245.0;-215.0;-515.0;269.0
-548.0;424.0;-1142.0;-1133.0;-263.0;4;-25;403.0;1287.0;145.0;-922.0;-453.0;411.0
-579.0;408.0;-948.0;-936.0;280.0;-13;-2;734.0;929.0;221.0;-57.0;-375.0;907.0
-163.0;204.0;-857.0;-793.0;610.0;-19;-997;262.0;855.0;-393.0;-256.0;-402.0;465.0
-703.0;363.0;-946.0;-1010.0;111.0;1;24;273.0;1004.0;105.0;-222.0;-575.0;399.0
-851.0;184.0;-854.0;-949.0;313.0;2;-68;207.0;1160.0;-145.0;112.0;-405.0;502.0
-758.0;167.0;-722.0;-983.0;295.0;4;1;523.0;981.0;-125.0;-16.0;-435.0;648.0
-354.0;177.0;-973.0;-960.0;307.0;-12;10;594.0;942.0;221.0;-16.0;-151.0;755.0
-411.0;181.0;-973.0;-969.0;305.0;-12;5;591.0;943.0;219.0;-15.0;-122.0;751.0
-800.0;151.0;-722.0;-967.0;291.0;4;1;517.0;984.0;-123.0;-2.0;-438.0;614.0
-725.0;198.0;-711.0;-974.0;286.0;4;2;531.0;978.0;-128.0;107.0;-398.0;795.0
-356.0;181.0;-976.0;-966.0;305.0;-12;-1;586.0;958.0;219.0;-8.0;-132.0;715.0
-365.0;184.0;-975.0;-966.0;304.0;-12;0;591.0;946.0;223.0;-6.0;-111.0;735.0
-773.0;272.0;-715.0;-956.0;283.0;4;-1;474.0;987.0;-128.0;212.0;-453.0;773.0
-598.0;404.0;-1013.0;-1102.0;-579.0;24;-1;366.0;804.0;728.0;-949.0;-318.0;395.0
-554.0;329.0;-1120.0;-1001.0;-582.0;6;-57;491.0;958.0;475.0;52.0;-349.0;654.0
-718.0;227.0;-714.0;-990.0;278.0;4;5;442.0;1019.0;-177.0;126.0;-572.0;557.0
-392.0;189.0;-973.0;-964.0;306.0;-12;6;571.0;965.0;222.0;9.0;-122.0;735.0
-699.0;287.0;-671.0;-1048.0;275.0;4;2;451.0;990.0;-201.0;-132.0;-585.0;574.0
-464.0;173.0;-976.0;-959.0;307.0;-12;1;569.0;960.0;254.0;-7.0;-145.0;766.0
-153.0;231.0;-968.0;-948.0;-57.0;-4;-2;654.0;948.0;233.0;86.0;-55.0;717.0
-305.0;254.0;-973.0;-978.0;-34.0;-4;3;695.0;951.0;253.0;291.0;-132.0;780.0
-375.0;283.0;-977.0;-981.0;-33.0;-4;0;678.0;977.0;247.0;216.0;-141.0;760.0
70.0;267.0;-792.0;-839.0;139.0;1;-8;0.0;793.0;137.0;-107.0;-473.0;-7.0
-294.0;381.0;-886.0;-882.0;23.0;2;152;272.0;871.0;165.0;-4.0;-485.0;308.0
-372.0;122.0;-865.0;-951.0;-245.0;5;952;235.0;920.0;301.0;-89.0;-332.0;290.0
-485.0;318.0;-994.0;-957.0;340.0;-12;7;580.0;961.0;224.0;266.0;-83.0;637.0
-108.0;292.0;-811.0;-830.0;-438.0;5;30;310.0;792.0;549.0;38.0;-473.0;373.0
-825.0;280.0;-684.0;-961.0;246.0;4;0;473.0;986.0;-153.0;234.0;-518.0;647.0
-664.0;349.0;-939.0;-984.0;-38.0;-4;-5;615.0;977.0;112.0;-117.0;-93.0;849.0
-745.0;184.0;-959.0;-963.0;-59.0;-4;-3;610.0;964.0;282.0;-22.0;-200.0;860.0
-652.0;299.0;-939.0;-946.0;297.0;-11;-5;669.0;931.0;147.0;-12.0;-287.0;865.0
-771.0;175.0;-963.0;-970.0;-63.0;-4;-4;621.0;957.0;279.0;10.0;-206.0;865.0
-774.0;200.0;-967.0;-985.0;-60.0;-4;11;631.0;980.0;276.0;62.0;-194.0;877.0
-808.0;220.0;-963.0;-976.0;-59.0;-4;5;616.0;958.0;271.0;90.0;-209.0;871.0
-784.0;205.0;-782.0;-968.0;249.0;4;-2;573.0;962.0;-104.0;107.0;-487.0;691.0
-640.0;351.0;-961.0;-857.0;-349.0;-4;0;824.0;918.0;259.0;87.0;-283.0;923.0
-510.0;318.0;-953.0;-853.0;-269.0;-4;3;787.0;883.0;237.0;53.0;-290.0;928.0
-785.0;205.0;-781.0;-986.0;248.0;4;3;573.0;1007.0;-90.0;50.0;-456.0;666.0
-746.0;211.0;-776.0;-954.0;244.0;4;-1;564.0;1016.0;-86.0;37.0;-463.0;678.0
-305.0;235.0;-925.0;-918.0;435.0;1;-25;307.0;987.0;-145.0;45.0;-436.0;669.0
-190.0;93.0;-867.0;-952.0;-286.0;3;-135;213.0;937.0;113.0;337.0;-383.0;361.0
-346.0;257.0;-971.0;-980.0;475.0;1;-27;422.0;998.0;-196.0;20.0;-370.0;360.0
-327.0;263.0;-984.0;-968.0;332.0;-10;6;668.0;960.0;236.0;15.0;-192.0;810.0
-376.0;227.0;-1004.0;-1088.0;484.0;2;-18;382.0;996.0;-181.0;-143.0;-300.0;390.0
-744.0;307.0;-953.0;-959.0;320.0;-4;1;699.0;951.0;174.0;-42.0;-319.0;894.0
-615.0;328.0;-876.0;-926.0;-111.0;1;-11;334.0;948.0;150.0;-34.0;-519.0;245.0
-627.0;312.0;-878.0;-889.0;-110.0;1;-2;288.0;944.0;157.0;115.0;-523.0;214.0
-643.0;260.0;-882.0;-942.0;-113.0;2;0;338.0;972.0;156.0;66.0;-506.0;274.0
-646.0;313.0;-892.0;-899.0;-105.0;3;0;302.0;958.0;141.0;-38.0;-540.0;252.0
-327.0;188.0;-1000.0;-1025.0;477.0;2;-22;350.0;991.0;-166.0;-97.0;-291.0;370.0
-860.0;394.0;-919.0;-872.0;-318.0;2;-2;713.0;870.0;168.0;-65.0;-201.0;1014.0
-738.0;317.0;-955.0;-875.0;-272.0;-4;3;610.0;832.0;214.0;-38.0;-208.0;867.0
-661.0;304.0;-954.0;-957.0;317.0;-4;6;692.0;945.0;172.0;-41.0;-304.0;863.0
-65.0;377.0;-978.0;-948.0;315.0;-11;3;558.0;1027.0;218.0;-826.0;-521.0;1123.0
-376.0;139.0;-853.0;-945.0;91.0;3;5;94.0;924.0;11.0;75.0;-397.0;93.0
-704.0;277.0;-873.0;-889.0;161.0;1;10;50.0;967.0;-79.0;445.0;-400.0;330.0
-53.0;291.0;-828.0;-850.0;243.0;1;0;82.0;815.0;23.0;-94.0;-519.0;52.0
-426.0;52.0;-844.0;-970.0;485.0;2;-1;-439.0;1044.0;-333.0;-308.0;-223.0;155.0
-412.0;98.0;-942.0;-1024.0;477.0;9;8;348.0;984.0;-232.0;-313.0;-270.0;360.0
-383.0;468.0;-972.0;-942.0;283.0;-14;-2;821.0;968.0;224.0;587.0;-296.0;816.0
-769.0;206.0;-1004.0;-941.0;285.0;7;163;476.0;937.0;15.0;223.0;-590.0;562.0
-676.0;295.0;-982.0;-940.0;325.0;-4;2;565.0;929.0;163.0;-246.0;-239.0;734.0
-571.0;227.0;-974.0;-933.0;325.0;-4;1;566.0;918.0;158.0;-171.0;-195.0;754.0
-505.0;210.0;-976.0;-937.0;324.0;-4;-4;565.0;930.0;155.0;-147.0;-207.0;761.0
-646.0;207.0;-960.0;-949.0;-55.0;-4;-2;656.0;995.0;243.0;-38.0;-255.0;911.0
-685.0;218.0;-963.0;-952.0;-68.0;-4;2;638.0;955.0;267.0;-6.0;-209.0;880.0
-797.0;464.0;-964.0;-972.0;-51.0;-4;5;529.0;985.0;84.0;-229.0;-298.0;826.0
-876.0;438.0;-973.0;-968.0;-49.0;-4;-5;507.0;980.0;85.0;-232.0;-251.0;820.0
-959.0;445.0;-973.0;-958.0;-51.0;-4;-7;532.0;961.0;88.0;-163.0;-274.0;833.0
-116.0;197.0;-973.0;-949.0;-78.0;-4;3;599.0;943.0;215.0;45.0;-106.0;752.0
-232.0;141.0;-944.0;-899.0;97.0;7;-17;167.0;1072.0;175.0;20.0;-380.0;327.0
-137.0;172.0;-980.0;-938.0;-78.0;-4;9;637.0;952.0;218.0;17.0;-94.0;769.0
-355.0;178.0;-981.0;-1016.0;404.0;2;-6;314.0;986.0;-83.0;-98.0;-321.0;336.0
-288.0;166.0;-974.0;-995.0;418.0;2;-1;293.0;1016.0;-105.0;33.0;-338.0;295.0
-361.0;203.0;-972.0;-930.0;316.0;-4;-1;591.0;921.0;159.0;19.0;-149.0;718.0
-194.0;239.0;-985.0;-958.0;-79.0;-4;-3;660.0;959.0;199.0;49.0;-95.0;772.0
-398.0;202.0;-978.0;-932.0;313.0;-4;-4;563.0;940.0;165.0;87.0;-132.0;721.0
-214.0;272.0;-973.0;-923.0;-83.0;-4;0;685.0;939.0;209.0;179.0;-135.0;779.0
-460.0;218.0;-979.0;-934.0;310.0;-4;-2;557.0;916.0;165.0;145.0;-138.0;717.0
-233.0;297.0;-973.0;-926.0;-82.0;-4;4;690.0;946.0;216.0;281.0;-145.0;809.0
-548.0;279.0;-972.0;-936.0;314.0;-4;4;566.0;911.0;160.0;105.0;-179.0;762.0
-277.0;192.0;-973.0;-999.0;408.0;2;2;303.0;1017.0;-93.0;37.0;-351.0;279.0
-677.0;253.0;-965.0;-969.0;-81.0;-3;-7;651.0;996.0;224.0;97.0;-196.0;553.0
-771.0;173.0;-962.0;-961.0;-73.0;-3;8;575.0;929.0;209.0;-12.0;-187.0;877.0
-774.0;190.0;-947.0;-957.0;-78.0;-5;-75;559.0;974.0;190.0;-30.0;-164.0;817.0
-697.0;210.0;-951.0;-927.0;-106.0;-54;38;595.0;949.0;192.0;35.0;-160.0;810.0
-715.0;458.0;-969.0;-963.0;334.0;-3;-1;776.0;962.0;14.0;-54.0;-287.0;598.0
-315.0;188.0;-970.0;-997.0;409.0;2;-2;305.0;1006.0;-99.0;19.0;-355.0;282.0
-310.0;185.0;-974.0;-1000.0;411.0;2;6;301.0;988.0;-101.0;19.0;-347.0;270.0
-265.0;194.0;-962.0;-976.0;394.0;2;-6;284.0;1004.0;-77.0;-39.0;-341.0;296.0
-438.0;288.0;-919.0;-882.0;-258.0;-21;757;371.0;1025.0;143.0;-327.0;-415.0;414.0
-328.0;197.0;-958.0;-986.0;395.0;2;0;302.0;1006.0;-69.0;26.0;-339.0;311.0
-126.0;712.0;-350.0;-91.0;304.0;-71;175;1075.0;117.0;-547.0;33.0;-534.0;955.0
-273.0;224.0;-959.0;-1004.0;457.0;4;-2;328.0;960.0;-198.0;182.0;-329.0;261.0
-708.0;253.0;-948.0;-932.0;-121.0;-44;-112;636.0;973.0;227.0;56.0;-211.0;855.0
-369.0;134.0;-968.0;-1002.0;454.0;2;4;316.0;984.0;-137.0;44.0;-309.0;274.0
-362.0;131.0;-984.0;-1013.0;456.0;2;2;298.0;1000.0;-138.0;40.0;-318.0;275.0
-111.0;117.0;-979.0;-850.0;-88.0;5;-4;559.0;749.0;-475.0;159.0;-108.0;774.0
-118.0;168.0;-958.0;-964.0;-88.0;3;6;571.0;969.0;106.0;56.0;-67.0;736.0
-161.0;186.0;-958.0;-965.0;-87.0;3;-4;587.0;976.0;119.0;-16.0;-90.0;751.0
-817.0;347.0;-983.0;-977.0;-131.0;3;0;620.0;997.0;45.0;-75.0;-152.0;848.0
-305.0;123.0;-976.0;-1012.0;446.0;2;-3;276.0;1019.0;-131.0;-92.0;-291.0;311.0
-148.0;379.0;-1007.0;-1069.0;243.0;6;-31;250.0;573.0;-178.0;-238.0;-70.0;349.0
-349.0;201.0;-1006.0;-1077.0;443.0;2;9;283.0;1044.0;-111.0;65.0;-349.0;339.0
-352.0;201.0;-935.0;-924.0;487.0;3;25;352.0;955.0;-156.0;-378.0;-396.0;340.0
-637.0;342.0;-1060.0;-1061.0;-71.0;-8;-310;707.0;885.0;-63.0;562.0;-189.0;633.0
