InertialMeasurementUnit RUA magneticZ;Accelerometer RUA^ accY;InertialMeasurementUnit L-SHOE EuX;Accelerometer RWR accZ;InertialMeasurementUnit LLA magneticZ;Accelerometer LH accX;InertialMeasurementUnit RUA accX
-676.0;?;79;150.0;396.0;345.0;?
-678.0;?;?;164.0;407.0;?;?
-682.0;1019.0;80;?;426.0;260.0;-986.0
-686.0;1071.0;?;?;?;?;-1024.0
-688.0;1115.0;85;227.0;?;?;-1081.0
?;1177.0;?;?;518.0;?;-1104.0
-697.0;?;87;16.0;?;?;-1048.0
-699.0;?;88;?;574.0;594.0;-1029.0
-700.0;1102.0;87;-51.0;586.0;600.0;-1077.0
?;1163.0;87;20.0;596.0;543.0;-1073.0
-705.0;1090.0;87;11.0;597.0;521.0;?
-709.0;1048.0;87;90.0;588.0;599.0;?
-709.0;1003.0;87;-17.0;?;561.0;-826.0
-711.0;877.0;87;-17.0;580.0;405.0;?
-705.0;879.0;87;?;?;357.0;-885.0
-702.0;1006.0;87;126.0;587.0;306.0;-887.0
?;920.0;?;39.0;?;218.0;?
-677.0;902.0;86;51.0;599.0;133.0;?
-664.0;?;?;222.0;607.0;120.0;-992.0
-651.0;1010.0;86;239.0;611.0;?;?
?;998.0;86;128.0;611.0;?;?
-622.0;1033.0;86;?;?;?;?
-617.0;1068.0;86;64.0;?;49.0;?
-614.0;1003.0;86;55.0;627.0;75.0;-961.0
-612.0;990.0;86;?;634.0;?;-981.0
?;1048.0;?;100.0;641.0;423.0;-1069.0
-613.0;1156.0;?;51.0;644.0;521.0;?
-609.0;1106.0;86;-136.0;639.0;?;-1064.0
-602.0;1093.0;86;-5.0;635.0;631.0;-1025.0
-602.0;1101.0;86;334.0;629.0;?;-1027.0
-603.0;1085.0;86;402.0;625.0;440.0;-967.0
-604.0;1010.0;86;365.0;619.0;374.0;-967.0
?;1064.0;?;?;?;?;-1051.0
-613.0;1119.0;86;149.0;617.0;?;?
?;?;86;?;?;436.0;-1062.0
-638.0;1110.0;86;-161.0;610.0;552.0;-1099.0
?;1096.0;86;-363.0;596.0;793.0;-1026.0
-676.0;937.0;86;?;568.0;957.0;-1095.0
-688.0;1167.0;?;-684.0;539.0;992.0;-1214.0
-694.0;1197.0;86;-673.0;499.0;1079.0;-1209.0
-699.0;1151.0;86;-690.0;450.0;?;-1300.0
-692.0;1298.0;86;?;392.0;1551.0;-1366.0
-665.0;1193.0;86;-1225.0;311.0;1469.0;-1091.0
-625.0;1018.0;86;-1352.0;200.0;1888.0;-843.0
-555.0;840.0;86;-816.0;?;1980.0;?
-486.0;562.0;86;?;-48.0;1306.0;-338.0
-409.0;?;86;-598.0;-165.0;845.0;-343.0
-347.0;?;?;-188.0;-241.0;998.0;?
-300.0;350.0;86;-561.0;-297.0;980.0;?
?;237.0;86;18.0;-356.0;?;-216.0
-151.0;?;86;367.0;-384.0;635.0;?
-77.0;230.0;86;-154.0;?;396.0;?
?;91.0;?;295.0;-365.0;-246.0;-107.0
41.0;208.0;?;?;-363.0;?;-141.0
?;180.0;86;?;-362.0;-149.0;-173.0
?;237.0;?;?;?;-341.0;-245.0
-607.0;496.0;86;?;341.0;-145.0;-337.0
-608.0;501.0;?;-612.0;?;-190.0;-348.0
-614.0;490.0;86;-644.0;337.0;-180.0;?
-615.0;490.0;86;-669.0;332.0;-219.0;-413.0
?;502.0;86;-766.0;333.0;-226.0;?
-610.0;517.0;86;-1045.0;345.0;?;?
-599.0;471.0;?;-784.0;?;136.0;?
