InertialMeasurementUnit RUA magneticZ;Accelerometer RUA^ accY;InertialMeasurementUnit L-SHOE EuX;Accelerometer RWR accZ;InertialMeasurementUnit LLA magneticZ;Accelerometer LH accX;InertialMeasurementUnit RUA accX
-86.0;1039.0;88;137.0;-553.0;366.0;-948.0
-439.0;1051.0;7;173.0;-70.0;417.0;-699.0
-89.0;755.0;-167;-265.0;-485.0;925.0;-671.0
-376.0;840.0;-52;113.0;347.0;417.0;-875.0
-156.0;1027.0;-57;-435.0;247.0;362.0;-970.0
-191.0;820.0;-167;-67.0;-559.0;990.0;-810.0
-84.0;732.0;-167;-184.0;-469.0;943.0;-674.0
-231.0;754.0;-152;-135.0;-354.0;887.0;-647.0
-229.0;781.0;-152;-2.0;-353.0;904.0;-629.0
325.0;917.0;-157;-404.0;-407.0;659.0;-476.0
238.0;786.0;-157;-336.0;-492.0;485.0;-655.0
-395.0;900.0;-57;-322.0;184.0;350.0;-939.0
226.0;770.0;-157;-365.0;-482.0;446.0;-648.0
106.0;624.0;-166;-253.0;396.0;1018.0;-627.0
114.0;796.0;86;-64.0;53.0;661.0;-678.0
-157.0;920.0;-57;-385.0;250.0;374.0;-947.0
224.0;790.0;-157;-345.0;-480.0;437.0;-656.0
298.0;753.0;86;91.0;86.0;482.0;-722.0
-211.0;675.0;-152;-30.0;-354.0;872.0;-609.0
231.0;765.0;-157;-272.0;-482.0;351.0;-661.0
-115.0;740.0;-167;-71.0;-447.0;946.0;-670.0
285.0;813.0;86;61.0;-20.0;288.0;-767.0
-113.0;710.0;-167;261.0;-455.0;969.0;-693.0
230.0;772.0;-157;-241.0;-488.0;78.0;-661.0
-39.0;581.0;-167;-758.0;-174.0;1310.0;-549.0
-116.0;700.0;-167;-160.0;-503.0;852.0;-588.0
-458.0;396.0;73;-383.0;-821.0;832.0;-201.0
300.0;831.0;86;-25.0;-50.0;330.0;-836.0
246.0;847.0;86;265.0;89.0;327.0;-624.0
-155.0;1097.0;-57;98.0;254.0;372.0;-952.0
115.0;841.0;-157;-382.0;-597.0;565.0;-749.0
228.0;837.0;-166;-453.0;-681.0;695.0;-723.0
348.0;881.0;86;-193.0;65.0;676.0;-822.0
-202.0;659.0;-152;-99.0;-338.0;890.0;-614.0
-440.0;931.0;-57;-603.0;181.0;347.0;-874.0
45.0;540.0;-167;-936.0;-85.0;906.0;-506.0
198.0;893.0;-82;190.0;-90.0;333.0;-911.0
-42.0;953.0;-71;-593.0;-32.0;390.0;-1020.0
169.0;741.0;-82;252.0;-105.0;323.0;-870.0
