InertialMeasurementUnit R-SHOE Body_Az;Accelerometer RKN^ accZ;Accelerometer RKN_ accZ;Accelerometer RKN^ accY;Accelerometer HIP accX;InertialMeasurementUnit R-SHOE Body_Ax;InertialMeasurementUnit R-SHOE Body_Ay;InertialMeasurementUnit R-SHOE Nav_Ax;Accelerometer HIP accY;InertialMeasurementUnit R-SHOE Nav_Az;InertialMeasurementUnit RLA gyroY;Accelerometer RKN_ accX
-796;430.0;181.0;950.0;-348.0;-315;375;-43;931.0;67;285.0;255.0
-856;868.0;267.0;643.0;-310.0;-247;345;-224;1042.0;67;-379.0;-99.0
-803;874.0;-240.0;523.0;-348.0;-232;400;-2;937.0;74;-8.0;376.0
-805;968.0;-172.0;365.0;-188.0;-244;388;-1;995.0;74;334.0;325.0
-866;299.0;-238.0;967.0;-433.0;-185;326;21;935.0;57;151.0;272.0
-820;291.0;-14.0;1007.0;-94.0;-250;360;0;1026.0;70;-41.0;357.0
-844;575.0;-85.0;838.0;-122.0;-219;354;21;995.0;59;35.0;236.0
-845;571.0;-133.0;858.0;-127.0;-253;336;7;1013.0;56;28.0;198.0
-705;328.0;-63.0;973.0;-129.0;-378;-141;302;1006.0;293;32.0;242.0
-843;620.0;-173.0;797.0;-137.0;-245;345;0;1025.0;57;8.0;228.0
-845;613.0;-170.0;812.0;-136.0;-230;331;4;1017.0;63;27.0;244.0
-853;621.0;-154.0;808.0;-125.0;-220;330;14;1002.0;59;4.0;238.0
-850;623.0;-171.0;804.0;-129.0;-205;334;32;1013.0;65;22.0;226.0
-850;641.0;-142.0;806.0;-124.0;-233;319;8;1003.0;63;-26.0;226.0
-844;652.0;-155.0;807.0;-110.0;-231;330;1;983.0;65;34.0;237.0
-781;537.0;-149.0;847.0;-76.0;-345;244;-73;1074.0;116;203.0;227.0
-907;545.0;-129.0;951.0;-192.0;-447;297;-213;1032.0;-28;-11.0;221.0
-835;532.0;-228.0;873.0;-232.0;-230;357;2;990.0;64;35.0;284.0
-834;556.0;-230.0;862.0;-238.0;-233;360;-2;998.0;62;62.0;291.0
