InertialMeasurementUnit RUA magneticZ;Accelerometer RUA^ accY;InertialMeasurementUnit L-SHOE EuX;Accelerometer RWR accZ;InertialMeasurementUnit LLA magneticZ;Accelerometer LH accX;InertialMeasurementUnit RUA accX
-146.0;950.0;-123;-48.0;-421.0;668.0;-899.0
-28.0;1070.0;83;13.0;204.0;310.0;-982.0
-431.0;703.0;39;-227.0;-52.0;294.0;-882.0
-7.0;1034.0;83;36.0;205.0;251.0;-983.0
-287.0;925.0;53;-183.0;-125.0;381.0;-952.0
-264.0;892.0;53;-46.0;-160.0;452.0;-1116.0
-137.0;1209.0;19;329.0;-325.0;181.0;-982.0
-111.0;815.0;-61;92.0;-414.0;327.0;-1210.0
-503.0;465.0;73;-328.0;-835.0;838.0;-282.0
-199.0;865.0;20;-77.0;-214.0;573.0;-1005.0
-436.0;1167.0;163;27.0;-23.0;372.0;-1368.0
-188.0;1046.0;139;-233.0;78.0;332.0;-1041.0
-285.0;931.0;56;27.0;-130.0;318.0;-1029.0
74.0;1033.0;167;-413.0;165.0;835.0;-950.0
32.0;841.0;86;-205.0;83.0;725.0;-704.0
-281.0;901.0;56;-75.0;-138.0;427.0;-955.0
17.0;1047.0;83;-16.0;168.0;266.0;-985.0
-126.0;875.0;-34;302.0;-568.0;255.0;-905.0
-246.0;1061.0;139;-270.0;82.0;419.0;-1024.0
-398.0;1221.0;164;206.0;65.0;303.0;-691.0
-425.0;858.0;143;124.0;-108.0;324.0;-1071.0
-393.0;905.0;68;-346.0;-282.0;411.0;-1009.0
-17.0;819.0;-68;-65.0;-254.0;638.0;-1001.0
9.0;1014.0;-68;-3.0;-229.0;325.0;-946.0
-228.0;1001.0;141;-686.0;283.0;454.0;-945.0
54.0;983.0;-77;20.0;-90.0;180.0;-852.0
38.0;1060.0;83;52.0;147.0;272.0;-981.0
-72.0;948.0;-69;397.0;18.0;222.0;-832.0
-44.0;978.0;83;20.0;184.0;292.0;-1015.0
-44.0;950.0;83;52.0;186.0;272.0;-1039.0
-61.0;1138.0;-78;60.0;110.0;387.0;-948.0
106.0;968.0;-158;-712.0;-159.0;868.0;-878.0
-203.0;1049.0;-1;39.0;-222.0;250.0;-743.0
89.0;919.0;-121;-379.0;-237.0;808.0;-970.0
-178.0;1063.0;-48;-517.0;-281.0;332.0;-958.0
-513.0;1016.0;114;121.0;-120.0;264.0;-882.0
-580.0;990.0;27;151.0;384.0;379.0;-1060.0
-200.0;824.0;50;-92.0;-52.0;598.0;-1156.0
214.0;1012.0;-167;-702.0;-193.0;924.0;-919.0
353.0;840.0;-153;35.0;-188.0;236.0;-914.0
-72.0;1023.0;-113;-327.0;-189.0;737.0;-1029.0
-131.0;1103.0;54;-114.0;-138.0;411.0;-991.0
159.0;1088.0;180;-525.0;-131.0;753.0;-1100.0
151.0;818.0;154;-294.0;-122.0;1083.0;-881.0
