InertialMeasurementUnit R-SHOE EuY;InertialMeasurementUnit BACK accY;InertialMeasurementUnit RLA magneticZ;InertialMeasurementUnit BACK gyroZ;InertialMeasurementUnit RUA gyroY;InertialMeasurementUnit LUA gyroY;InertialMeasurementUnit L-SHOE EuY;InertialMeasurementUnit LLA gyroX
-35;-184.0;-267.0;-146.0;88.0;-139.0;-35;-39.0
-28;-241.0;-296.0;-4.0;40.0;-137.0;-44;-91.0
-30;-309.0;-112.0;-49.0;-28.0;99.0;-40;-90.0
-27;-283.0;-73.0;41.0;-133.0;44.0;-37;-88.0
-27;-281.0;-67.0;-10.0;-59.0;11.0;-37;-97.0
-27;-257.0;-94.0;-60.0;34.0;-63.0;-37;-43.0
-27;-268.0;-154.0;0.0;33.0;-15.0;-37;-111.0
-27;-265.0;-151.0;-11.0;33.0;-47.0;-37;-203.0
-27;-269.0;-121.0;-9.0;28.0;24.0;-37;-147.0
-27;-258.0;-139.0;38.0;-75.0;-2.0;-37;-55.0
-27;-267.0;-70.0;17.0;-65.0;0.0;-37;-150.0
-26;-265.0;-69.0;6.0;18.0;-2.0;-37;-25.0
-26;-252.0;-67.0;-26.0;0.0;41.0;-37;32.0
-26;-259.0;-63.0;-15.0;6.0;0.0;-37;-116.0
-26;-278.0;-97.0;11.0;-1.0;61.0;-37;94.0
-27;-286.0;-241.0;-1.0;-34.0;20.0;-37;142.0
-27;-294.0;-240.0;-51.0;18.0;-8.0;-37;6.0
-27;-254.0;-149.0;8.0;28.0;-24.0;-37;109.0
-27;-286.0;-201.0;28.0;-48.0;19.0;-37;-145.0
-27;-280.0;-199.0;-28.0;-15.0;-8.0;-37;-65.0
-27;-280.0;-199.0;17.0;-8.0;8.0;-37;-80.0
-28;-279.0;-199.0;8.0;-10.0;23.0;-37;-70.0
-28;-273.0;-199.0;23.0;-62.0;46.0;-37;-116.0
-29;-267.0;-198.0;1.0;-45.0;39.0;-37;-81.0
-29;-284.0;-228.0;71.0;5.0;162.0;-37;-56.0
-29;-275.0;-228.0;43.0;-67.0;122.0;-37;-59.0
-29;-302.0;-204.0;-11.0;133.0;65.0;-37;-12.0
-26;-218.0;-185.0;-105.0;121.0;-60.0;-37;74.0
-26;-200.0;-164.0;-41.0;112.0;-99.0;-37;-22.0
-26;-202.0;-158.0;-61.0;110.0;-36.0;-37;1.0
-26;-205.0;-145.0;-58.0;-14.0;-102.0;-37;-100.0
-26;-220.0;-135.0;-92.0;25.0;-131.0;-37;-124.0
-26;-220.0;-179.0;91.0;-108.0;10.0;-37;-76.0
-30;-258.0;-89.0;37.0;-15.0;7.0;-37;-55.0
-30;-245.0;-76.0;47.0;80.0;4.0;-37;-30.0
-30;-239.0;-40.0;4.0;28.0;50.0;-37;-29.0
-29;-270.0;-140.0;0.0;-30.0;15.0;-37;-85.0
-29;-273.0;-139.0;2.0;-17.0;31.0;-37;-93.0
-29;-272.0;-136.0;-15.0;-45.0;29.0;-37;-70.0
-29;-282.0;-137.0;8.0;-23.0;7.0;-37;-78.0
-29;-281.0;-139.0;-8.0;-36.0;57.0;-37;-51.0
-29;-270.0;-142.0;-6.0;-26.0;37.0;-37;-75.0
-29;-263.0;-151.0;-19.0;-26.0;-9.0;-37;-104.0
-29;-315.0;-185.0;34.0;-43.0;14.0;-37;-284.0
-29;-316.0;-179.0;19.0;31.0;-22.0;-37;-151.0
-29;-315.0;-181.0;-22.0;7.0;-32.0;-37;-61.0
-29;-309.0;-187.0;-13.0;-10.0;-50.0;-37;67.0
-29;-304.0;-200.0;-45.0;73.0;-30.0;-37;76.0
-29;-279.0;-213.0;-19.0;-84.0;29.0;-37;-194.0
-29;-295.0;-217.0;-6.0;-51.0;28.0;-37;-282.0
-29;-289.0;-251.0;10.0;-41.0;-31.0;-37;0.0
-29;-295.0;-249.0;-11.0;64.0;28.0;-37;-217.0
-29;-298.0;-288.0;26.0;69.0;-2.0;-37;70.0
-29;-291.0;-276.0;0.0;-2.0;-50.0;-37;-1.0
-30;-270.0;-204.0;-27.0;-42.0;-43.0;-37;-12.0
-30;-260.0;-204.0;-19.0;-29.0;-19.0;-37;-75.0
-30;-268.0;-205.0;-24.0;-30.0;14.0;-37;-88.0
-29;-278.0;-207.0;-1.0;-72.0;27.0;-37;-62.0
-29;-271.0;-193.0;42.0;-50.0;6.0;-37;-116.0
-29;-294.0;-188.0;40.0;-66.0;25.0;-37;-59.0
-29;-292.0;-185.0;11.0;-52.0;25.0;-37;-141.0
-29;-290.0;-184.0;2.0;-44.0;-10.0;-37;-79.0
-29;-294.0;-193.0;-100.0;-2.0;-27.0;-37;100.0
-27;-206.0;-163.0;-11.0;88.0;-17.0;-37;50.0
-27;-195.0;-168.0;-9.0;149.0;13.0;-37;3.0
-27;-215.0;-173.0;-79.0;121.0;-31.0;-37;-30.0
-27;-168.0;-138.0;51.0;2.0;-48.0;-37;-137.0
-28;-208.0;-104.0;-27.0;-27.0;-38.0;-37;-50.0
-28;-220.0;-51.0;-14.0;4.0;6.0;-37;-44.0
-28;-221.0;-36.0;-19.0;-24.0;0.0;-37;-20.0
-28;-232.0;-49.0;4.0;-71.0;6.0;-37;-83.0
-28;-229.0;-69.0;17.0;-17.0;39.0;-37;-92.0
-28;-233.0;-106.0;41.0;42.0;44.0;-37;-23.0
-27;-107.0;-187.0;-96.0;-9.0;-80.0;-37;-90.0
-27;-97.0;-184.0;-67.0;58.0;-24.0;-37;-115.0
-27;-86.0;-175.0;-43.0;78.0;5.0;-37;-80.0
-31;-287.0;-47.0;15.0;-47.0;31.0;-36;-36.0
-31;-283.0;-46.0;3.0;-12.0;-8.0;-36;-67.0
-31;-272.0;-50.0;8.0;-15.0;27.0;-36;-45.0
-31;-265.0;-51.0;8.0;-48.0;2.0;-36;-53.0
-31;-275.0;-53.0;6.0;-48.0;41.0;-36;-100.0
-31;-280.0;-53.0;0.0;-15.0;-5.0;-36;-95.0
-31;-287.0;-53.0;0.0;-33.0;-2.0;-36;-74.0
-31;-289.0;-53.0;13.0;31.0;-6.0;-36;-53.0
-31;-288.0;-54.0;-9.0;29.0;-14.0;-36;-44.0
