InertialMeasurementUnit RLA Quaternion1;InertialMeasurementUnit LUA Quaternion3;InertialMeasurementUnit RLA Quaternion4;InertialMeasurementUnit LLA Quaternion3;InertialMeasurementUnit RLA Quaternion2;InertialMeasurementUnit LLA Quaternion1;InertialMeasurementUnit LUA Quaternion1
435.0;521.0;?;504.0;606.0;784.0;612.0
431.0;526.0;-658.0;512.0;605.0;?;615.0
423.0;538.0;-667.0;524.0;604.0;?;618.0
411.0;554.0;-679.0;?;603.0;778.0;624.0
394.0;572.0;?;554.0;?;780.0;632.0
374.0;?;-710.0;568.0;?;781.0;641.0
354.0;607.0;-727.0;580.0;?;782.0;651.0
340.0;622.0;-741.0;588.0;?;?;661.0
333.0;633.0;?;?;566.0;781.0;670.0
338.0;643.0;-763.0;?;550.0;780.0;?
?;649.0;?;?;531.0;778.0;690.0
370.0;654.0;-773.0;592.0;515.0;774.0;700.0
?;658.0;-776.0;589.0;503.0;767.0;707.0
390.0;662.0;-776.0;589.0;494.0;757.0;711.0
396.0;666.0;-776.0;591.0;490.0;744.0;712.0
395.0;?;-776.0;595.0;?;?;708.0
386.0;?;-777.0;600.0;490.0;?;?
369.0;682.0;?;605.0;497.0;709.0;699.0
348.0;?;?;?;510.0;702.0;695.0
?;694.0;?;618.0;?;698.0;691.0
316.0;699.0;-756.0;625.0;?;699.0;686.0
306.0;706.0;-750.0;633.0;559.0;702.0;680.0
?;713.0;-745.0;641.0;574.0;?;673.0
294.0;720.0;-741.0;646.0;588.0;712.0;666.0
?;722.0;-737.0;649.0;601.0;718.0;664.0
276.0;722.0;-733.0;?;?;723.0;665.0
255.0;720.0;-736.0;645.0;617.0;730.0;664.0
241.0;718.0;-740.0;641.0;617.0;?;664.0
?;717.0;-742.0;637.0;616.0;744.0;?
233.0;716.0;-744.0;?;614.0;749.0;663.0
238.0;?;-746.0;?;611.0;752.0;662.0
244.0;713.0;?;?;605.0;755.0;662.0
245.0;710.0;-756.0;625.0;?;757.0;663.0
248.0;704.0;-762.0;620.0;?;759.0;667.0
?;693.0;-770.0;613.0;578.0;?;675.0
280.0;677.0;?;601.0;558.0;766.0;687.0
305.0;654.0;-791.0;?;?;775.0;?
333.0;?;-802.0;555.0;?;785.0;727.0
?;600.0;-812.0;?;456.0;?;?
?;564.0;-816.0;480.0;408.0;800.0;761.0
?;522.0;-812.0;431.0;354.0;803.0;780.0
?;467.0;-805.0;379.0;?;804.0;804.0
?;414.0;-804.0;311.0;?;?;827.0
509.0;367.0;-817.0;230.0;140.0;829.0;848.0
493.0;324.0;-840.0;155.0;76.0;839.0;859.0
472.0;297.0;-861.0;84.0;?;842.0;859.0
453.0;278.0;?;?;?;840.0;842.0
440.0;259.0;-879.0;-67.0;-124.0;831.0;815.0
418.0;234.0;?;-149.0;-196.0;819.0;778.0
407.0;211.0;-870.0;?;-266.0;806.0;?
?;182.0;-858.0;-328.0;-331.0;782.0;?
363.0;?;-841.0;-392.0;-399.0;750.0;?
351.0;160.0;-824.0;-438.0;-445.0;728.0;624.0
339.0;157.0;?;-463.0;-484.0;717.0;608.0
338.0;163.0;-791.0;-469.0;-508.0;713.0;603.0
347.0;?;-780.0;-461.0;-519.0;?;?
?;666.0;-138.0;?;-134.0;?;495.0
843.0;?;?;203.0;-133.0;-123.0;498.0
847.0;659.0;-137.0;199.0;?;-119.0;505.0
852.0;649.0;-144.0;193.0;-134.0;-109.0;?
855.0;639.0;-162.0;184.0;-141.0;-93.0;532.0
?;629.0;-183.0;177.0;-149.0;-73.0;551.0
?;617.0;-210.0;?;?;-44.0;571.0
?;599.0;-244.0;147.0;?;-2.0;597.0
849.0;580.0;-285.0;129.0;?;?;622.0
841.0;558.0;-332.0;119.0;-199.0;?;647.0
?;533.0;-386.0;112.0;?;152.0;674.0
805.0;?;-446.0;?;-220.0;216.0;696.0
774.0;484.0;-510.0;72.0;-229.0;284.0;?
732.0;456.0;-578.0;53.0;-238.0;346.0;725.0
679.0;?;?;26.0;-245.0;408.0;730.0
612.0;?;?;?;-253.0;474.0;725.0
534.0;374.0;-768.0;-73.0;-262.0;534.0;710.0
456.0;346.0;-813.0;-124.0;-268.0;586.0;?
382.0;320.0;-843.0;-166.0;-276.0;622.0;659.0
308.0;294.0;?;-197.0;-294.0;?;633.0
?;271.0;-879.0;?;?;643.0;612.0
175.0;255.0;-883.0;-227.0;-339.0;630.0;596.0
129.0;242.0;?;-231.0;-361.0;614.0;586.0
