InertialMeasurementUnit LUA Quaternion4;InertialMeasurementUnit LLA Quaternion2;InertialMeasurementUnit R-SHOE Compass;InertialMeasurementUnit R-SHOE EuZ;InertialMeasurementUnit LLA Quaternion4;Accelerometer LWR accX;InertialMeasurementUnit R-SHOE EuX;InertialMeasurementUnit L-SHOE Compass;InertialMeasurementUnit RLA Quaternion3;InertialMeasurementUnit LLA gyroY;InertialMeasurementUnit LUA Quaternion2
-229.0;248.0;9;16;-496.0;-124.0;-90;-153;-282.0;6.0;279.0
116.0;-77.0;7;25;-333.0;145.0;-52;-53;-359.0;181.0;16.0
353.0;-685.0;145;18;-292.0;-470.0;55;173;-328.0;-51.0;-695.0
81.0;-212.0;144;18;-215.0;-25.0;55;174;-159.0;105.0;-181.0
82.0;-204.0;144;18;-186.0;-16.0;55;174;-136.0;-213.0;-179.0
195.0;-359.0;145;18;-284.0;158.0;55;173;176.0;-2136.0;-312.0
166.0;-202.0;145;18;-102.0;19.0;55;173;-45.0;-360.0;-205.0
266.0;-208.0;-10;15;-138.0;-167.0;-83;-65;72.0;59.0;15.0
252.0;-189.0;-10;21;-153.0;-167.0;-89;-65;76.0;219.0;36.0
240.0;-167.0;-9;27;-173.0;-108.0;-93;-66;75.0;311.0;54.0
-4.0;98.0;-32;45;-397.0;-130.0;110;149;-248.0;284.0;128.0
-30.0;122.0;-19;157;-407.0;-86.0;7;149;-270.0;205.0;153.0
-52.0;103.0;2;35;-398.0;-254.0;127;149;-296.0;285.0;182.0
-80.0;26.0;-14;27;-454.0;-155.0;138;148;-317.0;-36.0;177.0
-44.0;43.0;-12;24;-401.0;98.0;139;-124;-255.0;363.0;144.0
-418.0;344.0;153;7;-75.0;-75.0;-137;-143;120.0;-94.0;218.0
-163.0;155.0;-29;16;203.0;-203.0;147;-77;204.0;11.0;10.0
183.0;139.0;-171;14;182.0;-175.0;106;-164;118.0;-141.0;-110.0
111.0;222.0;-170;16;126.0;-874.0;106;-163;297.0;-64.0;-96.0
-408.0;305.0;130;3;-91.0;-111.0;-134;-145;116.0;140.0;198.0
-409.0;267.0;79;-2;-107.0;-90.0;-109;-143;119.0;-170.0;193.0
-480.0;412.0;137;8;-135.0;-301.0;-137;108;144.0;-1003.0;302.0
142.0;-83.0;145;18;-144.0;201.0;55;173;-26.0;18.0;-193.0
135.0;-27.0;148;23;-205.0;-70.0;50;173;-34.0;431.0;-82.0
144.0;6.0;145;25;-178.0;-204.0;53;173;-35.0;248.0;-23.0
145.0;13.0;145;25;-176.0;-205.0;53;174;-33.0;311.0;-7.0
