InertialMeasurementUnit R-SHOE Nav_Ay;InertialMeasurementUnit BACK gyroY;InertialMeasurementUnit R-SHOE AngVelBodyFrameY;InertialMeasurementUnit BACK gyroX;InertialMeasurementUnit RLA gyroX;InertialMeasurementUnit R-SHOE AngVelNavFrameX;InertialMeasurementUnit RUA gyroX
?;211.0;-125;1180.0;215.0;?;402.0
?;230.0;?;?;550.0;-80;780.0
-17;245.0;34;?;957.0;?;1221.0
-4;?;?;1852.0;1314.0;?;1589.0
3;?;10;2001.0;1640.0;10;1957.0
5;532.0;6;2044.0;1809.0;6;2257.0
-28;505.0;31;2090.0;1733.0;?;2348.0
?;?;84;2205.0;1323.0;?;2394.0
?;?;34;1856.0;619.0;34;2047.0
-12;449.0;-11;1763.0;-454.0;-11;1354.0
?;290.0;?;1492.0;-1347.0;?;745.0
?;262.0;?;942.0;-1078.0;46;499.0
7;126.0;29;?;-259.0;29;?
15;?;?;451.0;130.0;27;417.0
2;229.0;-37;388.0;305.0;-37;502.0
3;77.0;3;377.0;638.0;3;573.0
-12;-17.0;51;164.0;1373.0;51;890.0
-5;164.0;24;178.0;2072.0;24;1139.0
32;182.0;?;105.0;?;-18;?
1;172.0;-4;157.0;?;-4;557.0
-32;131.0;29;?;1329.0;?;311.0
-2;174.0;42;235.0;?;42;?
-4;194.0;?;32.0;-193.0;?;-676.0
-9;190.0;35;148.0;-445.0;35;-711.0
4;146.0;69;38.0;-215.0;69;-450.0
3;72.0;83;6.0;291.0;83;-397.0
6;-2.0;86;97.0;?;86;-42.0
3;-11.0;77;77.0;986.0;77;522.0
-10;-18.0;?;34.0;497.0;7;570.0
-3;-79.0;?;57.0;?;0;?
6;-112.0;22;14.0;-534.0;22;?
-7;-14.0;?;-104.0;-525.0;-6;226.0
-12;?;-21;-126.0;-419.0;-21;249.0
-2;?;?;?;-588.0;-22;58.0
0;-52.0;?;?;-1355.0;-55;?
-2;?;-73;-121.0;-2113.0;-73;-186.0
2;3.0;?;-81.0;?;-24;-390.0
?;-24.0;-26;21.0;?;-26;?
-7;-44.0;-80;?;-2934.0;-80;-45.0
-13;-47.0;-48;-87.0;-3555.0;-48;-487.0
4;-19.0;?;-160.0;-4408.0;-26;?
4;-1.0;?;?;-5064.0;-58;-1033.0
0;?;-20;-536.0;-4637.0;-20;336.0
?;431.0;?;-510.0;-2740.0;-25;2548.0
-6;293.0;-30;506.0;-864.0;-30;3157.0
-4;649.0;42;720.0;?;42;?
2;?;35;294.0;-1193.0;35;?
2;166.0;35;97.0;-897.0;35;?
-4;?;27;206.0;-1426.0;27;2952.0
-10;-357.0;?;315.0;-173.0;-8;?
-1;?;17;472.0;?;17;3132.0
4;20.0;?;623.0;-1063.0;21;3310.0
-7;?;9;?;421.0;9;2952.0
1;-3.0;21;-148.0;?;?;1918.0
9;-1.0;14;-328.0;113.0;?;889.0
-1;-150.0;12;-332.0;?;12;290.0
?;-87.0;0;91.0;3.0;0;-203.0
7;-50.0;-3;78.0;69.0;-3;?
?;-50.0;-24;107.0;?;-24;-102.0
-7;-165.0;-5;207.0;-369.0;?;?
-7;?;-12;?;-872.0;-12;38.0
-3;-414.0;-61;192.0;-1042.0;-61;?
-4;?;-19;306.0;-1316.0;-19;523.0
0;-576.0;-5;?;-1892.0;-5;452.0
5;?;-1;229.0;-2026.0;-1;348.0
3;?;?;-18.0;-2124.0;31;439.0
2;-647.0;?;140.0;-2404.0;28;184.0
1;-375.0;10;88.0;-2577.0;10;331.0
?;-326.0;-3;140.0;?;-3;476.0
2;-346.0;43;229.0;-2900.0;43;773.0
?;-122.0;62;295.0;?;62;1323.0
0;-247.0;30;344.0;?;30;?
-1;-302.0;20;561.0;-2738.0;20;?
?;-507.0;?;-102.0;-2047.0;10;?
