InertialMeasurementUnit R-SHOE Nav_Ay;InertialMeasurementUnit BACK gyroY;InertialMeasurementUnit R-SHOE AngVelBodyFrameY;InertialMeasurementUnit BACK gyroX;InertialMeasurementUnit RLA gyroX;InertialMeasurementUnit R-SHOE AngVelNavFrameX;InertialMeasurementUnit RUA gyroX
-6;-16.0;4;32.0;-28.0;4;7.0
0;15.0;-31;-12.0;-20.0;-31;43.0
1;-26.0;-12;23.0;22.0;-12;34.0
8;-24.0;13;-14.0;-21.0;13;-10.0
31;-7.0;12;-44.0;-10.0;12;18.0
7;-9.0;18;-21.0;9.0;18;29.0
-19;-34.0;-35;-18.0;-2.0;-35;13.0
-8;-1.0;15;-8.0;-2.0;15;13.0
7;25.0;-12;-21.0;8.0;-12;3.0
7;7.0;11;1.0;-12.0;11;-10.0
2;19.0;-20;6.0;-16.0;-20;-10.0
9;-10.0;-10;-20.0;21.0;-10;7.0
-5;-7.0;-5;-52.0;-28.0;-5;44.0
2;7.0;6;-13.0;13.0;6;-3.0
0;9.0;-13;-29.0;0.0;-13;-7.0
-2;-11.0;7;-12.0;21.0;7;26.0
-4;0.0;-5;46.0;-20.0;-5;8.0
0;-11.0;-10;-40.0;3.0;-10;-15.0
-2;-10.0;-13;-4.0;-31.0;-13;14.0
8;-1.0;-21;-23.0;18.0;-21;10.0
-4;11.0;-13;-42.0;-27.0;-13;-16.0
20;-6.0;-3;11.0;-5.0;-3;57.0
-4;-21.0;-12;-36.0;26.0;-12;36.0
2;-26.0;-14;7.0;-13.0;-14;12.0
1;2.0;-7;-49.0;29.0;-7;28.0
-3;-28.0;10;-6.0;-13.0;10;-3.0
3;-24.0;2;-21.0;-15.0;2;-7.0
-2;-4.0;-12;-49.0;9.0;-12;0.0
3;22.0;-37;-15.0;-12.0;-37;-3.0
1;-28.0;-11;-25.0;36.0;-11;17.0
0;-30.0;11;-12.0;37.0;11;36.0
1;-1.0;10;11.0;36.0;10;-18.0
-1;-16.0;-28;-49.0;-20.0;-28;-31.0
-2;-5.0;1;-30.0;-23.0;1;-30.0
-5;21.0;16;-41.0;-23.0;16;18.0
-3;9.0;-2;-12.0;-16.0;-2;10.0
1;-38.0;25;6.0;-14.0;25;8.0
1;-13.0;-39;-36.0;0.0;-39;2.0
-2;-23.0;27;-38.0;-21.0;27;-5.0
-1;-15.0;-31;-34.0;-29.0;-31;-20.0
0;-17.0;22;-18.0;5.0;22;-5.0
2;1.0;-1;-2.0;-20.0;-1;-4.0
2;-19.0;-20;-9.0;5.0;-20;4.0
-1;-16.0;-9;-10.0;-37.0;-9;8.0
-5;-17.0;-11;-1.0;2.0;-11;28.0
-3;5.0;2;0.0;13.0;2;19.0
0;3.0;-17;-23.0;-2.0;-17;13.0
-1;6.0;2;23.0;-1.0;2;12.0
0;-14.0;0;-7.0;-8.0;0;-2.0
-4;-30.0;-20;-30.0;-15.0;-20;17.0
-5;10.0;11;4.0;34.0;11;13.0
3;-13.0;28;-11.0;0.0;28;-3.0
-4;-21.0;-26;-42.0;8.0;-26;-29.0
-7;1.0;-18;-23.0;2.0;-18;-18.0
-1;-33.0;21;-40.0;-10.0;21;12.0
5;0.0;1;-15.0;22.0;1;47.0
1;1.0;10;7.0;7.0;10;17.0
4;-30.0;-2;41.0;19.0;-2;16.0
7;-11.0;12;-41.0;-17.0;12;46.0
-8;-31.0;-10;19.0;-2.0;-10;64.0
5;3.0;18;1.0;-22.0;18;-10.0
0;-55.0;10;-4.0;5.0;10;17.0
3;-3.0;0;-19.0;-18.0;0;9.0
5;7.0;4;-14.0;-17.0;4;32.0
5;-6.0;18;-22.0;29.0;18;12.0
-2;-15.0;-4;-29.0;-16.0;-4;48.0
-2;18.0;10;-7.0;32.0;10;-16.0
-4;16.0;-2;-27.0;-21.0;-2;14.0
-1;24.0;18;-4.0;11.0;18;7.0
-1;7.0;8;-29.0;-9.0;8;39.0
0;6.0;-40;-16.0;0.0;-40;49.0
-2;-20.0;-38;-17.0;-13.0;-38;24.0
2;-28.0;1;-30.0;5.0;1;1.0
-9;-6.0;7;11.0;-12.0;7;2.0
-3;2.0;-2;13.0;46.0;-2;-2.0
-3;-26.0;12;-27.0;-37.0;12;-6.0
0;-31.0;-35;-41.0;-12.0;-35;-12.0
