InertialMeasurementUnit R-SHOE Body_Az;Accelerometer RKN^ accZ;Accelerometer RKN_ accZ;Accelerometer RKN^ accY;Accelerometer HIP accX;InertialMeasurementUnit R-SHOE Body_Ax;InertialMeasurementUnit R-SHOE Body_Ay;InertialMeasurementUnit R-SHOE Nav_Ax;Accelerometer HIP accY;InertialMeasurementUnit R-SHOE Nav_Az;InertialMeasurementUnit RLA gyroY;Accelerometer RKN_ accX
-796;861.0;-228.0;510.0;-411.0;-229;416;4;939.0;73;211.0;389.0
-803;865.0;-213.0;514.0;-393.0;-239;405;-7;966.0;70;96.0;406.0
-829;185.0;-30.0;1042.0;-30.0;-237;340;7;999.0;74;-141.0;284.0
-836;317.0;-85.0;978.0;-33.0;-237;349;3;983.0;64;-242.0;446.0
-755;1005.0;20.0;265.0;-148.0;-313;425;3;1000.0;79;-143.0;289.0
-827;201.0;-84.0;1029.0;-146.0;-234;354;0;1003.0;70;86.0;326.0
-761;1000.0;20.0;294.0;-155.0;-316;407;-1;1006.0;81;-53.0;304.0
-837;215.0;-49.0;1044.0;-145.0;-244;348;3;980.0;61;3.0;371.0
-823;218.0;-73.0;1025.0;-153.0;-262;356;12;981.0;66;220.0;345.0
-755;1012.0;1.0;284.0;-155.0;-316;413;-3;1020.0;84;-20.0;303.0
-828;265.0;-63.0;1023.0;-154.0;-251;348;5;1010.0;68;-115.0;359.0
-827;182.0;-38.0;1024.0;-147.0;-257;355;5;985.0;64;3.0;337.0
-758;987.0;8.0;295.0;-148.0;-315;408;-2;1003.0;83;17.0;298.0
-829;192.0;-90.0;1038.0;-118.0;-244;353;-6;1006.0;67;-84.0;343.0
-822;192.0;-71.0;1023.0;-90.0;-255;355;4;1010.0;69;-29.0;329.0
-759;990.0;14.0;278.0;-147.0;-308;404;4;1009.0;86;-47.0;291.0
-766;994.0;15.0;292.0;-134.0;-314;405;0;1010.0;78;-152.0;293.0
-763;994.0;9.0;277.0;-159.0;-312;403;1;1006.0;82;-57.0;300.0
-765;981.0;0.0;283.0;-145.0;-312;403;3;1015.0;81;-24.0;301.0
-829;231.0;-68.0;1017.0;-65.0;-253;360;0;1011.0;61;34.0;328.0
-811;220.0;-40.0;1011.0;-90.0;-258;347;13;1015.0;79;-68.0;336.0
-834;195.0;-52.0;1022.0;-116.0;-241;347;-3;1014.0;60;-26.0;335.0
-765;997.0;7.0;282.0;-135.0;-312;407;3;993.0;79;-145.0;306.0
-766;1004.0;9.0;296.0;-165.0;-316;408;-1;1014.0;76;24.0;291.0
-1097;492.0;219.0;1116.0;-374.0;-293;804;-119;697.0;-355;-338.0;227.0
-868;397.0;-76.0;985.0;-117.0;-333;173;123;1017.0;86;20.0;268.0
-749;990.0;11.0;285.0;-157.0;-316;420;0;1005.0;84;-183.0;286.0
-746;1024.0;16.0;271.0;-153.0;-317;425;1;994.0;85;-127.0;289.0
-869;430.0;8.0;963.0;-114.0;-197;313;81;887.0;109;52.0;149.0
-846;399.0;-52.0;927.0;-420.0;-222;373;75;1346.0;85;198.0;242.0
-839;322.0;-86.0;1012.0;-62.0;-230;344;72;1018.0;81;9.0;325.0
-747;1000.0;10.0;288.0;-167.0;-318;423;-3;1012.0;85;-46.0;300.0
-758;987.0;21.0;271.0;-146.0;-320;416;-3;1017.0;78;-58.0;289.0
