InertialMeasurementUnit R-SHOE Body_Az;Accelerometer RKN^ accZ;Accelerometer RKN_ accZ;Accelerometer RKN^ accY;Accelerometer HIP accX;InertialMeasurementUnit R-SHOE Body_Ax;InertialMeasurementUnit R-SHOE Body_Ay;InertialMeasurementUnit R-SHOE Nav_Ax;Accelerometer HIP accY;InertialMeasurementUnit R-SHOE Nav_Az;InertialMeasurementUnit RLA gyroY;Accelerometer RKN_ accX
-814;248.0;18.0;1023.0;?;-284;343;21;1016.0;73;-307.0;389.0
-817;253.0;10.0;1013.0;-167.0;-294;341;31;983.0;?;-561.0;364.0
-828;?;10.0;?;-128.0;-276;345;14;1020.0;62;-824.0;348.0
-838;?;45.0;1045.0;?;-260;343;3;1019.0;58;-1014.0;337.0
-836;?;39.0;1072.0;-133.0;-252;?;2;1050.0;65;?;294.0
-835;304.0;-10.0;?;-112.0;-245;337;-4;?;67;-1400.0;?
-821;249.0;32.0;981.0;-80.0;-280;349;16;995.0;66;?;?
-828;?;?;1002.0;-107.0;-248;352;-10;1032.0;67;-1324.0;351.0
-840;239.0;8.0;?;-86.0;-240;329;-1;1050.0;67;-1187.0;336.0
-828;?;21.0;995.0;-13.0;-279;330;30;?;67;-1004.0;?
?;245.0;28.0;1026.0;57.0;-247;359;-12;1079.0;?;-829.0;403.0
-836;?;100.0;1058.0;125.0;-246;355;-8;?;60;-777.0;307.0
?;?;60.0;1044.0;140.0;?;345;-11;993.0;59;?;?
-841;337.0;78.0;995.0;?;-220;342;?;966.0;?;-789.0;357.0
-834;377.0;22.0;1000.0;?;-245;338;4;1073.0;68;-760.0;362.0
?;320.0;69.0;1012.0;-12.0;-242;?;-2;1009.0;66;-724.0;407.0
-830;302.0;25.0;1014.0;5.0;-253;349;3;1025.0;65;-788.0;417.0
?;?;?;1026.0;-26.0;-251;345;3;1019.0;61;-742.0;284.0
-852;307.0;20.0;?;-30.0;-218;?;-12;1030.0;?;-349.0;?
-838;308.0;80.0;994.0;-78.0;-243;343;?;1055.0;63;163.0;292.0
-828;407.0;?;972.0;?;?;363;8;1011.0;58;614.0;390.0
-838;365.0;-115.0;999.0;-125.0;-243;347;-1;?;61;875.0;306.0
