Accelerometer RWR accX;InertialMeasurementUnit RUA accZ;InertialMeasurementUnit BACK accX;InertialMeasurementUnit LUA accX;InertialMeasurementUnit LUA magneticZ;InertialMeasurementUnit L-SHOE EuZ;InertialMeasurementUnit L-SHOE Nav_Ay;InertialMeasurementUnit RLA accZ;Accelerometer LUA^ accY;InertialMeasurementUnit BACK magneticY;InertialMeasurementUnit RUA gyroZ;Accelerometer RUA^ accX;Accelerometer RUA_ accZ
-599.0;238.0;-983.0;-1039.0;607.0;5;-3;420.0;1057.0;-490.0;-7.0;-261.0;412.0
-839.0;468.0;-979.0;-1146.0;575.0;5;3;740.0;1090.0;-488.0;393.0;-519.0;530.0
-992.0;561.0;-948.0;-1105.0;549.0;5;2;912.0;1207.0;-491.0;639.0;-563.0;653.0
-472.0;187.0;-829.0;-476.0;-68.0;5;-3;368.0;385.0;-512.0;-480.0;-116.0;533.0
328.0;198.0;-937.0;-437.0;637.0;5;-3;673.0;323.0;-558.0;104.0;-56.0;663.0
264.0;261.0;-968.0;-615.0;655.0;5;-1;788.0;594.0;-547.0;-315.0;-218.0;825.0
-191.0;-127.0;-933.0;-606.0;-84.0;5;-2;35.0;476.0;-469.0;-58.0;288.0;491.0
-1564.0;-134.0;-987.0;-757.0;-18.0;5;5;669.0;881.0;-481.0;-1994.0;63.0;974.0
-1182.0;-19.0;-940.0;-662.0;-93.0;5;5;443.0;780.0;-480.0;-1859.0;-12.0;891.0
-654.0;-121.0;-948.0;-657.0;-148.0;5;1;260.0;628.0;-477.0;-1667.0;90.0;841.0
85.0;161.0;-965.0;-809.0;-147.0;5;1;511.0;662.0;-489.0;257.0;-160.0;768.0
-208.0;-130.0;-954.0;-689.0;-115.0;5;5;273.0;581.0;-486.0;456.0;105.0;664.0
-116.0;-218.0;-834.0;-551.0;-162.0;5;1;-124.0;644.0;-469.0;-877.0;339.0;291.0
-111.0;117.0;-979.0;-850.0;-88.0;5;-4;559.0;749.0;-475.0;159.0;-108.0;774.0
-79.0;168.0;-964.0;-435.0;531.0;5;1;604.0;405.0;-550.0;-152.0;7.0;708.0
-293.0;207.0;-970.0;-1040.0;529.0;5;-2;360.0;1077.0;-477.0;-20.0;-397.0;274.0
-363.0;164.0;-963.0;-1019.0;569.0;5;5;354.0;1081.0;-477.0;-28.0;-322.0;282.0
-431.0;136.0;-966.0;-1008.0;573.0;5;-1;299.0;1006.0;-476.0;-53.0;-313.0;247.0
-301.0;159.0;-961.0;-1008.0;572.0;4;-12;228.0;1024.0;-469.0;-227.0;-354.0;190.0
-351.0;192.0;-936.0;-948.0;575.0;4;-1;234.0;982.0;-461.0;-509.0;-383.0;189.0
-361.0;245.0;-989.0;-1040.0;583.0;4;-4;289.0;1011.0;-458.0;-472.0;-433.0;219.0
-405.0;328.0;-975.0;-999.0;583.0;5;-6;227.0;995.0;-455.0;-341.0;-504.0;186.0
-358.0;329.0;-944.0;-969.0;590.0;3;-13;239.0;948.0;-437.0;-204.0;-507.0;182.0
-401.0;248.0;-959.0;-996.0;591.0;5;1;214.0;982.0;-437.0;30.0;-433.0;177.0
-287.0;244.0;-999.0;-1052.0;587.0;5;1;234.0;1014.0;-439.0;-69.0;-435.0;199.0
-280.0;361.0;-957.0;-965.0;612.0;4;-6;272.0;950.0;-421.0;-277.0;-528.0;251.0
-383.0;270.0;-956.0;-974.0;595.0;4;-3;267.0;984.0;-432.0;3.0;-460.0;223.0
-319.0;248.0;-954.0;-984.0;605.0;4;7;235.0;976.0;-428.0;-33.0;-433.0;176.0
-333.0;258.0;-948.0;-980.0;604.0;4;-4;235.0;972.0;-428.0;-20.0;-441.0;214.0
-296.0;250.0;-962.0;-1001.0;602.0;4;-3;230.0;981.0;-425.0;-11.0;-438.0;199.0
-322.0;293.0;-967.0;-983.0;604.0;5;-7;278.0;989.0;-438.0;70.0;-462.0;239.0
-441.0;274.0;-942.0;-907.0;588.0;6;3;213.0;1202.0;-388.0;-32.0;-500.0;232.0
-324.0;110.0;-810.0;-803.0;583.0;6;-1;219.0;881.0;-390.0;67.0;-353.0;167.0
-392.0;192.0;-952.0;-986.0;595.0;8;1;224.0;1015.0;-413.0;45.0;-368.0;220.0
-412.0;187.0;-969.0;-999.0;598.0;8;-2;231.0;1024.0;-412.0;46.0;-362.0;226.0
-365.0;135.0;-949.0;-996.0;583.0;8;-2;217.0;999.0;-433.0;70.0;-315.0;227.0
-400.0;114.0;-966.0;-1008.0;587.0;9;3;225.0;1026.0;-432.0;67.0;-299.0;250.0
-282.0;43.0;-914.0;-925.0;601.0;9;-2;254.0;955.0;-457.0;28.0;-237.0;258.0
-452.0;139.0;-1008.0;-1048.0;599.0;9;2;242.0;1014.0;-458.0;25.0;-300.0;273.0
-473.0;76.0;-937.0;-991.0;599.0;9;7;262.0;1032.0;-453.0;-45.0;-242.0;280.0
-423.0;91.0;-953.0;-990.0;596.0;9;2;252.0;1008.0;-453.0;-57.0;-283.0;260.0
-434.0;123.0;-971.0;-993.0;601.0;9;3;221.0;1014.0;-469.0;-56.0;-244.0;257.0
-361.0;135.0;-957.0;-1007.0;599.0;9;7;225.0;1030.0;-475.0;21.0;-293.0;232.0
-373.0;104.0;-942.0;-973.0;599.0;9;3;224.0;978.0;-461.0;70.0;-256.0;260.0
-378.0;113.0;-958.0;-996.0;599.0;9;2;218.0;1017.0;-462.0;-16.0;-266.0;219.0
-403.0;120.0;-961.0;-991.0;602.0;9;-4;276.0;1009.0;-463.0;18.0;-255.0;303.0
-345.0;132.0;-961.0;-989.0;606.0;9;-16;289.0;1006.0;-464.0;67.0;-274.0;320.0
-304.0;102.0;-955.0;-1004.0;607.0;9;8;290.0;1033.0;-468.0;-57.0;-254.0;252.0
-328.0;112.0;-973.0;-1000.0;606.0;9;4;302.0;1021.0;-469.0;63.0;-255.0;322.0
-299.0;82.0;-962.0;-1005.0;600.0;9;-5;220.0;1002.0;-469.0;-68.0;-224.0;247.0
-375.0;152.0;-946.0;-1003.0;588.0;9;-3;268.0;1025.0;-466.0;-60.0;-312.0;251.0
-361.0;124.0;-947.0;-996.0;597.0;9;1;244.0;1005.0;-462.0;-15.0;-280.0;257.0
-343.0;135.0;-956.0;-998.0;596.0;9;1;269.0;1004.0;-467.0;3.0;-295.0;273.0
-391.0;113.0;-972.0;-1001.0;604.0;9;-2;243.0;1016.0;-468.0;21.0;-283.0;265.0
-373.0;147.0;-969.0;-996.0;632.0;9;-3;298.0;1018.0;-471.0;-56.0;-290.0;307.0
-357.0;154.0;-975.0;-1000.0;633.0;9;-3;289.0;1011.0;-474.0;-53.0;-305.0;296.0
-314.0;154.0;-979.0;-1005.0;573.0;9;4;223.0;1025.0;-481.0;13.0;-318.0;251.0
-330.0;152.0;-967.0;-998.0;561.0;9;0;231.0;1007.0;-485.0;-22.0;-321.0;225.0
-272.0;175.0;-972.0;-1000.0;561.0;9;-1;291.0;1015.0;-483.0;4.0;-351.0;280.0
-352.0;151.0;-970.0;-1002.0;559.0;9;5;227.0;1014.0;-486.0;-40.0;-312.0;252.0
-325.0;151.0;-974.0;-1003.0;553.0;9;2;249.0;1008.0;-486.0;-20.0;-316.0;252.0
-306.0;142.0;-980.0;-1007.0;555.0;9;-5;223.0;1001.0;-481.0;-96.0;-288.0;257.0
-300.0;151.0;-977.0;-999.0;549.0;9;0;212.0;999.0;-482.0;-207.0;-311.0;230.0
-248.0;381.0;-1002.0;-981.0;521.0;56;815;379.0;960.0;-503.0;-399.0;-568.0;323.0
-483.0;424.0;-883.0;-889.0;478.0;2;9;320.0;1054.0;-468.0;242.0;-684.0;202.0
-259.0;221.0;-887.0;-933.0;444.0;4;32;187.0;959.0;-475.0;316.0;-394.0;202.0
-223.0;263.0;-892.0;-911.0;326.0;-18;163;220.0;874.0;-487.0;296.0;-461.0;196.0
