Accelerometer HIP accZ;InertialMeasurementUnit LLA accZ;InertialMeasurementUnit BACK magneticX;Accelerometer RUA_ accX;InertialMeasurementUnit BACK accZ;Accelerometer BACK accY;InertialMeasurementUnit RLA accY;InertialMeasurementUnit LUA accZ;Accelerometer LH accZ;Accelerometer BACK accZ;Accelerometer BACK accX
?;227.0;?;164.0;-121.0;932.0;272.0;54.0;?;?;?
45.0;?;597.0;121.0;-132.0;?;242.0;17.0;85.0;-191.0;339.0
65.0;220.0;?;75.0;-146.0;978.0;229.0;-36.0;?;?;?
86.0;217.0;605.0;?;-106.0;1046.0;?;-44.0;?;?;?
93.0;221.0;609.0;122.0;?;1033.0;238.0;-66.0;129.0;-189.0;237.0
?;235.0;613.0;166.0;?;1031.0;273.0;-48.0;?;?;180.0
61.0;242.0;618.0;212.0;-159.0;965.0;?;-42.0;122.0;-201.0;?
41.0;?;623.0;213.0;-139.0;1000.0;456.0;-54.0;?;-206.0;101.0
?;209.0;622.0;?;-40.0;1000.0;577.0;-91.0;22.0;-264.0;18.0
36.0;?;623.0;431.0;-35.0;989.0;?;-74.0;30.0;-300.0;-37.0
-33.0;102.0;623.0;?;-73.0;?;766.0;-40.0;46.0;-302.0;-48.0
63.0;75.0;?;470.0;-28.0;920.0;?;-70.0;93.0;-351.0;-26.0
-26.0;31.0;?;367.0;-11.0;908.0;?;-69.0;234.0;-336.0;?
72.0;-34.0;625.0;?;-50.0;962.0;660.0;-42.0;?;?;33.0
100.0;-55.0;?;504.0;?;?;670.0;-49.0;268.0;-272.0;?
?;14.0;626.0;?;-17.0;1000.0;607.0;-101.0;260.0;-294.0;50.0
70.0;?;626.0;462.0;?;971.0;469.0;-24.0;268.0;-306.0;48.0
53.0;?;626.0;314.0;-122.0;971.0;406.0;26.0;188.0;-279.0;94.0
63.0;?;630.0;275.0;-68.0;990.0;416.0;-7.0;?;?;84.0
?;?;631.0;279.0;-12.0;?;467.0;-22.0;23.0;-306.0;80.0
45.0;137.0;632.0;358.0;-68.0;949.0;530.0;-26.0;-23.0;?;?
22.0;?;633.0;447.0;-80.0;936.0;498.0;-95.0;-18.0;-273.0;77.0
12.0;136.0;631.0;457.0;?;931.0;503.0;-107.0;?;?;?
?;183.0;634.0;379.0;-73.0;930.0;469.0;-55.0;-103.0;-237.0;67.0
60.0;?;637.0;277.0;-75.0;976.0;451.0;82.0;-172.0;-237.0;85.0
12.0;?;637.0;253.0;-63.0;998.0;490.0;?;-202.0;?;?
49.0;266.0;632.0;?;-72.0;988.0;449.0;-75.0;-33.0;-306.0;115.0
8.0;66.0;633.0;124.0;-93.0;?;540.0;-83.0;-12.0;-261.0;104.0
33.0;?;634.0;295.0;-96.0;?;550.0;-93.0;-79.0;?;94.0
20.0;56.0;634.0;?;-57.0;971.0;584.0;?;-73.0;?;104.0
61.0;82.0;?;?;-65.0;966.0;?;-92.0;-29.0;-294.0;124.0
