InertialMeasurementUnit LUA gyroZ;InertialMeasurementUnit L-SHOE AngVelNavFrameY;InertialMeasurementUnit L-SHOE Body_Ay;Accelerometer RKN_ accY;InertialMeasurementUnit L-SHOE Body_Ax;InertialMeasurementUnit LUA gyroX;InertialMeasurementUnit L-SHOE AngVelBodyFrameX;InertialMeasurementUnit LLA gyroZ
37.0;-7;468;909.0;-119;6.0;7;40.0
773.0;-4;484;915.0;-91;-875.0;4;931.0
-186.0;4;587;915.0;-21;319.0;-4;79.0
1.0;50;594;883.0;10;-244.0;-50;21.0
44.0;-42;474;963.0;-93;-185.0;42;-71.0
23.0;11;615;939.0;14;7.0;-11;34.0
29.0;-9;616;933.0;14;-87.0;9;86.0
65.0;10;497;924.0;-93;-12.0;-10;130.0
26.0;-9;621;939.0;15;-81.0;9;85.0
132.0;6;617;942.0;20;-125.0;-6;66.0
-47.0;26;613;938.0;18;-119.0;-26;88.0
0.0;3;618;916.0;11;-99.0;-3;135.0
25.0;1;616;934.0;14;-3.0;-1;138.0
75.0;-8;613;934.0;20;77.0;8;542.0
24.0;-20;613;933.0;15;14.0;20;-5.0
95.0;-3;489;916.0;-77;2.0;3;173.0
94.0;-10;489;925.0;-96;-62.0;10;136.0
78.0;29;489;915.0;-94;-18.0;-29;131.0
63.0;4;489;924.0;-90;-9.0;-4;179.0
108.0;-24;486;923.0;-103;-105.0;24;7.0
-33.0;-5;620;932.0;15;11.0;5;108.0
12.0;-18;621;922.0;13;-22.0;18;3.0
-67.0;-21;614;937.0;19;168.0;21;85.0
-109.0;-5;623;933.0;9;162.0;5;99.0
-48.0;22;618;937.0;17;78.0;-22;79.0
63.0;9;617;933.0;15;-79.0;-9;-87.0
77.0;-21;487;905.0;-105;-11.0;21;108.0
26.0;12;614;942.0;16;-22.0;-12;12.0
325.0;26;593;906.0;-13;-75.0;-26;-196.0
1425.0;30;621;931.0;15;-268.0;-30;634.0
-29.0;7;617;933.0;20;43.0;-7;12.0
-12.0;30;612;935.0;14;7.0;-30;55.0
-62.0;-42;623;925.0;16;-5.0;42;47.0
37.0;3;613;933.0;13;12.0;-3;124.0
75.0;75;636;915.0;26;-134.0;-75;-289.0
50.0;6;614;947.0;10;-92.0;-6;142.0
15.0;12;617;945.0;21;99.0;-12;208.0
92.0;-4;484;924.0;-95;-166.0;4;-5.0
-107.0;-8;615;934.0;13;-59.0;8;39.0
-137.0;-13;595;882.0;7;-192.0;13;76.0
96.0;11;615;941.0;15;5.0;-11;177.0
-131.0;-29;510;840.0;-132;-81.0;29;40.0
30.0;-8;501;932.0;-139;-102.0;8;-261.0
-78.0;-20;492;970.0;-96;-183.0;20;-174.0
12.0;3;499;923.0;-108;-68.0;-3;-18.0
90.0;-23;621;935.0;17;-73.0;23;88.0
91.0;-22;622;912.0;14;-122.0;22;93.0
229.0;-164;678;942.0;117;-267.0;164;58.0
30.0;-21;621;994.0;22;-23.0;21;47.0
14.0;-21;623;930.0;18;-128.0;21;-18.0
-124.0;16;804;957.0;-539;283.0;-16;-67.0
94.0;14;484;931.0;-68;-39.0;-14;79.0
143.0;-3;490;958.0;-80;-13.0;3;143.0
-166.0;-4;502;879.0;-110;-54.0;4;10.0
-64.0;-20;615;936.0;18;0.0;20;34.0
56.0;16;618;944.0;19;48.0;-16;103.0
138.0;-29;615;955.0;17;47.0;29;49.0
102.0;4;614;921.0;18;24.0;-4;81.0
20.0;27;498;993.0;-112;-129.0;-27;-37.0
38.0;-36;489;939.0;-70;-166.0;36;74.0
136.0;23;473;937.0;-34;-107.0;-23;16.0
144.0;-82;473;935.0;3;45.0;82;135.0
-81.0;-45;621;924.0;12;-64.0;45;117.0
44.0;4;489;965.0;-80;-107.0;-4;80.0
27.0;-7;488;929.0;-74;-91.0;7;32.0
116.0;-7;489;971.0;-54;8.0;7;124.0
-21.0;27;485;925.0;-77;-50.0;-27;-5.0
13.0;19;494;950.0;-89;-39.0;-19;39.0
7.0;-14;494;938.0;-64;-71.0;14;61.0
85.0;-36;495;929.0;-55;-27.0;36;144.0
-146.0;-29;488;850.0;-116;-17.0;29;14.0
-265.0;5;588;913.0;-14;-89.0;-5;397.0
-147.0;-437;454;950.0;-143;698.0;437;36.0
-39.0;127;465;1547.0;-129;40.0;-127;7.0
-93.0;-21;616;953.0;12;-40.0;21;129.0
0.0;36;486;937.0;-87;-90.0;-36;-11.0
-44.0;51;489;936.0;-91;-109.0;-51;3.0
-3.0;46;488;940.0;-89;-119.0;-46;19.0
-7.0;27;494;941.0;-86;-30.0;-27;59.0
-5.0;12;490;934.0;-90;19.0;-12;54.0
7.0;329;467;932.0;24;168.0;-329;-666.0
65.0;0;489;949.0;-63;-209.0;0;-112.0
-32.0;12;489;923.0;-100;-138.0;-12;-16.0
-32.0;-27;488;915.0;-110;23.0;27;-63.0
-89.0;5;476;918.0;-84;64.0;-5;-153.0
-121.0;-26;493;892.0;-102;-21.0;26;39.0
-77.0;-19;501;944.0;-96;-2.0;19;122.0
6.0;-2;506;911.0;-103;17.0;2;-34.0
-27.0;-50;503;919.0;-103;-117.0;50;7.0
-210.0;5;491;965.0;-105;212.0;-5;-135.0
-15.0;-16;499;936.0;-98;-194.0;16;19.0
48.0;-1;519;924.0;-95;-190.0;1;282.0
58.0;1;502;896.0;-91;-41.0;-1;-13.0
65.0;50;493;920.0;-96;-54.0;-50;207.0
32.0;-30;502;910.0;-106;21.0;30;173.0
53.0;4;505;913.0;-102;20.0;-4;108.0
62.0;16;493;943.0;-94;-5.0;-16;-25.0
41.0;18;496;887.0;-96;22.0;-18;42.0
28.0;-16;501;896.0;-94;74.0;16;-19.0
100.0;-3;497;913.0;-102;3.0;3;173.0
78.0;-17;480;940.0;-73;96.0;17;-69.0
-39.0;-1;504;925.0;-94;80.0;1;54.0
-141.0;34;480;917.0;-146;146.0;-34;-58.0
127.0;2;621;941.0;22;-72.0;-2;91.0
108.0;-1;619;932.0;16;-87.0;1;92.0
56.0;-8;478;924.0;-72;56.0;8;-84.0
-66.0;-32;524;919.0;-92;-87.0;32;-68.0
-65.0;-403;491;871.0;-59;203.0;403;-23.0
176.0;23;452;878.0;-118;-367.0;-23;17.0
41.0;5;500;915.0;-86;-30.0;-5;135.0
57.0;-2;495;918.0;-87;23.0;2;167.0
-1.0;-5;499;924.0;-82;-3.0;5;-106.0
-28.0;30;497;917.0;-89;-106.0;-30;37.0
-26.0;9;496;906.0;-91;-142.0;-9;17.0
-1.0;5;501;918.0;-95;-136.0;-5;8.0
30.0;1;505;920.0;-92;-111.0;-1;171.0
-68.0;15;499;915.0;-97;-297.0;-15;36.0
-128.0;-10;493;957.0;-118;-203.0;10;49.0
-48.0;-15;501;913.0;-91;-54.0;15;77.0
77.0;-37;505;931.0;-95;-99.0;37;49.0
333.0;92;712;874.0;154;-333.0;-92;287.0
201.0;3;498;938.0;-92;-23.0;-3;-48.0
102.0;-25;596;907.0;-4;-260.0;25;92.0
16.0;-33;493;934.0;-94;74.0;33;-88.0
75.0;-14;491;929.0;-95;-12.0;14;189.0
5.0;17;493;933.0;-93;0.0;-17;46.0
-13.0;31;498;924.0;-94;19.0;-31;15.0
2.0;-12;497;913.0;-99;46.0;12;64.0
-13.0;-12;494;925.0;-94;-11.0;12;-5.0
-7.0;19;483;924.0;-94;34.0;-19;-61.0
-44.0;9;477;945.0;-98;32.0;-9;-82.0
0.0;38;486;933.0;-114;40.0;-38;-73.0
11.0;6;484;923.0;-115;-23.0;-6;86.0
-50.0;25;494;915.0;-113;-124.0;-25;88.0
45.0;13;615;973.0;18;-230.0;-13;46.0
33.0;-3;494;916.0;-106;-148.0;3;110.0
68.0;9;620;957.0;16;-150.0;-9;27.0
92.0;17;490;918.0;-104;149.0;-17;102.0
-41.0;-40;489;925.0;-106;-41.0;40;27.0
-37.0;4;491;916.0;-94;40.0;-4;-11.0
25.0;11;492;914.0;-103;37.0;-11;-33.0
59.0;-21;490;903.0;-109;27.0;21;9.0
89.0;-14;494;896.0;-105;-69.0;14;141.0
32.0;-27;493;915.0;-103;-109.0;27;33.0
33.0;-39;489;914.0;-106;-66.0;39;80.0
36.0;-18;489;914.0;-94;-86.0;18;74.0
