Accelerometer RWR accX;InertialMeasurementUnit RUA accZ;InertialMeasurementUnit BACK accX;InertialMeasurementUnit LUA accX;InertialMeasurementUnit LUA magneticZ;InertialMeasurementUnit L-SHOE EuZ;InertialMeasurementUnit L-SHOE Nav_Ay;InertialMeasurementUnit RLA accZ;Accelerometer LUA^ accY;InertialMeasurementUnit BACK magneticY;InertialMeasurementUnit RUA gyroZ;Accelerometer RUA^ accX;Accelerometer RUA_ accZ
-201.0;258.0;-980.0;-969.0;336.0;-17;4;643.0;950.0;177.0;7.0;-202.0;788.0
-624.0;532.0;-978.0;-987.0;106.0;0;4;919.0;1014.0;-81.0;-342.0;-557.0;1050.0
-931.0;233.0;-930.0;-588.0;-153.0;1;4;297.0;600.0;399.0;-8.0;-143.0;600.0
-586.0;256.0;-967.0;-994.0;422.0;6;-42;328.0;997.0;-125.0;-38.0;-388.0;452.0
-506.0;332.0;-1021.0;-1178.0;355.0;28;533;576.0;956.0;-225.0;21.0;-476.0;333.0
-771.0;175.0;-963.0;-970.0;-63.0;-4;-4;621.0;957.0;279.0;10.0;-206.0;865.0
-33.0;157.0;-206.0;-487.0;-582.0;-2;-43;200.0;622.0;495.0;261.0;-354.0;169.0
-313.0;217.0;-982.0;-979.0;502.0;8;-1;309.0;1000.0;-303.0;117.0;-375.0;348.0
-1044.0;578.0;-997.0;-956.0;328.0;-17;6;599.0;941.0;-13.0;425.0;-441.0;750.0
-851.0;184.0;-854.0;-949.0;313.0;2;-68;207.0;1160.0;-145.0;112.0;-405.0;502.0
-913.0;235.0;-739.0;-1067.0;171.0;3;-2;515.0;921.0;-67.0;-40.0;-446.0;519.0
-588.0;465.0;-971.0;-801.0;413.0;-3;4;882.0;887.0;-1.0;56.0;-350.0;976.0
-745.0;184.0;-959.0;-963.0;-59.0;-4;-3;610.0;964.0;282.0;-22.0;-200.0;860.0
-740.0;351.0;-944.0;-856.0;-302.0;-4;-3;823.0;837.0;239.0;-72.0;-186.0;983.0
-839.0;468.0;-979.0;-1146.0;575.0;5;3;740.0;1090.0;-488.0;393.0;-519.0;530.0
-627.0;295.0;-958.0;-956.0;409.0;9;-2;435.0;978.0;-142.0;-24.0;-434.0;455.0
-843.0;195.0;-734.0;-904.0;285.0;4;0;517.0;977.0;-125.0;403.0;-427.0;701.0
-591.0;307.0;-951.0;-962.0;407.0;9;1;453.0;982.0;-137.0;56.0;-412.0;459.0
-312.0;265.0;-965.0;-976.0;472.0;8;11;334.0;991.0;-183.0;18.0;-409.0;327.0
-609.0;323.0;-973.0;-969.0;384.0;9;1;443.0;1019.0;-119.0;-6.0;-432.0;487.0
-784.0;205.0;-782.0;-968.0;249.0;4;-2;573.0;962.0;-104.0;107.0;-487.0;691.0
-873.0;279.0;-926.0;-1135.0;391.0;-6;22;626.0;1020.0;-399.0;-210.0;-244.0;772.0
-314.0;339.0;-979.0;-968.0;411.0;11;7;295.0;992.0;-148.0;197.0;-458.0;464.0
-977.0;425.0;-952.0;-845.0;-145.0;1;6;602.0;796.0;243.0;298.0;-343.0;401.0
-746.0;211.0;-776.0;-954.0;244.0;4;-1;564.0;1016.0;-86.0;37.0;-463.0;678.0
-294.0;381.0;-886.0;-882.0;23.0;2;152;272.0;871.0;165.0;-4.0;-485.0;308.0
-263.0;452.0;-975.0;-996.0;391.0;11;1;596.0;979.0;-133.0;-365.0;-474.0;379.0
-531.0;467.0;-1108.0;-1200.0;-591.0;11;63;559.0;1012.0;448.0;-250.0;-621.0;596.0
-295.0;245.0;-969.0;-994.0;416.0;6;-2;333.0;997.0;-108.0;-43.0;-394.0;341.0
-247.0;315.0;-924.0;-924.0;31.0;-1;79;229.0;945.0;157.0;13.0;-508.0;270.0
-346.0;166.0;-929.0;-977.0;408.0;6;3;270.0;1041.0;-75.0;-45.0;-356.0;324.0
-921.0;176.0;-937.0;-878.0;164.0;3;2;219.0;867.0;218.0;-154.0;-160.0;501.0
-945.0;249.0;-935.0;-940.0;-107.0;4;-5;227.0;911.0;183.0;-47.0;-111.0;441.0
-344.0;575.0;-964.0;-972.0;-135.0;1;-6;943.0;944.0;143.0;-82.0;-472.0;1006.0
-743.0;492.0;-912.0;-732.0;-110.0;1;-5;875.0;771.0;310.0;-60.0;-444.0;963.0
-589.0;160.0;-977.0;-1028.0;344.0;10;26;416.0;1010.0;-93.0;-956.0;-541.0;332.0
-579.0;173.0;-711.0;-823.0;-626.0;7;0;344.0;949.0;689.0;-130.0;-364.0;410.0
-644.0;330.0;-951.0;-946.0;118.0;0;-3;703.0;1004.0;201.0;-11.0;-317.0;898.0
-577.0;417.0;-984.0;-900.0;-123.0;-4;2;845.0;803.0;248.0;725.0;-361.0;861.0
-569.0;405.0;-703.0;-829.0;-462.0;7;-22;272.0;904.0;429.0;486.0;-405.0;520.0
-385.0;309.0;-977.0;-881.0;28.0;-2;135;977.0;917.0;106.0;-115.0;-318.0;924.0
-600.0;406.0;-947.0;-955.0;284.0;-13;-5;742.0;939.0;221.0;-18.0;-378.0;923.0
-327.0;259.0;-865.0;-802.0;-501.0;-4;-67;368.0;812.0;213.0;-534.0;-385.0;480.0
-676.0;295.0;-982.0;-940.0;325.0;-4;2;565.0;929.0;163.0;-246.0;-239.0;734.0
-87.0;190.0;-982.0;-944.0;-67.0;-4;4;615.0;928.0;238.0;31.0;-46.0;712.0
-136.0;660.0;-972.0;-851.0;465.0;-9;4;922.0;884.0;-56.0;-49.0;-561.0;990.0
-695.0;103.0;-881.0;-1035.0;0.0;1;18;50.0;963.0;176.0;1400.0;-261.0;610.0
-942.0;242.0;-959.0;-788.0;139.0;1;1;244.0;777.0;20.0;-104.0;-110.0;512.0
-464.0;173.0;-976.0;-959.0;307.0;-12;1;569.0;960.0;254.0;-7.0;-145.0;766.0
-687.0;197.0;-849.0;-953.0;-493.0;5;1;483.0;925.0;453.0;151.0;-370.0;371.0
-640.0;351.0;-961.0;-857.0;-349.0;-4;0;824.0;918.0;259.0;87.0;-283.0;923.0
-497.0;85.0;-850.0;-863.0;80.0;-3;3;327.0;864.0;-245.0;-234.0;-259.0;464.0
-288.0;166.0;-974.0;-995.0;418.0;2;-1;293.0;1016.0;-105.0;33.0;-338.0;295.0
-392.0;189.0;-973.0;-964.0;306.0;-12;6;571.0;965.0;222.0;9.0;-122.0;735.0
-372.0;122.0;-865.0;-951.0;-245.0;5;952;235.0;920.0;301.0;-89.0;-332.0;290.0
-695.0;299.0;-877.0;-968.0;-302.0;5;-1;78.0;988.0;382.0;-282.0;-472.0;310.0
-705.0;299.0;-910.0;-937.0;409.0;9;-9;267.0;965.0;-175.0;1.0;-496.0;509.0
-738.0;317.0;-955.0;-875.0;-272.0;-4;3;610.0;832.0;214.0;-38.0;-208.0;867.0
-774.0;190.0;-947.0;-957.0;-78.0;-5;-75;559.0;974.0;190.0;-30.0;-164.0;817.0
-891.0;264.0;-949.0;-830.0;-267.0;-4;7;674.0;875.0;206.0;13.0;-180.0;939.0
-531.0;201.0;-987.0;-966.0;322.0;-15;-3;570.0;931.0;103.0;-130.0;-225.0;759.0
-126.0;712.0;-350.0;-91.0;304.0;-71;175;1075.0;117.0;-547.0;33.0;-534.0;955.0
-214.0;272.0;-973.0;-923.0;-83.0;-4;0;685.0;939.0;209.0;179.0;-135.0;779.0
-661.0;304.0;-954.0;-957.0;317.0;-4;6;692.0;945.0;172.0;-41.0;-304.0;863.0
-469.0;225.0;-989.0;-962.0;318.0;-15;1;616.0;932.0;89.0;81.0;-170.0;749.0
-968.0;651.0;-988.0;-976.0;351.0;-12;2;733.0;934.0;-143.0;-151.0;-445.0;880.0
-677.0;253.0;-965.0;-969.0;-81.0;-3;-7;651.0;996.0;224.0;97.0;-196.0;553.0
-563.0;386.0;-958.0;-925.0;310.0;-4;2;709.0;865.0;164.0;257.0;-246.0;829.0
-485.0;318.0;-994.0;-957.0;340.0;-12;7;580.0;961.0;224.0;266.0;-83.0;637.0
-398.0;202.0;-978.0;-932.0;313.0;-4;-4;563.0;940.0;165.0;87.0;-132.0;721.0
-316.0;185.0;-990.0;-961.0;321.0;-15;3;613.0;937.0;98.0;26.0;-160.0;698.0
-412.0;98.0;-942.0;-1024.0;477.0;9;8;348.0;984.0;-232.0;-313.0;-270.0;360.0
-688.0;160.0;-950.0;-960.0;-32.0;-4;6;583.0;987.0;274.0;12.0;-207.0;887.0
-365.0;184.0;-975.0;-966.0;304.0;-12;0;591.0;946.0;223.0;-6.0;-111.0;735.0
-356.0;181.0;-976.0;-966.0;305.0;-12;-1;586.0;958.0;219.0;-8.0;-132.0;715.0
-833.0;125.0;-714.0;-956.0;272.0;3;1;511.0;959.0;-108.0;64.0;-549.0;583.0
-646.0;339.0;-960.0;-824.0;-152.0;4;8;540.0;942.0;188.0;-928.0;-359.0;885.0
-685.0;218.0;-963.0;-952.0;-68.0;-4;2;638.0;955.0;267.0;-6.0;-209.0;880.0
-881.0;459.0;-957.0;-882.0;-354.0;8;0;583.0;887.0;345.0;26.0;-425.0;805.0
-510.0;318.0;-953.0;-853.0;-269.0;-4;3;787.0;883.0;237.0;53.0;-290.0;928.0
-505.0;210.0;-976.0;-937.0;324.0;-4;-4;565.0;930.0;155.0;-147.0;-207.0;761.0
-571.0;227.0;-974.0;-933.0;325.0;-4;1;566.0;918.0;158.0;-171.0;-195.0;754.0
-411.0;181.0;-973.0;-969.0;305.0;-12;5;591.0;943.0;219.0;-15.0;-122.0;751.0
-558.0;115.0;-977.0;-963.0;-85.0;-2;6;689.0;966.0;159.0;-1813.0;-241.0;860.0
-717.0;411.0;-936.0;-989.0;67.0;1;-7;321.0;1139.0;155.0;-355.0;-585.0;289.0
-649.0;313.0;-977.0;-1035.0;29.0;6;427;508.0;1111.0;236.0;-92.0;-720.0;374.0
-758.0;167.0;-722.0;-983.0;295.0;4;1;523.0;981.0;-125.0;-16.0;-435.0;648.0
-1033.0;423.0;-994.0;-965.0;-78.0;-4;0;579.0;957.0;274.0;473.0;-357.0;872.0
-290.0;253.0;-970.0;-995.0;415.0;6;5;337.0;992.0;-107.0;-7.0;-406.0;341.0
-994.0;394.0;-982.0;-937.0;149.0;0;-1;648.0;1006.0;89.0;-93.0;-291.0;882.0
-725.0;198.0;-711.0;-974.0;286.0;4;2;531.0;978.0;-128.0;107.0;-398.0;795.0
