InertialMeasurementUnit R-SHOE EuY;InertialMeasurementUnit BACK accY;InertialMeasurementUnit RLA magneticZ;InertialMeasurementUnit BACK gyroZ;InertialMeasurementUnit RUA gyroY;InertialMeasurementUnit LUA gyroY;InertialMeasurementUnit L-SHOE EuY;InertialMeasurementUnit LLA gyroX
-21;-484.0;-508.0;184.0;77.0;38.0;-29;139.0
-21;-496.0;-517.0;154.0;?;143.0;?;?
-21;-463.0;-532.0;214.0;86.0;254.0;-27;824.0
-21;-438.0;-551.0;212.0;62.0;320.0;-27;?
-21;-425.0;-579.0;211.0;-26.0;?;-27;2042.0
-21;-381.0;?;207.0;?;?;-27;?
?;-292.0;-644.0;223.0;-435.0;200.0;-27;2299.0
?;-232.0;-668.0;271.0;-732.0;135.0;?;2001.0
-21;-217.0;-679.0;?;-918.0;65.0;-28;1700.0
-21;-168.0;-685.0;218.0;-1133.0;?;-28;1631.0
-21;-157.0;?;210.0;-1159.0;-103.0;-28;1499.0
-21;-176.0;?;66.0;-946.0;-163.0;-28;996.0
-21;-151.0;?;?;?;-44.0;-28;385.0
-21;-218.0;?;31.0;-377.0;130.0;-28;-120.0
-21;-258.0;?;?;52.0;240.0;-28;-367.0
-21;?;-665.0;?;402.0;396.0;-28;-545.0
-21;-215.0;-682.0;-3.0;717.0;457.0;-28;?
-21;?;?;31.0;955.0;432.0;-28;?
-21;-275.0;?;-31.0;985.0;436.0;-28;?
-21;-233.0;-731.0;18.0;955.0;433.0;-28;?
?;-246.0;-739.0;26.0;?;423.0;-28;119.0
?;-236.0;?;?;?;497.0;-28;-89.0
-21;-244.0;-748.0;?;861.0;502.0;?;-561.0
-21;-244.0;-746.0;?;743.0;?;-27;-891.0
-21;-236.0;-745.0;2.0;674.0;318.0;-28;?
-21;-238.0;-745.0;28.0;318.0;36.0;-28;-923.0
-21;?;-750.0;-6.0;125.0;-58.0;-28;-501.0
-21;-272.0;-756.0;11.0;-92.0;?;-29;77.0
?;?;-762.0;50.0;-187.0;-111.0;-29;408.0
-21;-252.0;-766.0;24.0;-230.0;-63.0;-29;258.0
-21;-282.0;?;69.0;-240.0;-53.0;-29;?
?;-284.0;-773.0;?;-336.0;-117.0;-29;-123.0
-21;-251.0;-777.0;?;-485.0;-169.0;?;-288.0
-21;-251.0;-779.0;49.0;-717.0;-368.0;?;?
-21;-273.0;-777.0;45.0;-1026.0;-650.0;-29;-194.0
-21;-243.0;-767.0;20.0;-1366.0;-1054.0;-29;31.0
-21;-240.0;-748.0;31.0;-1878.0;-1653.0;?;390.0
-21;-241.0;-717.0;43.0;-2181.0;-1721.0;-29;52.0
-21;-241.0;-676.0;-19.0;-2545.0;?;-29;-373.0
-21;-268.0;-630.0;-40.0;-2885.0;-2058.0;-29;-201.0
