InertialMeasurementUnit LUA Quaternion4;InertialMeasurementUnit LLA Quaternion2;InertialMeasurementUnit R-SHOE Compass;InertialMeasurementUnit R-SHOE EuZ;InertialMeasurementUnit LLA Quaternion4;Accelerometer LWR accX;InertialMeasurementUnit R-SHOE EuX;InertialMeasurementUnit L-SHOE Compass;InertialMeasurementUnit RLA Quaternion3;InertialMeasurementUnit LLA gyroY;InertialMeasurementUnit LUA Quaternion2
398.0;-331.0;143;18;?;-19.0;?;?;138.0;?;-442.0
392.0;-328.0;?;18;143.0;0.0;?;169;127.0;548.0;-437.0
383.0;-319.0;143;18;136.0;-85.0;55;169;?;719.0;-427.0
367.0;-300.0;?;18;121.0;?;?;170;84.0;841.0;?
349.0;-275.0;?;18;?;-191.0;55;172;57.0;922.0;-389.0
?;-249.0;143;18;73.0;-180.0;55;?;28.0;968.0;-364.0
305.0;-225.0;?;18;41.0;-81.0;?;174;0.0;909.0;-337.0
282.0;-206.0;143;?;9.0;?;55;?;-21.0;799.0;-312.0
257.0;-194.0;144;?;-23.0;-35.0;55;?;-33.0;?;?
232.0;-185.0;?;18;-58.0;?;55;174;-30.0;517.0;-266.0
206.0;-181.0;144;?;-94.0;-87.0;?;174;-17.0;378.0;-244.0
180.0;-185.0;?;18;-130.0;-192.0;55;174;-9.0;277.0;-224.0
?;-197.0;145;18;-161.0;-148.0;55;174;-14.0;175.0;?
132.0;?;145;18;-187.0;-178.0;55;174;-26.0;158.0;-197.0
111.0;-231.0;145;18;-208.0;-234.0;?;?;-40.0;324.0;-192.0
101.0;-246.0;145;18;?;-273.0;55;174;-56.0;361.0;?
95.0;-260.0;145;?;-235.0;-259.0;55;174;-81.0;314.0;?
91.0;-267.0;145;18;-244.0;-148.0;?;174;-114.0;397.0;-195.0
85.0;-266.0;145;18;-251.0;-187.0;55;174;-147.0;452.0;-192.0
81.0;-256.0;144;18;-253.0;-209.0;55;174;-173.0;449.0;-187.0
79.0;-242.0;144;18;-250.0;-110.0;55;174;-183.0;322.0;-183.0
79.0;-226.0;144;18;-238.0;-84.0;55;?;-178.0;231.0;-181.0
81.0;-212.0;144;18;-215.0;-25.0;55;174;-159.0;105.0;-181.0
82.0;-204.0;144;18;-186.0;-16.0;55;174;-136.0;-213.0;-179.0
82.0;-196.0;144;18;-159.0;?;55;174;-116.0;-158.0;?
87.0;?;?;?;-135.0;-70.0;55;?;?;-181.0;-172.0
97.0;-192.0;145;18;-116.0;25.0;55;173;-112.0;-437.0;-176.0
105.0;-185.0;?;18;-105.0;-44.0;55;174;-120.0;-495.0;-180.0
111.0;-176.0;?;18;-101.0;-241.0;?;?;-124.0;-387.0;-180.0
118.0;-169.0;145;18;-96.0;-339.0;55;?;-122.0;-344.0;-183.0
125.0;-167.0;145;18;-90.0;-238.0;55;?;-115.0;-270.0;?
133.0;?;145;18;-86.0;-180.0;?;?;-108.0;-198.0;-187.0
141.0;?;?;18;-82.0;-168.0;55;173;-102.0;-226.0;?
149.0;-181.0;145;18;?;-80.0;55;173;?;?;-193.0
158.0;-191.0;145;?;?;-58.0;?;173;-73.0;-144.0;-200.0
166.0;-202.0;145;18;-102.0;19.0;55;173;-45.0;-360.0;-205.0
?;-213.0;145;18;?;126.0;55;173;?;?;-207.0
174.0;-234.0;145;?;-148.0;189.0;55;173;?;-1226.0;?
183.0;-265.0;145;18;-170.0;?;?;173;50.0;-1621.0;-234.0
190.0;-299.0;145;18;-201.0;327.0;?;174;84.0;-1953.0;-258.0
194.0;-335.0;145;18;-239.0;71.0;55;173;127.0;-2176.0;-284.0
195.0;-359.0;145;18;-284.0;158.0;55;173;176.0;-2136.0;-312.0
?;-352.0;145;18;-341.0;92.0;55;173;?;-2449.0;?
