InertialMeasurementUnit RUA Quaternion4;InertialMeasurementUnit R-SHOE AngVelNavFrameZ;InertialMeasurementUnit RLA gyroZ;InertialMeasurementUnit R-SHOE AngVelNavFrameY;InertialMeasurementUnit R-SHOE AngVelBodyFrameX;InertialMeasurementUnit BACK Quaternion4;InertialMeasurementUnit R-SHOE AngVelBodyFrameZ;InertialMeasurementUnit RUA Quaternion2;InertialMeasurementUnit BACK Quaternion2
-494.0;-13;-12.0;56;-56;125.0;-13;170.0;91.0
-451.0;25;3.0;16;-16;100.0;25;194.0;126.0
-402.0;38;615.0;-45;45;154.0;38;501.0;50.0
714.0;11;-43.0;19;-19;848.0;11;-510.0;-494.0
481.0;-28;163.0;-19;19;839.0;-28;-345.0;-455.0
20.0;17;-142.0;324;-324;539.0;17;33.0;-338.0
122.0;-66;-17.0;-4;4;543.0;-66;33.0;-14.0
76.0;82;600.0;30;-30;393.0;82;-156.0;-152.0
-662.0;14;63.0;18;-18;88.0;14;-89.0;54.0
-549.0;0;-540.0;25;-25;-21.0;0;421.0;258.0
-826.0;-6;-390.0;14;-14;-8.0;-6;172.0;84.0
-468.0;5;1.0;13;-13;106.0;5;207.0;100.0
-467.0;-15;-14.0;45;-45;105.0;-15;207.0;100.0
-467.0;-7;7.0;31;-31;104.0;-7;207.0;100.0
-467.0;-9;19.0;19;-19;103.0;-9;206.0;100.0
-467.0;19;21.0;-18;18;103.0;19;206.0;99.0
-466.0;18;11.0;-7;7;103.0;18;207.0;99.0
-466.0;10;24.0;10;-10;103.0;10;207.0;99.0
-735.0;7;658.0;-30;30;38.0;7;163.0;65.0
-452.0;-14;30.0;27;-27;120.0;-14;188.0;113.0
-241.0;-3172;-615.0;-4377;4377;152.0;-3172;187.0;-40.0
-491.0;6;18.0;-14;14;123.0;6;205.0;119.0
-491.0;-8;1.0;43;-43;123.0;-8;205.0;118.0
-491.0;-9;-2.0;50;-50;123.0;-9;205.0;118.0
-449.0;-56;-19.0;33;-33;95.0;-56;197.0;128.0
-452.0;18;14.0;24;-24;100.0;18;193.0;126.0
-865.0;18;-712.0;3;-3;-494.0;18;340.0;574.0
470.0;-15;53.0;3;-3;-132.0;-15;-206.0;-97.0
599.0;-15;-130.0;-68;68;-146.0;-15;-119.0;-39.0
520.0;-16;-417.0;-18;18;-142.0;-16;-148.0;-52.0
-418.0;-861;335.0;139;-139;-188.0;-861;220.0;271.0
523.0;-20;94.0;-153;153;-140.0;-20;-166.0;-46.0
-662.0;-14;-16.0;-13;13;122.0;-14;147.0;59.0
-495.0;22;-25.0;16;-16;135.0;22;173.0;92.0
-522.0;-36;134.0;-182;182;114.0;-36;151.0;81.0
-491.0;-2;56.0;-22;22;127.0;-2;205.0;115.0
-491.0;20;48.0;6;-6;128.0;20;205.0;116.0
-490.0;25;12.0;-22;22;128.0;25;205.0;116.0
-490.0;12;-12.0;-40;40;128.0;12;205.0;116.0
-491.0;-1;-2.0;-25;25;128.0;-1;205.0;115.0
-494.0;-5;-8.0;-30;30;129.0;-5;171.0;92.0
-833.0;9;128.0;290;-290;-35.0;9;197.0;68.0
646.0;1;-17.0;0;0;-123.0;1;-218.0;-88.0
-501.0;-3;49.0;12;-12;137.0;-3;203.0;83.0
479.0;-37;-12.0;20;-20;-112.0;-37;-231.0;-92.0
253.0;71;59.0;-29;29;609.0;71;-59.0;-369.0
-549.0;-21;326.0;7;-7;118.0;-21;169.0;58.0
-359.0;14;-169.0;32;-32;99.0;14;422.0;53.0
739.0;34;-356.0;-660;660;369.0;34;-592.0;-471.0
-725.0;29;-1081.0;12;-12;114.0;29;145.0;12.0
-448.0;-9;98.0;-6;6;126.0;-9;175.0;90.0
473.0;-16;-17.0;-22;22;-142.0;-16;-251.0;-60.0
652.0;16;-546.0;-1;1;-78.0;16;-232.0;-89.0
468.0;-32;-1.0;18;-18;-148.0;-32;-247.0;-55.0
811.0;-50;-626.0;-7;7;598.0;-50;-569.0;-583.0
-528.0;1198;-446.0;157;-157;-728.0;1198;401.0;643.0
392.0;-3822;-258.0;1581;-1581;921.0;-3822;-258.0;-286.0
694.0;-14;-189.0;5;-5;310.0;-14;-595.0;-486.0
497.0;6;14.0;3;-3;-154.0;6;-289.0;-69.0
-482.0;-232;69.0;-441;441;-29.0;-232;419.0;195.0
-449.0;-200;-133.0;-3000;3000;195.0;-200;386.0;32.0
655.0;-9;12.0;10;-10;-79.0;-9;-11.0;-69.0
546.0;40;236.0;15;-15;-165.0;40;-55.0;-83.0
479.0;-7;22.0;-13;13;-237.0;-7;-193.0;15.0
651.0;11;2070.0;11;-11;-69.0;11;-57.0;-57.0
654.0;20;-48.0;21;-21;-117.0;20;-71.0;-75.0
-832.0;17;1352.0;57;-57;-21.0;17;196.0;90.0
132.0;1578;419.0;4671;-4671;217.0;1578;-131.0;7.0
-292.0;-15;25.0;84;-84;136.0;-15;517.0;185.0
-362.0;-1698;-429.0;72;-72;-674.0;-1698;197.0;512.0
-694.0;575;556.0;2522;-2522;-187.0;575;569.0;332.0
671.0;-22;345.0;-26;26;-124.0;-22;-194.0;-80.0
668.0;-11;423.0;-5;5;-99.0;-11;75.0;-79.0
684.0;1265;-418.0;-232;232;165.0;1265;-622.0;-105.0
-504.0;-3;5.0;-5;5;-53.0;-3;425.0;222.0
-792.0;11;-66.0;29;-29;-8.0;11;198.0;118.0
666.0;-5;-177.0;7;-7;-132.0;-5;-204.0;-76.0
604.0;-13;-62.0;-46;46;102.0;-13;-564.0;-104.0
-793.0;-1;136.0;-18;18;-9.0;-1;204.0;103.0
510.0;-1974;268.0;-1819;1819;64.0;-1974;-192.0;-32.0
645.0;11;-1387.0;-24;24;-81.0;11;-73.0;-60.0
491.0;-8;124.0;-20;20;-233.0;-8;-205.0;5.0
-690.0;10;-5.0;-3;3;-239.0;10;449.0;215.0
197.0;2829;-124.0;474;-474;312.0;2829;-243.0;-87.0
-420.0;734;152.0;677;-677;31.0;734;461.0;131.0
-530.0;-33;17.0;5;-5;-842.0;-33;462.0;492.0
711.0;7;72.0;-19;19;333.0;7;-595.0;-513.0
-537.0;1;104.0;-20;20;-66.0;1;449.0;269.0
421.0;3933;-59.0;-2224;2224;-139.0;3933;-400.0;44.0
454.0;28;58.0;-1;1;-259.0;28;-193.0;37.0
-296.0;-14;-505.0;-10;10;-805.0;-14;-77.0;337.0
650.0;-13;143.0;4;-4;-207.0;-13;-211.0;-25.0
-548.0;900;78.0;-950;950;-11.0;900;450.0;147.0
571.0;19;-39.0;49;-49;94.0;19;-596.0;-99.0
637.0;22;63.0;-41;41;59.0;22;-559.0;-35.0
398.0;-5;414.0;88;-88;-224.0;-5;-256.0;-44.0
782.0;840;-313.0;1124;-1124;491.0;840;-583.0;-484.0
491.0;-1;-31.0;-13;13;-236.0;-1;-203.0;7.0
647.0;30;747.0;-11;11;-127.0;30;-157.0;-75.0
-247.0;125;-2424.0;40;-40;47.0;125;56.0;150.0
