Accelerometer HIP accZ;InertialMeasurementUnit LLA accZ;InertialMeasurementUnit BACK magneticX;Accelerometer RUA_ accX;InertialMeasurementUnit BACK accZ;Accelerometer BACK accY;InertialMeasurementUnit RLA accY;InertialMeasurementUnit LUA accZ;Accelerometer LH accZ;Accelerometer BACK accZ;Accelerometer BACK accX
141.0;94.0;979.0;186.0;-47.0;1337.0;300.0;53.0;166.0;-526.0;-8.0
-12.0;220.0;556.0;69.0;66.0;951.0;395.0;186.0;-57.0;-365.0;69.0
35.0;154.0;547.0;156.0;67.0;950.0;341.0;101.0;73.0;-362.0;71.0
111.0;150.0;995.0;93.0;143.0;904.0;434.0;234.0;-106.0;-470.0;-9.0
11.0;192.0;554.0;165.0;77.0;932.0;347.0;112.0;9.0;-390.0;86.0
-16.0;160.0;568.0;145.0;97.0;933.0;285.0;140.0;29.0;-431.0;58.0
28.0;280.0;534.0;252.0;312.0;743.0;397.0;215.0;-291.0;-631.0;248.0
34.0;188.0;359.0;-19.0;117.0;851.0;71.0;244.0;63.0;-437.0;126.0
-1.0;204.0;556.0;169.0;80.0;958.0;340.0;68.0;46.0;-353.0;69.0
20.0;174.0;555.0;180.0;64.0;962.0;339.0;78.0;57.0;-357.0;86.0
-91.0;231.0;597.0;329.0;156.0;884.0;656.0;271.0;-29.0;-466.0;128.0
-97.0;241.0;587.0;334.0;186.0;914.0;340.0;379.0;-89.0;-420.0;202.0
-99.0;229.0;578.0;350.0;93.0;946.0;467.0;230.0;-23.0;-340.0;87.0
10.0;186.0;434.0;162.0;219.0;735.0;438.0;140.0;105.0;-428.0;6.0
-170.0;362.0;497.0;665.0;122.0;987.0;383.0;369.0;1.0;-279.0;229.0
-109.0;226.0;577.0;333.0;92.0;987.0;452.0;222.0;-3.0;-327.0;103.0
-170.0;481.0;502.0;293.0;163.0;948.0;607.0;329.0;-550.0;-343.0;87.0
10.0;530.0;585.0;278.0;104.0;998.0;557.0;190.0;-280.0;-240.0;106.0
-55.0;193.0;569.0;243.0;67.0;920.0;352.0;206.0;-92.0;-400.0;91.0
111.0;390.0;652.0;355.0;128.0;960.0;621.0;122.0;-541.0;-330.0;123.0
-100.0;193.0;567.0;192.0;84.0;928.0;417.0;214.0;37.0;-447.0;79.0
-155.0;185.0;531.0;214.0;-5.0;999.0;346.0;243.0;137.0;-633.0;136.0
-33.0;217.0;378.0;181.0;8.0;991.0;273.0;197.0;-189.0;-456.0;177.0
-57.0;244.0;565.0;192.0;56.0;959.0;343.0;153.0;-1.0;-362.0;79.0
196.0;309.0;896.0;188.0;-96.0;1004.0;310.0;167.0;-171.0;-303.0;37.0
-37.0;269.0;557.0;107.0;64.0;927.0;420.0;155.0;-16.0;-363.0;58.0
-121.0;-569.0;449.0;202.0;396.0;770.0;485.0;271.0;791.0;-621.0;157.0
-41.0;215.0;483.0;273.0;50.0;835.0;337.0;174.0;-43.0;-332.0;170.0
69.0;197.0;505.0;398.0;25.0;960.0;274.0;174.0;-4.0;-402.0;-15.0
118.0;449.0;633.0;87.0;-24.0;979.0;289.0;124.0;-367.0;-218.0;106.0
-20.0;144.0;529.0;177.0;50.0;970.0;319.0;60.0;111.0;-319.0;58.0
-31.0;152.0;537.0;180.0;75.0;960.0;320.0;64.0;95.0;-337.0;94.0
-7.0;219.0;584.0;303.0;117.0;924.0;396.0;255.0;278.0;-398.0;51.0
-163.0;250.0;616.0;720.0;177.0;866.0;917.0;327.0;18.0;-508.0;209.0
141.0;100.0;1011.0;176.0;-2.0;806.0;326.0;40.0;193.0;-291.0;20.0
137.0;78.0;956.0;63.0;53.0;492.0;148.0;81.0;166.0;-295.0;-58.0
-50.0;145.0;526.0;159.0;68.0;954.0;343.0;59.0;93.0;-339.0;81.0
19.0;15.0;700.0;256.0;197.0;960.0;455.0;271.0;67.0;-346.0;-8.0
-198.0;210.0;644.0;531.0;254.0;801.0;703.0;334.0;-31.0;-570.0;259.0
69.0;173.0;1137.0;-177.0;144.0;906.0;186.0;122.0;-22.0;-423.0;69.0
200.0;-26.0;963.0;177.0;51.0;825.0;196.0;26.0;151.0;-354.0;157.0
-103.0;266.0;667.0;220.0;386.0;941.0;374.0;505.0;-215.0;-419.0;-72.0
87.0;128.0;669.0;164.0;16.0;925.0;307.0;90.0;86.0;-373.0;175.0
17.0;158.0;687.0;235.0;-90.0;997.0;426.0;67.0;105.0;-196.0;118.0
70.0;153.0;660.0;181.0;-52.0;967.0;345.0;61.0;-19.0;-336.0;164.0
107.0;133.0;1151.0;220.0;-17.0;895.0;307.0;179.0;31.0;-286.0;158.0
-57.0;246.0;562.0;280.0;285.0;760.0;479.0;400.0;-152.0;-582.0;361.0
-6.0;179.0;548.0;199.0;79.0;992.0;315.0;116.0;1042.0;-324.0;145.0
990.0;431.0;-592.0;-622.0;-433.0;563.0;-373.0;-329.0;-517.0;34.0;-776.0
-63.0;210.0;524.0;172.0;57.0;951.0;347.0;89.0;121.0;-359.0;77.0
14.0;220.0;1071.0;157.0;94.0;990.0;390.0;92.0;293.0;-460.0;31.0
125.0;105.0;672.0;647.0;41.0;966.0;845.0;11.0;-132.0;-286.0;-40.0
174.0;421.0;639.0;174.0;127.0;896.0;925.0;337.0;-332.0;-423.0;2.0
-239.0;249.0;223.0;471.0;445.0;585.0;860.0;560.0;-140.0;-694.0;420.0
-254.0;-383.0;525.0;810.0;196.0;790.0;671.0;176.0;547.0;-629.0;349.0
-21.0;171.0;535.0;166.0;69.0;949.0;322.0;71.0;80.0;-335.0;85.0
134.0;167.0;560.0;366.0;92.0;880.0;424.0;132.0;99.0;-489.0;201.0
17.0;100.0;718.0;-52.0;304.0;918.0;304.0;199.0;-12.0;-436.0;-30.0
253.0;119.0;504.0;103.0;54.0;931.0;269.0;53.0;144.0;-388.0;106.0
-128.0;-395.0;551.0;620.0;380.0;726.0;782.0;24.0;520.0;-710.0;34.0
-41.0;152.0;535.0;174.0;70.0;970.0;319.0;67.0;131.0;-350.0;86.0
-61.0;169.0;740.0;175.0;96.0;850.0;489.0;224.0;38.0;-546.0;138.0
-47.0;-733.0;596.0;840.0;190.0;961.0;966.0;96.0;840.0;-290.0;48.0
-131.0;350.0;520.0;155.0;198.0;922.0;763.0;305.0;-408.0;-351.0;32.0
-19.0;94.0;618.0;-350.0;133.0;872.0;-60.0;408.0;143.0;-501.0;11.0
60.0;68.0;502.0;174.0;45.0;969.0;371.0;-1.0;40.0;-307.0;27.0
62.0;195.0;635.0;38.0;34.0;988.0;130.0;172.0;-133.0;-230.0;48.0
112.0;333.0;646.0;-30.0;60.0;970.0;42.0;80.0;-468.0;-250.0;29.0
10.0;188.0;730.0;166.0;295.0;934.0;504.0;233.0;43.0;-397.0;-7.0
30.0;163.0;668.0;219.0;-128.0;992.0;391.0;7.0;59.0;-221.0;108.0
77.0;-338.0;710.0;553.0;92.0;960.0;720.0;216.0;415.0;-339.0;100.0
-81.0;-417.0;514.0;307.0;61.0;923.0;393.0;14.0;850.0;-376.0;73.0
-44.0;155.0;537.0;185.0;73.0;960.0;319.0;65.0;84.0;-323.0;79.0
81.0;105.0;502.0;201.0;168.0;929.0;234.0;68.0;92.0;-559.0;240.0
-59.0;151.0;535.0;184.0;68.0;953.0;324.0;59.0;90.0;-316.0;80.0
-71.0;157.0;530.0;165.0;58.0;956.0;323.0;64.0;87.0;-314.0;85.0
-30.0;148.0;525.0;173.0;42.0;953.0;327.0;45.0;96.0;-317.0;79.0
137.0;285.0;642.0;292.0;112.0;968.0;220.0;10.0;-471.0;-215.0;-51.0
-201.0;479.0;32.0;483.0;775.0;57.0;756.0;639.0;-417.0;-890.0;346.0
-93.0;-151.0;-39.0;295.0;751.0;426.0;557.0;355.0;397.0;-811.0;375.0
20.0;206.0;728.0;367.0;291.0;941.0;642.0;242.0;-10.0;-378.0;-1.0
0.0;148.0;532.0;173.0;54.0;962.0;323.0;43.0;116.0;-303.0;63.0
-59.0;287.0;576.0;180.0;109.0;903.0;279.0;144.0;70.0;-416.0;98.0
-38.0;148.0;531.0;194.0;56.0;968.0;328.0;48.0;115.0;-317.0;84.0
81.0;114.0;661.0;199.0;-47.0;987.0;368.0;-30.0;96.0;-216.0;95.0
17.0;227.0;416.0;157.0;3.0;928.0;460.0;160.0;182.0;-160.0;144.0
